,article,timestamp,views
0,2020_Summer_Olympics,2015070100,3663
1,2020_Summer_Olympics,2015070200,3169
2,2020_Summer_Olympics,2015070300,3014
3,2020_Summer_Olympics,2015070400,4106
4,2020_Summer_Olympics,2015070500,5403
5,2020_Summer_Olympics,2015070600,7845
6,2020_Summer_Olympics,2015070700,3796
7,2020_Summer_Olympics,2015070800,3922
8,2020_Summer_Olympics,2015070900,3322
9,2020_Summer_Olympics,2015071000,3696
10,2020_Summer_Olympics,2015071100,4688
11,2020_Summer_Olympics,2015071200,4168
12,2020_Summer_Olympics,2015071300,3705
13,2020_Summer_Olympics,2015071400,3196
14,2020_Summer_Olympics,2015071500,3489
15,2020_Summer_Olympics,2015071600,3765
16,2020_Summer_Olympics,2015071700,5140
17,2020_Summer_Olympics,2015071800,4469
18,2020_Summer_Olympics,2015071900,3969
19,2020_Summer_Olympics,2015072000,3380
20,2020_Summer_Olympics,2015072100,2977
21,2020_Summer_Olympics,2015072200,3374
22,2020_Summer_Olympics,2015072300,3437
23,2020_Summer_Olympics,2015072400,6810
24,2020_Summer_Olympics,2015072500,6680
25,2020_Summer_Olympics,2015072600,5760
26,2020_Summer_Olympics,2015072700,11135
27,2020_Summer_Olympics,2015072800,10034
28,2020_Summer_Olympics,2015072900,4965
29,2020_Summer_Olympics,2015073000,5469
30,2020_Summer_Olympics,2015073100,21916
31,2020_Summer_Olympics,2015080100,11986
32,2020_Summer_Olympics,2015080200,8627
33,2020_Summer_Olympics,2015080300,6292
34,2020_Summer_Olympics,2015080400,6496
35,2020_Summer_Olympics,2015080500,7596
36,2020_Summer_Olympics,2015080600,5280
37,2020_Summer_Olympics,2015080700,4333
38,2020_Summer_Olympics,2015080800,4158
39,2020_Summer_Olympics,2015080900,4944
40,2020_Summer_Olympics,2015081000,3752
41,2020_Summer_Olympics,2015081100,3682
42,2020_Summer_Olympics,2015081200,3511
43,2020_Summer_Olympics,2015081300,3163
44,2020_Summer_Olympics,2015081400,2941
45,2020_Summer_Olympics,2015081500,3121
46,2020_Summer_Olympics,2015081600,3593
47,2020_Summer_Olympics,2015081700,2671
48,2020_Summer_Olympics,2015081800,2632
49,2020_Summer_Olympics,2015081900,2613
50,2020_Summer_Olympics,2015082000,2651
51,2020_Summer_Olympics,2015082100,2721
52,2020_Summer_Olympics,2015082200,3116
53,2020_Summer_Olympics,2015082300,3933
54,2020_Summer_Olympics,2015082400,3166
55,2020_Summer_Olympics,2015082500,2858
56,2020_Summer_Olympics,2015082600,2895
57,2020_Summer_Olympics,2015082700,2967
58,2020_Summer_Olympics,2015082800,2875
59,2020_Summer_Olympics,2015082900,3301
60,2020_Summer_Olympics,2015083000,3987
61,2020_Summer_Olympics,2015083100,2988
62,2020_Summer_Olympics,2015090100,6549
63,2020_Summer_Olympics,2015090200,6032
64,2020_Summer_Olympics,2015090300,3380
65,2020_Summer_Olympics,2015090400,2784
66,2020_Summer_Olympics,2015090500,3576
67,2020_Summer_Olympics,2015090600,3088
68,2020_Summer_Olympics,2015090700,2934
69,2020_Summer_Olympics,2015090800,2609
70,2020_Summer_Olympics,2015090900,2335
71,2020_Summer_Olympics,2015091000,2112
72,2020_Summer_Olympics,2015091100,2179
73,2020_Summer_Olympics,2015091200,2204
74,2020_Summer_Olympics,2015091300,2278
75,2020_Summer_Olympics,2015091400,2255
76,2020_Summer_Olympics,2015091500,2641
77,2020_Summer_Olympics,2015091600,5796
78,2020_Summer_Olympics,2015091700,2736
79,2020_Summer_Olympics,2015091800,2373
80,2020_Summer_Olympics,2015091900,2260
81,2020_Summer_Olympics,2015092000,2851
82,2020_Summer_Olympics,2015092100,2536
83,2020_Summer_Olympics,2015092200,2344
84,2020_Summer_Olympics,2015092300,2226
85,2020_Summer_Olympics,2015092400,2350
86,2020_Summer_Olympics,2015092500,2845
87,2020_Summer_Olympics,2015092600,2505
88,2020_Summer_Olympics,2015092700,2464
89,2020_Summer_Olympics,2015092800,3721
90,2020_Summer_Olympics,2015092900,2757
91,2020_Summer_Olympics,2015093000,1897
92,2020_Summer_Olympics,2015100100,1938
93,2020_Summer_Olympics,2015100200,1887
94,2020_Summer_Olympics,2015100300,2263
95,2020_Summer_Olympics,2015100400,2130
96,2020_Summer_Olympics,2015100500,2045
97,2020_Summer_Olympics,2015100600,2004
98,2020_Summer_Olympics,2015100700,1885
99,2020_Summer_Olympics,2015100800,1955
100,2020_Summer_Olympics,2015100900,1833
101,2020_Summer_Olympics,2015101000,1993
102,2020_Summer_Olympics,2015101100,2778
103,2020_Summer_Olympics,2015101200,2198
104,2020_Summer_Olympics,2015101300,2023
105,2020_Summer_Olympics,2015101400,1843
106,2020_Summer_Olympics,2015101500,2036
107,2020_Summer_Olympics,2015101600,1911
108,2020_Summer_Olympics,2015101700,1962
109,2020_Summer_Olympics,2015101800,2008
110,2020_Summer_Olympics,2015101900,1909
111,2020_Summer_Olympics,2015102000,1762
112,2020_Summer_Olympics,2015102100,1786
113,2020_Summer_Olympics,2015102200,1790
114,2020_Summer_Olympics,2015102300,1879
115,2020_Summer_Olympics,2015102400,2019
116,2020_Summer_Olympics,2015102500,2636
117,2020_Summer_Olympics,2015102600,2074
118,2020_Summer_Olympics,2015102700,2089
119,2020_Summer_Olympics,2015102800,1921
120,2020_Summer_Olympics,2015102900,1792
121,2020_Summer_Olympics,2015103000,1854
122,2020_Summer_Olympics,2015103100,2000
123,2020_Summer_Olympics,2015110100,2197
124,2020_Summer_Olympics,2015110200,1942
125,2020_Summer_Olympics,2015110300,2206
126,2020_Summer_Olympics,2015110400,2053
127,2020_Summer_Olympics,2015110500,2032
128,2020_Summer_Olympics,2015110600,1961
129,2020_Summer_Olympics,2015110700,2011
130,2020_Summer_Olympics,2015110800,3330
131,2020_Summer_Olympics,2015110900,3338
132,2020_Summer_Olympics,2015111000,3001
133,2020_Summer_Olympics,2015111100,2344
134,2020_Summer_Olympics,2015111200,2126
135,2020_Summer_Olympics,2015111300,2116
136,2020_Summer_Olympics,2015111400,2049
137,2020_Summer_Olympics,2015111500,2067
138,2020_Summer_Olympics,2015111600,2093
139,2020_Summer_Olympics,2015111700,1851
140,2020_Summer_Olympics,2015111800,1698
141,2020_Summer_Olympics,2015111900,1803
142,2020_Summer_Olympics,2015112000,1689
143,2020_Summer_Olympics,2015112100,1642
144,2020_Summer_Olympics,2015112200,1863
145,2020_Summer_Olympics,2015112300,1726
146,2020_Summer_Olympics,2015112400,1668
147,2020_Summer_Olympics,2015112500,1558
148,2020_Summer_Olympics,2015112600,1851
149,2020_Summer_Olympics,2015112700,2014
150,2020_Summer_Olympics,2015112800,1695
151,2020_Summer_Olympics,2015112900,2594
