,article,timestamp,views
0,Adele,2015070100,4949
1,Adele,2015070200,5002
2,Adele,2015070300,5070
3,Adele,2015070400,5431
4,Adele,2015070500,6430
5,Adele,2015070600,7505
6,Adele,2015070700,7148
7,Adele,2015070800,5589
8,Adele,2015070900,6004
9,Adele,2015071000,5893
10,Adele,2015071100,5999
11,Adele,2015071200,5892
12,Adele,2015071300,5694
13,Adele,2015071400,5324
14,Adele,2015071500,5267
15,Adele,2015071600,5134
16,Adele,2015071700,5651
17,Adele,2015071800,5798
18,Adele,2015071900,5692
19,Adele,2015072000,5821
20,Adele,2015072100,6144
21,Adele,2015072200,6162
22,Adele,2015072300,5606
23,Adele,2015072400,5829
24,Adele,2015072500,6441
25,Adele,2015072600,7045
26,Adele,2015072700,6407
27,Adele,2015072800,5977
28,Adele,2015072900,5707
29,Adele,2015073000,5093
30,Adele,2015073100,5535
31,Adele,2015080100,5571
32,Adele,2015080200,6443
33,Adele,2015080300,5004
34,Adele,2015080400,5763
35,Adele,2015080500,5707
36,Adele,2015080600,5776
37,Adele,2015080700,5974
38,Adele,2015080800,5577
39,Adele,2015080900,6106
40,Adele,2015081000,5461
41,Adele,2015081100,5438
42,Adele,2015081200,5612
43,Adele,2015081300,5430
44,Adele,2015081400,5694
45,Adele,2015081500,6050
46,Adele,2015081600,6115
47,Adele,2015081700,6263
48,Adele,2015081800,7053
49,Adele,2015081900,6168
50,Adele,2015082000,6103
51,Adele,2015082100,5999
52,Adele,2015082200,6008
53,Adele,2015082300,6280
54,Adele,2015082400,5719
55,Adele,2015082500,5892
56,Adele,2015082600,5758
57,Adele,2015082700,6383
58,Adele,2015082800,11286
59,Adele,2015082900,8246
60,Adele,2015083000,8849
61,Adele,2015083100,7462
62,Adele,2015090100,6578
63,Adele,2015090200,6930
64,Adele,2015090300,7041
65,Adele,2015090400,6550
66,Adele,2015090500,6390
67,Adele,2015090600,6599
68,Adele,2015090700,6543
69,Adele,2015090800,7760
70,Adele,2015090900,6791
71,Adele,2015091000,6231
72,Adele,2015091100,7055
73,Adele,2015091200,6562
74,Adele,2015091300,6586
75,Adele,2015091400,6495
76,Adele,2015091500,6153
77,Adele,2015091600,5794
78,Adele,2015091700,5783
79,Adele,2015091800,5481
80,Adele,2015091900,5909
81,Adele,2015092000,6574
82,Adele,2015092100,6102
83,Adele,2015092200,5966
84,Adele,2015092300,6977
85,Adele,2015092400,9385
86,Adele,2015092500,10481
87,Adele,2015092600,9039
88,Adele,2015092700,8277
89,Adele,2015092800,8382
90,Adele,2015092900,6649
91,Adele,2015093000,6886
92,Adele,2015100100,6460
93,Adele,2015100200,6475
94,Adele,2015100300,6487
95,Adele,2015100400,7449
96,Adele,2015100500,6791
97,Adele,2015100600,6930
98,Adele,2015100700,6579
99,Adele,2015100800,6362
100,Adele,2015100900,6207
101,Adele,2015101000,6850
102,Adele,2015101100,6827
103,Adele,2015101200,6307
104,Adele,2015101300,6016
105,Adele,2015101400,6378
106,Adele,2015101500,6392
107,Adele,2015101600,7074
108,Adele,2015101700,6796
109,Adele,2015101800,18626
110,Adele,2015101900,32013
111,Adele,2015102000,15266
112,Adele,2015102100,34070
113,Adele,2015102200,45800
114,Adele,2015102300,242493
115,Adele,2015102400,211489
116,Adele,2015102500,151501
117,Adele,2015102600,127840
118,Adele,2015102700,129661
119,Adele,2015102800,110663
120,Adele,2015102900,89851
121,Adele,2015103000,84492
122,Adele,2015103100,69943
123,Adele,2015110100,59513
124,Adele,2015110200,59175
125,Adele,2015110300,80599
126,Adele,2015110400,74994
127,Adele,2015110500,69345
128,Adele,2015110600,73358
129,Adele,2015110700,77121
130,Adele,2015110800,70135
131,Adele,2015110900,60102
132,Adele,2015111000,55651
133,Adele,2015111100,51175
134,Adele,2015111200,51327
135,Adele,2015111300,48215
136,Adele,2015111400,44060
137,Adele,2015111500,48215
138,Adele,2015111600,47661
139,Adele,2015111700,67826
140,Adele,2015111800,79058
141,Adele,2015111900,94032
142,Adele,2015112000,350433
143,Adele,2015112100,247821
144,Adele,2015112200,295804
145,Adele,2015112300,194371
146,Adele,2015112400,182767
147,Adele,2015112500,223086
148,Adele,2015112600,220437
149,Adele,2015112700,152670
150,Adele,2015112800,153198
151,Adele,2015112900,135700
152,Adele,2015113000,116875
153,Adele,2015120100,95796
154,Adele,2015120200,88046
155,Adele,2015120300,68612
156,Adele,2015120400,67047
157,Adele,2015120500,67330
158,Adele,2015120600,69352
159,Adele,2015120700,60808
160,Adele,2015120800,52940
161,Adele,2015120900,63738
162,Adele,2015121000,55901
163,Adele,2015121100,56964
164,Adele,2015121200,58666
165,Adele,2015121300,149502
166,Adele,2015121400,78463
167,Adele,2015121500,344045
168,Adele,2015121600,97089
169,Adele,2015121700,78360
170,Adele,2015121800,66867
171,Adele,2015121900,64331
172,Adele,2015122000,56995
173,Adele,2015122100,56489
174,Adele,2015122200,59555
175,Adele,2015122300,48780
176,Adele,2015122400,142897
177,Adele,2015122500,54634
178,Adele,2015122600,52301
179,Adele,2015122700,63780
180,Adele,2015122800,46816
181,Adele,2015122900,42135
182,Adele,2015123000,39914
183,Adele,2015123100,40513
184,Adele,2016010100,49637
185,Adele,2016010200,71811
186,Adele,2016010300,40563
187,Adele,2016010400,33417
188,Adele,2016010500,31767
189,Adele,2016010600,30488
190,Adele,2016010700,32189
191,Adele,2016010800,37012
192,Adele,2016010900,31319
193,Adele,2016011000,28925
194,Adele,2016011100,24945
195,Adele,2016011200,26529
196,Adele,2016011300,27510
197,Adele,2016011400,112096
198,Adele,2016011500,122291
199,Adele,2016011600,82057
200,Adele,2016011700,65798
201,Adele,2016011800,51278
202,Adele,2016011900,41867
203,Adele,2016012000,38447
204,Adele,2016012100,36271
205,Adele,2016012200,37589
206,Adele,2016012300,38178
207,Adele,2016012400,38179
208,Adele,2016012500,30680
209,Adele,2016012600,28676
210,Adele,2016012700,27717
211,Adele,2016012800,27374
212,Adele,2016012900,28077
213,Adele,2016013000,28920
214,Adele,2016013100,28760
215,Adele,2016020100,27619
216,Adele,2016020200,29059
217,Adele,2016020300,25650
218,Adele,2016020400,26224
219,Adele,2016020500,28374
220,Adele,2016020600,27989
221,Adele,2016020700,26054
222,Adele,2016020800,39106
223,Adele,2016020900,26936
224,Adele,2016021000,25532
225,Adele,2016021100,24949
226,Adele,2016021200,25256
227,Adele,2016021300,29117
228,Adele,2016021400,29039
229,Adele,2016021500,47259
230,Adele,2016021600,100838
231,Adele,2016021700,39683
232,Adele,2016021800,61595
233,Adele,2016021900,66462
234,Adele,2016022000,46080
235,Adele,2016022100,39984
236,Adele,2016022200,30707
237,Adele,2016022300,26322
238,Adele,2016022400,92858
239,Adele,2016022500,78978
240,Adele,2016022600,50363
241,Adele,2016022700,37865
242,Adele,2016022800,34155
243,Adele,2016022900,28361
244,Adele,2016030100,29322
245,Adele,2016030200,28051
246,Adele,2016030300,25600
247,Adele,2016030400,23059
248,Adele,2016030500,25241
