,article,timestamp,views
0,American_Pie_(song),2015070100,2062
1,American_Pie_(song),2015070200,2127
2,American_Pie_(song),2015070300,2582
3,American_Pie_(song),2015070400,4000
4,American_Pie_(song),2015070500,4208
5,American_Pie_(song),2015070600,2187
6,American_Pie_(song),2015070700,2007
7,American_Pie_(song),2015070800,2052
8,American_Pie_(song),2015070900,2288
9,American_Pie_(song),2015071000,2375
10,American_Pie_(song),2015071100,2588
11,American_Pie_(song),2015071200,2867
12,American_Pie_(song),2015071300,2364
13,American_Pie_(song),2015071400,2041
14,American_Pie_(song),2015071500,2009
15,American_Pie_(song),2015071600,1998
16,American_Pie_(song),2015071700,2200
17,American_Pie_(song),2015071800,2750
18,American_Pie_(song),2015071900,2911
19,American_Pie_(song),2015072000,2170
20,American_Pie_(song),2015072100,2166
21,American_Pie_(song),2015072200,1991
22,American_Pie_(song),2015072300,2239
23,American_Pie_(song),2015072400,2469
24,American_Pie_(song),2015072500,2682
25,American_Pie_(song),2015072600,2987
26,American_Pie_(song),2015072700,2166
27,American_Pie_(song),2015072800,2041
28,American_Pie_(song),2015072900,2122
29,American_Pie_(song),2015073000,2288
30,American_Pie_(song),2015073100,2420
31,American_Pie_(song),2015080100,3079
32,American_Pie_(song),2015080200,2787
33,American_Pie_(song),2015080300,1913
34,American_Pie_(song),2015080400,2029
35,American_Pie_(song),2015080500,2098
36,American_Pie_(song),2015080600,2057
37,American_Pie_(song),2015080700,2222
38,American_Pie_(song),2015080800,2512
39,American_Pie_(song),2015080900,2548
40,American_Pie_(song),2015081000,1975
41,American_Pie_(song),2015081100,1825
42,American_Pie_(song),2015081200,1955
43,American_Pie_(song),2015081300,2116
44,American_Pie_(song),2015081400,2583
45,American_Pie_(song),2015081500,2827
46,American_Pie_(song),2015081600,2789
47,American_Pie_(song),2015081700,2109
48,American_Pie_(song),2015081800,2007
49,American_Pie_(song),2015081900,1894
50,American_Pie_(song),2015082000,1870
51,American_Pie_(song),2015082100,2188
52,American_Pie_(song),2015082200,2390
53,American_Pie_(song),2015082300,3103
54,American_Pie_(song),2015082400,2026
55,American_Pie_(song),2015082500,1887
56,American_Pie_(song),2015082600,2240
57,American_Pie_(song),2015082700,1968
58,American_Pie_(song),2015082800,2225
59,American_Pie_(song),2015082900,2458
60,American_Pie_(song),2015083000,2562
61,American_Pie_(song),2015083100,2002
62,American_Pie_(song),2015090100,1749
63,American_Pie_(song),2015090200,1950
64,American_Pie_(song),2015090300,2020
65,American_Pie_(song),2015090400,2065
66,American_Pie_(song),2015090500,2530
67,American_Pie_(song),2015090600,2560
68,American_Pie_(song),2015090700,2762
69,American_Pie_(song),2015090800,1968
70,American_Pie_(song),2015090900,1730
71,American_Pie_(song),2015091000,1779
72,American_Pie_(song),2015091100,2117
73,American_Pie_(song),2015091200,2438
74,American_Pie_(song),2015091300,2318
75,American_Pie_(song),2015091400,1858
76,American_Pie_(song),2015091500,1921
77,American_Pie_(song),2015091600,1887
78,American_Pie_(song),2015091700,1797
79,American_Pie_(song),2015091800,1941
80,American_Pie_(song),2015091900,2058
81,American_Pie_(song),2015092000,2102
82,American_Pie_(song),2015092100,1922
83,American_Pie_(song),2015092200,1699
84,American_Pie_(song),2015092300,1787
85,American_Pie_(song),2015092400,1838
86,American_Pie_(song),2015092500,1885
87,American_Pie_(song),2015092600,2311
88,American_Pie_(song),2015092700,2285
89,American_Pie_(song),2015092800,1753
90,American_Pie_(song),2015092900,1778
91,American_Pie_(song),2015093000,1865
92,American_Pie_(song),2015100100,2366
93,American_Pie_(song),2015100200,2532
94,American_Pie_(song),2015100300,2619
95,American_Pie_(song),2015100400,2175
96,American_Pie_(song),2015100500,1795
97,American_Pie_(song),2015100600,2166
98,American_Pie_(song),2015100700,2050
99,American_Pie_(song),2015100800,1886
100,American_Pie_(song),2015100900,1982
101,American_Pie_(song),2015101000,2120
102,American_Pie_(song),2015101100,2166
103,American_Pie_(song),2015101200,1871
104,American_Pie_(song),2015101300,1930
105,American_Pie_(song),2015101400,1767
106,American_Pie_(song),2015101500,1994
107,American_Pie_(song),2015101600,2098
108,American_Pie_(song),2015101700,2113
109,American_Pie_(song),2015101800,1967
110,American_Pie_(song),2015101900,1806
111,American_Pie_(song),2015102000,1951
112,American_Pie_(song),2015102100,1926
113,American_Pie_(song),2015102200,2073
114,American_Pie_(song),2015102300,2132
115,American_Pie_(song),2015102400,2240
116,American_Pie_(song),2015102500,2185
117,American_Pie_(song),2015102600,1852
118,American_Pie_(song),2015102700,2150
119,American_Pie_(song),2015102800,1952
120,American_Pie_(song),2015102900,1945
121,American_Pie_(song),2015103000,1908
122,American_Pie_(song),2015103100,1986
123,American_Pie_(song),2015110100,1886
