,article,timestamp,views
0,Amsterdam,2015070100,6612
1,Amsterdam,2015070200,6605
2,Amsterdam,2015070300,6099
3,Amsterdam,2015070400,6260
4,Amsterdam,2015070500,6800
5,Amsterdam,2015070600,9719
6,Amsterdam,2015070700,7273
7,Amsterdam,2015070800,7159
8,Amsterdam,2015070900,7021
9,Amsterdam,2015071000,6942
10,Amsterdam,2015071100,6158
11,Amsterdam,2015071200,6606
12,Amsterdam,2015071300,7149
13,Amsterdam,2015071400,6933
14,Amsterdam,2015071500,6827
15,Amsterdam,2015071600,6669
16,Amsterdam,2015071700,6614
17,Amsterdam,2015071800,8193
18,Amsterdam,2015071900,6377
19,Amsterdam,2015072000,7207
20,Amsterdam,2015072100,7097
21,Amsterdam,2015072200,7244
22,Amsterdam,2015072300,6715
23,Amsterdam,2015072400,6767
24,Amsterdam,2015072500,6390
25,Amsterdam,2015072600,6835
26,Amsterdam,2015072700,7968
27,Amsterdam,2015072800,7261
28,Amsterdam,2015072900,7115
29,Amsterdam,2015073000,7057
30,Amsterdam,2015073100,6473
31,Amsterdam,2015080100,5367
32,Amsterdam,2015080200,5930
33,Amsterdam,2015080300,5700
34,Amsterdam,2015080400,6424
35,Amsterdam,2015080500,7035
36,Amsterdam,2015080600,5995
37,Amsterdam,2015080700,5730
38,Amsterdam,2015080800,5429
39,Amsterdam,2015080900,5928
40,Amsterdam,2015081000,5909
41,Amsterdam,2015081100,6105
42,Amsterdam,2015081200,6564
43,Amsterdam,2015081300,5778
44,Amsterdam,2015081400,5755
45,Amsterdam,2015081500,5651
46,Amsterdam,2015081600,5984
47,Amsterdam,2015081700,6209
48,Amsterdam,2015081800,6567
49,Amsterdam,2015081900,6372
50,Amsterdam,2015082000,6226
51,Amsterdam,2015082100,6214
52,Amsterdam,2015082200,6160
53,Amsterdam,2015082300,6412
54,Amsterdam,2015082400,6712
55,Amsterdam,2015082500,6650
56,Amsterdam,2015082600,5953
57,Amsterdam,2015082700,6263
58,Amsterdam,2015082800,5745
59,Amsterdam,2015082900,5266
60,Amsterdam,2015083000,5650
61,Amsterdam,2015083100,5927
62,Amsterdam,2015090100,6244
63,Amsterdam,2015090200,6604
64,Amsterdam,2015090300,6354
65,Amsterdam,2015090400,6051
66,Amsterdam,2015090500,5464
67,Amsterdam,2015090600,6151
68,Amsterdam,2015090700,6352
69,Amsterdam,2015090800,6484
70,Amsterdam,2015090900,6098
71,Amsterdam,2015091000,6089
72,Amsterdam,2015091100,5668
73,Amsterdam,2015091200,5361
74,Amsterdam,2015091300,6012
75,Amsterdam,2015091400,6240
76,Amsterdam,2015091500,6999
77,Amsterdam,2015091600,5874
78,Amsterdam,2015091700,5932
79,Amsterdam,2015091800,5691
80,Amsterdam,2015091900,5185
81,Amsterdam,2015092000,5640
82,Amsterdam,2015092100,6032
83,Amsterdam,2015092200,6017
84,Amsterdam,2015092300,6594
85,Amsterdam,2015092400,5887
86,Amsterdam,2015092500,5378
87,Amsterdam,2015092600,5356
88,Amsterdam,2015092700,5528
89,Amsterdam,2015092800,6017
90,Amsterdam,2015092900,5853
91,Amsterdam,2015093000,5755
92,Amsterdam,2015100100,5337
93,Amsterdam,2015100200,5267
94,Amsterdam,2015100300,4904
95,Amsterdam,2015100400,5436
96,Amsterdam,2015100500,6255
97,Amsterdam,2015100600,5911
98,Amsterdam,2015100700,6131
99,Amsterdam,2015100800,5749
100,Amsterdam,2015100900,5672
101,Amsterdam,2015101000,5132
102,Amsterdam,2015101100,6135
103,Amsterdam,2015101200,6321
104,Amsterdam,2015101300,6420
105,Amsterdam,2015101400,7275
106,Amsterdam,2015101500,6583
107,Amsterdam,2015101600,5698
108,Amsterdam,2015101700,5366
109,Amsterdam,2015101800,6130
110,Amsterdam,2015101900,6181
111,Amsterdam,2015102000,6038
112,Amsterdam,2015102100,5947
113,Amsterdam,2015102200,5789
114,Amsterdam,2015102300,5673
115,Amsterdam,2015102400,5211
116,Amsterdam,2015102500,5869
117,Amsterdam,2015102600,6338
118,Amsterdam,2015102700,6555
119,Amsterdam,2015102800,6073
120,Amsterdam,2015102900,5711
121,Amsterdam,2015103000,5269
122,Amsterdam,2015103100,5434
123,Amsterdam,2015110100,5233
124,Amsterdam,2015110200,6110
125,Amsterdam,2015110300,6105
126,Amsterdam,2015110400,5939
127,Amsterdam,2015110500,5729
128,Amsterdam,2015110600,5420
129,Amsterdam,2015110700,7658
130,Amsterdam,2015110800,6429
131,Amsterdam,2015110900,6859
132,Amsterdam,2015111000,6288
133,Amsterdam,2015111100,6163
134,Amsterdam,2015111200,6232
135,Amsterdam,2015111300,6206
136,Amsterdam,2015111400,6731
137,Amsterdam,2015111500,6179
138,Amsterdam,2015111600,7122
139,Amsterdam,2015111700,6499
140,Amsterdam,2015111800,6197
141,Amsterdam,2015111900,5966
142,Amsterdam,2015112000,5453
143,Amsterdam,2015112100,5462
144,Amsterdam,2015112200,6334
145,Amsterdam,2015112300,6266
146,Amsterdam,2015112400,5813
147,Amsterdam,2015112500,5461
148,Amsterdam,2015112600,5246
149,Amsterdam,2015112700,5041
150,Amsterdam,2015112800,5055
151,Amsterdam,2015112900,5257
152,Amsterdam,2015113000,5896
153,Amsterdam,2015120100,5495
154,Amsterdam,2015120200,5265
155,Amsterdam,2015120300,5242
156,Amsterdam,2015120400,5030
157,Amsterdam,2015120500,4879
158,Amsterdam,2015120600,5167
159,Amsterdam,2015120700,5860
160,Amsterdam,2015120800,5548
161,Amsterdam,2015120900,5464
162,Amsterdam,2015121000,5429
163,Amsterdam,2015121100,5074
164,Amsterdam,2015121200,4589
165,Amsterdam,2015121300,5021
166,Amsterdam,2015121400,5527
167,Amsterdam,2015121500,5322
168,Amsterdam,2015121600,5082
169,Amsterdam,2015121700,5057
170,Amsterdam,2015121800,4530
171,Amsterdam,2015121900,4295
172,Amsterdam,2015122000,5073
173,Amsterdam,2015122100,5179
174,Amsterdam,2015122200,5235
175,Amsterdam,2015122300,4730
176,Amsterdam,2015122400,4564
177,Amsterdam,2015122500,4308
178,Amsterdam,2015122600,4781
179,Amsterdam,2015122700,5332
180,Amsterdam,2015122800,5748
181,Amsterdam,2015122900,5642
182,Amsterdam,2015123000,5618
183,Amsterdam,2015123100,5173
184,Amsterdam,2016010100,4966
185,Amsterdam,2016010200,5638
186,Amsterdam,2016010300,5827
187,Amsterdam,2016010400,6192
188,Amsterdam,2016010500,6742
189,Amsterdam,2016010600,8109
190,Amsterdam,2016010700,6076
191,Amsterdam,2016010800,5615
192,Amsterdam,2016010900,5667
193,Amsterdam,2016011000,5986
194,Amsterdam,2016011100,6196
195,Amsterdam,2016011200,6241
196,Amsterdam,2016011300,5993
197,Amsterdam,2016011400,5880
198,Amsterdam,2016011500,6169
199,Amsterdam,2016011600,5177
200,Amsterdam,2016011700,5958
201,Amsterdam,2016011800,6147
202,Amsterdam,2016011900,6183
203,Amsterdam,2016012000,6024
204,Amsterdam,2016012100,6452
205,Amsterdam,2016012200,6284
206,Amsterdam,2016012300,5670
207,Amsterdam,2016012400,6225
208,Amsterdam,2016012500,6476
209,Amsterdam,2016012600,5974
210,Amsterdam,2016012700,6071
211,Amsterdam,2016012800,6141
212,Amsterdam,2016012900,5807
213,Amsterdam,2016013000,5278
214,Amsterdam,2016013100,5908
215,Amsterdam,2016020100,6145
216,Amsterdam,2016020200,5710
217,Amsterdam,2016020300,6098
218,Amsterdam,2016020400,6228
219,Amsterdam,2016020500,5398
220,Amsterdam,2016020600,5274
221,Amsterdam,2016020700,5823
222,Amsterdam,2016020800,5611
223,Amsterdam,2016020900,5930
224,Amsterdam,2016021000,5922
225,Amsterdam,2016021100,5806
226,Amsterdam,2016021200,6188
227,Amsterdam,2016021300,5492
228,Amsterdam,2016021400,5453
229,Amsterdam,2016021500,6050
230,Amsterdam,2016021600,6232
231,Amsterdam,2016021700,5852
232,Amsterdam,2016021800,5973
233,Amsterdam,2016021900,5760
234,Amsterdam,2016022000,5246
235,Amsterdam,2016022100,5839
236,Amsterdam,2016022200,6257
237,Amsterdam,2016022300,6220
238,Amsterdam,2016022400,6619
239,Amsterdam,2016022500,5925
240,Amsterdam,2016022600,5325
241,Amsterdam,2016022700,5191
242,Amsterdam,2016022800,5578
243,Amsterdam,2016022900,5786
244,Amsterdam,2016030100,6061
245,Amsterdam,2016030200,5861
246,Amsterdam,2016030300,5485
247,Amsterdam,2016030400,5486
248,Amsterdam,2016030500,5311
249,Amsterdam,2016030600,5796
250,Amsterdam,2016030700,5934
251,Amsterdam,2016030800,5890
252,Amsterdam,2016030900,5870
253,Amsterdam,2016031000,9353
254,Amsterdam,2016031100,5741
255,Amsterdam,2016031200,5376
256,Amsterdam,2016031300,5849
257,Amsterdam,2016031400,6206
258,Amsterdam,2016031500,6151
259,Amsterdam,2016031600,6045
260,Amsterdam,2016031700,5789
261,Amsterdam,2016031800,5311
262,Amsterdam,2016031900,4946
263,Amsterdam,2016032000,5752
264,Amsterdam,2016032100,6184
265,Amsterdam,2016032200,10250
266,Amsterdam,2016032300,7352
267,Amsterdam,2016032400,7051
268,Amsterdam,2016032500,7028
269,Amsterdam,2016032600,5939
270,Amsterdam,2016032700,5874
271,Amsterdam,2016032800,6151
272,Amsterdam,2016032900,6569
273,Amsterdam,2016033000,6001
274,Amsterdam,2016033100,5979
275,Amsterdam,2016040100,5617
276,Amsterdam,2016040200,5197
277,Amsterdam,2016040300,5518
278,Amsterdam,2016040400,5787
279,Amsterdam,2016040500,5707
280,Amsterdam,2016040600,5885
281,Amsterdam,2016040700,5945
282,Amsterdam,2016040800,5516
283,Amsterdam,2016040900,4924
284,Amsterdam,2016041000,6050
285,Amsterdam,2016041100,5888
286,Amsterdam,2016041200,5907
287,Amsterdam,2016041300,6509
288,Amsterdam,2016041400,5643
289,Amsterdam,2016041500,5178
290,Amsterdam,2016041600,4873
291,Amsterdam,2016041700,5185
292,Amsterdam,2016041800,5614
293,Amsterdam,2016041900,5751
294,Amsterdam,2016042000,5749
295,Amsterdam,2016042100,5279
296,Amsterdam,2016042200,5374
297,Amsterdam,2016042300,4978
298,Amsterdam,2016042400,5399
299,Amsterdam,2016042500,5860
300,Amsterdam,2016042600,5649
301,Amsterdam,2016042700,5577
302,Amsterdam,2016042800,5596
303,Amsterdam,2016042900,10119
304,Amsterdam,2016043000,7210
305,Amsterdam,2016050100,5741
306,Amsterdam,2016050200,5995
307,Amsterdam,2016050300,5973
308,Amsterdam,2016050400,5433
309,Amsterdam,2016050500,5454
310,Amsterdam,2016050600,5205
311,Amsterdam,2016050700,4834
312,Amsterdam,2016050800,5194
313,Amsterdam,2016050900,7233
314,Amsterdam,2016051000,5920
315,Amsterdam,2016051100,5943
316,Amsterdam,2016051200,5679
317,Amsterdam,2016051300,5540
318,Amsterdam,2016051400,5167
319,Amsterdam,2016051500,5914
320,Amsterdam,2016051600,6399
321,Amsterdam,2016051700,6508
322,Amsterdam,2016051800,6239
323,Amsterdam,2016051900,5936
324,Amsterdam,2016052000,5513
325,Amsterdam,2016052100,5278
326,Amsterdam,2016052200,6117
327,Amsterdam,2016052300,6406
328,Amsterdam,2016052400,5869
329,Amsterdam,2016052500,5833
330,Amsterdam,2016052600,6588
331,Amsterdam,2016052700,5719
332,Amsterdam,2016052800,5666
333,Amsterdam,2016052900,5737
334,Amsterdam,2016053000,6034
335,Amsterdam,2016053100,5924
336,Amsterdam,2016060100,6118
337,Amsterdam,2016060200,5549
338,Amsterdam,2016060300,5344
339,Amsterdam,2016060400,4997
