,article,timestamp,views
0,Animal,2015070100,4909
1,Animal,2015070200,4811
2,Animal,2015070300,4828
3,Animal,2015070400,4137
4,Animal,2015070500,4546
5,Animal,2015070600,4679
6,Animal,2015070700,5317
7,Animal,2015070800,5064
8,Animal,2015070900,5355
9,Animal,2015071000,4971
10,Animal,2015071100,4136
11,Animal,2015071200,4638
12,Animal,2015071300,4806
13,Animal,2015071400,5136
14,Animal,2015071500,4765
15,Animal,2015071600,4746
16,Animal,2015071700,4305
17,Animal,2015071800,4236
18,Animal,2015071900,4450
19,Animal,2015072000,5068
20,Animal,2015072100,4893
21,Animal,2015072200,4952
22,Animal,2015072300,4861
23,Animal,2015072400,4751
24,Animal,2015072500,4339
25,Animal,2015072600,4895
26,Animal,2015072700,5446
27,Animal,2015072800,5351
28,Animal,2015072900,5883
29,Animal,2015073000,5162
30,Animal,2015073100,4748
31,Animal,2015080100,4180
32,Animal,2015080200,4856
33,Animal,2015080300,5063
34,Animal,2015080400,5179
35,Animal,2015080500,5185
36,Animal,2015080600,4661
37,Animal,2015080700,4370
38,Animal,2015080800,4140
39,Animal,2015080900,4737
40,Animal,2015081000,4750
41,Animal,2015081100,4901
42,Animal,2015081200,5094
43,Animal,2015081300,5137
44,Animal,2015081400,4989
45,Animal,2015081500,4470
46,Animal,2015081600,4909
47,Animal,2015081700,5435
48,Animal,2015081800,5238
49,Animal,2015081900,5355
50,Animal,2015082000,5275
51,Animal,2015082100,5503
52,Animal,2015082200,4562
53,Animal,2015082300,4904
54,Animal,2015082400,5653
55,Animal,2015082500,5500
56,Animal,2015082600,5628
57,Animal,2015082700,5505
58,Animal,2015082800,5077
59,Animal,2015082900,4259
60,Animal,2015083000,4671
61,Animal,2015083100,5562
62,Animal,2015090100,5956
63,Animal,2015090200,6066
64,Animal,2015090300,6798
65,Animal,2015090400,5283
66,Animal,2015090500,4144
67,Animal,2015090600,4677
68,Animal,2015090700,5552
69,Animal,2015090800,6090
70,Animal,2015090900,6585
71,Animal,2015091000,6684
72,Animal,2015091100,5740
73,Animal,2015091200,4795
74,Animal,2015091300,5122
75,Animal,2015091400,6395
76,Animal,2015091500,6742
77,Animal,2015091600,6520
78,Animal,2015091700,5858
79,Animal,2015091800,5322
80,Animal,2015091900,4802
81,Animal,2015092000,5427
82,Animal,2015092100,6751
83,Animal,2015092200,7091
84,Animal,2015092300,6034
85,Animal,2015092400,5613
86,Animal,2015092500,5237
87,Animal,2015092600,4047
88,Animal,2015092700,4785
89,Animal,2015092800,5942
90,Animal,2015092900,6524
91,Animal,2015093000,6208
92,Animal,2015100100,5639
93,Animal,2015100200,5213
94,Animal,2015100300,4200
95,Animal,2015100400,5040
96,Animal,2015100500,5865
97,Animal,2015100600,6278
98,Animal,2015100700,6266
99,Animal,2015100800,6044
100,Animal,2015100900,5372
101,Animal,2015101000,4485
102,Animal,2015101100,5270
103,Animal,2015101200,6053
104,Animal,2015101300,6482
