,article,timestamp,views
0,Ashoka,2015070100,12774
1,Ashoka,2015070200,13990
2,Ashoka,2015070300,10583
3,Ashoka,2015070400,11247
4,Ashoka,2015070500,9361
5,Ashoka,2015070600,10900
6,Ashoka,2015070700,10101
7,Ashoka,2015070800,9973
8,Ashoka,2015070900,14706
9,Ashoka,2015071000,12461
10,Ashoka,2015071100,8090
11,Ashoka,2015071200,6616
12,Ashoka,2015071300,9920
13,Ashoka,2015071400,9639
14,Ashoka,2015071500,11287
15,Ashoka,2015071600,12862
16,Ashoka,2015071700,14332
17,Ashoka,2015071800,9060
18,Ashoka,2015071900,6906
19,Ashoka,2015072000,16310
20,Ashoka,2015072100,13416
21,Ashoka,2015072200,11313
22,Ashoka,2015072300,11954
23,Ashoka,2015072400,15604
24,Ashoka,2015072500,10333
25,Ashoka,2015072600,7701
26,Ashoka,2015072700,9763
27,Ashoka,2015072800,10490
28,Ashoka,2015072900,10453
29,Ashoka,2015073000,9320
30,Ashoka,2015073100,9331
31,Ashoka,2015080100,6736
32,Ashoka,2015080200,6110
33,Ashoka,2015080300,7287
34,Ashoka,2015080400,8111
35,Ashoka,2015080500,10594
36,Ashoka,2015080600,12946
37,Ashoka,2015080700,12224
38,Ashoka,2015080800,9208
39,Ashoka,2015080900,7525
40,Ashoka,2015081000,10889
41,Ashoka,2015081100,14461
42,Ashoka,2015081200,13020
43,Ashoka,2015081300,15250
44,Ashoka,2015081400,13412
45,Ashoka,2015081500,8671
46,Ashoka,2015081600,7239
47,Ashoka,2015081700,8554
48,Ashoka,2015081800,8723
49,Ashoka,2015081900,8203
50,Ashoka,2015082000,8143
51,Ashoka,2015082100,7906
52,Ashoka,2015082200,6296
53,Ashoka,2015082300,7238
54,Ashoka,2015082400,7258
55,Ashoka,2015082500,8701
56,Ashoka,2015082600,8797
57,Ashoka,2015082700,8391
58,Ashoka,2015082800,7686
59,Ashoka,2015082900,5322
60,Ashoka,2015083000,5835
61,Ashoka,2015083100,7139
62,Ashoka,2015090100,9831
63,Ashoka,2015090200,9990
64,Ashoka,2015090300,9629
65,Ashoka,2015090400,10129
66,Ashoka,2015090500,8007
67,Ashoka,2015090600,6721
68,Ashoka,2015090700,8133
69,Ashoka,2015090800,9595
70,Ashoka,2015090900,10813
71,Ashoka,2015091000,11287
72,Ashoka,2015091100,14165
73,Ashoka,2015091200,10067
74,Ashoka,2015091300,8208
75,Ashoka,2015091400,9778
76,Ashoka,2015091500,9735
77,Ashoka,2015091600,16146
78,Ashoka,2015091700,12926
79,Ashoka,2015091800,10122
80,Ashoka,2015091900,7013
81,Ashoka,2015092000,6877
82,Ashoka,2015092100,9028
83,Ashoka,2015092200,10710
84,Ashoka,2015092300,10503
85,Ashoka,2015092400,11194
86,Ashoka,2015092500,12615
87,Ashoka,2015092600,8754
88,Ashoka,2015092700,7077
89,Ashoka,2015092800,14309
90,Ashoka,2015092900,16511
91,Ashoka,2015093000,16248
92,Ashoka,2015100100,15886
93,Ashoka,2015100200,16232
94,Ashoka,2015100300,9971
95,Ashoka,2015100400,14813
96,Ashoka,2015100500,12262
97,Ashoka,2015100600,11793
98,Ashoka,2015100700,12822
99,Ashoka,2015100800,12755
100,Ashoka,2015100900,10667
101,Ashoka,2015101000,7609
102,Ashoka,2015101100,6773
103,Ashoka,2015101200,8310
104,Ashoka,2015101300,8979
105,Ashoka,2015101400,8219
106,Ashoka,2015101500,8723
107,Ashoka,2015101600,8590
108,Ashoka,2015101700,6857
109,Ashoka,2015101800,6514
110,Ashoka,2015101900,8327
111,Ashoka,2015102000,9123
112,Ashoka,2015102100,8387
113,Ashoka,2015102200,8741
114,Ashoka,2015102300,10001
115,Ashoka,2015102400,7875
116,Ashoka,2015102500,7365
117,Ashoka,2015102600,8094
118,Ashoka,2015102700,8337
119,Ashoka,2015102800,7390
120,Ashoka,2015102900,6953
121,Ashoka,2015103000,6653
122,Ashoka,2015103100,5539
123,Ashoka,2015110100,6260
124,Ashoka,2015110200,6571
125,Ashoka,2015110300,6971
126,Ashoka,2015110400,8883
127,Ashoka,2015110500,8087
128,Ashoka,2015110600,7945
129,Ashoka,2015110700,5864
130,Ashoka,2015110800,6259
131,Ashoka,2015110900,8724
132,Ashoka,2015111000,10717
133,Ashoka,2015111100,8692
134,Ashoka,2015111200,11464
135,Ashoka,2015111300,12615
136,Ashoka,2015111400,8510
137,Ashoka,2015111500,6961
138,Ashoka,2015111600,8569
139,Ashoka,2015111700,10331
140,Ashoka,2015111800,12330
141,Ashoka,2015111900,13648
142,Ashoka,2015112000,12018
143,Ashoka,2015112100,9705
144,Ashoka,2015112200,11223
145,Ashoka,2015112300,11653
146,Ashoka,2015112400,10918
147,Ashoka,2015112500,15398
148,Ashoka,2015112600,17489
149,Ashoka,2015112700,26516
150,Ashoka,2015112800,18374
151,Ashoka,2015112900,11423
152,Ashoka,2015113000,14263
153,Ashoka,2015120100,12703
154,Ashoka,2015120200,13476
155,Ashoka,2015120300,15116
156,Ashoka,2015120400,13941
157,Ashoka,2015120500,9618
158,Ashoka,2015120600,8700
159,Ashoka,2015120700,10741
160,Ashoka,2015120800,13155
161,Ashoka,2015120900,14821
162,Ashoka,2015121000,24395
163,Ashoka,2015121100,20714
164,Ashoka,2015121200,11660
165,Ashoka,2015121300,9061
166,Ashoka,2015121400,17805
167,Ashoka,2015121500,15276
168,Ashoka,2015121600,13487
169,Ashoka,2015121700,13191
170,Ashoka,2015121800,11061
171,Ashoka,2015121900,8900
172,Ashoka,2015122000,8183
173,Ashoka,2015122100,10164
174,Ashoka,2015122200,10480
175,Ashoka,2015122300,13460
176,Ashoka,2015122400,12535
177,Ashoka,2015122500,14025
178,Ashoka,2015122600,9793
179,Ashoka,2015122700,11990
180,Ashoka,2015122800,12642
181,Ashoka,2015122900,10576
182,Ashoka,2015123000,10370
183,Ashoka,2015123100,8204
184,Ashoka,2016010100,10953
185,Ashoka,2016010200,9380
186,Ashoka,2016010300,8600
187,Ashoka,2016010400,10953
188,Ashoka,2016010500,10695
189,Ashoka,2016010600,11937
190,Ashoka,2016010700,18320
191,Ashoka,2016010800,21956
192,Ashoka,2016010900,11520
193,Ashoka,2016011000,10985
194,Ashoka,2016011100,13532
195,Ashoka,2016011200,11316
196,Ashoka,2016011300,11140
197,Ashoka,2016011400,13308
198,Ashoka,2016011500,13284
199,Ashoka,2016011600,8722
200,Ashoka,2016011700,7832
201,Ashoka,2016011800,9677
202,Ashoka,2016011900,11246
203,Ashoka,2016012000,11033
204,Ashoka,2016012100,8839
205,Ashoka,2016012200,7448
206,Ashoka,2016012300,6097
207,Ashoka,2016012400,5952
208,Ashoka,2016012500,7660
209,Ashoka,2016012600,8154
210,Ashoka,2016012700,7997
211,Ashoka,2016012800,7385
212,Ashoka,2016012900,7047
213,Ashoka,2016013000,5675
214,Ashoka,2016013100,5506
215,Ashoka,2016020100,7779
216,Ashoka,2016020200,6617
217,Ashoka,2016020300,6647
218,Ashoka,2016020400,6922
219,Ashoka,2016020500,6637
220,Ashoka,2016020600,5742
