,article,timestamp,views
0,Assyria,2015070100,1885
1,Assyria,2015070200,1824
2,Assyria,2015070300,1753
3,Assyria,2015070400,1646
4,Assyria,2015070500,2095
5,Assyria,2015070600,1955
6,Assyria,2015070700,2162
7,Assyria,2015070800,2044
8,Assyria,2015070900,1908
9,Assyria,2015071000,1889
10,Assyria,2015071100,1700
11,Assyria,2015071200,1991
12,Assyria,2015071300,1980
13,Assyria,2015071400,2059
14,Assyria,2015071500,1997
15,Assyria,2015071600,1923
16,Assyria,2015071700,1844
17,Assyria,2015071800,2125
18,Assyria,2015071900,2151
19,Assyria,2015072000,2150
20,Assyria,2015072100,2324
21,Assyria,2015072200,2414
22,Assyria,2015072300,2172
23,Assyria,2015072400,1953
24,Assyria,2015072500,2511
25,Assyria,2015072600,2482
26,Assyria,2015072700,2308
27,Assyria,2015072800,2308
28,Assyria,2015072900,2051
29,Assyria,2015073000,2449
30,Assyria,2015073100,1768
31,Assyria,2015080100,2046
32,Assyria,2015080200,2147
33,Assyria,2015080300,1783
34,Assyria,2015080400,2198
35,Assyria,2015080500,2207
36,Assyria,2015080600,1934
37,Assyria,2015080700,2542
38,Assyria,2015080800,1855
39,Assyria,2015080900,2159
40,Assyria,2015081000,1880
41,Assyria,2015081100,2040
42,Assyria,2015081200,2083
43,Assyria,2015081300,2062
44,Assyria,2015081400,2262
45,Assyria,2015081500,1966
46,Assyria,2015081600,2114
47,Assyria,2015081700,2131
48,Assyria,2015081800,2199
49,Assyria,2015081900,2332
50,Assyria,2015082000,2195
51,Assyria,2015082100,2142
52,Assyria,2015082200,1891
53,Assyria,2015082300,2294
54,Assyria,2015082400,2486
55,Assyria,2015082500,2523
56,Assyria,2015082600,2586
57,Assyria,2015082700,2449
58,Assyria,2015082800,2371
59,Assyria,2015082900,1910
60,Assyria,2015083000,2487
61,Assyria,2015083100,2879
62,Assyria,2015090100,2800
63,Assyria,2015090200,3044
64,Assyria,2015090300,2996
65,Assyria,2015090400,2726
66,Assyria,2015090500,2382
67,Assyria,2015090600,2644
68,Assyria,2015090700,3302
69,Assyria,2015090800,3399
70,Assyria,2015090900,3776
71,Assyria,2015091000,3482
72,Assyria,2015091100,3154
73,Assyria,2015091200,2379
74,Assyria,2015091300,3062
75,Assyria,2015091400,3242
76,Assyria,2015091500,3261
77,Assyria,2015091600,3250
78,Assyria,2015091700,3219
79,Assyria,2015091800,2783
80,Assyria,2015091900,2282
81,Assyria,2015092000,2752
82,Assyria,2015092100,3392
83,Assyria,2015092200,3303
84,Assyria,2015092300,3263
85,Assyria,2015092400,3165
86,Assyria,2015092500,2709
87,Assyria,2015092600,2087
88,Assyria,2015092700,2600
89,Assyria,2015092800,3152
90,Assyria,2015092900,3137
91,Assyria,2015093000,3380
92,Assyria,2015100100,3055
93,Assyria,2015100200,2630
94,Assyria,2015100300,2249
95,Assyria,2015100400,2582
96,Assyria,2015100500,3243
97,Assyria,2015100600,3205
98,Assyria,2015100700,3155
99,Assyria,2015100800,3297
100,Assyria,2015100900,2768
101,Assyria,2015101000,2199
102,Assyria,2015101100,2749
103,Assyria,2015101200,3319
104,Assyria,2015101300,3270
105,Assyria,2015101400,3088
106,Assyria,2015101500,3241
107,Assyria,2015101600,2686
108,Assyria,2015101700,2210
109,Assyria,2015101800,2453
110,Assyria,2015101900,3091
111,Assyria,2015102000,3019
112,Assyria,2015102100,2908
113,Assyria,2015102200,2862
114,Assyria,2015102300,2469
115,Assyria,2015102400,1944
116,Assyria,2015102500,2413
117,Assyria,2015102600,2816
118,Assyria,2015102700,3161
119,Assyria,2015102800,3198
120,Assyria,2015102900,2996
121,Assyria,2015103000,3647
122,Assyria,2015103100,3030
123,Assyria,2015110100,3394
124,Assyria,2015110200,3894
125,Assyria,2015110300,5179
126,Assyria,2015110400,3865
127,Assyria,2015110500,3745
128,Assyria,2015110600,3224
129,Assyria,2015110700,2554
130,Assyria,2015110800,2846
131,Assyria,2015110900,3398
132,Assyria,2015111000,3374
133,Assyria,2015111100,2919
134,Assyria,2015111200,3262
135,Assyria,2015111300,2835
136,Assyria,2015111400,2914
137,Assyria,2015111500,3071
138,Assyria,2015111600,4017
139,Assyria,2015111700,4048
140,Assyria,2015111800,3728
141,Assyria,2015111900,3438
142,Assyria,2015112000,3284
143,Assyria,2015112100,2557
144,Assyria,2015112200,3208
145,Assyria,2015112300,3332
146,Assyria,2015112400,3209
147,Assyria,2015112500,2865
148,Assyria,2015112600,2588
149,Assyria,2015112700,2292
150,Assyria,2015112800,2375
151,Assyria,2015112900,2886
152,Assyria,2015113000,2931
153,Assyria,2015120100,3015
154,Assyria,2015120200,3139
155,Assyria,2015120300,3174
156,Assyria,2015120400,2807
157,Assyria,2015120500,2365
158,Assyria,2015120600,2816
159,Assyria,2015120700,3015
160,Assyria,2015120800,2962
161,Assyria,2015120900,3073
162,Assyria,2015121000,3069
163,Assyria,2015121100,2777
164,Assyria,2015121200,2470
165,Assyria,2015121300,2583
166,Assyria,2015121400,3032
167,Assyria,2015121500,2858
168,Assyria,2015121600,2672
169,Assyria,2015121700,2560
170,Assyria,2015121800,2238
171,Assyria,2015121900,2057
172,Assyria,2015122000,2289
173,Assyria,2015122100,2172
174,Assyria,2015122200,2103
175,Assyria,2015122300,2131
176,Assyria,2015122400,1896
177,Assyria,2015122500,1948
178,Assyria,2015122600,2146
179,Assyria,2015122700,2243
180,Assyria,2015122800,2240
181,Assyria,2015122900,2179
182,Assyria,2015123000,2201
183,Assyria,2015123100,1844
184,Assyria,2016010100,1919
185,Assyria,2016010200,2160
186,Assyria,2016010300,2341
187,Assyria,2016010400,2436
188,Assyria,2016010500,2636
189,Assyria,2016010600,2585
190,Assyria,2016010700,2455
191,Assyria,2016010800,2165
192,Assyria,2016010900,2134
193,Assyria,2016011000,2410
194,Assyria,2016011100,2437
195,Assyria,2016011200,2634
196,Assyria,2016011300,2467
197,Assyria,2016011400,2503
198,Assyria,2016011500,2141
199,Assyria,2016011600,2008
200,Assyria,2016011700,2305
201,Assyria,2016011800,2279
202,Assyria,2016011900,2847
203,Assyria,2016012000,3942
204,Assyria,2016012100,2871
205,Assyria,2016012200,2408
206,Assyria,2016012300,2130
207,Assyria,2016012400,2390
208,Assyria,2016012500,2884
209,Assyria,2016012600,2755
210,Assyria,2016012700,2680
211,Assyria,2016012800,2708
212,Assyria,2016012900,2618
213,Assyria,2016013000,2203
214,Assyria,2016013100,2468
215,Assyria,2016020100,2531
216,Assyria,2016020200,2469
