,article,timestamp,views
0,BTS,2015070100,178
1,BTS,2015070200,205
2,BTS,2015070300,176
3,BTS,2015070400,205
4,BTS,2015070500,200
5,BTS,2015070600,195
6,BTS,2015070700,194
7,BTS,2015070800,204
8,BTS,2015070900,196
9,BTS,2015071000,186
10,BTS,2015071100,185
11,BTS,2015071200,198
12,BTS,2015071300,219
13,BTS,2015071400,209
14,BTS,2015071500,228
15,BTS,2015071600,217
16,BTS,2015071700,182
17,BTS,2015071800,171
18,BTS,2015071900,177
19,BTS,2015072000,184
20,BTS,2015072100,163
21,BTS,2015072200,184
22,BTS,2015072300,171
23,BTS,2015072400,163
24,BTS,2015072500,151
25,BTS,2015072600,168
26,BTS,2015072700,184
27,BTS,2015072800,162
28,BTS,2015072900,174
29,BTS,2015073000,158
30,BTS,2015073100,168
31,BTS,2015080100,127
32,BTS,2015080200,144
33,BTS,2015080300,158
34,BTS,2015080400,154
35,BTS,2015080500,132
36,BTS,2015080600,139
37,BTS,2015080700,115
38,BTS,2015080800,110
39,BTS,2015080900,138
40,BTS,2015081000,140
41,BTS,2015081100,157
42,BTS,2015081200,172
43,BTS,2015081300,165
44,BTS,2015081400,151
45,BTS,2015081500,157
46,BTS,2015081600,157
47,BTS,2015081700,155
48,BTS,2015081800,162
49,BTS,2015081900,159
50,BTS,2015082000,157
51,BTS,2015082100,149
52,BTS,2015082200,146
53,BTS,2015082300,158
54,BTS,2015082400,166
55,BTS,2015082500,138
56,BTS,2015082600,144
57,BTS,2015082700,125
58,BTS,2015082800,133
59,BTS,2015082900,148
60,BTS,2015083000,147
61,BTS,2015083100,151
62,BTS,2015090100,156
63,BTS,2015090200,131
64,BTS,2015090300,141
65,BTS,2015090400,141
66,BTS,2015090500,155
67,BTS,2015090600,156
68,BTS,2015090700,161
69,BTS,2015090800,188
70,BTS,2015090900,142
71,BTS,2015091000,138
72,BTS,2015091100,161
73,BTS,2015091200,137
74,BTS,2015091300,175
75,BTS,2015091400,193
76,BTS,2015091500,194
77,BTS,2015091600,167
78,BTS,2015091700,169
79,BTS,2015091800,136
80,BTS,2015091900,173
81,BTS,2015092000,174
82,BTS,2015092100,149
83,BTS,2015092200,166
84,BTS,2015092300,141
85,BTS,2015092400,177
86,BTS,2015092500,147
87,BTS,2015092600,174
88,BTS,2015092700,178
89,BTS,2015092800,149
90,BTS,2015092900,162
91,BTS,2015093000,149
92,BTS,2015100100,156
93,BTS,2015100200,143
94,BTS,2015100300,137
95,BTS,2015100400,174
96,BTS,2015100500,160
97,BTS,2015100600,150
98,BTS,2015100700,169
99,BTS,2015100800,147
100,BTS,2015100900,155
101,BTS,2015101000,170
102,BTS,2015101100,183
103,BTS,2015101200,176
104,BTS,2015101300,159
105,BTS,2015101400,141
106,BTS,2015101500,173
107,BTS,2015101600,140
108,BTS,2015101700,142
109,BTS,2015101800,166
110,BTS,2015101900,137
111,BTS,2015102000,173
112,BTS,2015102100,193
113,BTS,2015102200,194
114,BTS,2015102300,157
115,BTS,2015102400,143
116,BTS,2015102500,154
117,BTS,2015102600,164
118,BTS,2015102700,156
119,BTS,2015102800,158
120,BTS,2015102900,144
121,BTS,2015103000,156
122,BTS,2015103100,128
123,BTS,2015110100,149
124,BTS,2015110200,151
125,BTS,2015110300,172
126,BTS,2015110400,170
127,BTS,2015110500,111
128,BTS,2015110600,131
129,BTS,2015110700,170
130,BTS,2015110800,160
131,BTS,2015110900,142
132,BTS,2015111000,140
133,BTS,2015111100,158
134,BTS,2015111200,146
135,BTS,2015111300,127
136,BTS,2015111400,135
137,BTS,2015111500,169
138,BTS,2015111600,186
139,BTS,2015111700,191
140,BTS,2015111800,160
141,BTS,2015111900,173
142,BTS,2015112000,146
143,BTS,2015112100,155
144,BTS,2015112200,166
145,BTS,2015112300,193
146,BTS,2015112400,128
147,BTS,2015112500,156
148,BTS,2015112600,203
149,BTS,2015112700,185
150,BTS,2015112800,179
151,BTS,2015112900,314
152,BTS,2015113000,376
153,BTS,2015120100,290
154,BTS,2015120200,278
155,BTS,2015120300,292
156,BTS,2015120400,281
157,BTS,2015120500,266
158,BTS,2015120600,246
159,BTS,2015120700,275
160,BTS,2015120800,280
161,BTS,2015120900,254
162,BTS,2015121000,246
163,BTS,2015121100,212
164,BTS,2015121200,222
165,BTS,2015121300,259
166,BTS,2015121400,195
167,BTS,2015121500,193
168,BTS,2015121600,212
169,BTS,2015121700,216
170,BTS,2015121800,208
171,BTS,2015121900,230
172,BTS,2015122000,249
173,BTS,2015122100,251
174,BTS,2015122200,269
175,BTS,2015122300,224
176,BTS,2015122400,203
177,BTS,2015122500,195
178,BTS,2015122600,259
179,BTS,2015122700,287
180,BTS,2015122800,287
181,BTS,2015122900,276
182,BTS,2015123000,289
183,BTS,2015123100,233
184,BTS,2016010100,241
185,BTS,2016010200,254
186,BTS,2016010300,268
187,BTS,2016010400,236
188,BTS,2016010500,254
189,BTS,2016010600,252
190,BTS,2016010700,241
191,BTS,2016010800,222
192,BTS,2016010900,247
193,BTS,2016011000,239
194,BTS,2016011100,220
195,BTS,2016011200,215
196,BTS,2016011300,242
197,BTS,2016011400,187
198,BTS,2016011500,220
199,BTS,2016011600,212
200,BTS,2016011700,221
201,BTS,2016011800,219
202,BTS,2016011900,216
203,BTS,2016012000,221
204,BTS,2016012100,223
205,BTS,2016012200,230
206,BTS,2016012300,228
207,BTS,2016012400,231
208,BTS,2016012500,225
209,BTS,2016012600,213
210,BTS,2016012700,224
211,BTS,2016012800,217
212,BTS,2016012900,224
213,BTS,2016013000,247
214,BTS,2016013100,221
215,BTS,2016020100,236
216,BTS,2016020200,273
217,BTS,2016020300,218
218,BTS,2016020400,218
219,BTS,2016020500,211
220,BTS,2016020600,225
221,BTS,2016020700,204
222,BTS,2016020800,230
223,BTS,2016020900,198
224,BTS,2016021000,235
225,BTS,2016021100,204
226,BTS,2016021200,185
227,BTS,2016021300,190
228,BTS,2016021400,216
229,BTS,2016021500,219
230,BTS,2016021600,192
231,BTS,2016021700,225
232,BTS,2016021800,238
233,BTS,2016021900,195
234,BTS,2016022000,230
235,BTS,2016022100,220
236,BTS,2016022200,203
237,BTS,2016022300,232
238,BTS,2016022400,203
239,BTS,2016022500,186
240,BTS,2016022600,187
241,BTS,2016022700,210
242,BTS,2016022800,205
243,BTS,2016022900,189
244,BTS,2016030100,175
245,BTS,2016030200,150
246,BTS,2016030300,170
247,BTS,2016030400,185
248,BTS,2016030500,200
249,BTS,2016030600,220
250,BTS,2016030700,196
251,BTS,2016030800,203
252,BTS,2016030900,201
253,BTS,2016031000,201
254,BTS,2016031100,184
255,BTS,2016031200,174
256,BTS,2016031300,204
257,BTS,2016031400,174
258,BTS,2016031500,192
259,BTS,2016031600,176
260,BTS,2016031700,151
261,BTS,2016031800,197
262,BTS,2016031900,145
263,BTS,2016032000,137
264,BTS,2016032100,189
265,BTS,2016032200,204
266,BTS,2016032300,174
267,BTS,2016032400,189
268,BTS,2016032500,246
269,BTS,2016032600,238
270,BTS,2016032700,282
271,BTS,2016032800,168
272,BTS,2016032900,166
273,BTS,2016033000,165
274,BTS,2016033100,162
275,BTS,2016040100,173
276,BTS,2016040200,178
277,BTS,2016040300,167
278,BTS,2016040400,146
279,BTS,2016040500,167
280,BTS,2016040600,140
281,BTS,2016040700,165
282,BTS,2016040800,144
283,BTS,2016040900,147
284,BTS,2016041000,149
285,BTS,2016041100,171
286,BTS,2016041200,129
287,BTS,2016041300,146
288,BTS,2016041400,118
289,BTS,2016041500,122
290,BTS,2016041600,128
291,BTS,2016041700,133
292,BTS,2016041800,138
293,BTS,2016041900,168
294,BTS,2016042000,187
295,BTS,2016042100,165
296,BTS,2016042200,141
297,BTS,2016042300,153
298,BTS,2016042400,136
299,BTS,2016042500,160
300,BTS,2016042600,189
301,BTS,2016042700,128
302,BTS,2016042800,146
303,BTS,2016042900,162
304,BTS,2016043000,149
305,BTS,2016050100,236
306,BTS,2016050200,250
307,BTS,2016050300,225
308,BTS,2016050400,244
309,BTS,2016050500,240
310,BTS,2016050600,190
311,BTS,2016050700,187
312,BTS,2016050800,233
313,BTS,2016050900,249
314,BTS,2016051000,507
315,BTS,2016051100,351
316,BTS,2016051200,362
317,BTS,2016051300,349
318,BTS,2016051400,352
319,BTS,2016051500,454
320,BTS,2016051600,436
321,BTS,2016051700,347
322,BTS,2016051800,199
323,BTS,2016051900,190
324,BTS,2016052000,161
325,BTS,2016052100,150
326,BTS,2016052200,157
327,BTS,2016052300,213
328,BTS,2016052400,171
329,BTS,2016052500,194
