,article,timestamp,views
0,Balkans,2015070100,2933
1,Balkans,2015070200,2637
2,Balkans,2015070300,2648
3,Balkans,2015070400,2344
4,Balkans,2015070500,2940
5,Balkans,2015070600,3126
6,Balkans,2015070700,2915
7,Balkans,2015070800,3400
8,Balkans,2015070900,3755
9,Balkans,2015071000,4084
10,Balkans,2015071100,3628
11,Balkans,2015071200,3224
12,Balkans,2015071300,3146
13,Balkans,2015071400,2786
14,Balkans,2015071500,2688
15,Balkans,2015071600,3341
16,Balkans,2015071700,2493
17,Balkans,2015071800,2629
18,Balkans,2015071900,2874
19,Balkans,2015072000,2801
20,Balkans,2015072100,2767
21,Balkans,2015072200,2856
22,Balkans,2015072300,2471
23,Balkans,2015072400,2397
24,Balkans,2015072500,2288
25,Balkans,2015072600,2986
26,Balkans,2015072700,2648
27,Balkans,2015072800,2821
28,Balkans,2015072900,2624
29,Balkans,2015073000,2704
30,Balkans,2015073100,2621
31,Balkans,2015080100,2298
32,Balkans,2015080200,2569
33,Balkans,2015080300,2472
34,Balkans,2015080400,2749
35,Balkans,2015080500,2572
36,Balkans,2015080600,2648
37,Balkans,2015080700,2540
38,Balkans,2015080800,2292
39,Balkans,2015080900,2544
40,Balkans,2015081000,2716
41,Balkans,2015081100,2782
42,Balkans,2015081200,2747
43,Balkans,2015081300,2707
44,Balkans,2015081400,2651
45,Balkans,2015081500,2585
46,Balkans,2015081600,2658
47,Balkans,2015081700,2867
48,Balkans,2015081800,3262
49,Balkans,2015081900,3681
50,Balkans,2015082000,3721
51,Balkans,2015082100,3632
52,Balkans,2015082200,3395
53,Balkans,2015082300,3235
54,Balkans,2015082400,3511
55,Balkans,2015082500,3735
56,Balkans,2015082600,3876
57,Balkans,2015082700,5351
58,Balkans,2015082800,4818
59,Balkans,2015082900,3829
60,Balkans,2015083000,3624
61,Balkans,2015083100,3959
62,Balkans,2015090100,3833
63,Balkans,2015090200,4142
64,Balkans,2015090300,4193
65,Balkans,2015090400,4242
66,Balkans,2015090500,4602
67,Balkans,2015090600,4713
68,Balkans,2015090700,5215
69,Balkans,2015090800,5356
70,Balkans,2015090900,4636
71,Balkans,2015091000,4674
72,Balkans,2015091100,4288
73,Balkans,2015091200,3607
74,Balkans,2015091300,4088
75,Balkans,2015091400,4270
76,Balkans,2015091500,4692
77,Balkans,2015091600,4799
78,Balkans,2015091700,4918
79,Balkans,2015091800,5162
80,Balkans,2015091900,4982
81,Balkans,2015092000,4782
82,Balkans,2015092100,4750
83,Balkans,2015092200,5192
84,Balkans,2015092300,4319
85,Balkans,2015092400,4536
86,Balkans,2015092500,4527
87,Balkans,2015092600,3801
88,Balkans,2015092700,3931
89,Balkans,2015092800,4471
90,Balkans,2015092900,4934
91,Balkans,2015093000,4111
92,Balkans,2015100100,2778
93,Balkans,2015100200,2615
94,Balkans,2015100300,2567
95,Balkans,2015100400,2828
96,Balkans,2015100500,3058
97,Balkans,2015100600,3051
98,Balkans,2015100700,3098
99,Balkans,2015100800,3569
100,Balkans,2015100900,3207
101,Balkans,2015101000,2513
102,Balkans,2015101100,2780
103,Balkans,2015101200,3401
104,Balkans,2015101300,3223
105,Balkans,2015101400,3349
106,Balkans,2015101500,3533
107,Balkans,2015101600,2857
108,Balkans,2015101700,2662
109,Balkans,2015101800,2936
110,Balkans,2015101900,4407
111,Balkans,2015102000,3788
112,Balkans,2015102100,3433
113,Balkans,2015102200,3317
114,Balkans,2015102300,2970
115,Balkans,2015102400,2491
116,Balkans,2015102500,4503
117,Balkans,2015102600,5653
118,Balkans,2015102700,3925
119,Balkans,2015102800,3702
120,Balkans,2015102900,3344
121,Balkans,2015103000,3013
122,Balkans,2015103100,2603
123,Balkans,2015110100,2663
124,Balkans,2015110200,2886
125,Balkans,2015110300,3315
126,Balkans,2015110400,3409
127,Balkans,2015110500,3313
128,Balkans,2015110600,3265
129,Balkans,2015110700,2693
130,Balkans,2015110800,3514
131,Balkans,2015110900,4381
132,Balkans,2015111000,4995
133,Balkans,2015111100,4579
134,Balkans,2015111200,3711
135,Balkans,2015111300,3173
136,Balkans,2015111400,3523
137,Balkans,2015111500,4050
138,Balkans,2015111600,4824
139,Balkans,2015111700,4163
140,Balkans,2015111800,3805
141,Balkans,2015111900,4359
142,Balkans,2015112000,3845
143,Balkans,2015112100,3002
144,Balkans,2015112200,3602
145,Balkans,2015112300,4006
146,Balkans,2015112400,4052
147,Balkans,2015112500,4153
148,Balkans,2015112600,3354
149,Balkans,2015112700,3238
150,Balkans,2015112800,2994
151,Balkans,2015112900,3401
152,Balkans,2015113000,3732
153,Balkans,2015120100,3467
154,Balkans,2015120200,4393
155,Balkans,2015120300,3965
156,Balkans,2015120400,3691
157,Balkans,2015120500,2801
158,Balkans,2015120600,3119
159,Balkans,2015120700,3698
160,Balkans,2015120800,3981
161,Balkans,2015120900,3712
162,Balkans,2015121000,3250
163,Balkans,2015121100,3816
164,Balkans,2015121200,2951
165,Balkans,2015121300,3311
166,Balkans,2015121400,4226
167,Balkans,2015121500,3363
168,Balkans,2015121600,3216
169,Balkans,2015121700,3824
170,Balkans,2015121800,3393
171,Balkans,2015121900,2564
172,Balkans,2015122000,3825
173,Balkans,2015122100,2732
174,Balkans,2015122200,2434
175,Balkans,2015122300,2241
176,Balkans,2015122400,2030
177,Balkans,2015122500,1864
178,Balkans,2015122600,2165
179,Balkans,2015122700,2233
180,Balkans,2015122800,2532
181,Balkans,2015122900,2613
182,Balkans,2015123000,2381
183,Balkans,2015123100,2032
184,Balkans,2016010100,2040
185,Balkans,2016010200,2589
186,Balkans,2016010300,2564
187,Balkans,2016010400,3018
188,Balkans,2016010500,3138
189,Balkans,2016010600,3027
190,Balkans,2016010700,3160
191,Balkans,2016010800,2773
192,Balkans,2016010900,2519
193,Balkans,2016011000,2816
194,Balkans,2016011100,3116
195,Balkans,2016011200,3164
196,Balkans,2016011300,3223
197,Balkans,2016011400,3280
198,Balkans,2016011500,2765
199,Balkans,2016011600,2885
200,Balkans,2016011700,3216
201,Balkans,2016011800,3220
202,Balkans,2016011900,3437
203,Balkans,2016012000,3627
204,Balkans,2016012100,3349
205,Balkans,2016012200,3080
206,Balkans,2016012300,2881
207,Balkans,2016012400,2921
208,Balkans,2016012500,3226
209,Balkans,2016012600,3610
210,Balkans,2016012700,3230
211,Balkans,2016012800,3487
212,Balkans,2016012900,3212
213,Balkans,2016013000,2694
214,Balkans,2016013100,3082
215,Balkans,2016020100,3261
216,Balkans,2016020200,3094
217,Balkans,2016020300,3099
218,Balkans,2016020400,3287
219,Balkans,2016020500,2912
220,Balkans,2016020600,2529
221,Balkans,2016020700,2653
222,Balkans,2016020800,2922
223,Balkans,2016020900,3143
224,Balkans,2016021000,3026
225,Balkans,2016021100,2977
226,Balkans,2016021200,2705
227,Balkans,2016021300,2289
228,Balkans,2016021400,2638
229,Balkans,2016021500,2927
230,Balkans,2016021600,3273
231,Balkans,2016021700,3117
232,Balkans,2016021800,3082
233,Balkans,2016021900,4890
234,Balkans,2016022000,2495
235,Balkans,2016022100,2608
236,Balkans,2016022200,3558
237,Balkans,2016022300,3454
238,Balkans,2016022400,4759
239,Balkans,2016022500,4395
240,Balkans,2016022600,3339
241,Balkans,2016022700,2786
242,Balkans,2016022800,3222
243,Balkans,2016022900,3642
244,Balkans,2016030100,3598
245,Balkans,2016030200,3293
246,Balkans,2016030300,3505
247,Balkans,2016030400,2861
248,Balkans,2016030500,2602
249,Balkans,2016030600,2886
250,Balkans,2016030700,3861
251,Balkans,2016030800,3468
252,Balkans,2016030900,4055
253,Balkans,2016031000,4351
254,Balkans,2016031100,3224
255,Balkans,2016031200,2611
256,Balkans,2016031300,3749
257,Balkans,2016031400,3360
258,Balkans,2016031500,3243
259,Balkans,2016031600,3019
260,Balkans,2016031700,2995
261,Balkans,2016031800,2641
262,Balkans,2016031900,2447
263,Balkans,2016032000,2680
264,Balkans,2016032100,3181
265,Balkans,2016032200,3106
266,Balkans,2016032300,2873
267,Balkans,2016032400,3321
268,Balkans,2016032500,2801
269,Balkans,2016032600,4827
270,Balkans,2016032700,3593
271,Balkans,2016032800,3234
272,Balkans,2016032900,3161
273,Balkans,2016033000,3010
274,Balkans,2016033100,3041
275,Balkans,2016040100,2699
276,Balkans,2016040200,2485
277,Balkans,2016040300,3373
278,Balkans,2016040400,3326
279,Balkans,2016040500,3091
280,Balkans,2016040600,3083
281,Balkans,2016040700,3170
282,Balkans,2016040800,2803
283,Balkans,2016040900,2569
284,Balkans,2016041000,3141
285,Balkans,2016041100,3454
286,Balkans,2016041200,3158
287,Balkans,2016041300,3012
288,Balkans,2016041400,3193
289,Balkans,2016041500,2763
290,Balkans,2016041600,2293
291,Balkans,2016041700,2604
292,Balkans,2016041800,3329
293,Balkans,2016041900,2924
294,Balkans,2016042000,3047
295,Balkans,2016042100,3132
296,Balkans,2016042200,2620
297,Balkans,2016042300,2366
298,Balkans,2016042400,2665
299,Balkans,2016042500,3325
300,Balkans,2016042600,3055
301,Balkans,2016042700,3287
302,Balkans,2016042800,3423
303,Balkans,2016042900,2675
304,Balkans,2016043000,2427
305,Balkans,2016050100,2606
306,Balkans,2016050200,2931
307,Balkans,2016050300,2916
308,Balkans,2016050400,3010
309,Balkans,2016050500,2757
310,Balkans,2016050600,2513
311,Balkans,2016050700,2399
312,Balkans,2016050800,2723
313,Balkans,2016050900,3340
314,Balkans,2016051000,3420
315,Balkans,2016051100,3109
316,Balkans,2016051200,3055
317,Balkans,2016051300,2976
318,Balkans,2016051400,2892
319,Balkans,2016051500,2992
320,Balkans,2016051600,2986
321,Balkans,2016051700,3008
322,Balkans,2016051800,2929
323,Balkans,2016051900,3487
324,Balkans,2016052000,3063
325,Balkans,2016052100,2549
326,Balkans,2016052200,2948
327,Balkans,2016052300,2996
328,Balkans,2016052400,3024
329,Balkans,2016052500,3003
330,Balkans,2016052600,2817
331,Balkans,2016052700,2521
332,Balkans,2016052800,2437
