,article,timestamp,views
0,Barcelona,2015070100,5804
1,Barcelona,2015070200,6267
2,Barcelona,2015070300,5664
3,Barcelona,2015070400,5562
4,Barcelona,2015070500,5999
5,Barcelona,2015070600,6854
6,Barcelona,2015070700,7043
7,Barcelona,2015070800,6581
8,Barcelona,2015070900,6202
9,Barcelona,2015071000,6132
10,Barcelona,2015071100,5870
11,Barcelona,2015071200,7418
12,Barcelona,2015071300,6629
13,Barcelona,2015071400,6501
14,Barcelona,2015071500,6313
15,Barcelona,2015071600,6097
16,Barcelona,2015071700,5581
17,Barcelona,2015071800,5809
18,Barcelona,2015071900,6217
19,Barcelona,2015072000,6424
20,Barcelona,2015072100,6466
21,Barcelona,2015072200,6591
22,Barcelona,2015072300,6153
23,Barcelona,2015072400,6042
24,Barcelona,2015072500,6430
25,Barcelona,2015072600,6479
26,Barcelona,2015072700,7159
27,Barcelona,2015072800,6792
28,Barcelona,2015072900,7255
29,Barcelona,2015073000,6029
30,Barcelona,2015073100,5591
31,Barcelona,2015080100,4846
32,Barcelona,2015080200,5169
33,Barcelona,2015080300,4976
34,Barcelona,2015080400,5392
35,Barcelona,2015080500,6660
36,Barcelona,2015080600,5618
37,Barcelona,2015080700,5367
38,Barcelona,2015080800,4898
39,Barcelona,2015080900,5422
40,Barcelona,2015081000,5756
41,Barcelona,2015081100,7192
42,Barcelona,2015081200,5605
43,Barcelona,2015081300,5369
44,Barcelona,2015081400,5677
45,Barcelona,2015081500,5005
46,Barcelona,2015081600,5165
47,Barcelona,2015081700,6318
48,Barcelona,2015081800,5750
49,Barcelona,2015081900,5475
50,Barcelona,2015082000,5322
51,Barcelona,2015082100,4945
52,Barcelona,2015082200,4951
53,Barcelona,2015082300,5768
54,Barcelona,2015082400,5331
55,Barcelona,2015082500,5375
56,Barcelona,2015082600,5502
57,Barcelona,2015082700,13030
58,Barcelona,2015082800,5160
59,Barcelona,2015082900,5249
60,Barcelona,2015083000,5077
61,Barcelona,2015083100,5563
62,Barcelona,2015090100,5332
63,Barcelona,2015090200,5301
64,Barcelona,2015090300,5133
65,Barcelona,2015090400,4754
66,Barcelona,2015090500,4513
67,Barcelona,2015090600,4937
68,Barcelona,2015090700,5376
69,Barcelona,2015090800,5901
70,Barcelona,2015090900,5355
71,Barcelona,2015091000,5409
72,Barcelona,2015091100,6067
73,Barcelona,2015091200,5924
74,Barcelona,2015091300,5699
75,Barcelona,2015091400,5830
76,Barcelona,2015091500,5760
77,Barcelona,2015091600,6259
78,Barcelona,2015091700,5585
79,Barcelona,2015091800,5493
80,Barcelona,2015091900,4737
81,Barcelona,2015092000,5726
82,Barcelona,2015092100,5938
83,Barcelona,2015092200,6226
84,Barcelona,2015092300,6354
85,Barcelona,2015092400,6055
86,Barcelona,2015092500,5276
87,Barcelona,2015092600,5191
88,Barcelona,2015092700,7713
89,Barcelona,2015092800,8899
90,Barcelona,2015092900,6949
91,Barcelona,2015093000,5925
92,Barcelona,2015100100,5175
93,Barcelona,2015100200,4781
94,Barcelona,2015100300,4887
95,Barcelona,2015100400,5474
96,Barcelona,2015100500,5608
97,Barcelona,2015100600,5637
98,Barcelona,2015100700,5342
99,Barcelona,2015100800,5018
100,Barcelona,2015100900,4820
101,Barcelona,2015101000,4781
102,Barcelona,2015101100,4875
103,Barcelona,2015101200,5279
104,Barcelona,2015101300,5190
105,Barcelona,2015101400,4869
106,Barcelona,2015101500,4884
107,Barcelona,2015101600,4649
108,Barcelona,2015101700,5046
109,Barcelona,2015101800,4915
110,Barcelona,2015101900,5448
111,Barcelona,2015102000,5906
112,Barcelona,2015102100,5745
113,Barcelona,2015102200,5096
114,Barcelona,2015102300,4711
115,Barcelona,2015102400,4503
116,Barcelona,2015102500,5335
117,Barcelona,2015102600,5123
118,Barcelona,2015102700,5770
119,Barcelona,2015102800,5764
120,Barcelona,2015102900,5241
121,Barcelona,2015103000,4404
122,Barcelona,2015103100,4479
123,Barcelona,2015110100,4792
124,Barcelona,2015110200,5270
125,Barcelona,2015110300,5181
126,Barcelona,2015110400,5561
127,Barcelona,2015110500,5106
128,Barcelona,2015110600,4649
129,Barcelona,2015110700,4523
130,Barcelona,2015110800,5224
131,Barcelona,2015110900,7402
132,Barcelona,2015111000,5878
133,Barcelona,2015111100,5161
134,Barcelona,2015111200,5539
135,Barcelona,2015111300,4709
136,Barcelona,2015111400,4411
137,Barcelona,2015111500,4702
138,Barcelona,2015111600,5026
139,Barcelona,2015111700,5182
140,Barcelona,2015111800,5112
141,Barcelona,2015111900,5344
142,Barcelona,2015112000,5017
143,Barcelona,2015112100,8153
144,Barcelona,2015112200,5708
145,Barcelona,2015112300,5479
146,Barcelona,2015112400,6363
147,Barcelona,2015112500,5244
148,Barcelona,2015112600,4377
149,Barcelona,2015112700,4872
150,Barcelona,2015112800,4685
151,Barcelona,2015112900,5247
152,Barcelona,2015113000,5250
153,Barcelona,2015120100,5148
154,Barcelona,2015120200,4992
155,Barcelona,2015120300,4589
156,Barcelona,2015120400,4106
157,Barcelona,2015120500,4060
158,Barcelona,2015120600,4281
159,Barcelona,2015120700,4924
160,Barcelona,2015120800,4761
161,Barcelona,2015120900,5156
162,Barcelona,2015121000,4312
163,Barcelona,2015121100,3984
164,Barcelona,2015121200,3990
165,Barcelona,2015121300,4443
166,Barcelona,2015121400,5105
167,Barcelona,2015121500,4484
168,Barcelona,2015121600,4142
169,Barcelona,2015121700,4298
170,Barcelona,2015121800,3669
171,Barcelona,2015121900,3722
172,Barcelona,2015122000,5085
173,Barcelona,2015122100,4593
174,Barcelona,2015122200,3979
175,Barcelona,2015122300,4021
176,Barcelona,2015122400,3713
177,Barcelona,2015122500,3715
178,Barcelona,2015122600,4017
179,Barcelona,2015122700,4122
180,Barcelona,2015122800,4529
181,Barcelona,2015122900,4749
182,Barcelona,2015123000,5162
183,Barcelona,2015123100,3839
184,Barcelona,2016010100,4191
185,Barcelona,2016010200,4837
186,Barcelona,2016010300,5130
187,Barcelona,2016010400,5416
188,Barcelona,2016010500,5125
189,Barcelona,2016010600,5600
190,Barcelona,2016010700,5055
191,Barcelona,2016010800,5070
192,Barcelona,2016010900,5181
193,Barcelona,2016011000,5705
194,Barcelona,2016011100,5967
195,Barcelona,2016011200,5398
196,Barcelona,2016011300,5399
197,Barcelona,2016011400,5038
198,Barcelona,2016011500,4581
199,Barcelona,2016011600,4289
200,Barcelona,2016011700,5501
201,Barcelona,2016011800,4919
202,Barcelona,2016011900,5273
203,Barcelona,2016012000,5471
204,Barcelona,2016012100,5232
205,Barcelona,2016012200,4858
206,Barcelona,2016012300,4938
207,Barcelona,2016012400,5339
208,Barcelona,2016012500,5342
209,Barcelona,2016012600,5212
210,Barcelona,2016012700,5544
211,Barcelona,2016012800,5326
212,Barcelona,2016012900,4788
213,Barcelona,2016013000,5081
214,Barcelona,2016013100,5188
215,Barcelona,2016020100,5557
216,Barcelona,2016020200,5591
217,Barcelona,2016020300,5850
218,Barcelona,2016020400,5319
219,Barcelona,2016020500,4537
220,Barcelona,2016020600,4744
221,Barcelona,2016020700,5487
222,Barcelona,2016020800,5127
223,Barcelona,2016020900,5200
224,Barcelona,2016021000,5291
225,Barcelona,2016021100,5182
226,Barcelona,2016021200,4749
227,Barcelona,2016021300,4455
228,Barcelona,2016021400,5488
229,Barcelona,2016021500,5272
230,Barcelona,2016021600,5310
231,Barcelona,2016021700,6281
232,Barcelona,2016021800,5650
233,Barcelona,2016021900,5651
234,Barcelona,2016022000,5524
235,Barcelona,2016022100,6145
236,Barcelona,2016022200,6540
237,Barcelona,2016022300,8209
238,Barcelona,2016022400,6435
239,Barcelona,2016022500,5942
240,Barcelona,2016022600,5554
241,Barcelona,2016022700,5042
242,Barcelona,2016022800,6741
243,Barcelona,2016022900,6344
244,Barcelona,2016030100,5448
245,Barcelona,2016030200,5370
246,Barcelona,2016030300,5747
247,Barcelona,2016030400,4948
248,Barcelona,2016030500,5020
249,Barcelona,2016030600,6146
250,Barcelona,2016030700,6072
251,Barcelona,2016030800,5841
252,Barcelona,2016030900,6098
253,Barcelona,2016031000,5679
254,Barcelona,2016031100,5345
255,Barcelona,2016031200,5197
256,Barcelona,2016031300,5237
257,Barcelona,2016031400,5812
258,Barcelona,2016031500,5795
259,Barcelona,2016031600,6798
260,Barcelona,2016031700,5450
261,Barcelona,2016031800,5266
262,Barcelona,2016031900,4454
263,Barcelona,2016032000,5864
264,Barcelona,2016032100,5529
265,Barcelona,2016032200,5715
266,Barcelona,2016032300,5282
267,Barcelona,2016032400,6006
268,Barcelona,2016032500,5456
269,Barcelona,2016032600,5034
270,Barcelona,2016032700,5253
271,Barcelona,2016032800,5441
272,Barcelona,2016032900,5237
273,Barcelona,2016033000,5300
274,Barcelona,2016033100,5209
275,Barcelona,2016040100,5397
276,Barcelona,2016040200,8702
277,Barcelona,2016040300,6206
278,Barcelona,2016040400,6283
279,Barcelona,2016040500,6850
280,Barcelona,2016040600,5971
281,Barcelona,2016040700,5944
282,Barcelona,2016040800,5686
283,Barcelona,2016040900,5544
284,Barcelona,2016041000,5400
285,Barcelona,2016041100,5903
286,Barcelona,2016041200,6032
287,Barcelona,2016041300,7791
288,Barcelona,2016041400,6141
289,Barcelona,2016041500,5188
290,Barcelona,2016041600,5116
291,Barcelona,2016041700,6290
292,Barcelona,2016041800,6044
293,Barcelona,2016041900,5658
294,Barcelona,2016042000,6244
295,Barcelona,2016042100,5649
296,Barcelona,2016042200,5482
297,Barcelona,2016042300,6530
298,Barcelona,2016042400,6545
299,Barcelona,2016042500,6442
300,Barcelona,2016042600,6641
301,Barcelona,2016042700,6561
302,Barcelona,2016042800,6297
303,Barcelona,2016042900,5823
304,Barcelona,2016043000,5691
305,Barcelona,2016050100,5217
306,Barcelona,2016050200,6139
307,Barcelona,2016050300,6411
308,Barcelona,2016050400,6159
309,Barcelona,2016050500,6032
310,Barcelona,2016050600,5285
311,Barcelona,2016050700,5555
312,Barcelona,2016050800,6670
313,Barcelona,2016050900,6141
314,Barcelona,2016051000,6146
315,Barcelona,2016051100,5893
316,Barcelona,2016051200,5683
317,Barcelona,2016051300,5344
318,Barcelona,2016051400,7848
319,Barcelona,2016051500,6803
320,Barcelona,2016051600,6425
321,Barcelona,2016051700,6227
322,Barcelona,2016051800,6656
323,Barcelona,2016051900,6368
324,Barcelona,2016052000,6100
325,Barcelona,2016052100,5452
326,Barcelona,2016052200,8117
327,Barcelona,2016052300,7035
328,Barcelona,2016052400,6231
329,Barcelona,2016052500,5973
330,Barcelona,2016052600,6622
331,Barcelona,2016052700,5743
332,Barcelona,2016052800,7820
333,Barcelona,2016052900,6917
334,Barcelona,2016053000,6712
335,Barcelona,2016053100,6611
336,Barcelona,2016060100,5926
337,Barcelona,2016060200,5822
338,Barcelona,2016060300,5346
339,Barcelona,2016060400,5149
340,Barcelona,2016060500,5518
341,Barcelona,2016060600,6197
342,Barcelona,2016060700,5855
343,Barcelona,2016060800,5571
344,Barcelona,2016060900,5302
345,Barcelona,2016061000,5555
346,Barcelona,2016061100,4564
347,Barcelona,2016061200,5198
348,Barcelona,2016061300,5498
349,Barcelona,2016061400,5390
