,article,timestamp,views
0,Bird,2015070100,4883
1,Bird,2015070200,4245
2,Bird,2015070300,3597
3,Bird,2015070400,3381
4,Bird,2015070500,4683
5,Bird,2015070600,3939
6,Bird,2015070700,4467
7,Bird,2015070800,4920
8,Bird,2015070900,4244
9,Bird,2015071000,4172
10,Bird,2015071100,3444
11,Bird,2015071200,4241
12,Bird,2015071300,3914
13,Bird,2015071400,3875
14,Bird,2015071500,3778
15,Bird,2015071600,3921
16,Bird,2015071700,3603
17,Bird,2015071800,3506
18,Bird,2015071900,4098
19,Bird,2015072000,3841
20,Bird,2015072100,3804
21,Bird,2015072200,4066
22,Bird,2015072300,3853
23,Bird,2015072400,3552
24,Bird,2015072500,3257
25,Bird,2015072600,3901
26,Bird,2015072700,3716
27,Bird,2015072800,4098
28,Bird,2015072900,3802
29,Bird,2015073000,3630
30,Bird,2015073100,3146
31,Bird,2015080100,3034
32,Bird,2015080200,3468
33,Bird,2015080300,3639
34,Bird,2015080400,3911
35,Bird,2015080500,3621
36,Bird,2015080600,3674
37,Bird,2015080700,3686
38,Bird,2015080800,3116
39,Bird,2015080900,3679
40,Bird,2015081000,3670
41,Bird,2015081100,3644
42,Bird,2015081200,3583
43,Bird,2015081300,3385
44,Bird,2015081400,3438
45,Bird,2015081500,3086
46,Bird,2015081600,3657
47,Bird,2015081700,3850
48,Bird,2015081800,3877
49,Bird,2015081900,3710
50,Bird,2015082000,3888
51,Bird,2015082100,3518
52,Bird,2015082200,3199
53,Bird,2015082300,3630
54,Bird,2015082400,4016
55,Bird,2015082500,3733
56,Bird,2015082600,3855
57,Bird,2015082700,3911
58,Bird,2015082800,3298
59,Bird,2015082900,2975
60,Bird,2015083000,3331
61,Bird,2015083100,3775
62,Bird,2015090100,4588
63,Bird,2015090200,3981
64,Bird,2015090300,5854
65,Bird,2015090400,3275
66,Bird,2015090500,3060
67,Bird,2015090600,3474
68,Bird,2015090700,3991
69,Bird,2015090800,3698
70,Bird,2015090900,4176
71,Bird,2015091000,4025
72,Bird,2015091100,3651
73,Bird,2015091200,3283
74,Bird,2015091300,3695
75,Bird,2015091400,4351
76,Bird,2015091500,4283
77,Bird,2015091600,3864
78,Bird,2015091700,3874
79,Bird,2015091800,3883
80,Bird,2015091900,3058
81,Bird,2015092000,3461
82,Bird,2015092100,3873
83,Bird,2015092200,4757
84,Bird,2015092300,4026
85,Bird,2015092400,3781
86,Bird,2015092500,3579
87,Bird,2015092600,3067
88,Bird,2015092700,3601
89,Bird,2015092800,4017
90,Bird,2015092900,4689
91,Bird,2015093000,4326
92,Bird,2015100100,4046
93,Bird,2015100200,3814
94,Bird,2015100300,3203
95,Bird,2015100400,3751
96,Bird,2015100500,4300
97,Bird,2015100600,4329
98,Bird,2015100700,4376
99,Bird,2015100800,5380
100,Bird,2015100900,3785
101,Bird,2015101000,3275
102,Bird,2015101100,3776
103,Bird,2015101200,4153
104,Bird,2015101300,5606
105,Bird,2015101400,4394
106,Bird,2015101500,4487
107,Bird,2015101600,4235
108,Bird,2015101700,3578
109,Bird,2015101800,3892
110,Bird,2015101900,4691
111,Bird,2015102000,4418
112,Bird,2015102100,4460
113,Bird,2015102200,4875
114,Bird,2015102300,4032
115,Bird,2015102400,3742
116,Bird,2015102500,3914
117,Bird,2015102600,4393
118,Bird,2015102700,4853
119,Bird,2015102800,4288
120,Bird,2015102900,6248
121,Bird,2015103000,4111
122,Bird,2015103100,3149
123,Bird,2015110100,3807
124,Bird,2015110200,4192
125,Bird,2015110300,5103
126,Bird,2015110400,4415
127,Bird,2015110500,4507
128,Bird,2015110600,4277
129,Bird,2015110700,3293
130,Bird,2015110800,3792
131,Bird,2015110900,4387
132,Bird,2015111000,4067
133,Bird,2015111100,4349
134,Bird,2015111200,4664
135,Bird,2015111300,3869
136,Bird,2015111400,3582
137,Bird,2015111500,3821
138,Bird,2015111600,4467
139,Bird,2015111700,4741
140,Bird,2015111800,5879
141,Bird,2015111900,4749
142,Bird,2015112000,4191
143,Bird,2015112100,3638
144,Bird,2015112200,4117
145,Bird,2015112300,4614
146,Bird,2015112400,4439
147,Bird,2015112500,4620
148,Bird,2015112600,4101
149,Bird,2015112700,3562
150,Bird,2015112800,3476
151,Bird,2015112900,4211
152,Bird,2015113000,4558
153,Bird,2015120100,4285
154,Bird,2015120200,4451
155,Bird,2015120300,4195
156,Bird,2015120400,4019
157,Bird,2015120500,3429
158,Bird,2015120600,3913
159,Bird,2015120700,4212
160,Bird,2015120800,4990
161,Bird,2015120900,4231
162,Bird,2015121000,4098
163,Bird,2015121100,3726
164,Bird,2015121200,3264
165,Bird,2015121300,3517
166,Bird,2015121400,3929
167,Bird,2015121500,4434
168,Bird,2015121600,4000
169,Bird,2015121700,4319
170,Bird,2015121800,3337
171,Bird,2015121900,3799
172,Bird,2015122000,3468
173,Bird,2015122100,3348
174,Bird,2015122200,3381
175,Bird,2015122300,3052
176,Bird,2015122400,2956
177,Bird,2015122500,2618
178,Bird,2015122600,2899
179,Bird,2015122700,3081
180,Bird,2015122800,2942
181,Bird,2015122900,3259
182,Bird,2015123000,2997
183,Bird,2015123100,3074
184,Bird,2016010100,2860
185,Bird,2016010200,3922
186,Bird,2016010300,3593
187,Bird,2016010400,3772
188,Bird,2016010500,4168
189,Bird,2016010600,4066
190,Bird,2016010700,4337
191,Bird,2016010800,4018
192,Bird,2016010900,3424
193,Bird,2016011000,3727
194,Bird,2016011100,4410
195,Bird,2016011200,4140
196,Bird,2016011300,4207
197,Bird,2016011400,4395
198,Bird,2016011500,3919
199,Bird,2016011600,3664
200,Bird,2016011700,4104
201,Bird,2016011800,4456
202,Bird,2016011900,4624
203,Bird,2016012000,4456
204,Bird,2016012100,4533
205,Bird,2016012200,4026
206,Bird,2016012300,3526
207,Bird,2016012400,4515
208,Bird,2016012500,4496
209,Bird,2016012600,4536
210,Bird,2016012700,4303
211,Bird,2016012800,4255
212,Bird,2016012900,3880
213,Bird,2016013000,3607
214,Bird,2016013100,4222
215,Bird,2016020100,4529
216,Bird,2016020200,4489
217,Bird,2016020300,4737
218,Bird,2016020400,4472
219,Bird,2016020500,4340
220,Bird,2016020600,3595
221,Bird,2016020700,4055
222,Bird,2016020800,4530
223,Bird,2016020900,4942
224,Bird,2016021000,4577
225,Bird,2016021100,4544
226,Bird,2016021200,6018
227,Bird,2016021300,3690
228,Bird,2016021400,3811
229,Bird,2016021500,4090
230,Bird,2016021600,4600
231,Bird,2016021700,4773
232,Bird,2016021800,4380
233,Bird,2016021900,4448
234,Bird,2016022000,3853
235,Bird,2016022100,3997
236,Bird,2016022200,4543
237,Bird,2016022300,4712
238,Bird,2016022400,5152
239,Bird,2016022500,5205
240,Bird,2016022600,4001
241,Bird,2016022700,3565
242,Bird,2016022800,4030
243,Bird,2016022900,4481
244,Bird,2016030100,4473
245,Bird,2016030200,4653
246,Bird,2016030300,4532
247,Bird,2016030400,4072
248,Bird,2016030500,3613
249,Bird,2016030600,3780
250,Bird,2016030700,4861
251,Bird,2016030800,4626
252,Bird,2016030900,4529
253,Bird,2016031000,4354
254,Bird,2016031100,3939
255,Bird,2016031200,3208
256,Bird,2016031300,3769
257,Bird,2016031400,4447
258,Bird,2016031500,4254
259,Bird,2016031600,4633
260,Bird,2016031700,4427
261,Bird,2016031800,3924
262,Bird,2016031900,3298
263,Bird,2016032000,3707
264,Bird,2016032100,4213
265,Bird,2016032200,4407
266,Bird,2016032300,3949
267,Bird,2016032400,3649
268,Bird,2016032500,3305
269,Bird,2016032600,3317
