,article,timestamp,views
0,Brazil,2015070100,12066
1,Brazil,2015070200,11630
2,Brazil,2015070300,12004
3,Brazil,2015070400,10760
4,Brazil,2015070500,11724
5,Brazil,2015070600,12560
6,Brazil,2015070700,12231
7,Brazil,2015070800,11814
8,Brazil,2015070900,11518
9,Brazil,2015071000,11542
10,Brazil,2015071100,10157
11,Brazil,2015071200,11244
12,Brazil,2015071300,11593
13,Brazil,2015071400,11565
14,Brazil,2015071500,10988
15,Brazil,2015071600,10679
16,Brazil,2015071700,10119
17,Brazil,2015071800,9582
18,Brazil,2015071900,10225
19,Brazil,2015072000,11573
20,Brazil,2015072100,11318
21,Brazil,2015072200,10996
22,Brazil,2015072300,10542
23,Brazil,2015072400,10444
24,Brazil,2015072500,9863
25,Brazil,2015072600,11052
26,Brazil,2015072700,11532
27,Brazil,2015072800,13370
28,Brazil,2015072900,12554
29,Brazil,2015073000,11349
30,Brazil,2015073100,10963
31,Brazil,2015080100,10563
32,Brazil,2015080200,11677
33,Brazil,2015080300,9846
34,Brazil,2015080400,12444
35,Brazil,2015080500,11175
36,Brazil,2015080600,10855
37,Brazil,2015080700,10641
38,Brazil,2015080800,9320
39,Brazil,2015080900,9593
40,Brazil,2015081000,10434
41,Brazil,2015081100,10178
42,Brazil,2015081200,10632
43,Brazil,2015081300,10755
44,Brazil,2015081400,10586
45,Brazil,2015081500,9020
46,Brazil,2015081600,10605
47,Brazil,2015081700,11955
48,Brazil,2015081800,10855
49,Brazil,2015081900,10882
50,Brazil,2015082000,10848
51,Brazil,2015082100,10116
52,Brazil,2015082200,9238
53,Brazil,2015082300,9759
54,Brazil,2015082400,10817
55,Brazil,2015082500,11346
56,Brazil,2015082600,11027
57,Brazil,2015082700,10581
58,Brazil,2015082800,10368
59,Brazil,2015082900,9219
60,Brazil,2015083000,9624
61,Brazil,2015083100,10882
62,Brazil,2015090100,11169
63,Brazil,2015090200,11515
64,Brazil,2015090300,11696
65,Brazil,2015090400,11232
66,Brazil,2015090500,10050
67,Brazil,2015090600,10564
68,Brazil,2015090700,13120
69,Brazil,2015090800,13223
70,Brazil,2015090900,12996
71,Brazil,2015091000,13644
72,Brazil,2015091100,11346
73,Brazil,2015091200,11799
74,Brazil,2015091300,11215
75,Brazil,2015091400,12505
76,Brazil,2015091500,13330
77,Brazil,2015091600,13019
78,Brazil,2015091700,13272
79,Brazil,2015091800,11960
80,Brazil,2015091900,10906
81,Brazil,2015092000,11027
82,Brazil,2015092100,12236
83,Brazil,2015092200,13290
84,Brazil,2015092300,15314
85,Brazil,2015092400,12376
86,Brazil,2015092500,11806
87,Brazil,2015092600,10663
88,Brazil,2015092700,11492
89,Brazil,2015092800,12927
90,Brazil,2015092900,13556
91,Brazil,2015093000,12577
92,Brazil,2015100100,10832
93,Brazil,2015100200,10099
94,Brazil,2015100300,8860
95,Brazil,2015100400,10366
96,Brazil,2015100500,10928
97,Brazil,2015100600,11748
98,Brazil,2015100700,11911
99,Brazil,2015100800,11835
100,Brazil,2015100900,10629
101,Brazil,2015101000,9185
102,Brazil,2015101100,9986
103,Brazil,2015101200,11366
104,Brazil,2015101300,12570
105,Brazil,2015101400,12136
106,Brazil,2015101500,11451
107,Brazil,2015101600,10135
108,Brazil,2015101700,8723
109,Brazil,2015101800,9695
110,Brazil,2015101900,11461
111,Brazil,2015102000,11676
112,Brazil,2015102100,13128
113,Brazil,2015102200,12560
114,Brazil,2015102300,10682
115,Brazil,2015102400,8267
116,Brazil,2015102500,9641
117,Brazil,2015102600,11436
118,Brazil,2015102700,11301
119,Brazil,2015102800,11491
120,Brazil,2015102900,10998
121,Brazil,2015103000,9726
122,Brazil,2015103100,8408
123,Brazil,2015110100,10752
124,Brazil,2015110200,10953
125,Brazil,2015110300,11182
126,Brazil,2015110400,11909
127,Brazil,2015110500,12256
128,Brazil,2015110600,10775
129,Brazil,2015110700,9732
130,Brazil,2015110800,11182
131,Brazil,2015110900,12914
132,Brazil,2015111000,13458
133,Brazil,2015111100,12799
134,Brazil,2015111200,11897
135,Brazil,2015111300,11099
136,Brazil,2015111400,10047
137,Brazil,2015111500,11732
