,article,timestamp,views
0,Caligula,2015070100,3184
1,Caligula,2015070200,3037
2,Caligula,2015070300,3257
3,Caligula,2015070400,3030
4,Caligula,2015070500,3107
5,Caligula,2015070600,3546
6,Caligula,2015070700,3783
7,Caligula,2015070800,3228
8,Caligula,2015070900,3305
9,Caligula,2015071000,3512
10,Caligula,2015071100,3013
11,Caligula,2015071200,3242
12,Caligula,2015071300,3828
13,Caligula,2015071400,3674
14,Caligula,2015071500,3041
15,Caligula,2015071600,4264
16,Caligula,2015071700,10286
17,Caligula,2015071800,3649
18,Caligula,2015071900,4163
19,Caligula,2015072000,3815
20,Caligula,2015072100,3637
21,Caligula,2015072200,4384
22,Caligula,2015072300,3252
23,Caligula,2015072400,3085
24,Caligula,2015072500,3062
25,Caligula,2015072600,3560
26,Caligula,2015072700,3448
27,Caligula,2015072800,3434
28,Caligula,2015072900,3335
29,Caligula,2015073000,3690
30,Caligula,2015073100,5942
31,Caligula,2015080100,5470
32,Caligula,2015080200,4016
33,Caligula,2015080300,3958
34,Caligula,2015080400,3840
35,Caligula,2015080500,3364
36,Caligula,2015080600,3326
37,Caligula,2015080700,3476
38,Caligula,2015080800,5050
39,Caligula,2015080900,4670
40,Caligula,2015081000,4327
41,Caligula,2015081100,4734
42,Caligula,2015081200,4043
43,Caligula,2015081300,3731
44,Caligula,2015081400,3536
45,Caligula,2015081500,3420
46,Caligula,2015081600,4006
47,Caligula,2015081700,3700
48,Caligula,2015081800,3790
49,Caligula,2015081900,3354
50,Caligula,2015082000,3543
51,Caligula,2015082100,3568
52,Caligula,2015082200,3242
53,Caligula,2015082300,5372
54,Caligula,2015082400,4342
55,Caligula,2015082500,3532
56,Caligula,2015082600,3780
57,Caligula,2015082700,4410
58,Caligula,2015082800,4095
59,Caligula,2015082900,3336
60,Caligula,2015083000,4732
61,Caligula,2015083100,5510
62,Caligula,2015090100,3691
63,Caligula,2015090200,3980
64,Caligula,2015090300,3616
65,Caligula,2015090400,6398
66,Caligula,2015090500,4768
67,Caligula,2015090600,4266
68,Caligula,2015090700,3998
69,Caligula,2015090800,3674
70,Caligula,2015090900,3507
71,Caligula,2015091000,3721
72,Caligula,2015091100,3887
73,Caligula,2015091200,3419
74,Caligula,2015091300,4061
75,Caligula,2015091400,4056
76,Caligula,2015091500,3844
77,Caligula,2015091600,4078
78,Caligula,2015091700,3505
79,Caligula,2015091800,6149
80,Caligula,2015091900,4473
81,Caligula,2015092000,3566
82,Caligula,2015092100,3698
83,Caligula,2015092200,3860
84,Caligula,2015092300,3891
85,Caligula,2015092400,3923
86,Caligula,2015092500,3948
87,Caligula,2015092600,3176
88,Caligula,2015092700,3519
89,Caligula,2015092800,4464
90,Caligula,2015092900,4281
91,Caligula,2015093000,4291
92,Caligula,2015100100,4193
93,Caligula,2015100200,3932
94,Caligula,2015100300,13051
95,Caligula,2015100400,4378
96,Caligula,2015100500,5508
97,Caligula,2015100600,6499
98,Caligula,2015100700,4557
99,Caligula,2015100800,4117
100,Caligula,2015100900,4300
101,Caligula,2015101000,3575
102,Caligula,2015101100,5600
103,Caligula,2015101200,6254
104,Caligula,2015101300,7914
105,Caligula,2015101400,4172
106,Caligula,2015101500,4099
107,Caligula,2015101600,4923
108,Caligula,2015101700,3802
109,Caligula,2015101800,3492
110,Caligula,2015101900,4279
111,Caligula,2015102000,4168
112,Caligula,2015102100,3881
113,Caligula,2015102200,3932
114,Caligula,2015102300,3656
115,Caligula,2015102400,3555
116,Caligula,2015102500,3690
117,Caligula,2015102600,3909
118,Caligula,2015102700,3833
119,Caligula,2015102800,4440
120,Caligula,2015102900,3803
121,Caligula,2015103000,3366
122,Caligula,2015103100,3447
123,Caligula,2015110100,3362
124,Caligula,2015110200,4125
125,Caligula,2015110300,3833
126,Caligula,2015110400,4226
127,Caligula,2015110500,4186
128,Caligula,2015110600,3681
129,Caligula,2015110700,3368
130,Caligula,2015110800,3495
131,Caligula,2015110900,3957
132,Caligula,2015111000,4250
133,Caligula,2015111100,3683
134,Caligula,2015111200,3897
135,Caligula,2015111300,4729
136,Caligula,2015111400,10220
137,Caligula,2015111500,4135
138,Caligula,2015111600,4313
139,Caligula,2015111700,3944
140,Caligula,2015111800,3860
141,Caligula,2015111900,5603
142,Caligula,2015112000,4053
143,Caligula,2015112100,3274
144,Caligula,2015112200,3914
145,Caligula,2015112300,4154
146,Caligula,2015112400,3850
147,Caligula,2015112500,3369
148,Caligula,2015112600,3445
149,Caligula,2015112700,4111
150,Caligula,2015112800,3609
151,Caligula,2015112900,6042
152,Caligula,2015113000,7270
153,Caligula,2015120100,5443
154,Caligula,2015120200,4638
155,Caligula,2015120300,4597
156,Caligula,2015120400,4139
157,Caligula,2015120500,3401
158,Caligula,2015120600,3996
159,Caligula,2015120700,4872
160,Caligula,2015120800,4402
161,Caligula,2015120900,4254
162,Caligula,2015121000,5033
163,Caligula,2015121100,5654
164,Caligula,2015121200,3672
165,Caligula,2015121300,3940
166,Caligula,2015121400,4273
167,Caligula,2015121500,4252
168,Caligula,2015121600,3952
169,Caligula,2015121700,3610
170,Caligula,2015121800,3149
171,Caligula,2015121900,3136
172,Caligula,2015122000,14186
173,Caligula,2015122100,5225
174,Caligula,2015122200,3978
175,Caligula,2015122300,3502
176,Caligula,2015122400,3282
177,Caligula,2015122500,3151
178,Caligula,2015122600,3415
179,Caligula,2015122700,4205
180,Caligula,2015122800,4543
181,Caligula,2015122900,3987
182,Caligula,2015123000,3729
183,Caligula,2015123100,5306
184,Caligula,2016010100,4035
185,Caligula,2016010200,4380
186,Caligula,2016010300,4754
187,Caligula,2016010400,4481
188,Caligula,2016010500,3995
189,Caligula,2016010600,4237
190,Caligula,2016010700,3955
191,Caligula,2016010800,3896
192,Caligula,2016010900,3481
193,Caligula,2016011000,3867
194,Caligula,2016011100,3800
195,Caligula,2016011200,4121
196,Caligula,2016011300,3994
197,Caligula,2016011400,4181
198,Caligula,2016011500,3687
199,Caligula,2016011600,4177
200,Caligula,2016011700,3481
201,Caligula,2016011800,3663
202,Caligula,2016011900,3991
203,Caligula,2016012000,4042
204,Caligula,2016012100,5738
205,Caligula,2016012200,6836
206,Caligula,2016012300,3873
207,Caligula,2016012400,6799
208,Caligula,2016012500,5205
209,Caligula,2016012600,3976
210,Caligula,2016012700,4065
211,Caligula,2016012800,3656
212,Caligula,2016012900,4257
213,Caligula,2016013000,3579
214,Caligula,2016013100,3755
215,Caligula,2016020100,3895
216,Caligula,2016020200,3741
217,Caligula,2016020300,3746
218,Caligula,2016020400,3937
219,Caligula,2016020500,3892
220,Caligula,2016020600,3462
221,Caligula,2016020700,4875
222,Caligula,2016020800,4271
223,Caligula,2016020900,4114
224,Caligula,2016021000,4565
225,Caligula,2016021100,4490
226,Caligula,2016021200,3805
227,Caligula,2016021300,3444
228,Caligula,2016021400,4153
229,Caligula,2016021500,4232
230,Caligula,2016021600,4545
231,Caligula,2016021700,4015
232,Caligula,2016021800,4818
233,Caligula,2016021900,4730
234,Caligula,2016022000,3621
235,Caligula,2016022100,3810
