,article,timestamp,views
0,China,2015070100,17833
1,China,2015070200,21517
2,China,2015070300,15936
3,China,2015070400,17103
4,China,2015070500,17063
5,China,2015070600,19228
6,China,2015070700,18753
7,China,2015070800,18703
8,China,2015070900,18683
9,China,2015071000,17924
10,China,2015071100,15904
11,China,2015071200,18015
12,China,2015071300,17911
13,China,2015071400,17884
14,China,2015071500,19889
15,China,2015071600,16763
16,China,2015071700,16051
17,China,2015071800,15539
18,China,2015071900,16566
19,China,2015072000,17816
20,China,2015072100,17910
21,China,2015072200,17274
22,China,2015072300,16868
23,China,2015072400,15717
24,China,2015072500,15580
25,China,2015072600,16906
26,China,2015072700,18331
27,China,2015072800,20956
28,China,2015072900,19809
29,China,2015073000,18161
30,China,2015073100,17145
31,China,2015080100,14805
32,China,2015080200,15843
33,China,2015080300,17510
34,China,2015080400,21522
35,China,2015080500,18918
36,China,2015080600,19367
37,China,2015080700,18422
38,China,2015080800,17449
39,China,2015080900,18015
40,China,2015081000,18357
41,China,2015081100,19629
42,China,2015081200,20591
43,China,2015081300,30098
44,China,2015081400,20017
45,China,2015081500,18303
46,China,2015081600,18786
47,China,2015081700,19652
48,China,2015081800,19804
49,China,2015081900,18804
50,China,2015082000,18514
51,China,2015082100,17752
52,China,2015082200,17324
53,China,2015082300,17758
54,China,2015082400,20709
55,China,2015082500,21409
56,China,2015082600,19833
57,China,2015082700,18876
58,China,2015082800,17594
59,China,2015082900,15766
60,China,2015083000,17688
61,China,2015083100,19112
62,China,2015090100,18985
63,China,2015090200,20198
64,China,2015090300,24946
65,China,2015090400,19576
66,China,2015090500,17313
67,China,2015090600,17797
68,China,2015090700,18897
69,China,2015090800,19535
70,China,2015090900,18963
71,China,2015091000,18765
72,China,2015091100,16790
73,China,2015091200,14400
74,China,2015091300,16769
75,China,2015091400,18500
76,China,2015091500,18143
77,China,2015091600,17259
78,China,2015091700,17690
79,China,2015091800,16071
80,China,2015091900,14413
81,China,2015092000,15918
82,China,2015092100,18925
83,China,2015092200,21461
84,China,2015092300,19867
85,China,2015092400,18185
86,China,2015092500,17933
87,China,2015092600,14843
88,China,2015092700,16520
89,China,2015092800,19248
90,China,2015092900,19193
91,China,2015093000,19638
92,China,2015100100,18488
93,China,2015100200,16800
94,China,2015100300,14790
95,China,2015100400,15736
96,China,2015100500,17708
97,China,2015100600,18695
98,China,2015100700,21809
99,China,2015100800,18899
100,China,2015100900,21859
101,China,2015101000,15885
102,China,2015101100,17060
103,China,2015101200,19755
104,China,2015101300,23865
105,China,2015101400,19214
106,China,2015101500,19318
107,China,2015101600,17431
108,China,2015101700,15334
109,China,2015101800,16857
110,China,2015101900,21292
111,China,2015102000,22095
112,China,2015102100,20716
113,China,2015102200,20150
114,China,2015102300,18331
115,China,2015102400,15405
116,China,2015102500,16324
117,China,2015102600,19007
118,China,2015102700,19598
119,China,2015102800,18303
120,China,2015102900,23936
121,China,2015103000,21457
