,article,timestamp,views
0,Coldplay,2015070100,4175
1,Coldplay,2015070200,6440
2,Coldplay,2015070300,4987
3,Coldplay,2015070400,4245
4,Coldplay,2015070500,4370
5,Coldplay,2015070600,4897
6,Coldplay,2015070700,4538
7,Coldplay,2015070800,4168
8,Coldplay,2015070900,4444
9,Coldplay,2015071000,4280
10,Coldplay,2015071100,4049
11,Coldplay,2015071200,4709
12,Coldplay,2015071300,4129
13,Coldplay,2015071400,4114
14,Coldplay,2015071500,4000
15,Coldplay,2015071600,4434
16,Coldplay,2015071700,4316
17,Coldplay,2015071800,4135
18,Coldplay,2015071900,4147
19,Coldplay,2015072000,4210
20,Coldplay,2015072100,4233
21,Coldplay,2015072200,4310
22,Coldplay,2015072300,4362
23,Coldplay,2015072400,4339
24,Coldplay,2015072500,4461
25,Coldplay,2015072600,4382
26,Coldplay,2015072700,4218
27,Coldplay,2015072800,4318
28,Coldplay,2015072900,4437
29,Coldplay,2015073000,4107
30,Coldplay,2015073100,4301
31,Coldplay,2015080100,3729
32,Coldplay,2015080200,3999
33,Coldplay,2015080300,4220
34,Coldplay,2015080400,4286
35,Coldplay,2015080500,4175
36,Coldplay,2015080600,4090
37,Coldplay,2015080700,4222
38,Coldplay,2015080800,4921
39,Coldplay,2015080900,4588
40,Coldplay,2015081000,4209
41,Coldplay,2015081100,3971
42,Coldplay,2015081200,4059
43,Coldplay,2015081300,4372
44,Coldplay,2015081400,4524
45,Coldplay,2015081500,4337
46,Coldplay,2015081600,4830
47,Coldplay,2015081700,4478
48,Coldplay,2015081800,4421
49,Coldplay,2015081900,4403
50,Coldplay,2015082000,4517
51,Coldplay,2015082100,5695
52,Coldplay,2015082200,4169
53,Coldplay,2015082300,4268
54,Coldplay,2015082400,4316
55,Coldplay,2015082500,4333
56,Coldplay,2015082600,4361
57,Coldplay,2015082700,4322
58,Coldplay,2015082800,4614
59,Coldplay,2015082900,4167
60,Coldplay,2015083000,4318
61,Coldplay,2015083100,4186
62,Coldplay,2015090100,4137
63,Coldplay,2015090200,4114
64,Coldplay,2015090300,3912
65,Coldplay,2015090400,4056
66,Coldplay,2015090500,4048
67,Coldplay,2015090600,4263
68,Coldplay,2015090700,4248
69,Coldplay,2015090800,4087
70,Coldplay,2015090900,4189
71,Coldplay,2015091000,5047
72,Coldplay,2015091100,4329
73,Coldplay,2015091200,4260
74,Coldplay,2015091300,4597
75,Coldplay,2015091400,4239
76,Coldplay,2015091500,4184
77,Coldplay,2015091600,3890
78,Coldplay,2015091700,4097
79,Coldplay,2015091800,4115
80,Coldplay,2015091900,4714
81,Coldplay,2015092000,4426
82,Coldplay,2015092100,4335
83,Coldplay,2015092200,4133
84,Coldplay,2015092300,4155
85,Coldplay,2015092400,4037
86,Coldplay,2015092500,4099
87,Coldplay,2015092600,5818
88,Coldplay,2015092700,6218
89,Coldplay,2015092800,5398
90,Coldplay,2015092900,4413
91,Coldplay,2015093000,5051
