,article,timestamp,views
0,Colossus_of_Rhodes,2015070100,2436
1,Colossus_of_Rhodes,2015070200,2425
2,Colossus_of_Rhodes,2015070300,2149
3,Colossus_of_Rhodes,2015070400,2234
4,Colossus_of_Rhodes,2015070500,2641
5,Colossus_of_Rhodes,2015070600,2666
6,Colossus_of_Rhodes,2015070700,2328
7,Colossus_of_Rhodes,2015070800,3597
8,Colossus_of_Rhodes,2015070900,3272
9,Colossus_of_Rhodes,2015071000,2368
10,Colossus_of_Rhodes,2015071100,2103
11,Colossus_of_Rhodes,2015071200,2946
12,Colossus_of_Rhodes,2015071300,2614
13,Colossus_of_Rhodes,2015071400,2505
14,Colossus_of_Rhodes,2015071500,2526
15,Colossus_of_Rhodes,2015071600,2618
16,Colossus_of_Rhodes,2015071700,2656
17,Colossus_of_Rhodes,2015071800,2050
18,Colossus_of_Rhodes,2015071900,2692
19,Colossus_of_Rhodes,2015072000,2985
20,Colossus_of_Rhodes,2015072100,7225
21,Colossus_of_Rhodes,2015072200,2797
22,Colossus_of_Rhodes,2015072300,2365
23,Colossus_of_Rhodes,2015072400,2296
24,Colossus_of_Rhodes,2015072500,2189
25,Colossus_of_Rhodes,2015072600,2683
26,Colossus_of_Rhodes,2015072700,2660
27,Colossus_of_Rhodes,2015072800,2949
28,Colossus_of_Rhodes,2015072900,2504
29,Colossus_of_Rhodes,2015073000,2304
30,Colossus_of_Rhodes,2015073100,2173
31,Colossus_of_Rhodes,2015080100,2546
32,Colossus_of_Rhodes,2015080200,2587
33,Colossus_of_Rhodes,2015080300,2249
34,Colossus_of_Rhodes,2015080400,2378
35,Colossus_of_Rhodes,2015080500,2612
36,Colossus_of_Rhodes,2015080600,2456
37,Colossus_of_Rhodes,2015080700,2953
38,Colossus_of_Rhodes,2015080800,3287
39,Colossus_of_Rhodes,2015080900,2952
40,Colossus_of_Rhodes,2015081000,2671
41,Colossus_of_Rhodes,2015081100,2814
42,Colossus_of_Rhodes,2015081200,2772
43,Colossus_of_Rhodes,2015081300,2536
44,Colossus_of_Rhodes,2015081400,2400
45,Colossus_of_Rhodes,2015081500,2139
46,Colossus_of_Rhodes,2015081600,2602
47,Colossus_of_Rhodes,2015081700,2665
48,Colossus_of_Rhodes,2015081800,4045
49,Colossus_of_Rhodes,2015081900,2847
50,Colossus_of_Rhodes,2015082000,2602
51,Colossus_of_Rhodes,2015082100,2365
52,Colossus_of_Rhodes,2015082200,2061
53,Colossus_of_Rhodes,2015082300,2650
54,Colossus_of_Rhodes,2015082400,2618
55,Colossus_of_Rhodes,2015082500,3113
56,Colossus_of_Rhodes,2015082600,2686
57,Colossus_of_Rhodes,2015082700,2456
58,Colossus_of_Rhodes,2015082800,2427
59,Colossus_of_Rhodes,2015082900,2236
60,Colossus_of_Rhodes,2015083000,2865
61,Colossus_of_Rhodes,2015083100,2781
62,Colossus_of_Rhodes,2015090100,2888
63,Colossus_of_Rhodes,2015090200,2787
64,Colossus_of_Rhodes,2015090300,2676
65,Colossus_of_Rhodes,2015090400,2511
66,Colossus_of_Rhodes,2015090500,2209
67,Colossus_of_Rhodes,2015090600,2426
68,Colossus_of_Rhodes,2015090700,2832
69,Colossus_of_Rhodes,2015090800,2999
70,Colossus_of_Rhodes,2015090900,2807
71,Colossus_of_Rhodes,2015091000,2670
72,Colossus_of_Rhodes,2015091100,2424
73,Colossus_of_Rhodes,2015091200,2020
74,Colossus_of_Rhodes,2015091300,2432
75,Colossus_of_Rhodes,2015091400,2560
76,Colossus_of_Rhodes,2015091500,3311
77,Colossus_of_Rhodes,2015091600,2962
78,Colossus_of_Rhodes,2015091700,2502
79,Colossus_of_Rhodes,2015091800,2726
80,Colossus_of_Rhodes,2015091900,2020
81,Colossus_of_Rhodes,2015092000,2442
82,Colossus_of_Rhodes,2015092100,2943
83,Colossus_of_Rhodes,2015092200,2727
84,Colossus_of_Rhodes,2015092300,2600
85,Colossus_of_Rhodes,2015092400,2533
86,Colossus_of_Rhodes,2015092500,2232
87,Colossus_of_Rhodes,2015092600,1922
88,Colossus_of_Rhodes,2015092700,2342
89,Colossus_of_Rhodes,2015092800,3303
90,Colossus_of_Rhodes,2015092900,3030
91,Colossus_of_Rhodes,2015093000,2615
92,Colossus_of_Rhodes,2015100100,2482
93,Colossus_of_Rhodes,2015100200,2520
94,Colossus_of_Rhodes,2015100300,3200
95,Colossus_of_Rhodes,2015100400,2584
96,Colossus_of_Rhodes,2015100500,2781
97,Colossus_of_Rhodes,2015100600,2676
98,Colossus_of_Rhodes,2015100700,2597
99,Colossus_of_Rhodes,2015100800,2780
100,Colossus_of_Rhodes,2015100900,2369
101,Colossus_of_Rhodes,2015101000,2053
102,Colossus_of_Rhodes,2015101100,2421
103,Colossus_of_Rhodes,2015101200,2711
104,Colossus_of_Rhodes,2015101300,2839
105,Colossus_of_Rhodes,2015101400,2485
106,Colossus_of_Rhodes,2015101500,2336
107,Colossus_of_Rhodes,2015101600,2175
108,Colossus_of_Rhodes,2015101700,2110
109,Colossus_of_Rhodes,2015101800,2347
110,Colossus_of_Rhodes,2015101900,2620
111,Colossus_of_Rhodes,2015102000,2489
112,Colossus_of_Rhodes,2015102100,2458
113,Colossus_of_Rhodes,2015102200,2392
114,Colossus_of_Rhodes,2015102300,2194
115,Colossus_of_Rhodes,2015102400,1861
116,Colossus_of_Rhodes,2015102500,2297
117,Colossus_of_Rhodes,2015102600,2955
118,Colossus_of_Rhodes,2015102700,2803
119,Colossus_of_Rhodes,2015102800,2711
120,Colossus_of_Rhodes,2015102900,2680
121,Colossus_of_Rhodes,2015103000,3750
122,Colossus_of_Rhodes,2015103100,5545
123,Colossus_of_Rhodes,2015110100,11449
124,Colossus_of_Rhodes,2015110200,5121
125,Colossus_of_Rhodes,2015110300,6861
126,Colossus_of_Rhodes,2015110400,6680
127,Colossus_of_Rhodes,2015110500,3957
128,Colossus_of_Rhodes,2015110600,3933
129,Colossus_of_Rhodes,2015110700,2798
130,Colossus_of_Rhodes,2015110800,2794
131,Colossus_of_Rhodes,2015110900,3315
132,Colossus_of_Rhodes,2015111000,5121
133,Colossus_of_Rhodes,2015111100,3923
134,Colossus_of_Rhodes,2015111200,3815
135,Colossus_of_Rhodes,2015111300,2790
136,Colossus_of_Rhodes,2015111400,2306
137,Colossus_of_Rhodes,2015111500,2429
138,Colossus_of_Rhodes,2015111600,3075
139,Colossus_of_Rhodes,2015111700,3206
140,Colossus_of_Rhodes,2015111800,3286
141,Colossus_of_Rhodes,2015111900,2812
142,Colossus_of_Rhodes,2015112000,2348
143,Colossus_of_Rhodes,2015112100,1873
144,Colossus_of_Rhodes,2015112200,2610
145,Colossus_of_Rhodes,2015112300,2827
146,Colossus_of_Rhodes,2015112400,2596
147,Colossus_of_Rhodes,2015112500,2387
148,Colossus_of_Rhodes,2015112600,2269
149,Colossus_of_Rhodes,2015112700,2070
150,Colossus_of_Rhodes,2015112800,2308
151,Colossus_of_Rhodes,2015112900,2573
152,Colossus_of_Rhodes,2015113000,2657
153,Colossus_of_Rhodes,2015120100,2638
154,Colossus_of_Rhodes,2015120200,2610
155,Colossus_of_Rhodes,2015120300,2430
156,Colossus_of_Rhodes,2015120400,2759
157,Colossus_of_Rhodes,2015120500,1912
158,Colossus_of_Rhodes,2015120600,1966
159,Colossus_of_Rhodes,2015120700,2467
160,Colossus_of_Rhodes,2015120800,2432
161,Colossus_of_Rhodes,2015120900,2438
162,Colossus_of_Rhodes,2015121000,2210
163,Colossus_of_Rhodes,2015121100,2086
164,Colossus_of_Rhodes,2015121200,1842
165,Colossus_of_Rhodes,2015121300,2129
166,Colossus_of_Rhodes,2015121400,2309
167,Colossus_of_Rhodes,2015121500,2229
168,Colossus_of_Rhodes,2015121600,1986
169,Colossus_of_Rhodes,2015121700,1973
170,Colossus_of_Rhodes,2015121800,1623
171,Colossus_of_Rhodes,2015121900,1626
172,Colossus_of_Rhodes,2015122000,1872
173,Colossus_of_Rhodes,2015122100,1968
174,Colossus_of_Rhodes,2015122200,2055
175,Colossus_of_Rhodes,2015122300,5171
176,Colossus_of_Rhodes,2015122400,3722
177,Colossus_of_Rhodes,2015122500,3056
178,Colossus_of_Rhodes,2015122600,3161
179,Colossus_of_Rhodes,2015122700,2693
180,Colossus_of_Rhodes,2015122800,2778
181,Colossus_of_Rhodes,2015122900,2895
182,Colossus_of_Rhodes,2015123000,2619
183,Colossus_of_Rhodes,2015123100,2193
184,Colossus_of_Rhodes,2016010100,2160
185,Colossus_of_Rhodes,2016010200,2336
186,Colossus_of_Rhodes,2016010300,2598
187,Colossus_of_Rhodes,2016010400,3249
188,Colossus_of_Rhodes,2016010500,3599
189,Colossus_of_Rhodes,2016010600,3298
190,Colossus_of_Rhodes,2016010700,4833
191,Colossus_of_Rhodes,2016010800,3401
192,Colossus_of_Rhodes,2016010900,3501
193,Colossus_of_Rhodes,2016011000,4225
194,Colossus_of_Rhodes,2016011100,3690
195,Colossus_of_Rhodes,2016011200,2949
196,Colossus_of_Rhodes,2016011300,2980
197,Colossus_of_Rhodes,2016011400,2944
198,Colossus_of_Rhodes,2016011500,2284
199,Colossus_of_Rhodes,2016011600,2151
200,Colossus_of_Rhodes,2016011700,2444
201,Colossus_of_Rhodes,2016011800,2800
202,Colossus_of_Rhodes,2016011900,2628
203,Colossus_of_Rhodes,2016012000,2581
204,Colossus_of_Rhodes,2016012100,2465
205,Colossus_of_Rhodes,2016012200,2132
206,Colossus_of_Rhodes,2016012300,2098
207,Colossus_of_Rhodes,2016012400,3046
208,Colossus_of_Rhodes,2016012500,2662
209,Colossus_of_Rhodes,2016012600,2484
210,Colossus_of_Rhodes,2016012700,2669
211,Colossus_of_Rhodes,2016012800,2798
212,Colossus_of_Rhodes,2016012900,2963
213,Colossus_of_Rhodes,2016013000,2564
214,Colossus_of_Rhodes,2016013100,2720
215,Colossus_of_Rhodes,2016020100,3138
216,Colossus_of_Rhodes,2016020200,2942
217,Colossus_of_Rhodes,2016020300,2593
218,Colossus_of_Rhodes,2016020400,2807
219,Colossus_of_Rhodes,2016020500,2431
220,Colossus_of_Rhodes,2016020600,2333
221,Colossus_of_Rhodes,2016020700,2479
222,Colossus_of_Rhodes,2016020800,2548
223,Colossus_of_Rhodes,2016020900,2516
