,article,timestamp,views
0,Coronavirus,2015070100,450
1,Coronavirus,2015070200,515
2,Coronavirus,2015070300,443
3,Coronavirus,2015070400,301
4,Coronavirus,2015070500,299
5,Coronavirus,2015070600,605
6,Coronavirus,2015070700,571
7,Coronavirus,2015070800,642
8,Coronavirus,2015070900,449
9,Coronavirus,2015071000,381
10,Coronavirus,2015071100,302
11,Coronavirus,2015071200,380
12,Coronavirus,2015071300,386
13,Coronavirus,2015071400,380
14,Coronavirus,2015071500,395
15,Coronavirus,2015071600,383
16,Coronavirus,2015071700,289
17,Coronavirus,2015071800,304
18,Coronavirus,2015071900,234
19,Coronavirus,2015072000,314
20,Coronavirus,2015072100,351
21,Coronavirus,2015072200,323
22,Coronavirus,2015072300,363
23,Coronavirus,2015072400,314
24,Coronavirus,2015072500,281
25,Coronavirus,2015072600,253
26,Coronavirus,2015072700,478
27,Coronavirus,2015072800,473
28,Coronavirus,2015072900,412
29,Coronavirus,2015073000,328
30,Coronavirus,2015073100,282
31,Coronavirus,2015080100,201
32,Coronavirus,2015080200,245
33,Coronavirus,2015080300,284
34,Coronavirus,2015080400,356
35,Coronavirus,2015080500,381
36,Coronavirus,2015080600,338
37,Coronavirus,2015080700,321
38,Coronavirus,2015080800,302
39,Coronavirus,2015080900,264
40,Coronavirus,2015081000,373
41,Coronavirus,2015081100,319
42,Coronavirus,2015081200,362
43,Coronavirus,2015081300,367
44,Coronavirus,2015081400,360
45,Coronavirus,2015081500,280
46,Coronavirus,2015081600,282
47,Coronavirus,2015081700,341
48,Coronavirus,2015081800,472
49,Coronavirus,2015081900,573
50,Coronavirus,2015082000,686
51,Coronavirus,2015082100,494
52,Coronavirus,2015082200,424
53,Coronavirus,2015082300,385
54,Coronavirus,2015082400,552
55,Coronavirus,2015082500,545
56,Coronavirus,2015082600,552
57,Coronavirus,2015082700,492
58,Coronavirus,2015082800,529
59,Coronavirus,2015082900,398
60,Coronavirus,2015083000,395
61,Coronavirus,2015083100,528
62,Coronavirus,2015090100,509
63,Coronavirus,2015090200,512
64,Coronavirus,2015090300,485
65,Coronavirus,2015090400,474
66,Coronavirus,2015090500,388
67,Coronavirus,2015090600,385
68,Coronavirus,2015090700,457
69,Coronavirus,2015090800,489
70,Coronavirus,2015090900,574
71,Coronavirus,2015091000,452
72,Coronavirus,2015091100,421
73,Coronavirus,2015091200,334
74,Coronavirus,2015091300,395
75,Coronavirus,2015091400,565
76,Coronavirus,2015091500,483
77,Coronavirus,2015091600,472
78,Coronavirus,2015091700,414
79,Coronavirus,2015091800,370
80,Coronavirus,2015091900,448
81,Coronavirus,2015092000,361
82,Coronavirus,2015092100,446
83,Coronavirus,2015092200,493
84,Coronavirus,2015092300,403
85,Coronavirus,2015092400,368
86,Coronavirus,2015092500,328
87,Coronavirus,2015092600,287
88,Coronavirus,2015092700,325
89,Coronavirus,2015092800,571
90,Coronavirus,2015092900,647
91,Coronavirus,2015093000,643
92,Coronavirus,2015100100,494
93,Coronavirus,2015100200,404
94,Coronavirus,2015100300,382
95,Coronavirus,2015100400,404
96,Coronavirus,2015100500,571
97,Coronavirus,2015100600,532
98,Coronavirus,2015100700,501
99,Coronavirus,2015100800,438
100,Coronavirus,2015100900,372
101,Coronavirus,2015101000,296
102,Coronavirus,2015101100,364
103,Coronavirus,2015101200,453
104,Coronavirus,2015101300,504
105,Coronavirus,2015101400,507
106,Coronavirus,2015101500,466
107,Coronavirus,2015101600,417
108,Coronavirus,2015101700,342
109,Coronavirus,2015101800,427
110,Coronavirus,2015101900,460
111,Coronavirus,2015102000,476
112,Coronavirus,2015102100,525
113,Coronavirus,2015102200,434
114,Coronavirus,2015102300,415
115,Coronavirus,2015102400,300
116,Coronavirus,2015102500,360
117,Coronavirus,2015102600,465
118,Coronavirus,2015102700,486
119,Coronavirus,2015102800,537
120,Coronavirus,2015102900,482
121,Coronavirus,2015103000,357
122,Coronavirus,2015103100,330
123,Coronavirus,2015110100,281
124,Coronavirus,2015110200,508
125,Coronavirus,2015110300,467
126,Coronavirus,2015110400,505
127,Coronavirus,2015110500,459
128,Coronavirus,2015110600,387
129,Coronavirus,2015110700,378
130,Coronavirus,2015110800,317
131,Coronavirus,2015110900,476
132,Coronavirus,2015111000,475
133,Coronavirus,2015111100,517
134,Coronavirus,2015111200,527
135,Coronavirus,2015111300,529
136,Coronavirus,2015111400,337
137,Coronavirus,2015111500,344
138,Coronavirus,2015111600,440
139,Coronavirus,2015111700,544
140,Coronavirus,2015111800,623
141,Coronavirus,2015111900,452
142,Coronavirus,2015112000,395
143,Coronavirus,2015112100,268
144,Coronavirus,2015112200,381
145,Coronavirus,2015112300,415
146,Coronavirus,2015112400,440
147,Coronavirus,2015112500,456
148,Coronavirus,2015112600,345
149,Coronavirus,2015112700,333
150,Coronavirus,2015112800,353
151,Coronavirus,2015112900,381
152,Coronavirus,2015113000,500
153,Coronavirus,2015120100,558
154,Coronavirus,2015120200,515
155,Coronavirus,2015120300,481
156,Coronavirus,2015120400,360
157,Coronavirus,2015120500,325
158,Coronavirus,2015120600,339
159,Coronavirus,2015120700,509
160,Coronavirus,2015120800,519
161,Coronavirus,2015120900,491
162,Coronavirus,2015121000,445
163,Coronavirus,2015121100,452
164,Coronavirus,2015121200,361
165,Coronavirus,2015121300,418
166,Coronavirus,2015121400,509
167,Coronavirus,2015121500,533
168,Coronavirus,2015121600,504
169,Coronavirus,2015121700,462
170,Coronavirus,2015121800,394
171,Coronavirus,2015121900,317
172,Coronavirus,2015122000,302
173,Coronavirus,2015122100,386
174,Coronavirus,2015122200,397
175,Coronavirus,2015122300,315
176,Coronavirus,2015122400,272
177,Coronavirus,2015122500,244
178,Coronavirus,2015122600,326
179,Coronavirus,2015122700,274
180,Coronavirus,2015122800,404
181,Coronavirus,2015122900,371
182,Coronavirus,2015123000,376
183,Coronavirus,2015123100,325
184,Coronavirus,2016010100,282
185,Coronavirus,2016010200,330
186,Coronavirus,2016010300,401
187,Coronavirus,2016010400,463
