,article,timestamp,views
0,Cougar,2015070100,3564
1,Cougar,2015070200,3293
2,Cougar,2015070300,3441
3,Cougar,2015070400,3396
4,Cougar,2015070500,3600
5,Cougar,2015070600,3588
6,Cougar,2015070700,3601
7,Cougar,2015070800,4050
8,Cougar,2015070900,5642
9,Cougar,2015071000,4031
10,Cougar,2015071100,3714
11,Cougar,2015071200,4282
12,Cougar,2015071300,6803
13,Cougar,2015071400,3446
14,Cougar,2015071500,3508
15,Cougar,2015071600,3484
16,Cougar,2015071700,3513
17,Cougar,2015071800,3301
18,Cougar,2015071900,3386
19,Cougar,2015072000,3472
20,Cougar,2015072100,3893
21,Cougar,2015072200,4754
22,Cougar,2015072300,4927
23,Cougar,2015072400,3636
24,Cougar,2015072500,3561
25,Cougar,2015072600,4355
26,Cougar,2015072700,4548
27,Cougar,2015072800,4687
28,Cougar,2015072900,4838
29,Cougar,2015073000,4579
30,Cougar,2015073100,3805
31,Cougar,2015080100,4041
32,Cougar,2015080200,3925
33,Cougar,2015080300,4820
34,Cougar,2015080400,4359
35,Cougar,2015080500,4237
36,Cougar,2015080600,3996
37,Cougar,2015080700,3401
38,Cougar,2015080800,3878
39,Cougar,2015080900,3932
40,Cougar,2015081000,3592
41,Cougar,2015081100,3391
42,Cougar,2015081200,3572
43,Cougar,2015081300,3532
44,Cougar,2015081400,3840
45,Cougar,2015081500,3410
46,Cougar,2015081600,3475
47,Cougar,2015081700,3536
48,Cougar,2015081800,3425
49,Cougar,2015081900,3263
50,Cougar,2015082000,3399
51,Cougar,2015082100,3374
52,Cougar,2015082200,3300
53,Cougar,2015082300,3615
54,Cougar,2015082400,3227
55,Cougar,2015082500,3141
56,Cougar,2015082600,3277
57,Cougar,2015082700,3269
58,Cougar,2015082800,3482
59,Cougar,2015082900,3642
60,Cougar,2015083000,3805
61,Cougar,2015083100,3857
62,Cougar,2015090100,3549
63,Cougar,2015090200,5864
64,Cougar,2015090300,3542
65,Cougar,2015090400,3971
66,Cougar,2015090500,3667
67,Cougar,2015090600,4026
68,Cougar,2015090700,3888
69,Cougar,2015090800,3663
70,Cougar,2015090900,3866
71,Cougar,2015091000,3598
72,Cougar,2015091100,3263
73,Cougar,2015091200,3177
74,Cougar,2015091300,3479
75,Cougar,2015091400,3367
76,Cougar,2015091500,3365
77,Cougar,2015091600,3323
78,Cougar,2015091700,3401
79,Cougar,2015091800,3469
80,Cougar,2015091900,3426
81,Cougar,2015092000,3759
82,Cougar,2015092100,3621
83,Cougar,2015092200,4002
84,Cougar,2015092300,4258
85,Cougar,2015092400,3942
86,Cougar,2015092500,4147
87,Cougar,2015092600,3412
88,Cougar,2015092700,3682
89,Cougar,2015092800,3548
90,Cougar,2015092900,3427
91,Cougar,2015093000,3656
92,Cougar,2015100100,4816
93,Cougar,2015100200,3796
94,Cougar,2015100300,3391
95,Cougar,2015100400,11051
96,Cougar,2015100500,3986
97,Cougar,2015100600,4249
98,Cougar,2015100700,4739
99,Cougar,2015100800,9045
100,Cougar,2015100900,3863
101,Cougar,2015101000,3628
102,Cougar,2015101100,3665
103,Cougar,2015101200,3700
104,Cougar,2015101300,4727
105,Cougar,2015101400,3634
106,Cougar,2015101500,3714
107,Cougar,2015101600,3576
108,Cougar,2015101700,3245
109,Cougar,2015101800,4116
110,Cougar,2015101900,3724
111,Cougar,2015102000,4014
112,Cougar,2015102100,4147
113,Cougar,2015102200,3912
114,Cougar,2015102300,3825
115,Cougar,2015102400,3649
116,Cougar,2015102500,3980
117,Cougar,2015102600,4276
118,Cougar,2015102700,4315
119,Cougar,2015102800,4067
120,Cougar,2015102900,3908
121,Cougar,2015103000,3686
122,Cougar,2015103100,3007
123,Cougar,2015110100,3696
124,Cougar,2015110200,4386
125,Cougar,2015110300,3985
126,Cougar,2015110400,3849
127,Cougar,2015110500,3884
128,Cougar,2015110600,3780
129,Cougar,2015110700,3470
130,Cougar,2015110800,3957
131,Cougar,2015110900,4102
132,Cougar,2015111000,4386
133,Cougar,2015111100,4049
134,Cougar,2015111200,3963
135,Cougar,2015111300,3541
136,Cougar,2015111400,3014
137,Cougar,2015111500,3868
138,Cougar,2015111600,3928
139,Cougar,2015111700,3603
140,Cougar,2015111800,3635
141,Cougar,2015111900,3662
142,Cougar,2015112000,3601
143,Cougar,2015112100,3902
144,Cougar,2015112200,3949
145,Cougar,2015112300,4240
146,Cougar,2015112400,3616
147,Cougar,2015112500,3628
148,Cougar,2015112600,3745
149,Cougar,2015112700,3457
150,Cougar,2015112800,3988
151,Cougar,2015112900,3804
152,Cougar,2015113000,4296
153,Cougar,2015120100,4435
154,Cougar,2015120200,4044
155,Cougar,2015120300,4276
156,Cougar,2015120400,4706
157,Cougar,2015120500,3464
158,Cougar,2015120600,3795
159,Cougar,2015120700,4175
160,Cougar,2015120800,3849
161,Cougar,2015120900,3635
162,Cougar,2015121000,3730
163,Cougar,2015121100,3449
164,Cougar,2015121200,2902
165,Cougar,2015121300,3313
166,Cougar,2015121400,3578
167,Cougar,2015121500,3342
168,Cougar,2015121600,3295
169,Cougar,2015121700,3225
170,Cougar,2015121800,3195
171,Cougar,2015121900,3334
172,Cougar,2015122000,3363
173,Cougar,2015122100,3343
174,Cougar,2015122200,2834
175,Cougar,2015122300,2597
176,Cougar,2015122400,2750
177,Cougar,2015122500,2831
178,Cougar,2015122600,2881
179,Cougar,2015122700,3017
180,Cougar,2015122800,3004
181,Cougar,2015122900,4243
182,Cougar,2015123000,3536
183,Cougar,2015123100,3077
184,Cougar,2016010100,3191
185,Cougar,2016010200,3656
186,Cougar,2016010300,3546
187,Cougar,2016010400,3892
188,Cougar,2016010500,3593
189,Cougar,2016010600,3437
190,Cougar,2016010700,3536
191,Cougar,2016010800,3670
192,Cougar,2016010900,4175
193,Cougar,2016011000,6976
194,Cougar,2016011100,5602
195,Cougar,2016011200,3923
196,Cougar,2016011300,3807
197,Cougar,2016011400,3640
198,Cougar,2016011500,3753
199,Cougar,2016011600,3681
200,Cougar,2016011700,4310
201,Cougar,2016011800,6844
202,Cougar,2016011900,4154
203,Cougar,2016012000,3938
204,Cougar,2016012100,4105
205,Cougar,2016012200,3747
206,Cougar,2016012300,3385
207,Cougar,2016012400,3758
208,Cougar,2016012500,4661
209,Cougar,2016012600,4003
210,Cougar,2016012700,3805
211,Cougar,2016012800,3719
212,Cougar,2016012900,3828
213,Cougar,2016013000,3290
214,Cougar,2016013100,3639
215,Cougar,2016020100,3872
216,Cougar,2016020200,4211
217,Cougar,2016020300,4492
218,Cougar,2016020400,6780
219,Cougar,2016020500,4980
220,Cougar,2016020600,4168
221,Cougar,2016020700,5410
222,Cougar,2016020800,6122
223,Cougar,2016020900,4717
224,Cougar,2016021000,4308
225,Cougar,2016021100,4287
226,Cougar,2016021200,4074
227,Cougar,2016021300,4099
228,Cougar,2016021400,3736
229,Cougar,2016021500,4082
230,Cougar,2016021600,4261
231,Cougar,2016021700,4373
232,Cougar,2016021800,3884
233,Cougar,2016021900,3876
234,Cougar,2016022000,3645
235,Cougar,2016022100,3944
236,Cougar,2016022200,4094
237,Cougar,2016022300,3999
238,Cougar,2016022400,3863
239,Cougar,2016022500,3550
240,Cougar,2016022600,3536
241,Cougar,2016022700,3449
242,Cougar,2016022800,3999
243,Cougar,2016022900,3746
244,Cougar,2016030100,4691
245,Cougar,2016030200,3602
246,Cougar,2016030300,3872
247,Cougar,2016030400,4040
248,Cougar,2016030500,3632
249,Cougar,2016030600,4085
250,Cougar,2016030700,4374
251,Cougar,2016030800,3942
252,Cougar,2016030900,3789
253,Cougar,2016031000,3895
254,Cougar,2016031100,6239
255,Cougar,2016031200,3829
256,Cougar,2016031300,3790
257,Cougar,2016031400,4253
258,Cougar,2016031500,3915
259,Cougar,2016031600,3743
260,Cougar,2016031700,3831
261,Cougar,2016031800,3713
262,Cougar,2016031900,3441
263,Cougar,2016032000,4472
264,Cougar,2016032100,4031
265,Cougar,2016032200,3406
266,Cougar,2016032300,3921
267,Cougar,2016032400,3535
268,Cougar,2016032500,3719
269,Cougar,2016032600,3431
270,Cougar,2016032700,4398
271,Cougar,2016032800,3844
272,Cougar,2016032900,3521
273,Cougar,2016033000,5205
274,Cougar,2016033100,5566
275,Cougar,2016040100,4633
276,Cougar,2016040200,3958
277,Cougar,2016040300,4088
278,Cougar,2016040400,4083
279,Cougar,2016040500,3762
280,Cougar,2016040600,4240
281,Cougar,2016040700,4110
282,Cougar,2016040800,3648
283,Cougar,2016040900,3278
284,Cougar,2016041000,3747
285,Cougar,2016041100,4032
286,Cougar,2016041200,4107
287,Cougar,2016041300,3863
288,Cougar,2016041400,4092
289,Cougar,2016041500,4551
290,Cougar,2016041600,5518
291,Cougar,2016041700,4079
292,Cougar,2016041800,4448
293,Cougar,2016041900,4064
294,Cougar,2016042000,4125
295,Cougar,2016042100,4330
296,Cougar,2016042200,4155
297,Cougar,2016042300,3956
298,Cougar,2016042400,4152
299,Cougar,2016042500,4512
300,Cougar,2016042600,4506
301,Cougar,2016042700,4217
302,Cougar,2016042800,4227
303,Cougar,2016042900,3771
304,Cougar,2016043000,3692
305,Cougar,2016050100,3927
306,Cougar,2016050200,4063
307,Cougar,2016050300,3911
308,Cougar,2016050400,4189
309,Cougar,2016050500,4081
310,Cougar,2016050600,3921
311,Cougar,2016050700,3612
312,Cougar,2016050800,3958
313,Cougar,2016050900,4531
314,Cougar,2016051000,4436
315,Cougar,2016051100,4830
316,Cougar,2016051200,4042
317,Cougar,2016051300,4086
318,Cougar,2016051400,3446
319,Cougar,2016051500,3959
320,Cougar,2016051600,4190
321,Cougar,2016051700,4067
322,Cougar,2016051800,4278
323,Cougar,2016051900,4388
324,Cougar,2016052000,4055
325,Cougar,2016052100,3586
326,Cougar,2016052200,4113
327,Cougar,2016052300,4338
328,Cougar,2016052400,4076
329,Cougar,2016052500,4109
330,Cougar,2016052600,3786
331,Cougar,2016052700,4018
332,Cougar,2016052800,3571
333,Cougar,2016052900,3605
334,Cougar,2016053000,4245
335,Cougar,2016053100,4243
336,Cougar,2016060100,4222
337,Cougar,2016060200,3725
338,Cougar,2016060300,3753
339,Cougar,2016060400,3253
340,Cougar,2016060500,3732
341,Cougar,2016060600,3708
342,Cougar,2016060700,3777
343,Cougar,2016060800,3916
344,Cougar,2016060900,3605
345,Cougar,2016061000,3405
346,Cougar,2016061100,3382
347,Cougar,2016061200,3541
348,Cougar,2016061300,3453
349,Cougar,2016061400,3297
350,Cougar,2016061500,3649
351,Cougar,2016061600,3947
352,Cougar,2016061700,3442
353,Cougar,2016061800,8897
354,Cougar,2016061900,14398
355,Cougar,2016062000,6297
356,Cougar,2016062100,12189
357,Cougar,2016062200,4782
358,Cougar,2016062300,4073
359,Cougar,2016062400,3437
360,Cougar,2016062500,4256
361,Cougar,2016062600,4952
362,Cougar,2016062700,4291
363,Cougar,2016062800,3963
364,Cougar,2016062900,3891
365,Cougar,2016063000,3693
366,Cougar,2016070100,3826
367,Cougar,2016070200,3725
368,Cougar,2016070300,3801
369,Cougar,2016070400,3956
370,Cougar,2016070500,3552
371,Cougar,2016070600,3727
372,Cougar,2016070700,3885
373,Cougar,2016070800,3583
374,Cougar,2016070900,3445
375,Cougar,2016071000,3672
376,Cougar,2016071100,3571
377,Cougar,2016071200,3354
378,Cougar,2016071300,3186
379,Cougar,2016071400,3294
380,Cougar,2016071500,3157
381,Cougar,2016071600,3013
382,Cougar,2016071700,3749
383,Cougar,2016071800,4061
384,Cougar,2016071900,6193
385,Cougar,2016072000,4733
386,Cougar,2016072100,3556
387,Cougar,2016072200,3663
388,Cougar,2016072300,3330
389,Cougar,2016072400,3608
390,Cougar,2016072500,3700
391,Cougar,2016072600,3400
392,Cougar,2016072700,3403
393,Cougar,2016072800,3235
394,Cougar,2016072900,3528
395,Cougar,2016073000,3562
396,Cougar,2016073100,3331
397,Cougar,2016080100,3512
398,Cougar,2016080200,22251
399,Cougar,2016080300,21381
400,Cougar,2016080400,4300
401,Cougar,2016080500,3880
402,Cougar,2016080600,3194
403,Cougar,2016080700,3457
404,Cougar,2016080800,3462
405,Cougar,2016080900,3467
406,Cougar,2016081000,3217
407,Cougar,2016081100,3339
408,Cougar,2016081200,2882
409,Cougar,2016081300,3069
410,Cougar,2016081400,3839
411,Cougar,2016081500,4468
412,Cougar,2016081600,4001
413,Cougar,2016081700,3350
414,Cougar,2016081800,3038
