,article,timestamp,views
0,Crusades,2015070100,3918
1,Crusades,2015070200,3820
2,Crusades,2015070300,3443
3,Crusades,2015070400,3572
4,Crusades,2015070500,3677
5,Crusades,2015070600,4011
6,Crusades,2015070700,4519
7,Crusades,2015070800,4509
8,Crusades,2015070900,3839
9,Crusades,2015071000,3664
10,Crusades,2015071100,3396
11,Crusades,2015071200,3695
12,Crusades,2015071300,3951
13,Crusades,2015071400,4056
14,Crusades,2015071500,3780
15,Crusades,2015071600,4266
16,Crusades,2015071700,5115
17,Crusades,2015071800,4384
18,Crusades,2015071900,4518
19,Crusades,2015072000,4758
20,Crusades,2015072100,4574
21,Crusades,2015072200,4170
22,Crusades,2015072300,4076
23,Crusades,2015072400,3469
24,Crusades,2015072500,3528
25,Crusades,2015072600,4131
26,Crusades,2015072700,4453
27,Crusades,2015072800,4172
28,Crusades,2015072900,5306
29,Crusades,2015073000,3924
30,Crusades,2015073100,3404
31,Crusades,2015080100,3643
32,Crusades,2015080200,3907
33,Crusades,2015080300,3603
34,Crusades,2015080400,4097
35,Crusades,2015080500,4273
36,Crusades,2015080600,4363
37,Crusades,2015080700,3985
38,Crusades,2015080800,3535
39,Crusades,2015080900,4125
40,Crusades,2015081000,4060
41,Crusades,2015081100,4196
42,Crusades,2015081200,4064
43,Crusades,2015081300,4038
44,Crusades,2015081400,4796
45,Crusades,2015081500,3872
46,Crusades,2015081600,3998
47,Crusades,2015081700,6374
48,Crusades,2015081800,4431
49,Crusades,2015081900,4325
50,Crusades,2015082000,4345
51,Crusades,2015082100,4387
52,Crusades,2015082200,3999
53,Crusades,2015082300,4265
54,Crusades,2015082400,4547
55,Crusades,2015082500,4750
56,Crusades,2015082600,4629
57,Crusades,2015082700,4471
58,Crusades,2015082800,4677
59,Crusades,2015082900,5124
60,Crusades,2015083000,4806
61,Crusades,2015083100,5080
62,Crusades,2015090100,4861
63,Crusades,2015090200,4901
64,Crusades,2015090300,4884
65,Crusades,2015090400,4913
66,Crusades,2015090500,4373
67,Crusades,2015090600,4814
68,Crusades,2015090700,5276
69,Crusades,2015090800,6032
70,Crusades,2015090900,6079
71,Crusades,2015091000,6083
72,Crusades,2015091100,5636
73,Crusades,2015091200,5482
74,Crusades,2015091300,6409
75,Crusades,2015091400,6549
76,Crusades,2015091500,6237
77,Crusades,2015091600,6276
78,Crusades,2015091700,6055
79,Crusades,2015091800,5370
80,Crusades,2015091900,4972
81,Crusades,2015092000,5583
82,Crusades,2015092100,6952
83,Crusades,2015092200,7293
84,Crusades,2015092300,7566
85,Crusades,2015092400,7453
