,article,timestamp,views
0,Deadpool,2015070100,8185
1,Deadpool,2015070200,15462
2,Deadpool,2015070300,14974
3,Deadpool,2015070400,11953
4,Deadpool,2015070500,13936
5,Deadpool,2015070600,15002
6,Deadpool,2015070700,15834
7,Deadpool,2015070800,15510
8,Deadpool,2015070900,22936
9,Deadpool,2015071000,22724
10,Deadpool,2015071100,16151
11,Deadpool,2015071200,90546
12,Deadpool,2015071300,84351
13,Deadpool,2015071400,53218
14,Deadpool,2015071500,31994
15,Deadpool,2015071600,29924
16,Deadpool,2015071700,29579
17,Deadpool,2015071800,26744
18,Deadpool,2015071900,21719
19,Deadpool,2015072000,19547
20,Deadpool,2015072100,20612
21,Deadpool,2015072200,18750
22,Deadpool,2015072300,16440
23,Deadpool,2015072400,18370
24,Deadpool,2015072500,15236
25,Deadpool,2015072600,15442
26,Deadpool,2015072700,16092
27,Deadpool,2015072800,17173
28,Deadpool,2015072900,16414
29,Deadpool,2015073000,14707
30,Deadpool,2015073100,13555
31,Deadpool,2015080100,12369
32,Deadpool,2015080200,13381
33,Deadpool,2015080300,39221
34,Deadpool,2015080400,65048
35,Deadpool,2015080500,356375
36,Deadpool,2015080600,170989
37,Deadpool,2015080700,86528
38,Deadpool,2015080800,80710
39,Deadpool,2015080900,62059
40,Deadpool,2015081000,51965
41,Deadpool,2015081100,44565
42,Deadpool,2015081200,39131
43,Deadpool,2015081300,35761
44,Deadpool,2015081400,28430
45,Deadpool,2015081500,32588
46,Deadpool,2015081600,34100
47,Deadpool,2015081700,24619
48,Deadpool,2015081800,23148
49,Deadpool,2015081900,22287
50,Deadpool,2015082000,18407
51,Deadpool,2015082100,17844
52,Deadpool,2015082200,18039
53,Deadpool,2015082300,18984
54,Deadpool,2015082400,16091
55,Deadpool,2015082500,14854
56,Deadpool,2015082600,13677
57,Deadpool,2015082700,13691
58,Deadpool,2015082800,13498
59,Deadpool,2015082900,13182
60,Deadpool,2015083000,13911
61,Deadpool,2015083100,12631
62,Deadpool,2015090100,11950
63,Deadpool,2015090200,11944
64,Deadpool,2015090300,11774
65,Deadpool,2015090400,11346
66,Deadpool,2015090500,12184
67,Deadpool,2015090600,13531
68,Deadpool,2015090700,12742
69,Deadpool,2015090800,11864
70,Deadpool,2015090900,10860
71,Deadpool,2015091000,11503
72,Deadpool,2015091100,11833
73,Deadpool,2015091200,11387
74,Deadpool,2015091300,11502
75,Deadpool,2015091400,11057
76,Deadpool,2015091500,10789
77,Deadpool,2015091600,11914
78,Deadpool,2015091700,11818
79,Deadpool,2015091800,10879
80,Deadpool,2015091900,12256
81,Deadpool,2015092000,13765
82,Deadpool,2015092100,12831
83,Deadpool,2015092200,13030
84,Deadpool,2015092300,11535
85,Deadpool,2015092400,10792
86,Deadpool,2015092500,10690
87,Deadpool,2015092600,10766
88,Deadpool,2015092700,10972
89,Deadpool,2015092800,10342
90,Deadpool,2015092900,9551
91,Deadpool,2015093000,9383
92,Deadpool,2015100100,9073
93,Deadpool,2015100200,9879
94,Deadpool,2015100300,9739
95,Deadpool,2015100400,48499
96,Deadpool,2015100500,9435
97,Deadpool,2015100600,8874
98,Deadpool,2015100700,9000
99,Deadpool,2015100800,8887
100,Deadpool,2015100900,11103
101,Deadpool,2015101000,8839
102,Deadpool,2015101100,9835
103,Deadpool,2015101200,8851
104,Deadpool,2015101300,8795
105,Deadpool,2015101400,8706
106,Deadpool,2015101500,8133
107,Deadpool,2015101600,7892
108,Deadpool,2015101700,8693
109,Deadpool,2015101800,9557
110,Deadpool,2015101900,9357
111,Deadpool,2015102000,8589
112,Deadpool,2015102100,7966
113,Deadpool,2015102200,8126
114,Deadpool,2015102300,8488
115,Deadpool,2015102400,8770
116,Deadpool,2015102500,9214
117,Deadpool,2015102600,8857
118,Deadpool,2015102700,10873
119,Deadpool,2015102800,11177
120,Deadpool,2015102900,11067
121,Deadpool,2015103000,10786
122,Deadpool,2015103100,9501
123,Deadpool,2015110100,11131
124,Deadpool,2015110200,10080
125,Deadpool,2015110300,9479
126,Deadpool,2015110400,15728
127,Deadpool,2015110500,14932
128,Deadpool,2015110600,11659
129,Deadpool,2015110700,12118
130,Deadpool,2015110800,10222
131,Deadpool,2015110900,10669
132,Deadpool,2015111000,10769
133,Deadpool,2015111100,9362
134,Deadpool,2015111200,9182
135,Deadpool,2015111300,8683
136,Deadpool,2015111400,7626
137,Deadpool,2015111500,9916
138,Deadpool,2015111600,8308
139,Deadpool,2015111700,9177
140,Deadpool,2015111800,8595
141,Deadpool,2015111900,9119
142,Deadpool,2015112000,8363
143,Deadpool,2015112100,9027
144,Deadpool,2015112200,10155
145,Deadpool,2015112300,8797
146,Deadpool,2015112400,8515
147,Deadpool,2015112500,9877
148,Deadpool,2015112600,9495
149,Deadpool,2015112700,10656
150,Deadpool,2015112800,10226
151,Deadpool,2015112900,11046
152,Deadpool,2015113000,10813
153,Deadpool,2015120100,12725
154,Deadpool,2015120200,12806
155,Deadpool,2015120300,12390
156,Deadpool,2015120400,11046
157,Deadpool,2015120500,10297
158,Deadpool,2015120600,11163
159,Deadpool,2015120700,11179
160,Deadpool,2015120800,10279
161,Deadpool,2015120900,9842
162,Deadpool,2015121000,9594
163,Deadpool,2015121100,10667
164,Deadpool,2015121200,12902
165,Deadpool,2015121300,15173
166,Deadpool,2015121400,18892
167,Deadpool,2015121500,16864
168,Deadpool,2015121600,17975
169,Deadpool,2015121700,20406
170,Deadpool,2015121800,17215
171,Deadpool,2015121900,16107
172,Deadpool,2015122000,16985
173,Deadpool,2015122100,18024
174,Deadpool,2015122200,17840
175,Deadpool,2015122300,20541
176,Deadpool,2015122400,23894
177,Deadpool,2015122500,65113
178,Deadpool,2015122600,71217
179,Deadpool,2015122700,43277
180,Deadpool,2015122800,35758
181,Deadpool,2015122900,29296
182,Deadpool,2015123000,27589
183,Deadpool,2015123100,23019
184,Deadpool,2016010100,20437
185,Deadpool,2016010200,24033
186,Deadpool,2016010300,25463
187,Deadpool,2016010400,24682
188,Deadpool,2016010500,24420
189,Deadpool,2016010600,21775
190,Deadpool,2016010700,21472
191,Deadpool,2016010800,19232
192,Deadpool,2016010900,21902
193,Deadpool,2016011000,20187
194,Deadpool,2016011100,28410
195,Deadpool,2016011200,42796
196,Deadpool,2016011300,41459
197,Deadpool,2016011400,38018
198,Deadpool,2016011500,31573
199,Deadpool,2016011600,36117
200,Deadpool,2016011700,54513
201,Deadpool,2016011800,62351
202,Deadpool,2016011900,61987
203,Deadpool,2016012000,54341
204,Deadpool,2016012100,42593
205,Deadpool,2016012200,54766
206,Deadpool,2016012300,50589
207,Deadpool,2016012400,53268
208,Deadpool,2016012500,79652
209,Deadpool,2016012600,53584
210,Deadpool,2016012700,43501
211,Deadpool,2016012800,52839
212,Deadpool,2016012900,69827
213,Deadpool,2016013000,71420
214,Deadpool,2016013100,71371
215,Deadpool,2016020100,68125
216,Deadpool,2016020200,64302
217,Deadpool,2016020300,61571
218,Deadpool,2016020400,67140
219,Deadpool,2016020500,81691
220,Deadpool,2016020600,94011
221,Deadpool,2016020700,118746
222,Deadpool,2016020800,127515
223,Deadpool,2016020900,145878
224,Deadpool,2016021000,172225
225,Deadpool,2016021100,207703
226,Deadpool,2016021200,338594
227,Deadpool,2016021300,377615
228,Deadpool,2016021400,398517
229,Deadpool,2016021500,375620
230,Deadpool,2016021600,264502
231,Deadpool,2016021700,206416
232,Deadpool,2016021800,174993
233,Deadpool,2016021900,163703
234,Deadpool,2016022000,175479
235,Deadpool,2016022100,204558
236,Deadpool,2016022200,169885
237,Deadpool,2016022300,108419
238,Deadpool,2016022400,93369
239,Deadpool,2016022500,77431
240,Deadpool,2016022600,73533
241,Deadpool,2016022700,83355
242,Deadpool,2016022800,94204
243,Deadpool,2016022900,71532
244,Deadpool,2016030100,49965
245,Deadpool,2016030200,45108
246,Deadpool,2016030300,39353
247,Deadpool,2016030400,39253
248,Deadpool,2016030500,43645
249,Deadpool,2016030600,49667
250,Deadpool,2016030700,40029
251,Deadpool,2016030800,30399
252,Deadpool,2016030900,28520
253,Deadpool,2016031000,28860
254,Deadpool,2016031100,30405
255,Deadpool,2016031200,34096
256,Deadpool,2016031300,36922
257,Deadpool,2016031400,31394
258,Deadpool,2016031500,23867
259,Deadpool,2016031600,22654
260,Deadpool,2016031700,23381
261,Deadpool,2016031800,23328
262,Deadpool,2016031900,26106
263,Deadpool,2016032000,27980
264,Deadpool,2016032100,24804
265,Deadpool,2016032200,20400
266,Deadpool,2016032300,19942
267,Deadpool,2016032400,24959
268,Deadpool,2016032500,37146
269,Deadpool,2016032600,43815
270,Deadpool,2016032700,47407
271,Deadpool,2016032800,42667
272,Deadpool,2016032900,36463
273,Deadpool,2016033000,29109
274,Deadpool,2016033100,26043
275,Deadpool,2016040100,25914
276,Deadpool,2016040200,29235
277,Deadpool,2016040300,32449
278,Deadpool,2016040400,26086
279,Deadpool,2016040500,21407
280,Deadpool,2016040600,22255
281,Deadpool,2016040700,19618
282,Deadpool,2016040800,17988
283,Deadpool,2016040900,20538
284,Deadpool,2016041000,22510
285,Deadpool,2016041100,24591
286,Deadpool,2016041200,17562
287,Deadpool,2016041300,17453
288,Deadpool,2016041400,15168
289,Deadpool,2016041500,14653
290,Deadpool,2016041600,14999
291,Deadpool,2016041700,16758
292,Deadpool,2016041800,14602
293,Deadpool,2016041900,12943
294,Deadpool,2016042000,11316
295,Deadpool,2016042100,11301
296,Deadpool,2016042200,11164
297,Deadpool,2016042300,14962
298,Deadpool,2016042400,13565
299,Deadpool,2016042500,12898
300,Deadpool,2016042600,16612
301,Deadpool,2016042700,19638
302,Deadpool,2016042800,20311
303,Deadpool,2016042900,21366
304,Deadpool,2016043000,25798
305,Deadpool,2016050100,28390
306,Deadpool,2016050200,23903
307,Deadpool,2016050300,18951
308,Deadpool,2016050400,18162
309,Deadpool,2016050500,18018
310,Deadpool,2016050600,20032
311,Deadpool,2016050700,23104
312,Deadpool,2016050800,27334
313,Deadpool,2016050900,24513
314,Deadpool,2016051000,26503
315,Deadpool,2016051100,36614
316,Deadpool,2016051200,33128
317,Deadpool,2016051300,32096
318,Deadpool,2016051400,41041
319,Deadpool,2016051500,48819
320,Deadpool,2016051600,37082
321,Deadpool,2016051700,26782
322,Deadpool,2016051800,23595
323,Deadpool,2016051900,21950
324,Deadpool,2016052000,22638
325,Deadpool,2016052100,27782
326,Deadpool,2016052200,32693
327,Deadpool,2016052300,25175
328,Deadpool,2016052400,20451
329,Deadpool,2016052500,19566
330,Deadpool,2016052600,19667
