,article,timestamp,views
0,"Diana,_Princess_of_Wales",2015070100,27713
1,"Diana,_Princess_of_Wales",2015070200,21766
2,"Diana,_Princess_of_Wales",2015070300,12631
3,"Diana,_Princess_of_Wales",2015070400,12565
4,"Diana,_Princess_of_Wales",2015070500,19599
5,"Diana,_Princess_of_Wales",2015070600,19566
6,"Diana,_Princess_of_Wales",2015070700,12980
7,"Diana,_Princess_of_Wales",2015070800,11931
8,"Diana,_Princess_of_Wales",2015070900,14094
9,"Diana,_Princess_of_Wales",2015071000,15408
10,"Diana,_Princess_of_Wales",2015071100,12075
11,"Diana,_Princess_of_Wales",2015071200,12277
12,"Diana,_Princess_of_Wales",2015071300,13229
13,"Diana,_Princess_of_Wales",2015071400,9979
14,"Diana,_Princess_of_Wales",2015071500,9944
15,"Diana,_Princess_of_Wales",2015071600,8737
16,"Diana,_Princess_of_Wales",2015071700,8973
17,"Diana,_Princess_of_Wales",2015071800,10555
18,"Diana,_Princess_of_Wales",2015071900,10430
19,"Diana,_Princess_of_Wales",2015072000,9921
20,"Diana,_Princess_of_Wales",2015072100,9991
21,"Diana,_Princess_of_Wales",2015072200,10287
22,"Diana,_Princess_of_Wales",2015072300,8914
23,"Diana,_Princess_of_Wales",2015072400,8054
24,"Diana,_Princess_of_Wales",2015072500,8586
25,"Diana,_Princess_of_Wales",2015072600,10102
26,"Diana,_Princess_of_Wales",2015072700,9653
27,"Diana,_Princess_of_Wales",2015072800,8539
28,"Diana,_Princess_of_Wales",2015072900,13493
29,"Diana,_Princess_of_Wales",2015073000,10294
30,"Diana,_Princess_of_Wales",2015073100,8716
31,"Diana,_Princess_of_Wales",2015080100,8403
32,"Diana,_Princess_of_Wales",2015080200,10592
33,"Diana,_Princess_of_Wales",2015080300,8307
34,"Diana,_Princess_of_Wales",2015080400,8233
35,"Diana,_Princess_of_Wales",2015080500,8237
36,"Diana,_Princess_of_Wales",2015080600,8140
37,"Diana,_Princess_of_Wales",2015080700,7988
38,"Diana,_Princess_of_Wales",2015080800,8952
39,"Diana,_Princess_of_Wales",2015080900,11863
40,"Diana,_Princess_of_Wales",2015081000,11198
41,"Diana,_Princess_of_Wales",2015081100,17964
42,"Diana,_Princess_of_Wales",2015081200,15361
43,"Diana,_Princess_of_Wales",2015081300,11242
44,"Diana,_Princess_of_Wales",2015081400,13625
45,"Diana,_Princess_of_Wales",2015081500,17453
46,"Diana,_Princess_of_Wales",2015081600,15213
47,"Diana,_Princess_of_Wales",2015081700,14844
