,article,timestamp,views
0,Dubai,2015070100,10810
1,Dubai,2015070200,11736
2,Dubai,2015070300,9863
3,Dubai,2015070400,9493
4,Dubai,2015070500,10000
5,Dubai,2015070600,11162
6,Dubai,2015070700,10730
7,Dubai,2015070800,11592
8,Dubai,2015070900,10336
9,Dubai,2015071000,9720
10,Dubai,2015071100,9072
11,Dubai,2015071200,9866
12,Dubai,2015071300,10767
13,Dubai,2015071400,10841
14,Dubai,2015071500,10490
15,Dubai,2015071600,10400
16,Dubai,2015071700,10064
17,Dubai,2015071800,9322
18,Dubai,2015071900,9773
19,Dubai,2015072000,10808
20,Dubai,2015072100,10804
21,Dubai,2015072200,11479
22,Dubai,2015072300,11353
23,Dubai,2015072400,10592
24,Dubai,2015072500,9972
25,Dubai,2015072600,10823
26,Dubai,2015072700,11487
27,Dubai,2015072800,11438
28,Dubai,2015072900,11303
29,Dubai,2015073000,12182
30,Dubai,2015073100,10045
31,Dubai,2015080100,9404
32,Dubai,2015080200,10362
33,Dubai,2015080300,11468
34,Dubai,2015080400,10994
35,Dubai,2015080500,11270
36,Dubai,2015080600,11734
37,Dubai,2015080700,10640
38,Dubai,2015080800,9536
39,Dubai,2015080900,10655
40,Dubai,2015081000,11653
41,Dubai,2015081100,11674
42,Dubai,2015081200,11033
43,Dubai,2015081300,11406
44,Dubai,2015081400,10673
45,Dubai,2015081500,10223
46,Dubai,2015081600,14272
47,Dubai,2015081700,21181
48,Dubai,2015081800,16418
49,Dubai,2015081900,12662
50,Dubai,2015082000,14684
51,Dubai,2015082100,11933
52,Dubai,2015082200,10444
53,Dubai,2015082300,10849
54,Dubai,2015082400,11316
55,Dubai,2015082500,11279
56,Dubai,2015082600,10902
57,Dubai,2015082700,11141
58,Dubai,2015082800,9795
59,Dubai,2015082900,10012
60,Dubai,2015083000,11512
61,Dubai,2015083100,10740
62,Dubai,2015090100,10800
63,Dubai,2015090200,10955
64,Dubai,2015090300,11285
65,Dubai,2015090400,10592
66,Dubai,2015090500,10106
67,Dubai,2015090600,11152
68,Dubai,2015090700,12920
69,Dubai,2015090800,12090
70,Dubai,2015090900,11643
71,Dubai,2015091000,12162
72,Dubai,2015091100,11663
73,Dubai,2015091200,11259
74,Dubai,2015091300,11366
75,Dubai,2015091400,11714
76,Dubai,2015091500,12495
77,Dubai,2015091600,11267
78,Dubai,2015091700,11009
79,Dubai,2015091800,10687
80,Dubai,2015091900,17784
81,Dubai,2015092000,17341
82,Dubai,2015092100,15679
83,Dubai,2015092200,13067
84,Dubai,2015092300,11736
85,Dubai,2015092400,11753
86,Dubai,2015092500,11286
87,Dubai,2015092600,10235
88,Dubai,2015092700,11211
89,Dubai,2015092800,11613
90,Dubai,2015092900,11068
91,Dubai,2015093000,10969
92,Dubai,2015100100,10274
93,Dubai,2015100200,9873
94,Dubai,2015100300,10178
95,Dubai,2015100400,10511
96,Dubai,2015100500,13208
97,Dubai,2015100600,13168
98,Dubai,2015100700,11688
99,Dubai,2015100800,11422
100,Dubai,2015100900,10938
101,Dubai,2015101000,10977
102,Dubai,2015101100,11049
103,Dubai,2015101200,11546
104,Dubai,2015101300,12358
105,Dubai,2015101400,11997
106,Dubai,2015101500,11730
107,Dubai,2015101600,11256
108,Dubai,2015101700,11061
109,Dubai,2015101800,13292
110,Dubai,2015101900,14099
111,Dubai,2015102000,12159
112,Dubai,2015102100,13008
113,Dubai,2015102200,12587
114,Dubai,2015102300,11810
115,Dubai,2015102400,10954
116,Dubai,2015102500,12634
117,Dubai,2015102600,13941
118,Dubai,2015102700,14077
119,Dubai,2015102800,12914
120,Dubai,2015102900,11738
121,Dubai,2015103000,10450
122,Dubai,2015103100,9583
123,Dubai,2015110100,10744
124,Dubai,2015110200,12194
125,Dubai,2015110300,12369
126,Dubai,2015110400,12097
127,Dubai,2015110500,13204
128,Dubai,2015110600,14004
129,Dubai,2015110700,12528
130,Dubai,2015110800,11842
131,Dubai,2015110900,12711
132,Dubai,2015111000,12636
133,Dubai,2015111100,11680
134,Dubai,2015111200,12079
135,Dubai,2015111300,11375
136,Dubai,2015111400,11883
137,Dubai,2015111500,12391
138,Dubai,2015111600,13465
139,Dubai,2015111700,13465
140,Dubai,2015111800,13314
141,Dubai,2015111900,12873
