,article,timestamp,views
0,Elephant,2015070100,4787
1,Elephant,2015070200,4708
2,Elephant,2015070300,4275
3,Elephant,2015070400,3990
4,Elephant,2015070500,4594
5,Elephant,2015070600,5006
6,Elephant,2015070700,4748
7,Elephant,2015070800,4713
8,Elephant,2015070900,4439
9,Elephant,2015071000,4275
10,Elephant,2015071100,4116
11,Elephant,2015071200,4865
12,Elephant,2015071300,4762
13,Elephant,2015071400,4770
14,Elephant,2015071500,4500
15,Elephant,2015071600,4554
16,Elephant,2015071700,4018
17,Elephant,2015071800,4187
18,Elephant,2015071900,4633
19,Elephant,2015072000,4724
20,Elephant,2015072100,4958
21,Elephant,2015072200,4875
22,Elephant,2015072300,4784
23,Elephant,2015072400,4517
24,Elephant,2015072500,5115
25,Elephant,2015072600,6868
26,Elephant,2015072700,4823
27,Elephant,2015072800,4826
28,Elephant,2015072900,5351
29,Elephant,2015073000,6039
30,Elephant,2015073100,5450
31,Elephant,2015080100,4720
32,Elephant,2015080200,5314
33,Elephant,2015080300,4942
34,Elephant,2015080400,5222
35,Elephant,2015080500,5263
36,Elephant,2015080600,5018
37,Elephant,2015080700,4424
38,Elephant,2015080800,4174
39,Elephant,2015080900,5325
40,Elephant,2015081000,4908
41,Elephant,2015081100,4963
42,Elephant,2015081200,8030
43,Elephant,2015081300,6638
44,Elephant,2015081400,4609
45,Elephant,2015081500,4145
46,Elephant,2015081600,5183
47,Elephant,2015081700,5016
48,Elephant,2015081800,5303
49,Elephant,2015081900,5242
50,Elephant,2015082000,5096
51,Elephant,2015082100,4742
52,Elephant,2015082200,4417
53,Elephant,2015082300,5307
54,Elephant,2015082400,283646
55,Elephant,2015082500,5300
56,Elephant,2015082600,5374
57,Elephant,2015082700,5184
58,Elephant,2015082800,4438
59,Elephant,2015082900,4151
60,Elephant,2015083000,5177
61,Elephant,2015083100,5308
62,Elephant,2015090100,6894
63,Elephant,2015090200,5457
64,Elephant,2015090300,5420
65,Elephant,2015090400,4639
66,Elephant,2015090500,3951
67,Elephant,2015090600,4722
68,Elephant,2015090700,5103
69,Elephant,2015090800,5930
70,Elephant,2015090900,5498
71,Elephant,2015091000,5565
72,Elephant,2015091100,4754
73,Elephant,2015091200,4456
74,Elephant,2015091300,5631
75,Elephant,2015091400,5845
76,Elephant,2015091500,5403
77,Elephant,2015091600,5578
78,Elephant,2015091700,5344
79,Elephant,2015091800,4925
80,Elephant,2015091900,4702
81,Elephant,2015092000,5227
82,Elephant,2015092100,5820
83,Elephant,2015092200,6075
84,Elephant,2015092300,5470
85,Elephant,2015092400,5378
86,Elephant,2015092500,5046
87,Elephant,2015092600,4332
88,Elephant,2015092700,5306
89,Elephant,2015092800,5518
90,Elephant,2015092900,5669
91,Elephant,2015093000,5667
92,Elephant,2015100100,5118
93,Elephant,2015100200,4939
94,Elephant,2015100300,4510
95,Elephant,2015100400,5286
96,Elephant,2015100500,5942
97,Elephant,2015100600,5866
98,Elephant,2015100700,5919
99,Elephant,2015100800,7136
