,article,timestamp,views
0,Eminem,2015070100,23193
1,Eminem,2015070200,37222
2,Eminem,2015070300,26665
3,Eminem,2015070400,21772
4,Eminem,2015070500,21131
5,Eminem,2015070600,21407
6,Eminem,2015070700,20295
7,Eminem,2015070800,19430
8,Eminem,2015070900,19640
9,Eminem,2015071000,20128
10,Eminem,2015071100,20648
11,Eminem,2015071200,20161
12,Eminem,2015071300,21423
13,Eminem,2015071400,20860
14,Eminem,2015071500,21813
15,Eminem,2015071600,20711
16,Eminem,2015071700,20138
17,Eminem,2015071800,21482
18,Eminem,2015071900,20072
19,Eminem,2015072000,20947
20,Eminem,2015072100,26176
21,Eminem,2015072200,22903
22,Eminem,2015072300,24915
23,Eminem,2015072400,30395
24,Eminem,2015072500,30039
25,Eminem,2015072600,24464
26,Eminem,2015072700,22467
27,Eminem,2015072800,20979
28,Eminem,2015072900,22875
29,Eminem,2015073000,23958
30,Eminem,2015073100,23042
31,Eminem,2015080100,23111
32,Eminem,2015080200,24622
33,Eminem,2015080300,26170
34,Eminem,2015080400,28847
35,Eminem,2015080500,21901
36,Eminem,2015080600,22091
37,Eminem,2015080700,25619
38,Eminem,2015080800,25874
39,Eminem,2015080900,40460
40,Eminem,2015081000,22808
41,Eminem,2015081100,23999
42,Eminem,2015081200,23972
43,Eminem,2015081300,24339
44,Eminem,2015081400,26793
45,Eminem,2015081500,27397
46,Eminem,2015081600,29114
47,Eminem,2015081700,32429
48,Eminem,2015081800,31700
49,Eminem,2015081900,28812
50,Eminem,2015082000,26801
51,Eminem,2015082100,26519
52,Eminem,2015082200,28458
53,Eminem,2015082300,28111
54,Eminem,2015082400,27730
55,Eminem,2015082500,25341
56,Eminem,2015082600,24413
57,Eminem,2015082700,23128
58,Eminem,2015082800,24621
59,Eminem,2015082900,26650
60,Eminem,2015083000,28526
61,Eminem,2015083100,27682
62,Eminem,2015090100,24793
63,Eminem,2015090200,23428
64,Eminem,2015090300,23962
65,Eminem,2015090400,24875
66,Eminem,2015090500,26421
67,Eminem,2015090600,27107
68,Eminem,2015090700,26518
69,Eminem,2015090800,24757
70,Eminem,2015090900,23061
71,Eminem,2015091000,24343
72,Eminem,2015091100,23751
73,Eminem,2015091200,24273
74,Eminem,2015091300,25447
75,Eminem,2015091400,23731
76,Eminem,2015091500,21804
77,Eminem,2015091600,21309
78,Eminem,2015091700,21487
79,Eminem,2015091800,21976
80,Eminem,2015091900,22369
81,Eminem,2015092000,24337
82,Eminem,2015092100,20615
83,Eminem,2015092200,20670
84,Eminem,2015092300,21234
85,Eminem,2015092400,23152
86,Eminem,2015092500,22764
87,Eminem,2015092600,20365
88,Eminem,2015092700,20110
89,Eminem,2015092800,19227
90,Eminem,2015092900,19075
91,Eminem,2015093000,19632
92,Eminem,2015100100,19305
93,Eminem,2015100200,21105
94,Eminem,2015100300,20773
95,Eminem,2015100400,23140
96,Eminem,2015100500,21874
97,Eminem,2015100600,20702
98,Eminem,2015100700,19905
99,Eminem,2015100800,26355
100,Eminem,2015100900,24788
101,Eminem,2015101000,20681
102,Eminem,2015101100,20241
103,Eminem,2015101200,20191
104,Eminem,2015101300,20151
105,Eminem,2015101400,19271
106,Eminem,2015101500,20496
107,Eminem,2015101600,23126
108,Eminem,2015101700,44270
109,Eminem,2015101800,32623
110,Eminem,2015101900,22986
111,Eminem,2015102000,21372
112,Eminem,2015102100,20869
113,Eminem,2015102200,20233
114,Eminem,2015102300,20318
115,Eminem,2015102400,19297
116,Eminem,2015102500,19868
117,Eminem,2015102600,19463
118,Eminem,2015102700,19912
119,Eminem,2015102800,19608
120,Eminem,2015102900,22212
121,Eminem,2015103000,21745
122,Eminem,2015103100,18624
123,Eminem,2015110100,18419
124,Eminem,2015110200,18622
125,Eminem,2015110300,19366
126,Eminem,2015110400,19849
127,Eminem,2015110500,19810
128,Eminem,2015110600,20057
129,Eminem,2015110700,29634
130,Eminem,2015110800,27437
131,Eminem,2015110900,21363
132,Eminem,2015111000,23585
133,Eminem,2015111100,25801
134,Eminem,2015111200,20874
