,article,timestamp,views
0,Franklin_D._Roosevelt,2015070100,8718
1,Franklin_D._Roosevelt,2015070200,8714
2,Franklin_D._Roosevelt,2015070300,9418
3,Franklin_D._Roosevelt,2015070400,10316
4,Franklin_D._Roosevelt,2015070500,11974
5,Franklin_D._Roosevelt,2015070600,11196
6,Franklin_D._Roosevelt,2015070700,10299
7,Franklin_D._Roosevelt,2015070800,9818
8,Franklin_D._Roosevelt,2015070900,9541
9,Franklin_D._Roosevelt,2015071000,9108
10,Franklin_D._Roosevelt,2015071100,9047
11,Franklin_D._Roosevelt,2015071200,9413
12,Franklin_D._Roosevelt,2015071300,10249
13,Franklin_D._Roosevelt,2015071400,9621
14,Franklin_D._Roosevelt,2015071500,8607
15,Franklin_D._Roosevelt,2015071600,9824
16,Franklin_D._Roosevelt,2015071700,9396
17,Franklin_D._Roosevelt,2015071800,8713
18,Franklin_D._Roosevelt,2015071900,9901
19,Franklin_D._Roosevelt,2015072000,10077
20,Franklin_D._Roosevelt,2015072100,9260
21,Franklin_D._Roosevelt,2015072200,9141
22,Franklin_D._Roosevelt,2015072300,9294
23,Franklin_D._Roosevelt,2015072400,9878
24,Franklin_D._Roosevelt,2015072500,10830
25,Franklin_D._Roosevelt,2015072600,13988
26,Franklin_D._Roosevelt,2015072700,11096
27,Franklin_D._Roosevelt,2015072800,10972
28,Franklin_D._Roosevelt,2015072900,10116
29,Franklin_D._Roosevelt,2015073000,11416
30,Franklin_D._Roosevelt,2015073100,8386
31,Franklin_D._Roosevelt,2015080100,8363
32,Franklin_D._Roosevelt,2015080200,9614
33,Franklin_D._Roosevelt,2015080300,9642
34,Franklin_D._Roosevelt,2015080400,9945
35,Franklin_D._Roosevelt,2015080500,10660
36,Franklin_D._Roosevelt,2015080600,11832
37,Franklin_D._Roosevelt,2015080700,11996
38,Franklin_D._Roosevelt,2015080800,11773
39,Franklin_D._Roosevelt,2015080900,12087
40,Franklin_D._Roosevelt,2015081000,10402
41,Franklin_D._Roosevelt,2015081100,10236
42,Franklin_D._Roosevelt,2015081200,11978
43,Franklin_D._Roosevelt,2015081300,12597
44,Franklin_D._Roosevelt,2015081400,12350
45,Franklin_D._Roosevelt,2015081500,10017
46,Franklin_D._Roosevelt,2015081600,11889
47,Franklin_D._Roosevelt,2015081700,11481
48,Franklin_D._Roosevelt,2015081800,11112
49,Franklin_D._Roosevelt,2015081900,10903
50,Franklin_D._Roosevelt,2015082000,10501
51,Franklin_D._Roosevelt,2015082100,9674
52,Franklin_D._Roosevelt,2015082200,10830
53,Franklin_D._Roosevelt,2015082300,9848
54,Franklin_D._Roosevelt,2015082400,11169
55,Franklin_D._Roosevelt,2015082500,10972
56,Franklin_D._Roosevelt,2015082600,9872
57,Franklin_D._Roosevelt,2015082700,9963
58,Franklin_D._Roosevelt,2015082800,9100
59,Franklin_D._Roosevelt,2015082900,8777
60,Franklin_D._Roosevelt,2015083000,10201
61,Franklin_D._Roosevelt,2015083100,13996
62,Franklin_D._Roosevelt,2015090100,11311
63,Franklin_D._Roosevelt,2015090200,11553
64,Franklin_D._Roosevelt,2015090300,10620
65,Franklin_D._Roosevelt,2015090400,9743
66,Franklin_D._Roosevelt,2015090500,8767
67,Franklin_D._Roosevelt,2015090600,9587
68,Franklin_D._Roosevelt,2015090700,10298
69,Franklin_D._Roosevelt,2015090800,11307
70,Franklin_D._Roosevelt,2015090900,10231
71,Franklin_D._Roosevelt,2015091000,10070
72,Franklin_D._Roosevelt,2015091100,9620
73,Franklin_D._Roosevelt,2015091200,8567
74,Franklin_D._Roosevelt,2015091300,9938
75,Franklin_D._Roosevelt,2015091400,10133
76,Franklin_D._Roosevelt,2015091500,10440
77,Franklin_D._Roosevelt,2015091600,11228
78,Franklin_D._Roosevelt,2015091700,13089
79,Franklin_D._Roosevelt,2015091800,10409
