,article,timestamp,views
0,George_H._W._Bush,2015070100,9294
1,George_H._W._Bush,2015070200,8679
2,George_H._W._Bush,2015070300,9014
3,George_H._W._Bush,2015070400,8635
4,George_H._W._Bush,2015070500,9452
5,George_H._W._Bush,2015070600,9775
6,George_H._W._Bush,2015070700,9513
7,George_H._W._Bush,2015070800,8545
8,George_H._W._Bush,2015070900,10806
9,George_H._W._Bush,2015071000,10688
10,George_H._W._Bush,2015071100,8091
11,George_H._W._Bush,2015071200,9152
12,George_H._W._Bush,2015071300,8593
13,George_H._W._Bush,2015071400,8263
14,George_H._W._Bush,2015071500,8531
15,George_H._W._Bush,2015071600,50214
16,George_H._W._Bush,2015071700,16518
17,George_H._W._Bush,2015071800,10389
18,George_H._W._Bush,2015071900,12403
19,George_H._W._Bush,2015072000,12163
20,George_H._W._Bush,2015072100,9471
21,George_H._W._Bush,2015072200,9199
22,George_H._W._Bush,2015072300,8892
23,George_H._W._Bush,2015072400,8667
24,George_H._W._Bush,2015072500,8260
25,George_H._W._Bush,2015072600,9678
26,George_H._W._Bush,2015072700,9567
27,George_H._W._Bush,2015072800,9420
28,George_H._W._Bush,2015072900,10434
29,George_H._W._Bush,2015073000,10314
30,George_H._W._Bush,2015073100,11884
31,George_H._W._Bush,2015080100,8258
32,George_H._W._Bush,2015080200,8828
33,George_H._W._Bush,2015080300,7945
34,George_H._W._Bush,2015080400,9794
35,George_H._W._Bush,2015080500,10829
36,George_H._W._Bush,2015080600,12486
37,George_H._W._Bush,2015080700,26637
38,George_H._W._Bush,2015080800,12554
39,George_H._W._Bush,2015080900,10951
40,George_H._W._Bush,2015081000,10140
41,George_H._W._Bush,2015081100,9749
42,George_H._W._Bush,2015081200,19667
43,George_H._W._Bush,2015081300,22110
44,George_H._W._Bush,2015081400,16512
45,George_H._W._Bush,2015081500,13328
46,George_H._W._Bush,2015081600,10349
47,George_H._W._Bush,2015081700,9631
48,George_H._W._Bush,2015081800,9169
49,George_H._W._Bush,2015081900,9049
50,George_H._W._Bush,2015082000,20759
51,George_H._W._Bush,2015082100,14452
52,George_H._W._Bush,2015082200,9529
53,George_H._W._Bush,2015082300,10003
54,George_H._W._Bush,2015082400,9418
55,George_H._W._Bush,2015082500,10028
56,George_H._W._Bush,2015082600,9468
57,George_H._W._Bush,2015082700,9197
58,George_H._W._Bush,2015082800,9648
59,George_H._W._Bush,2015082900,8976
60,George_H._W._Bush,2015083000,9895
61,George_H._W._Bush,2015083100,9554
62,George_H._W._Bush,2015090100,8899
63,George_H._W._Bush,2015090200,9488
64,George_H._W._Bush,2015090300,10496
65,George_H._W._Bush,2015090400,8975
66,George_H._W._Bush,2015090500,7374
67,George_H._W._Bush,2015090600,8268
68,George_H._W._Bush,2015090700,9276
69,George_H._W._Bush,2015090800,8301
70,George_H._W._Bush,2015090900,10218
71,George_H._W._Bush,2015091000,9292
72,George_H._W._Bush,2015091100,10765
73,George_H._W._Bush,2015091200,9715
74,George_H._W._Bush,2015091300,8696
75,George_H._W._Bush,2015091400,8797
76,George_H._W._Bush,2015091500,9119
77,George_H._W._Bush,2015091600,10778
78,George_H._W._Bush,2015091700,40099
79,George_H._W._Bush,2015091800,18151
80,George_H._W._Bush,2015091900,12310
81,George_H._W._Bush,2015092000,10405
82,George_H._W._Bush,2015092100,10224
83,George_H._W._Bush,2015092200,10779
84,George_H._W._Bush,2015092300,10108
85,George_H._W._Bush,2015092400,8909
86,George_H._W._Bush,2015092500,8681
87,George_H._W._Bush,2015092600,7556
88,George_H._W._Bush,2015092700,8147
89,George_H._W._Bush,2015092800,8285
90,George_H._W._Bush,2015092900,8614
91,George_H._W._Bush,2015093000,8973
92,George_H._W._Bush,2015100100,8761
93,George_H._W._Bush,2015100200,8762
94,George_H._W._Bush,2015100300,8946
95,George_H._W._Bush,2015100400,8916
96,George_H._W._Bush,2015100500,10205
97,George_H._W._Bush,2015100600,8430
98,George_H._W._Bush,2015100700,8970
99,George_H._W._Bush,2015100800,8493
100,George_H._W._Bush,2015100900,7865
101,George_H._W._Bush,2015101000,7680
102,George_H._W._Bush,2015101100,9898
103,George_H._W._Bush,2015101200,20572
104,George_H._W._Bush,2015101300,11224
105,George_H._W._Bush,2015101400,11602
106,George_H._W._Bush,2015101500,9319
107,George_H._W._Bush,2015101600,8595
108,George_H._W._Bush,2015101700,8526
109,George_H._W._Bush,2015101800,9755
110,George_H._W._Bush,2015101900,9966
111,George_H._W._Bush,2015102000,10500
112,George_H._W._Bush,2015102100,10824
113,George_H._W._Bush,2015102200,10238
114,George_H._W._Bush,2015102300,9189
115,George_H._W._Bush,2015102400,9268
116,George_H._W._Bush,2015102500,10049
117,George_H._W._Bush,2015102600,10786
118,George_H._W._Bush,2015102700,10083
119,George_H._W._Bush,2015102800,9583
120,George_H._W._Bush,2015102900,14359
121,George_H._W._Bush,2015103000,10142
122,George_H._W._Bush,2015103100,7622
123,George_H._W._Bush,2015110100,8499
124,George_H._W._Bush,2015110200,9646
125,George_H._W._Bush,2015110300,9960
126,George_H._W._Bush,2015110400,11177
127,George_H._W._Bush,2015110500,21120
128,George_H._W._Bush,2015110600,21206
129,George_H._W._Bush,2015110700,18157
130,George_H._W._Bush,2015110800,15368
131,George_H._W._Bush,2015110900,17629
132,George_H._W._Bush,2015111000,11125
133,George_H._W._Bush,2015111100,15009
