,article,timestamp,views
0,Germany,2015070100,20042
1,Germany,2015070200,18314
2,Germany,2015070300,16581
3,Germany,2015070400,16000
4,Germany,2015070500,17720
5,Germany,2015070600,21159
6,Germany,2015070700,21576
7,Germany,2015070800,18609
8,Germany,2015070900,18240
9,Germany,2015071000,17974
10,Germany,2015071100,17197
11,Germany,2015071200,18984
12,Germany,2015071300,19380
13,Germany,2015071400,19069
14,Germany,2015071500,17987
15,Germany,2015071600,17642
16,Germany,2015071700,17176
17,Germany,2015071800,15842
18,Germany,2015071900,16460
19,Germany,2015072000,17508
20,Germany,2015072100,16777
21,Germany,2015072200,16893
22,Germany,2015072300,16266
23,Germany,2015072400,16424
24,Germany,2015072500,15802
25,Germany,2015072600,16448
26,Germany,2015072700,17145
27,Germany,2015072800,17573
28,Germany,2015072900,18283
29,Germany,2015073000,16817
30,Germany,2015073100,16167
31,Germany,2015080100,13739
32,Germany,2015080200,14356
33,Germany,2015080300,14408
34,Germany,2015080400,15452
35,Germany,2015080500,16832
36,Germany,2015080600,15348
37,Germany,2015080700,14613
38,Germany,2015080800,13714
39,Germany,2015080900,14243
40,Germany,2015081000,14594
41,Germany,2015081100,14871
42,Germany,2015081200,15032
43,Germany,2015081300,15307
44,Germany,2015081400,14964
45,Germany,2015081500,14227
46,Germany,2015081600,15088
47,Germany,2015081700,16369
48,Germany,2015081800,16731
49,Germany,2015081900,16433
50,Germany,2015082000,16416
51,Germany,2015082100,16682
52,Germany,2015082200,14992
53,Germany,2015082300,15985
54,Germany,2015082400,16984
55,Germany,2015082500,17703
56,Germany,2015082600,18671
57,Germany,2015082700,17896
58,Germany,2015082800,16669
59,Germany,2015082900,14348
60,Germany,2015083000,15958
61,Germany,2015083100,17257
62,Germany,2015090100,18378
63,Germany,2015090200,20477
64,Germany,2015090300,21583
65,Germany,2015090400,20690
66,Germany,2015090500,21311
67,Germany,2015090600,23392
68,Germany,2015090700,27690
69,Germany,2015090800,27035
70,Germany,2015090900,23454
71,Germany,2015091000,21764
72,Germany,2015091100,20014
73,Germany,2015091200,18004
74,Germany,2015091300,20314
75,Germany,2015091400,21998
76,Germany,2015091500,20839
77,Germany,2015091600,20184
78,Germany,2015091700,19430
79,Germany,2015091800,18924
80,Germany,2015091900,17358
81,Germany,2015092000,18001
82,Germany,2015092100,19146
83,Germany,2015092200,21156
84,Germany,2015092300,21354
85,Germany,2015092400,19524
86,Germany,2015092500,18456
87,Germany,2015092600,15913
88,Germany,2015092700,17432
89,Germany,2015092800,19089
90,Germany,2015092900,19801
91,Germany,2015093000,18904
92,Germany,2015100100,17451
93,Germany,2015100200,16515
94,Germany,2015100300,16185
95,Germany,2015100400,17201
96,Germany,2015100500,20200
97,Germany,2015100600,19870
98,Germany,2015100700,18674
99,Germany,2015100800,19403
100,Germany,2015100900,18759
101,Germany,2015101000,14780
102,Germany,2015101100,16023
103,Germany,2015101200,18196
104,Germany,2015101300,21165
105,Germany,2015101400,19697
106,Germany,2015101500,19063
107,Germany,2015101600,17373
108,Germany,2015101700,15492
109,Germany,2015101800,16090
110,Germany,2015101900,18807
111,Germany,2015102000,18236
112,Germany,2015102100,17400
113,Germany,2015102200,17891
114,Germany,2015102300,16417
115,Germany,2015102400,14040
116,Germany,2015102500,15593
117,Germany,2015102600,17146
118,Germany,2015102700,17218
119,Germany,2015102800,17680
120,Germany,2015102900,17459
121,Germany,2015103000,15445
122,Germany,2015103100,19276
123,Germany,2015110100,15743
124,Germany,2015110200,17148
125,Germany,2015110300,17406
126,Germany,2015110400,17452
127,Germany,2015110500,18903
128,Germany,2015110600,17736
129,Germany,2015110700,14299
130,Germany,2015110800,15900
131,Germany,2015110900,19008
132,Germany,2015111000,20094
133,Germany,2015111100,19722
134,Germany,2015111200,19185
135,Germany,2015111300,17204
136,Germany,2015111400,19026
137,Germany,2015111500,19287
138,Germany,2015111600,20395
139,Germany,2015111700,21428
140,Germany,2015111800,19917
141,Germany,2015111900,19697
142,Germany,2015112000,17147
143,Germany,2015112100,15365
144,Germany,2015112200,16591
145,Germany,2015112300,17904
146,Germany,2015112400,18043
147,Germany,2015112500,17233
148,Germany,2015112600,15754
149,Germany,2015112700,15555
150,Germany,2015112800,14435
151,Germany,2015112900,17775
152,Germany,2015113000,17648
153,Germany,2015120100,18055
154,Germany,2015120200,18104
155,Germany,2015120300,17932
156,Germany,2015120400,18007
157,Germany,2015120500,15411
158,Germany,2015120600,15138
159,Germany,2015120700,18335
160,Germany,2015120800,18848
161,Germany,2015120900,19556
162,Germany,2015121000,18505
163,Germany,2015121100,17642
164,Germany,2015121200,14367
165,Germany,2015121300,15759
166,Germany,2015121400,18843
167,Germany,2015121500,18883
168,Germany,2015121600,16111
169,Germany,2015121700,17199
170,Germany,2015121800,13900
171,Germany,2015121900,12563
172,Germany,2015122000,14079
173,Germany,2015122100,14505
174,Germany,2015122200,13302
175,Germany,2015122300,12894
176,Germany,2015122400,11690
177,Germany,2015122500,11587
178,Germany,2015122600,12469
179,Germany,2015122700,12851
180,Germany,2015122800,13713
181,Germany,2015122900,13496
182,Germany,2015123000,13540
183,Germany,2015123100,12453
184,Germany,2016010100,13750
185,Germany,2016010200,14620
186,Germany,2016010300,15016
187,Germany,2016010400,15608
188,Germany,2016010500,16732
189,Germany,2016010600,18182
190,Germany,2016010700,17919
191,Germany,2016010800,16993
192,Germany,2016010900,16209
193,Germany,2016011000,17890
194,Germany,2016011100,17847
195,Germany,2016011200,17713
196,Germany,2016011300,17152
197,Germany,2016011400,16748
198,Germany,2016011500,16210
