,article,timestamp,views
0,Godzilla,2015070100,2913
1,Godzilla,2015070200,2464
2,Godzilla,2015070300,2515
3,Godzilla,2015070400,4283
4,Godzilla,2015070500,4830
5,Godzilla,2015070600,6482
6,Godzilla,2015070700,25979
7,Godzilla,2015070800,4718
8,Godzilla,2015070900,2755
9,Godzilla,2015071000,3673
10,Godzilla,2015071100,3730
11,Godzilla,2015071200,3914
12,Godzilla,2015071300,2866
13,Godzilla,2015071400,3244
14,Godzilla,2015071500,3603
15,Godzilla,2015071600,3289
16,Godzilla,2015071700,3721
17,Godzilla,2015071800,3168
18,Godzilla,2015071900,3562
19,Godzilla,2015072000,4102
20,Godzilla,2015072100,3174
21,Godzilla,2015072200,3108
22,Godzilla,2015072300,2712
23,Godzilla,2015072400,3401
24,Godzilla,2015072500,3292
25,Godzilla,2015072600,3481
26,Godzilla,2015072700,3850
27,Godzilla,2015072800,3013
28,Godzilla,2015072900,3117
29,Godzilla,2015073000,2772
30,Godzilla,2015073100,2829
31,Godzilla,2015080100,3792
32,Godzilla,2015080200,2789
33,Godzilla,2015080300,2916
34,Godzilla,2015080400,2865
35,Godzilla,2015080500,2881
36,Godzilla,2015080600,2890
37,Godzilla,2015080700,2503
38,Godzilla,2015080800,2894
39,Godzilla,2015080900,3693
40,Godzilla,2015081000,2798
41,Godzilla,2015081100,2959
42,Godzilla,2015081200,3071
43,Godzilla,2015081300,3562
44,Godzilla,2015081400,3366
45,Godzilla,2015081500,3078
46,Godzilla,2015081600,3511
47,Godzilla,2015081700,3163
48,Godzilla,2015081800,2872
49,Godzilla,2015081900,2744
50,Godzilla,2015082000,2891
51,Godzilla,2015082100,2709
52,Godzilla,2015082200,3258
53,Godzilla,2015082300,3316
54,Godzilla,2015082400,2880
55,Godzilla,2015082500,2711
56,Godzilla,2015082600,2888
57,Godzilla,2015082700,2715
58,Godzilla,2015082800,3540
59,Godzilla,2015082900,3673
60,Godzilla,2015083000,3317
61,Godzilla,2015083100,2944
62,Godzilla,2015090100,2699
63,Godzilla,2015090200,2801
64,Godzilla,2015090300,3270
65,Godzilla,2015090400,2972
66,Godzilla,2015090500,3496
67,Godzilla,2015090600,3366
68,Godzilla,2015090700,3280
69,Godzilla,2015090800,3002
70,Godzilla,2015090900,2914
71,Godzilla,2015091000,3209
72,Godzilla,2015091100,4238
73,Godzilla,2015091200,3752
74,Godzilla,2015091300,3591
75,Godzilla,2015091400,3237
76,Godzilla,2015091500,3469
77,Godzilla,2015091600,3293
78,Godzilla,2015091700,3741
79,Godzilla,2015091800,3642
80,Godzilla,2015091900,4076
81,Godzilla,2015092000,4077
82,Godzilla,2015092100,3345
83,Godzilla,2015092200,4277
84,Godzilla,2015092300,3330
85,Godzilla,2015092400,3571
86,Godzilla,2015092500,4485
87,Godzilla,2015092600,3642
88,Godzilla,2015092700,3644
89,Godzilla,2015092800,3860
90,Godzilla,2015092900,4088
91,Godzilla,2015093000,3460
92,Godzilla,2015100100,2753
93,Godzilla,2015100200,2857
94,Godzilla,2015100300,2677
95,Godzilla,2015100400,2497
96,Godzilla,2015100500,2700
97,Godzilla,2015100600,2307
98,Godzilla,2015100700,2413
99,Godzilla,2015100800,2600
100,Godzilla,2015100900,3351
101,Godzilla,2015101000,3663
102,Godzilla,2015101100,2633
103,Godzilla,2015101200,2604
104,Godzilla,2015101300,2347
105,Godzilla,2015101400,2869
106,Godzilla,2015101500,4368
107,Godzilla,2015101600,2796
108,Godzilla,2015101700,2603
109,Godzilla,2015101800,3305
110,Godzilla,2015101900,2863
111,Godzilla,2015102000,2411
112,Godzilla,2015102100,2631
113,Godzilla,2015102200,2905
114,Godzilla,2015102300,3039
