,article,timestamp,views
0,"Good_Kid,_M.A.A.D_City",2015070100,2581
1,"Good_Kid,_M.A.A.D_City",2015070200,2382
2,"Good_Kid,_M.A.A.D_City",2015070300,2271
3,"Good_Kid,_M.A.A.D_City",2015070400,2066
4,"Good_Kid,_M.A.A.D_City",2015070500,2045
5,"Good_Kid,_M.A.A.D_City",2015070600,2332
6,"Good_Kid,_M.A.A.D_City",2015070700,2377
7,"Good_Kid,_M.A.A.D_City",2015070800,2292
8,"Good_Kid,_M.A.A.D_City",2015070900,2268
9,"Good_Kid,_M.A.A.D_City",2015071000,2616
10,"Good_Kid,_M.A.A.D_City",2015071100,2164
11,"Good_Kid,_M.A.A.D_City",2015071200,1914
12,"Good_Kid,_M.A.A.D_City",2015071300,2126
13,"Good_Kid,_M.A.A.D_City",2015071400,1981
14,"Good_Kid,_M.A.A.D_City",2015071500,2127
15,"Good_Kid,_M.A.A.D_City",2015071600,2002
16,"Good_Kid,_M.A.A.D_City",2015071700,1899
17,"Good_Kid,_M.A.A.D_City",2015071800,1753
18,"Good_Kid,_M.A.A.D_City",2015071900,1875
19,"Good_Kid,_M.A.A.D_City",2015072000,2008
20,"Good_Kid,_M.A.A.D_City",2015072100,1994
21,"Good_Kid,_M.A.A.D_City",2015072200,2732
22,"Good_Kid,_M.A.A.D_City",2015072300,2660
23,"Good_Kid,_M.A.A.D_City",2015072400,2172
24,"Good_Kid,_M.A.A.D_City",2015072500,2024
25,"Good_Kid,_M.A.A.D_City",2015072600,2103
26,"Good_Kid,_M.A.A.D_City",2015072700,2189
27,"Good_Kid,_M.A.A.D_City",2015072800,2107
28,"Good_Kid,_M.A.A.D_City",2015072900,2182
29,"Good_Kid,_M.A.A.D_City",2015073000,2299
30,"Good_Kid,_M.A.A.D_City",2015073100,2461
31,"Good_Kid,_M.A.A.D_City",2015080100,2206
32,"Good_Kid,_M.A.A.D_City",2015080200,2647
33,"Good_Kid,_M.A.A.D_City",2015080300,2106
34,"Good_Kid,_M.A.A.D_City",2015080400,2417
35,"Good_Kid,_M.A.A.D_City",2015080500,2426
36,"Good_Kid,_M.A.A.D_City",2015080600,2263
37,"Good_Kid,_M.A.A.D_City",2015080700,3441
38,"Good_Kid,_M.A.A.D_City",2015080800,2951
39,"Good_Kid,_M.A.A.D_City",2015080900,2588
40,"Good_Kid,_M.A.A.D_City",2015081000,2792
41,"Good_Kid,_M.A.A.D_City",2015081100,2787
42,"Good_Kid,_M.A.A.D_City",2015081200,2776
43,"Good_Kid,_M.A.A.D_City",2015081300,2686
