,article,timestamp,views
0,Himalayas,2015070100,4394
1,Himalayas,2015070200,4367
2,Himalayas,2015070300,3455
3,Himalayas,2015070400,3570
4,Himalayas,2015070500,4793
5,Himalayas,2015070600,4833
6,Himalayas,2015070700,4217
7,Himalayas,2015070800,4287
8,Himalayas,2015070900,3740
9,Himalayas,2015071000,3321
10,Himalayas,2015071100,3405
11,Himalayas,2015071200,4110
12,Himalayas,2015071300,3819
13,Himalayas,2015071400,3774
14,Himalayas,2015071500,3904
15,Himalayas,2015071600,3427
16,Himalayas,2015071700,3071
17,Himalayas,2015071800,3331
18,Himalayas,2015071900,3648
19,Himalayas,2015072000,3883
20,Himalayas,2015072100,4178
21,Himalayas,2015072200,3812
22,Himalayas,2015072300,3646
23,Himalayas,2015072400,3196
24,Himalayas,2015072500,3408
25,Himalayas,2015072600,4130
26,Himalayas,2015072700,3857
27,Himalayas,2015072800,3574
28,Himalayas,2015072900,3873
29,Himalayas,2015073000,3394
30,Himalayas,2015073100,3892
31,Himalayas,2015080100,3042
32,Himalayas,2015080200,3571
33,Himalayas,2015080300,3488
34,Himalayas,2015080400,3628
35,Himalayas,2015080500,3580
36,Himalayas,2015080600,3404
37,Himalayas,2015080700,3371
38,Himalayas,2015080800,3982
39,Himalayas,2015080900,3657
40,Himalayas,2015081000,3689
41,Himalayas,2015081100,3588
42,Himalayas,2015081200,3536
43,Himalayas,2015081300,3504
44,Himalayas,2015081400,2947
45,Himalayas,2015081500,2999
46,Himalayas,2015081600,3840
47,Himalayas,2015081700,3496
48,Himalayas,2015081800,3763
49,Himalayas,2015081900,3549
50,Himalayas,2015082000,3256
51,Himalayas,2015082100,3026
52,Himalayas,2015082200,2946
53,Himalayas,2015082300,3348
54,Himalayas,2015082400,3252
55,Himalayas,2015082500,3447
56,Himalayas,2015082600,3348
57,Himalayas,2015082700,3241
58,Himalayas,2015082800,2852
59,Himalayas,2015082900,2728
60,Himalayas,2015083000,3479
61,Himalayas,2015083100,4011
62,Himalayas,2015090100,3907
63,Himalayas,2015090200,3643
64,Himalayas,2015090300,3238
65,Himalayas,2015090400,3041
66,Himalayas,2015090500,2877
67,Himalayas,2015090600,3282
68,Himalayas,2015090700,3917
69,Himalayas,2015090800,4174
70,Himalayas,2015090900,4138
71,Himalayas,2015091000,4538
72,Himalayas,2015091100,3526
73,Himalayas,2015091200,3188
74,Himalayas,2015091300,3836
75,Himalayas,2015091400,4119
76,Himalayas,2015091500,3843
77,Himalayas,2015091600,3796
78,Himalayas,2015091700,3944
79,Himalayas,2015091800,3702
80,Himalayas,2015091900,3625
81,Himalayas,2015092000,4420
82,Himalayas,2015092100,4443
83,Himalayas,2015092200,4442
84,Himalayas,2015092300,4335
85,Himalayas,2015092400,4299
86,Himalayas,2015092500,3653
87,Himalayas,2015092600,3586
88,Himalayas,2015092700,4149
89,Himalayas,2015092800,4903
90,Himalayas,2015092900,4109
91,Himalayas,2015093000,4284
92,Himalayas,2015100100,3590
93,Himalayas,2015100200,3477
94,Himalayas,2015100300,3264
95,Himalayas,2015100400,3689
96,Himalayas,2015100500,4118
97,Himalayas,2015100600,4393
98,Himalayas,2015100700,4450
99,Himalayas,2015100800,4188
100,Himalayas,2015100900,3691
101,Himalayas,2015101000,3234
102,Himalayas,2015101100,3522
103,Himalayas,2015101200,3831
104,Himalayas,2015101300,3840
105,Himalayas,2015101400,3566
106,Himalayas,2015101500,3749
107,Himalayas,2015101600,3350
108,Himalayas,2015101700,3130
109,Himalayas,2015101800,4115
110,Himalayas,2015101900,4016
111,Himalayas,2015102000,4037
112,Himalayas,2015102100,3576
113,Himalayas,2015102200,3467
114,Himalayas,2015102300,3395
115,Himalayas,2015102400,3414
116,Himalayas,2015102500,3618
117,Himalayas,2015102600,5075
118,Himalayas,2015102700,4908
119,Himalayas,2015102800,3977
120,Himalayas,2015102900,4044
121,Himalayas,2015103000,3367
122,Himalayas,2015103100,3035
123,Himalayas,2015110100,3469
124,Himalayas,2015110200,4030
125,Himalayas,2015110300,4219
126,Himalayas,2015110400,3884
127,Himalayas,2015110500,4039
128,Himalayas,2015110600,3402
129,Himalayas,2015110700,3488
130,Himalayas,2015110800,3548
131,Himalayas,2015110900,3722
132,Himalayas,2015111000,3440
133,Himalayas,2015111100,3379
134,Himalayas,2015111200,3471
135,Himalayas,2015111300,3279
136,Himalayas,2015111400,2747
137,Himalayas,2015111500,3386
138,Himalayas,2015111600,3444
139,Himalayas,2015111700,3714
140,Himalayas,2015111800,3738
141,Himalayas,2015111900,3678
142,Himalayas,2015112000,3176
143,Himalayas,2015112100,2908
144,Himalayas,2015112200,3614
145,Himalayas,2015112300,3705
146,Himalayas,2015112400,3430
147,Himalayas,2015112500,3288
148,Himalayas,2015112600,2954
149,Himalayas,2015112700,2918
150,Himalayas,2015112800,3047
151,Himalayas,2015112900,3389
152,Himalayas,2015113000,3459
153,Himalayas,2015120100,3698
154,Himalayas,2015120200,3582
155,Himalayas,2015120300,3407
156,Himalayas,2015120400,3135
157,Himalayas,2015120500,2702
158,Himalayas,2015120600,3422
159,Himalayas,2015120700,3498
160,Himalayas,2015120800,3591
161,Himalayas,2015120900,3389
162,Himalayas,2015121000,3569
163,Himalayas,2015121100,3193
164,Himalayas,2015121200,2859
165,Himalayas,2015121300,3231
166,Himalayas,2015121400,3722
167,Himalayas,2015121500,3705
168,Himalayas,2015121600,3269
169,Himalayas,2015121700,3319
170,Himalayas,2015121800,2905
171,Himalayas,2015121900,2375
172,Himalayas,2015122000,3307
173,Himalayas,2015122100,3223
174,Himalayas,2015122200,2937
175,Himalayas,2015122300,2610
176,Himalayas,2015122400,2716
177,Himalayas,2015122500,2902
178,Himalayas,2015122600,3430
179,Himalayas,2015122700,5268
180,Himalayas,2015122800,3828
181,Himalayas,2015122900,3562
182,Himalayas,2015123000,3426
183,Himalayas,2015123100,2906
184,Himalayas,2016010100,3022
185,Himalayas,2016010200,3621
186,Himalayas,2016010300,5020
187,Himalayas,2016010400,4414
188,Himalayas,2016010500,4242
189,Himalayas,2016010600,4819
190,Himalayas,2016010700,4593
191,Himalayas,2016010800,4207
192,Himalayas,2016010900,3914
193,Himalayas,2016011000,5106
194,Himalayas,2016011100,4722
195,Himalayas,2016011200,4448
196,Himalayas,2016011300,4202
197,Himalayas,2016011400,4219
198,Himalayas,2016011500,3700
199,Himalayas,2016011600,3424
200,Himalayas,2016011700,4684
201,Himalayas,2016011800,4293
202,Himalayas,2016011900,4274
203,Himalayas,2016012000,4552
204,Himalayas,2016012100,4490
205,Himalayas,2016012200,4086
206,Himalayas,2016012300,3891
207,Himalayas,2016012400,6099
208,Himalayas,2016012500,5132
209,Himalayas,2016012600,4490
210,Himalayas,2016012700,4510
211,Himalayas,2016012800,4420
212,Himalayas,2016012900,3610
213,Himalayas,2016013000,3426
214,Himalayas,2016013100,4303
215,Himalayas,2016020100,4246
216,Himalayas,2016020200,4251
217,Himalayas,2016020300,4020
218,Himalayas,2016020400,4582
219,Himalayas,2016020500,3971
220,Himalayas,2016020600,3770
221,Himalayas,2016020700,4092
222,Himalayas,2016020800,4666
223,Himalayas,2016020900,4753
224,Himalayas,2016021000,4282
225,Himalayas,2016021100,4044
226,Himalayas,2016021200,3634
227,Himalayas,2016021300,3399
228,Himalayas,2016021400,3750
229,Himalayas,2016021500,3794
230,Himalayas,2016021600,3996
231,Himalayas,2016021700,4019
232,Himalayas,2016021800,3787
233,Himalayas,2016021900,3578
234,Himalayas,2016022000,3439
235,Himalayas,2016022100,4051
236,Himalayas,2016022200,4470
237,Himalayas,2016022300,4145
238,Himalayas,2016022400,4434
239,Himalayas,2016022500,4024
240,Himalayas,2016022600,3558
241,Himalayas,2016022700,3192
242,Himalayas,2016022800,3676
243,Himalayas,2016022900,4026
244,Himalayas,2016030100,3625
245,Himalayas,2016030200,3833
246,Himalayas,2016030300,4073
247,Himalayas,2016030400,3478
248,Himalayas,2016030500,3032
249,Himalayas,2016030600,3370
250,Himalayas,2016030700,3723
251,Himalayas,2016030800,3740
252,Himalayas,2016030900,3514
253,Himalayas,2016031000,3601
254,Himalayas,2016031100,3283
255,Himalayas,2016031200,2872
256,Himalayas,2016031300,3266
257,Himalayas,2016031400,3479
258,Himalayas,2016031500,3366
259,Himalayas,2016031600,3194
260,Himalayas,2016031700,3266
261,Himalayas,2016031800,3343
262,Himalayas,2016031900,2564
263,Himalayas,2016032000,3119
264,Himalayas,2016032100,3277
265,Himalayas,2016032200,3161
266,Himalayas,2016032300,2972
267,Himalayas,2016032400,2861
268,Himalayas,2016032500,2683
269,Himalayas,2016032600,2677
270,Himalayas,2016032700,2872
271,Himalayas,2016032800,3237
272,Himalayas,2016032900,3453
273,Himalayas,2016033000,3435
274,Himalayas,2016033100,3066
275,Himalayas,2016040100,2829
276,Himalayas,2016040200,2652
277,Himalayas,2016040300,3170
278,Himalayas,2016040400,3522
279,Himalayas,2016040500,3582
280,Himalayas,2016040600,3486
281,Himalayas,2016040700,3452
282,Himalayas,2016040800,3031
283,Himalayas,2016040900,2971
284,Himalayas,2016041000,3550
285,Himalayas,2016041100,3930
286,Himalayas,2016041200,3699
287,Himalayas,2016041300,4136
288,Himalayas,2016041400,4016
289,Himalayas,2016041500,3748
290,Himalayas,2016041600,2888
291,Himalayas,2016041700,3529
292,Himalayas,2016041800,3820
293,Himalayas,2016041900,4352
294,Himalayas,2016042000,4050
295,Himalayas,2016042100,3522
296,Himalayas,2016042200,3295
297,Himalayas,2016042300,3371
298,Himalayas,2016042400,4010
299,Himalayas,2016042500,4173
300,Himalayas,2016042600,4057
301,Himalayas,2016042700,3626
302,Himalayas,2016042800,3778
303,Himalayas,2016042900,3296
304,Himalayas,2016043000,2971
305,Himalayas,2016050100,3604
306,Himalayas,2016050200,4625
307,Himalayas,2016050300,4312
308,Himalayas,2016050400,3903
309,Himalayas,2016050500,3728
310,Himalayas,2016050600,3331
311,Himalayas,2016050700,3084
312,Himalayas,2016050800,3300
313,Himalayas,2016050900,3716
314,Himalayas,2016051000,3972
315,Himalayas,2016051100,3962
316,Himalayas,2016051200,4000
317,Himalayas,2016051300,3726
318,Himalayas,2016051400,3207
319,Himalayas,2016051500,3651
320,Himalayas,2016051600,3845
321,Himalayas,2016051700,4152
322,Himalayas,2016051800,4100
323,Himalayas,2016051900,3896
324,Himalayas,2016052000,3849
325,Himalayas,2016052100,3566
326,Himalayas,2016052200,4218
327,Himalayas,2016052300,5169
328,Himalayas,2016052400,4853
329,Himalayas,2016052500,4474
330,Himalayas,2016052600,4070
331,Himalayas,2016052700,3647
332,Himalayas,2016052800,3346
333,Himalayas,2016052900,3620
334,Himalayas,2016053000,4401
335,Himalayas,2016053100,4230
336,Himalayas,2016060100,4015
337,Himalayas,2016060200,3881
338,Himalayas,2016060300,3696
339,Himalayas,2016060400,3732
340,Himalayas,2016060500,3990
341,Himalayas,2016060600,4208
342,Himalayas,2016060700,4241
343,Himalayas,2016060800,4341
344,Himalayas,2016060900,4127
345,Himalayas,2016061000,3899
346,Himalayas,2016061100,3535
347,Himalayas,2016061200,4453
348,Himalayas,2016061300,4632
349,Himalayas,2016061400,4571
350,Himalayas,2016061500,4625
351,Himalayas,2016061600,4268
352,Himalayas,2016061700,3908
353,Himalayas,2016061800,3565
354,Himalayas,2016061900,4334
355,Himalayas,2016062000,4506
356,Himalayas,2016062100,4727
357,Himalayas,2016062200,4471
358,Himalayas,2016062300,4558
359,Himalayas,2016062400,3938
360,Himalayas,2016062500,3824
361,Himalayas,2016062600,4775
362,Himalayas,2016062700,4559
363,Himalayas,2016062800,4659
364,Himalayas,2016062900,4611
365,Himalayas,2016063000,4557
366,Himalayas,2016070100,4363
367,Himalayas,2016070200,3854
368,Himalayas,2016070300,4933
369,Himalayas,2016070400,4846
370,Himalayas,2016070500,4059
371,Himalayas,2016070600,5308
372,Himalayas,2016070700,4693
373,Himalayas,2016070800,3838
374,Himalayas,2016070900,3777
375,Himalayas,2016071000,4709
376,Himalayas,2016071100,4531
377,Himalayas,2016071200,4426
378,Himalayas,2016071300,4157
379,Himalayas,2016071400,4049
380,Himalayas,2016071500,3610
381,Himalayas,2016071600,3793
382,Himalayas,2016071700,4814
383,Himalayas,2016071800,4444
384,Himalayas,2016071900,4622
385,Himalayas,2016072000,4168
386,Himalayas,2016072100,3925
387,Himalayas,2016072200,3315
388,Himalayas,2016072300,3449
389,Himalayas,2016072400,4765
390,Himalayas,2016072500,4126
391,Himalayas,2016072600,4027
392,Himalayas,2016072700,3951
393,Himalayas,2016072800,4053
394,Himalayas,2016072900,3779
395,Himalayas,2016073000,3424
396,Himalayas,2016073100,4219
397,Himalayas,2016080100,4189
398,Himalayas,2016080200,4252
399,Himalayas,2016080300,3851
400,Himalayas,2016080400,3971
401,Himalayas,2016080500,3460
402,Himalayas,2016080600,3441
403,Himalayas,2016080700,3859
404,Himalayas,2016080800,3582
405,Himalayas,2016080900,3625
406,Himalayas,2016081000,3534
407,Himalayas,2016081100,3423
408,Himalayas,2016081200,3025
409,Himalayas,2016081300,2795
410,Himalayas,2016081400,3119
411,Himalayas,2016081500,3581
412,Himalayas,2016081600,3688
413,Himalayas,2016081700,3379
414,Himalayas,2016081800,3294
415,Himalayas,2016081900,2936
416,Himalayas,2016082000,2930
417,Himalayas,2016082100,3728
418,Himalayas,2016082200,3540
419,Himalayas,2016082300,3852
420,Himalayas,2016082400,3707
421,Himalayas,2016082500,4068
422,Himalayas,2016082600,3279
423,Himalayas,2016082700,3207
424,Himalayas,2016082800,3891
425,Himalayas,2016082900,3912
426,Himalayas,2016083000,4324
427,Himalayas,2016083100,3496
428,Himalayas,2016090100,3616
429,Himalayas,2016090200,3667
430,Himalayas,2016090300,3119
431,Himalayas,2016090400,3341
432,Himalayas,2016090500,3583
433,Himalayas,2016090600,3843
434,Himalayas,2016090700,3680
435,Himalayas,2016090800,3775
436,Himalayas,2016090900,3431
437,Himalayas,2016091000,2944
438,Himalayas,2016091100,3558
439,Himalayas,2016091200,3761
440,Himalayas,2016091300,3915
441,Himalayas,2016091400,3728
442,Himalayas,2016091500,3783
443,Himalayas,2016091600,3424
444,Himalayas,2016091700,3052
445,Himalayas,2016091800,3893
446,Himalayas,2016091900,3999
447,Himalayas,2016092000,4100
448,Himalayas,2016092100,3888
449,Himalayas,2016092200,4010
