,article,timestamp,views
0,House_(TV_series),2015070100,7290
1,House_(TV_series),2015070200,7179
2,House_(TV_series),2015070300,6959
3,House_(TV_series),2015070400,7590
4,House_(TV_series),2015070500,9078
5,House_(TV_series),2015070600,8716
6,House_(TV_series),2015070700,8829
7,House_(TV_series),2015070800,8624
8,House_(TV_series),2015070900,8106
9,House_(TV_series),2015071000,7601
10,House_(TV_series),2015071100,7759
11,House_(TV_series),2015071200,8862
12,House_(TV_series),2015071300,8749
13,House_(TV_series),2015071400,8347
14,House_(TV_series),2015071500,8106
15,House_(TV_series),2015071600,7730
16,House_(TV_series),2015071700,7382
17,House_(TV_series),2015071800,6982
18,House_(TV_series),2015071900,7573
19,House_(TV_series),2015072000,7943
20,House_(TV_series),2015072100,8123
21,House_(TV_series),2015072200,8100
22,House_(TV_series),2015072300,7850
23,House_(TV_series),2015072400,7108
24,House_(TV_series),2015072500,7258
25,House_(TV_series),2015072600,8212
26,House_(TV_series),2015072700,8001
27,House_(TV_series),2015072800,8377
28,House_(TV_series),2015072900,8150
29,House_(TV_series),2015073000,8045
30,House_(TV_series),2015073100,7193
31,House_(TV_series),2015080100,6741
32,House_(TV_series),2015080200,7671
33,House_(TV_series),2015080300,7106
34,House_(TV_series),2015080400,8240
35,House_(TV_series),2015080500,8453
36,House_(TV_series),2015080600,7862
37,House_(TV_series),2015080700,7286
38,House_(TV_series),2015080800,6668
39,House_(TV_series),2015080900,7952
40,House_(TV_series),2015081000,7697
41,House_(TV_series),2015081100,8199
42,House_(TV_series),2015081200,7831
43,House_(TV_series),2015081300,7821
44,House_(TV_series),2015081400,7152
45,House_(TV_series),2015081500,7021
46,House_(TV_series),2015081600,7585
47,House_(TV_series),2015081700,8004
48,House_(TV_series),2015081800,8233
49,House_(TV_series),2015081900,7861
50,House_(TV_series),2015082000,8054
51,House_(TV_series),2015082100,7719
52,House_(TV_series),2015082200,6925
53,House_(TV_series),2015082300,7954
54,House_(TV_series),2015082400,8114
55,House_(TV_series),2015082500,8024
56,House_(TV_series),2015082600,7808
57,House_(TV_series),2015082700,7525
58,House_(TV_series),2015082800,7205
59,House_(TV_series),2015082900,6837
60,House_(TV_series),2015083000,7622
61,House_(TV_series),2015083100,8083
62,House_(TV_series),2015090100,7634
63,House_(TV_series),2015090200,7985
64,House_(TV_series),2015090300,7302
65,House_(TV_series),2015090400,6770
66,House_(TV_series),2015090500,6612
67,House_(TV_series),2015090600,7693
68,House_(TV_series),2015090700,8091
69,House_(TV_series),2015090800,7706
70,House_(TV_series),2015090900,7850
71,House_(TV_series),2015091000,7374
72,House_(TV_series),2015091100,7023
73,House_(TV_series),2015091200,6464
74,House_(TV_series),2015091300,7519
75,House_(TV_series),2015091400,7382
76,House_(TV_series),2015091500,7350
77,House_(TV_series),2015091600,7617
78,House_(TV_series),2015091700,7009
79,House_(TV_series),2015091800,6871
80,House_(TV_series),2015091900,6573
81,House_(TV_series),2015092000,7653
82,House_(TV_series),2015092100,7575
83,House_(TV_series),2015092200,7786
84,House_(TV_series),2015092300,7790
85,House_(TV_series),2015092400,7273
86,House_(TV_series),2015092500,6587
87,House_(TV_series),2015092600,6855
88,House_(TV_series),2015092700,7358
89,House_(TV_series),2015092800,7186
90,House_(TV_series),2015092900,6837
91,House_(TV_series),2015093000,7188
92,House_(TV_series),2015100100,6916
93,House_(TV_series),2015100200,6734
94,House_(TV_series),2015100300,6276
95,House_(TV_series),2015100400,7110
96,House_(TV_series),2015100500,7068
97,House_(TV_series),2015100600,6868
98,House_(TV_series),2015100700,7474
99,House_(TV_series),2015100800,6466
100,House_(TV_series),2015100900,7349
101,House_(TV_series),2015101000,6174
102,House_(TV_series),2015101100,6756
