,article,timestamp,views
0,Indonesia,2015070100,11188
1,Indonesia,2015070200,10322
2,Indonesia,2015070300,9693
3,Indonesia,2015070400,8799
4,Indonesia,2015070500,9072
5,Indonesia,2015070600,9866
6,Indonesia,2015070700,13229
7,Indonesia,2015070800,9881
8,Indonesia,2015070900,10230
9,Indonesia,2015071000,9969
10,Indonesia,2015071100,8321
11,Indonesia,2015071200,9083
12,Indonesia,2015071300,10116
13,Indonesia,2015071400,10774
14,Indonesia,2015071500,9402
15,Indonesia,2015071600,8876
16,Indonesia,2015071700,9624
17,Indonesia,2015071800,8568
18,Indonesia,2015071900,9161
19,Indonesia,2015072000,9778
20,Indonesia,2015072100,9964
21,Indonesia,2015072200,10187
22,Indonesia,2015072300,10214
23,Indonesia,2015072400,9400
24,Indonesia,2015072500,8922
25,Indonesia,2015072600,9216
26,Indonesia,2015072700,10979
27,Indonesia,2015072800,11871
28,Indonesia,2015072900,11232
29,Indonesia,2015073000,10190
30,Indonesia,2015073100,10192
31,Indonesia,2015080100,8992
32,Indonesia,2015080200,10166
33,Indonesia,2015080300,9987
34,Indonesia,2015080400,11865
35,Indonesia,2015080500,10789
36,Indonesia,2015080600,10247
37,Indonesia,2015080700,9446
38,Indonesia,2015080800,8774
39,Indonesia,2015080900,9710
40,Indonesia,2015081000,10085
41,Indonesia,2015081100,10361
42,Indonesia,2015081200,10514
43,Indonesia,2015081300,9955
44,Indonesia,2015081400,9866
45,Indonesia,2015081500,9442
46,Indonesia,2015081600,17943
47,Indonesia,2015081700,20531
48,Indonesia,2015081800,13546
49,Indonesia,2015081900,11461
50,Indonesia,2015082000,10775
51,Indonesia,2015082100,9551
52,Indonesia,2015082200,8591
53,Indonesia,2015082300,9482
54,Indonesia,2015082400,10673
55,Indonesia,2015082500,9795
56,Indonesia,2015082600,10454
57,Indonesia,2015082700,9693
58,Indonesia,2015082800,8562
59,Indonesia,2015082900,7975
60,Indonesia,2015083000,9015
61,Indonesia,2015083100,9556
62,Indonesia,2015090100,10174
63,Indonesia,2015090200,9995
64,Indonesia,2015090300,10222
65,Indonesia,2015090400,9730
66,Indonesia,2015090500,8707
67,Indonesia,2015090600,9331
68,Indonesia,2015090700,10397
69,Indonesia,2015090800,11224
70,Indonesia,2015090900,11526
71,Indonesia,2015091000,11010
72,Indonesia,2015091100,9722
73,Indonesia,2015091200,8756
74,Indonesia,2015091300,12149
75,Indonesia,2015091400,10382
76,Indonesia,2015091500,12138
77,Indonesia,2015091600,10081
78,Indonesia,2015091700,9731
79,Indonesia,2015091800,9317
80,Indonesia,2015091900,8292
81,Indonesia,2015092000,9189
82,Indonesia,2015092100,10080
83,Indonesia,2015092200,10564
84,Indonesia,2015092300,9991
85,Indonesia,2015092400,9787
86,Indonesia,2015092500,9691
87,Indonesia,2015092600,8586
88,Indonesia,2015092700,9221
89,Indonesia,2015092800,10441
90,Indonesia,2015092900,10074
91,Indonesia,2015093000,10754
92,Indonesia,2015100100,9616
