,article,timestamp,views
0,John_F._Kennedy_International_Airport,2015070100,2481
1,John_F._Kennedy_International_Airport,2015070200,2242
2,John_F._Kennedy_International_Airport,2015070300,2015
3,John_F._Kennedy_International_Airport,2015070400,1946
4,John_F._Kennedy_International_Airport,2015070500,2388
5,John_F._Kennedy_International_Airport,2015070600,2372
6,John_F._Kennedy_International_Airport,2015070700,2825
7,John_F._Kennedy_International_Airport,2015070800,2470
8,John_F._Kennedy_International_Airport,2015070900,2270
9,John_F._Kennedy_International_Airport,2015071000,2279
10,John_F._Kennedy_International_Airport,2015071100,2113
11,John_F._Kennedy_International_Airport,2015071200,2233
12,John_F._Kennedy_International_Airport,2015071300,2726
13,John_F._Kennedy_International_Airport,2015071400,2310
14,John_F._Kennedy_International_Airport,2015071500,2379
15,John_F._Kennedy_International_Airport,2015071600,2156
16,John_F._Kennedy_International_Airport,2015071700,2232
17,John_F._Kennedy_International_Airport,2015071800,2067
18,John_F._Kennedy_International_Airport,2015071900,2199
19,John_F._Kennedy_International_Airport,2015072000,2429
20,John_F._Kennedy_International_Airport,2015072100,2423
21,John_F._Kennedy_International_Airport,2015072200,2483
22,John_F._Kennedy_International_Airport,2015072300,2287
23,John_F._Kennedy_International_Airport,2015072400,2407
24,John_F._Kennedy_International_Airport,2015072500,2165
25,John_F._Kennedy_International_Airport,2015072600,2327
26,John_F._Kennedy_International_Airport,2015072700,3175
27,John_F._Kennedy_International_Airport,2015072800,5017
28,John_F._Kennedy_International_Airport,2015072900,2978
29,John_F._Kennedy_International_Airport,2015073000,2940
30,John_F._Kennedy_International_Airport,2015073100,2711
31,John_F._Kennedy_International_Airport,2015080100,2344
32,John_F._Kennedy_International_Airport,2015080200,2398
33,John_F._Kennedy_International_Airport,2015080300,2247
34,John_F._Kennedy_International_Airport,2015080400,2456
35,John_F._Kennedy_International_Airport,2015080500,2413
36,John_F._Kennedy_International_Airport,2015080600,2361
37,John_F._Kennedy_International_Airport,2015080700,2107
38,John_F._Kennedy_International_Airport,2015080800,2028
39,John_F._Kennedy_International_Airport,2015080900,2407
40,John_F._Kennedy_International_Airport,2015081000,2264
41,John_F._Kennedy_International_Airport,2015081100,2423
42,John_F._Kennedy_International_Airport,2015081200,2370
43,John_F._Kennedy_International_Airport,2015081300,2341
44,John_F._Kennedy_International_Airport,2015081400,2316
45,John_F._Kennedy_International_Airport,2015081500,2168
46,John_F._Kennedy_International_Airport,2015081600,2375
47,John_F._Kennedy_International_Airport,2015081700,2551
48,John_F._Kennedy_International_Airport,2015081800,2363
49,John_F._Kennedy_International_Airport,2015081900,2394
50,John_F._Kennedy_International_Airport,2015082000,2286
51,John_F._Kennedy_International_Airport,2015082100,2265
52,John_F._Kennedy_International_Airport,2015082200,2143
53,John_F._Kennedy_International_Airport,2015082300,2161
54,John_F._Kennedy_International_Airport,2015082400,2263
55,John_F._Kennedy_International_Airport,2015082500,2275
56,John_F._Kennedy_International_Airport,2015082600,2352
57,John_F._Kennedy_International_Airport,2015082700,2105
58,John_F._Kennedy_International_Airport,2015082800,2010
59,John_F._Kennedy_International_Airport,2015082900,1868
60,John_F._Kennedy_International_Airport,2015083000,2139
61,John_F._Kennedy_International_Airport,2015083100,2468
62,John_F._Kennedy_International_Airport,2015090100,2267
63,John_F._Kennedy_International_Airport,2015090200,2304
64,John_F._Kennedy_International_Airport,2015090300,1982
65,John_F._Kennedy_International_Airport,2015090400,1998
66,John_F._Kennedy_International_Airport,2015090500,1872
67,John_F._Kennedy_International_Airport,2015090600,2197
68,John_F._Kennedy_International_Airport,2015090700,2371
69,John_F._Kennedy_International_Airport,2015090800,2114
70,John_F._Kennedy_International_Airport,2015090900,2107
