,article,timestamp,views
0,Lion,2015070100,7379
1,Lion,2015070200,6909
2,Lion,2015070300,6114
3,Lion,2015070400,5826
4,Lion,2015070500,6928
5,Lion,2015070600,7043
6,Lion,2015070700,6873
7,Lion,2015070800,7714
8,Lion,2015070900,7015
9,Lion,2015071000,5854
10,Lion,2015071100,5632
11,Lion,2015071200,6433
12,Lion,2015071300,6365
13,Lion,2015071400,6291
14,Lion,2015071500,6384
15,Lion,2015071600,6025
16,Lion,2015071700,5477
17,Lion,2015071800,5535
18,Lion,2015071900,6096
19,Lion,2015072000,6326
20,Lion,2015072100,6368
21,Lion,2015072200,6602
22,Lion,2015072300,6667
23,Lion,2015072400,5891
24,Lion,2015072500,5598
25,Lion,2015072600,6664
26,Lion,2015072700,7758
27,Lion,2015072800,15384
28,Lion,2015072900,39532
29,Lion,2015073000,38704
30,Lion,2015073100,30353
31,Lion,2015080100,26175
32,Lion,2015080200,23555
33,Lion,2015080300,16541
34,Lion,2015080400,15525
35,Lion,2015080500,13396
36,Lion,2015080600,11224
37,Lion,2015080700,8959
38,Lion,2015080800,8077
39,Lion,2015080900,9533
40,Lion,2015081000,10005
41,Lion,2015081100,9382
42,Lion,2015081200,8591
43,Lion,2015081300,7735
44,Lion,2015081400,7400
45,Lion,2015081500,8017
46,Lion,2015081600,7756
47,Lion,2015081700,7742
48,Lion,2015081800,7863
49,Lion,2015081900,8405
50,Lion,2015082000,8068
51,Lion,2015082100,7428
52,Lion,2015082200,7127
53,Lion,2015082300,7397
54,Lion,2015082400,7420
55,Lion,2015082500,8170
56,Lion,2015082600,7244
57,Lion,2015082700,6884
58,Lion,2015082800,6314
59,Lion,2015082900,5796
60,Lion,2015083000,7029
61,Lion,2015083100,7597
62,Lion,2015090100,8217
63,Lion,2015090200,8986
64,Lion,2015090300,7181
65,Lion,2015090400,7493
66,Lion,2015090500,5926
67,Lion,2015090600,6757
68,Lion,2015090700,8144
69,Lion,2015090800,8576
70,Lion,2015090900,7906
71,Lion,2015091000,8032
72,Lion,2015091100,6780
73,Lion,2015091200,5940
74,Lion,2015091300,7054
75,Lion,2015091400,7465
76,Lion,2015091500,7238
77,Lion,2015091600,7779
78,Lion,2015091700,7527
79,Lion,2015091800,6654
80,Lion,2015091900,5673
81,Lion,2015092000,6825
82,Lion,2015092100,7775
83,Lion,2015092200,7558
84,Lion,2015092300,7629
85,Lion,2015092400,7148
86,Lion,2015092500,6733
87,Lion,2015092600,5907
88,Lion,2015092700,6826
89,Lion,2015092800,7274
90,Lion,2015092900,7838
91,Lion,2015093000,7787
92,Lion,2015100100,7485
93,Lion,2015100200,6925
94,Lion,2015100300,6097
95,Lion,2015100400,7278
96,Lion,2015100500,7672
97,Lion,2015100600,7981
98,Lion,2015100700,8109
99,Lion,2015100800,8444
100,Lion,2015100900,7031
101,Lion,2015101000,6573
102,Lion,2015101100,7236
103,Lion,2015101200,8342
104,Lion,2015101300,10056
105,Lion,2015101400,8023
106,Lion,2015101500,8170
107,Lion,2015101600,7593
108,Lion,2015101700,6879
109,Lion,2015101800,7955
110,Lion,2015101900,9006
111,Lion,2015102000,8656
112,Lion,2015102100,8576
113,Lion,2015102200,8083
114,Lion,2015102300,7784
115,Lion,2015102400,7102
116,Lion,2015102500,7719
117,Lion,2015102600,8739
118,Lion,2015102700,9704
119,Lion,2015102800,9148
120,Lion,2015102900,9238
121,Lion,2015103000,6877
122,Lion,2015103100,5855
123,Lion,2015110100,7215
124,Lion,2015110200,8188
125,Lion,2015110300,8104
126,Lion,2015110400,8716
127,Lion,2015110500,8280
128,Lion,2015110600,8051
129,Lion,2015110700,6215
130,Lion,2015110800,7051
131,Lion,2015110900,7788
132,Lion,2015111000,7874
133,Lion,2015111100,7398
134,Lion,2015111200,8255
135,Lion,2015111300,7174
136,Lion,2015111400,6087
137,Lion,2015111500,6907
138,Lion,2015111600,7774
139,Lion,2015111700,8667
140,Lion,2015111800,8142
141,Lion,2015111900,8057
142,Lion,2015112000,7150
143,Lion,2015112100,6343
144,Lion,2015112200,7582
145,Lion,2015112300,8449
146,Lion,2015112400,7637
