,article,timestamp,views
0,Madonna,2015070100,856
1,Madonna,2015070200,919
2,Madonna,2015070300,883
3,Madonna,2015070400,889
4,Madonna,2015070500,877
5,Madonna,2015070600,852
6,Madonna,2015070700,852
7,Madonna,2015070800,873
8,Madonna,2015070900,819
9,Madonna,2015071000,906
10,Madonna,2015071100,890
11,Madonna,2015071200,953
12,Madonna,2015071300,930
13,Madonna,2015071400,909
14,Madonna,2015071500,912
15,Madonna,2015071600,882
16,Madonna,2015071700,832
17,Madonna,2015071800,828
18,Madonna,2015071900,855
19,Madonna,2015072000,810
20,Madonna,2015072100,826
21,Madonna,2015072200,835
22,Madonna,2015072300,859
23,Madonna,2015072400,837
24,Madonna,2015072500,923
25,Madonna,2015072600,908
26,Madonna,2015072700,822
27,Madonna,2015072800,840
28,Madonna,2015072900,1052
29,Madonna,2015073000,868
30,Madonna,2015073100,958
31,Madonna,2015080100,867
32,Madonna,2015080200,821
33,Madonna,2015080300,820
34,Madonna,2015080400,820
35,Madonna,2015080500,845
36,Madonna,2015080600,831
37,Madonna,2015080700,664
38,Madonna,2015080800,750
39,Madonna,2015080900,839
40,Madonna,2015081000,672
41,Madonna,2015081100,814
42,Madonna,2015081200,781
43,Madonna,2015081300,772
44,Madonna,2015081400,947
45,Madonna,2015081500,1083
46,Madonna,2015081600,1722
47,Madonna,2015081700,1238
48,Madonna,2015081800,990
49,Madonna,2015081900,861
50,Madonna,2015082000,792
51,Madonna,2015082100,863
52,Madonna,2015082200,864
53,Madonna,2015082300,848
54,Madonna,2015082400,779
55,Madonna,2015082500,771
56,Madonna,2015082600,859
57,Madonna,2015082700,790
58,Madonna,2015082800,732
59,Madonna,2015082900,885
60,Madonna,2015083000,872
61,Madonna,2015083100,811
62,Madonna,2015090100,870
63,Madonna,2015090200,903
64,Madonna,2015090300,847
65,Madonna,2015090400,810
66,Madonna,2015090500,929
67,Madonna,2015090600,892
68,Madonna,2015090700,844
69,Madonna,2015090800,1224
70,Madonna,2015090900,833
71,Madonna,2015091000,1129
72,Madonna,2015091100,1023
73,Madonna,2015091200,898
74,Madonna,2015091300,980
75,Madonna,2015091400,840
76,Madonna,2015091500,848
77,Madonna,2015091600,868
78,Madonna,2015091700,911
79,Madonna,2015091800,909
80,Madonna,2015091900,897
81,Madonna,2015092000,953
82,Madonna,2015092100,879
83,Madonna,2015092200,909
84,Madonna,2015092300,893
85,Madonna,2015092400,807
86,Madonna,2015092500,914
87,Madonna,2015092600,932
88,Madonna,2015092700,957
89,Madonna,2015092800,1107
90,Madonna,2015092900,917
91,Madonna,2015093000,777
92,Madonna,2015100100,737
93,Madonna,2015100200,848
94,Madonna,2015100300,743
95,Madonna,2015100400,822
96,Madonna,2015100500,703
97,Madonna,2015100600,811
98,Madonna,2015100700,817
99,Madonna,2015100800,824
100,Madonna,2015100900,861
101,Madonna,2015101000,870
102,Madonna,2015101100,1018
103,Madonna,2015101200,827
104,Madonna,2015101300,837
105,Madonna,2015101400,805
106,Madonna,2015101500,804
107,Madonna,2015101600,828
108,Madonna,2015101700,820
109,Madonna,2015101800,850
110,Madonna,2015101900,850
111,Madonna,2015102000,915
112,Madonna,2015102100,814
113,Madonna,2015102200,743
114,Madonna,2015102300,887
115,Madonna,2015102400,794
116,Madonna,2015102500,826
117,Madonna,2015102600,755
118,Madonna,2015102700,796
119,Madonna,2015102800,770
120,Madonna,2015102900,740
121,Madonna,2015103000,912
122,Madonna,2015103100,803
123,Madonna,2015110100,741
124,Madonna,2015110200,752
125,Madonna,2015110300,800
126,Madonna,2015110400,753
127,Madonna,2015110500,759
128,Madonna,2015110600,803
129,Madonna,2015110700,830
130,Madonna,2015110800,824
131,Madonna,2015110900,817
132,Madonna,2015111000,854
133,Madonna,2015111100,752
134,Madonna,2015111200,825
135,Madonna,2015111300,828
136,Madonna,2015111400,769
137,Madonna,2015111500,970
138,Madonna,2015111600,911
139,Madonna,2015111700,824
140,Madonna,2015111800,815
141,Madonna,2015111900,805
142,Madonna,2015112000,766
143,Madonna,2015112100,812
144,Madonna,2015112200,823
145,Madonna,2015112300,798
146,Madonna,2015112400,815
147,Madonna,2015112500,776
148,Madonna,2015112600,819
149,Madonna,2015112700,777
150,Madonna,2015112800,713
151,Madonna,2015112900,812
152,Madonna,2015113000,805
153,Madonna,2015120100,734
154,Madonna,2015120200,818
155,Madonna,2015120300,878
156,Madonna,2015120400,782
157,Madonna,2015120500,878
158,Madonna,2015120600,832
159,Madonna,2015120700,839
160,Madonna,2015120800,788
161,Madonna,2015120900,746
162,Madonna,2015121000,1032
163,Madonna,2015121100,879
164,Madonna,2015121200,896
165,Madonna,2015121300,773
166,Madonna,2015121400,710
167,Madonna,2015121500,851
168,Madonna,2015121600,918
169,Madonna,2015121700,789
170,Madonna,2015121800,839
171,Madonna,2015121900,753
172,Madonna,2015122000,879
173,Madonna,2015122100,783
174,Madonna,2015122200,814
175,Madonna,2015122300,947
176,Madonna,2015122400,1312
177,Madonna,2015122500,858
178,Madonna,2015122600,840
179,Madonna,2015122700,942
180,Madonna,2015122800,1336
181,Madonna,2015122900,1132
182,Madonna,2015123000,939
183,Madonna,2015123100,896
184,Madonna,2016010100,954
185,Madonna,2016010200,981
186,Madonna,2016010300,983
187,Madonna,2016010400,1013
188,Madonna,2016010500,940
189,Madonna,2016010600,900
190,Madonna,2016010700,915
191,Madonna,2016010800,863
192,Madonna,2016010900,1002
193,Madonna,2016011000,1059
194,Madonna,2016011100,1266
195,Madonna,2016011200,1097
196,Madonna,2016011300,993
197,Madonna,2016011400,1030
198,Madonna,2016011500,959
199,Madonna,2016011600,889
200,Madonna,2016011700,979
201,Madonna,2016011800,954
202,Madonna,2016011900,894
203,Madonna,2016012000,867
204,Madonna,2016012100,834
205,Madonna,2016012200,845
206,Madonna,2016012300,875
207,Madonna,2016012400,913
208,Madonna,2016012500,856
209,Madonna,2016012600,834
210,Madonna,2016012700,824
211,Madonna,2016012800,830
212,Madonna,2016012900,811
213,Madonna,2016013000,986
214,Madonna,2016013100,829
215,Madonna,2016020100,715
216,Madonna,2016020200,740
217,Madonna,2016020300,740
218,Madonna,2016020400,786
219,Madonna,2016020500,821
220,Madonna,2016020600,846
221,Madonna,2016020700,1023
222,Madonna,2016020800,1038
223,Madonna,2016020900,833
224,Madonna,2016021000,737
225,Madonna,2016021100,788
226,Madonna,2016021200,746
227,Madonna,2016021300,888
228,Madonna,2016021400,793
229,Madonna,2016021500,837
230,Madonna,2016021600,889
231,Madonna,2016021700,848
232,Madonna,2016021800,890
