,article,timestamp,views
0,Manchester_United_F.C.,2015070100,13566
1,Manchester_United_F.C.,2015070200,12409
2,Manchester_United_F.C.,2015070300,12061
3,Manchester_United_F.C.,2015070400,12367
4,Manchester_United_F.C.,2015070500,12330
5,Manchester_United_F.C.,2015070600,16444
6,Manchester_United_F.C.,2015070700,15808
7,Manchester_United_F.C.,2015070800,16244
8,Manchester_United_F.C.,2015070900,17097
9,Manchester_United_F.C.,2015071000,17962
10,Manchester_United_F.C.,2015071100,41050
11,Manchester_United_F.C.,2015071200,45206
12,Manchester_United_F.C.,2015071300,84744
13,Manchester_United_F.C.,2015071400,48481
14,Manchester_United_F.C.,2015071500,33903
15,Manchester_United_F.C.,2015071600,31034
16,Manchester_United_F.C.,2015071700,26136
17,Manchester_United_F.C.,2015071800,46046
18,Manchester_United_F.C.,2015071900,26258
19,Manchester_United_F.C.,2015072000,23826
20,Manchester_United_F.C.,2015072100,23581
21,Manchester_United_F.C.,2015072200,28936
22,Manchester_United_F.C.,2015072300,22440
23,Manchester_United_F.C.,2015072400,20436
24,Manchester_United_F.C.,2015072500,23844
25,Manchester_United_F.C.,2015072600,23411
26,Manchester_United_F.C.,2015072700,36359
27,Manchester_United_F.C.,2015072800,23338
28,Manchester_United_F.C.,2015072900,21835
29,Manchester_United_F.C.,2015073000,22780
30,Manchester_United_F.C.,2015073100,19210
31,Manchester_United_F.C.,2015080100,24744
32,Manchester_United_F.C.,2015080200,25285
33,Manchester_United_F.C.,2015080300,25880
34,Manchester_United_F.C.,2015080400,28612
35,Manchester_United_F.C.,2015080500,27565
36,Manchester_United_F.C.,2015080600,31072
37,Manchester_United_F.C.,2015080700,42539
38,Manchester_United_F.C.,2015080800,48959
39,Manchester_United_F.C.,2015080900,25773
40,Manchester_United_F.C.,2015081000,19844
41,Manchester_United_F.C.,2015081100,20148
42,Manchester_United_F.C.,2015081200,18125
43,Manchester_United_F.C.,2015081300,16282
44,Manchester_United_F.C.,2015081400,24138
45,Manchester_United_F.C.,2015081500,18811
46,Manchester_United_F.C.,2015081600,18767
47,Manchester_United_F.C.,2015081700,18375
48,Manchester_United_F.C.,2015081800,29489
49,Manchester_United_F.C.,2015081900,26299
50,Manchester_United_F.C.,2015082000,19542
51,Manchester_United_F.C.,2015082100,16883
52,Manchester_United_F.C.,2015082200,21455
53,Manchester_United_F.C.,2015082300,16252
54,Manchester_United_F.C.,2015082400,14379
55,Manchester_United_F.C.,2015082500,14582
56,Manchester_United_F.C.,2015082600,21002
57,Manchester_United_F.C.,2015082700,20797
58,Manchester_United_F.C.,2015082800,16445
59,Manchester_United_F.C.,2015082900,17907
60,Manchester_United_F.C.,2015083000,26365
61,Manchester_United_F.C.,2015083100,41561
62,Manchester_United_F.C.,2015090100,56115
63,Manchester_United_F.C.,2015090200,35012
64,Manchester_United_F.C.,2015090300,21313
65,Manchester_United_F.C.,2015090400,16172
66,Manchester_United_F.C.,2015090500,14874
67,Manchester_United_F.C.,2015090600,13143
68,Manchester_United_F.C.,2015090700,11858
69,Manchester_United_F.C.,2015090800,12863
70,Manchester_United_F.C.,2015090900,12502
71,Manchester_United_F.C.,2015091000,12416
72,Manchester_United_F.C.,2015091100,14449
73,Manchester_United_F.C.,2015091200,26856
74,Manchester_United_F.C.,2015091300,19691
75,Manchester_United_F.C.,2015091400,16049
76,Manchester_United_F.C.,2015091500,20364
77,Manchester_United_F.C.,2015091600,14743
78,Manchester_United_F.C.,2015091700,11547
79,Manchester_United_F.C.,2015091800,10785
80,Manchester_United_F.C.,2015091900,12117
81,Manchester_United_F.C.,2015092000,20076
82,Manchester_United_F.C.,2015092100,15324
