,article,timestamp,views
0,Moai,2015070100,1488
1,Moai,2015070200,1404
2,Moai,2015070300,1363
3,Moai,2015070400,1887
4,Moai,2015070500,1553
5,Moai,2015070600,1618
6,Moai,2015070700,1962
7,Moai,2015070800,1653
8,Moai,2015070900,2389
9,Moai,2015071000,2839
10,Moai,2015071100,6227
11,Moai,2015071200,13569
12,Moai,2015071300,12786
13,Moai,2015071400,10720
14,Moai,2015071500,11364
15,Moai,2015071600,9749
16,Moai,2015071700,10157
17,Moai,2015071800,19093
18,Moai,2015071900,14131
19,Moai,2015072000,11713
20,Moai,2015072100,6258
21,Moai,2015072200,5031
22,Moai,2015072300,3685
23,Moai,2015072400,3989
24,Moai,2015072500,3187
25,Moai,2015072600,4278
26,Moai,2015072700,4153
27,Moai,2015072800,3759
28,Moai,2015072900,2489
29,Moai,2015073000,2873
30,Moai,2015073100,6006
31,Moai,2015080100,5682
32,Moai,2015080200,3687
33,Moai,2015080300,2521
34,Moai,2015080400,1863
35,Moai,2015080500,1996
36,Moai,2015080600,3659
37,Moai,2015080700,2360
38,Moai,2015080800,1916
39,Moai,2015080900,2181
40,Moai,2015081000,1839
41,Moai,2015081100,1891
42,Moai,2015081200,2559
43,Moai,2015081300,2530
44,Moai,2015081400,1877
45,Moai,2015081500,2245
46,Moai,2015081600,2112
47,Moai,2015081700,2412
48,Moai,2015081800,2205
49,Moai,2015081900,2072
50,Moai,2015082000,2034
51,Moai,2015082100,2036
52,Moai,2015082200,1818
53,Moai,2015082300,1993
54,Moai,2015082400,2400
55,Moai,2015082500,2768
56,Moai,2015082600,2324
57,Moai,2015082700,2258
58,Moai,2015082800,1963
59,Moai,2015082900,2293
60,Moai,2015083000,2705
61,Moai,2015083100,3013
62,Moai,2015090100,2186
63,Moai,2015090200,2193
64,Moai,2015090300,2513
65,Moai,2015090400,2173
66,Moai,2015090500,1800
67,Moai,2015090600,1987
68,Moai,2015090700,3121
69,Moai,2015090800,3481
70,Moai,2015090900,3555
71,Moai,2015091000,2242
72,Moai,2015091100,1697
73,Moai,2015091200,1899
74,Moai,2015091300,2295
75,Moai,2015091400,2202
76,Moai,2015091500,2118
77,Moai,2015091600,2167
78,Moai,2015091700,2011
79,Moai,2015091800,2302
80,Moai,2015091900,1969
81,Moai,2015092000,2128
82,Moai,2015092100,2177
83,Moai,2015092200,2214
84,Moai,2015092300,1939
85,Moai,2015092400,1940
86,Moai,2015092500,1858
87,Moai,2015092600,1742
88,Moai,2015092700,2095
89,Moai,2015092800,2005
90,Moai,2015092900,1871
91,Moai,2015093000,2134
92,Moai,2015100100,2078
93,Moai,2015100200,1929
94,Moai,2015100300,1865
95,Moai,2015100400,2019
96,Moai,2015100500,2217
97,Moai,2015100600,1895
98,Moai,2015100700,1829
99,Moai,2015100800,1910
100,Moai,2015100900,1680
101,Moai,2015101000,1514
102,Moai,2015101100,1649
103,Moai,2015101200,1743
104,Moai,2015101300,1760
105,Moai,2015101400,1623
