,article,timestamp,views
0,Montreal,2015070100,5801
1,Montreal,2015070200,4887
2,Montreal,2015070300,4671
3,Montreal,2015070400,4191
4,Montreal,2015070500,4604
5,Montreal,2015070600,5215
6,Montreal,2015070700,4944
7,Montreal,2015070800,4838
8,Montreal,2015070900,4450
9,Montreal,2015071000,4627
10,Montreal,2015071100,4276
11,Montreal,2015071200,4478
12,Montreal,2015071300,4866
13,Montreal,2015071400,5441
14,Montreal,2015071500,4786
15,Montreal,2015071600,4402
16,Montreal,2015071700,5351
17,Montreal,2015071800,4101
18,Montreal,2015071900,4354
19,Montreal,2015072000,4949
20,Montreal,2015072100,4977
21,Montreal,2015072200,4692
22,Montreal,2015072300,4676
23,Montreal,2015072400,4363
24,Montreal,2015072500,4311
25,Montreal,2015072600,4685
26,Montreal,2015072700,5617
27,Montreal,2015072800,6540
28,Montreal,2015072900,5190
29,Montreal,2015073000,5217
30,Montreal,2015073100,5256
31,Montreal,2015080100,4607
32,Montreal,2015080200,4746
33,Montreal,2015080300,4658
34,Montreal,2015080400,4998
35,Montreal,2015080500,5884
36,Montreal,2015080600,4976
37,Montreal,2015080700,4994
38,Montreal,2015080800,4458
39,Montreal,2015080900,5111
40,Montreal,2015081000,5037
41,Montreal,2015081100,5267
42,Montreal,2015081200,5047
43,Montreal,2015081300,5043
44,Montreal,2015081400,5026
45,Montreal,2015081500,5054
46,Montreal,2015081600,6058
47,Montreal,2015081700,5721
48,Montreal,2015081800,4999
49,Montreal,2015081900,5049
50,Montreal,2015082000,4850
51,Montreal,2015082100,4670
52,Montreal,2015082200,4402
53,Montreal,2015082300,4768
54,Montreal,2015082400,4875
55,Montreal,2015082500,5162
56,Montreal,2015082600,4829
57,Montreal,2015082700,4491
58,Montreal,2015082800,4460
59,Montreal,2015082900,4046
60,Montreal,2015083000,4318
61,Montreal,2015083100,4834
62,Montreal,2015090100,4700
63,Montreal,2015090200,4547
64,Montreal,2015090300,4301
65,Montreal,2015090400,4219
66,Montreal,2015090500,4201
67,Montreal,2015090600,5104
68,Montreal,2015090700,4778
69,Montreal,2015090800,4784
70,Montreal,2015090900,4428
71,Montreal,2015091000,4537
72,Montreal,2015091100,4122
73,Montreal,2015091200,3590
74,Montreal,2015091300,4382
75,Montreal,2015091400,4488
76,Montreal,2015091500,4383
77,Montreal,2015091600,4317
78,Montreal,2015091700,4229
79,Montreal,2015091800,4010
80,Montreal,2015091900,3636
81,Montreal,2015092000,4070
82,Montreal,2015092100,4634
83,Montreal,2015092200,4375
84,Montreal,2015092300,4408
85,Montreal,2015092400,4235
86,Montreal,2015092500,3928
87,Montreal,2015092600,3773
88,Montreal,2015092700,4068
89,Montreal,2015092800,4526
90,Montreal,2015092900,4578
91,Montreal,2015093000,4332
92,Montreal,2015100100,4292
93,Montreal,2015100200,4084
94,Montreal,2015100300,3631
95,Montreal,2015100400,3907
96,Montreal,2015100500,4602
97,Montreal,2015100600,4679
98,Montreal,2015100700,4614
99,Montreal,2015100800,4724
100,Montreal,2015100900,4313
101,Montreal,2015101000,4038
102,Montreal,2015101100,4390
103,Montreal,2015101200,4736
104,Montreal,2015101300,4775
105,Montreal,2015101400,4611
106,Montreal,2015101500,4799
107,Montreal,2015101600,4360
108,Montreal,2015101700,4135
109,Montreal,2015101800,4532
110,Montreal,2015101900,5164
111,Montreal,2015102000,8107
112,Montreal,2015102100,6238
113,Montreal,2015102200,5407
114,Montreal,2015102300,4927
115,Montreal,2015102400,4425
116,Montreal,2015102500,4570
117,Montreal,2015102600,4956
118,Montreal,2015102700,4454
119,Montreal,2015102800,4522
120,Montreal,2015102900,4495
121,Montreal,2015103000,4440
122,Montreal,2015103100,3854
123,Montreal,2015110100,3926
124,Montreal,2015110200,5004
125,Montreal,2015110300,4590
126,Montreal,2015110400,4481
127,Montreal,2015110500,4999
128,Montreal,2015110600,4696
129,Montreal,2015110700,4008
130,Montreal,2015110800,8003
131,Montreal,2015110900,10360
132,Montreal,2015111000,4736
133,Montreal,2015111100,4362
134,Montreal,2015111200,4777
135,Montreal,2015111300,4201
136,Montreal,2015111400,4178
137,Montreal,2015111500,4380
138,Montreal,2015111600,4577
139,Montreal,2015111700,4471
140,Montreal,2015111800,4880
141,Montreal,2015111900,4324
142,Montreal,2015112000,3982
143,Montreal,2015112100,3617
144,Montreal,2015112200,3957
145,Montreal,2015112300,4698
146,Montreal,2015112400,4093
147,Montreal,2015112500,3878
148,Montreal,2015112600,3901
149,Montreal,2015112700,3626
150,Montreal,2015112800,3814
151,Montreal,2015112900,4103
152,Montreal,2015113000,4418
153,Montreal,2015120100,4489
154,Montreal,2015120200,4307
155,Montreal,2015120300,3976
156,Montreal,2015120400,3800
157,Montreal,2015120500,3631
158,Montreal,2015120600,4008
159,Montreal,2015120700,4358
160,Montreal,2015120800,4136
161,Montreal,2015120900,4296
162,Montreal,2015121000,4112
163,Montreal,2015121100,4099
164,Montreal,2015121200,3601
165,Montreal,2015121300,4045
166,Montreal,2015121400,4401
167,Montreal,2015121500,4193
168,Montreal,2015121600,3892
169,Montreal,2015121700,3888
170,Montreal,2015121800,3585
171,Montreal,2015121900,3349
172,Montreal,2015122000,3653
173,Montreal,2015122100,4026
174,Montreal,2015122200,3739
175,Montreal,2015122300,3641
176,Montreal,2015122400,3493
177,Montreal,2015122500,3440
178,Montreal,2015122600,3827
179,Montreal,2015122700,4230
180,Montreal,2015122800,4314
181,Montreal,2015122900,4377
182,Montreal,2015123000,4134
183,Montreal,2015123100,3749
184,Montreal,2016010100,4302
185,Montreal,2016010200,4625
186,Montreal,2016010300,4555
187,Montreal,2016010400,4640
188,Montreal,2016010500,4377
189,Montreal,2016010600,4544
190,Montreal,2016010700,4547
191,Montreal,2016010800,4475
192,Montreal,2016010900,4146
193,Montreal,2016011000,4408
194,Montreal,2016011100,4444
195,Montreal,2016011200,4456
196,Montreal,2016011300,4420
197,Montreal,2016011400,4544
198,Montreal,2016011500,4919
199,Montreal,2016011600,4169
200,Montreal,2016011700,4564
201,Montreal,2016011800,4815
202,Montreal,2016011900,4921
203,Montreal,2016012000,4488
