,article,timestamp,views
0,NCIS_(TV_series),2015070100,7677
1,NCIS_(TV_series),2015070200,7712
2,NCIS_(TV_series),2015070300,8135
3,NCIS_(TV_series),2015070400,9449
4,NCIS_(TV_series),2015070500,10370
5,NCIS_(TV_series),2015070600,12042
6,NCIS_(TV_series),2015070700,11561
7,NCIS_(TV_series),2015070800,12283
8,NCIS_(TV_series),2015070900,11123
9,NCIS_(TV_series),2015071000,10476
10,NCIS_(TV_series),2015071100,9868
11,NCIS_(TV_series),2015071200,10946
12,NCIS_(TV_series),2015071300,13139
13,NCIS_(TV_series),2015071400,12582
14,NCIS_(TV_series),2015071500,12344
15,NCIS_(TV_series),2015071600,10325
16,NCIS_(TV_series),2015071700,10189
17,NCIS_(TV_series),2015071800,9698
18,NCIS_(TV_series),2015071900,10745
19,NCIS_(TV_series),2015072000,12555
20,NCIS_(TV_series),2015072100,12427
21,NCIS_(TV_series),2015072200,11989
22,NCIS_(TV_series),2015072300,10499
23,NCIS_(TV_series),2015072400,11661
24,NCIS_(TV_series),2015072500,10292
25,NCIS_(TV_series),2015072600,11160
26,NCIS_(TV_series),2015072700,13262
27,NCIS_(TV_series),2015072800,12294
28,NCIS_(TV_series),2015072900,11627
29,NCIS_(TV_series),2015073000,10123
30,NCIS_(TV_series),2015073100,11456
31,NCIS_(TV_series),2015080100,9436
32,NCIS_(TV_series),2015080200,11954
33,NCIS_(TV_series),2015080300,12279
34,NCIS_(TV_series),2015080400,12388
35,NCIS_(TV_series),2015080500,11461
36,NCIS_(TV_series),2015080600,10219
37,NCIS_(TV_series),2015080700,9187
38,NCIS_(TV_series),2015080800,10465
39,NCIS_(TV_series),2015080900,11294
40,NCIS_(TV_series),2015081000,11443
41,NCIS_(TV_series),2015081100,11083
42,NCIS_(TV_series),2015081200,11431
43,NCIS_(TV_series),2015081300,9767
44,NCIS_(TV_series),2015081400,9921
45,NCIS_(TV_series),2015081500,9172
46,NCIS_(TV_series),2015081600,9849
47,NCIS_(TV_series),2015081700,11410
48,NCIS_(TV_series),2015081800,11213
49,NCIS_(TV_series),2015081900,12126
50,NCIS_(TV_series),2015082000,9752
51,NCIS_(TV_series),2015082100,10757
52,NCIS_(TV_series),2015082200,9318
53,NCIS_(TV_series),2015082300,11986
54,NCIS_(TV_series),2015082400,13106
55,NCIS_(TV_series),2015082500,11880
56,NCIS_(TV_series),2015082600,12237
57,NCIS_(TV_series),2015082700,11354
58,NCIS_(TV_series),2015082800,11570
59,NCIS_(TV_series),2015082900,10615
60,NCIS_(TV_series),2015083000,12026
61,NCIS_(TV_series),2015083100,12704
62,NCIS_(TV_series),2015090100,11234
63,NCIS_(TV_series),2015090200,12281
64,NCIS_(TV_series),2015090300,9050
65,NCIS_(TV_series),2015090400,8905
66,NCIS_(TV_series),2015090500,10017
67,NCIS_(TV_series),2015090600,11066
68,NCIS_(TV_series),2015090700,13194
69,NCIS_(TV_series),2015090800,11711
70,NCIS_(TV_series),2015090900,11302
71,NCIS_(TV_series),2015091000,10252
72,NCIS_(TV_series),2015091100,8983
73,NCIS_(TV_series),2015091200,8006
74,NCIS_(TV_series),2015091300,13727
75,NCIS_(TV_series),2015091400,12088
76,NCIS_(TV_series),2015091500,10275
77,NCIS_(TV_series),2015091600,9941
78,NCIS_(TV_series),2015091700,7935
79,NCIS_(TV_series),2015091800,8609
80,NCIS_(TV_series),2015091900,9220
81,NCIS_(TV_series),2015092000,11491
82,NCIS_(TV_series),2015092100,11863
83,NCIS_(TV_series),2015092200,14424
84,NCIS_(TV_series),2015092300,21449
85,NCIS_(TV_series),2015092400,13284
86,NCIS_(TV_series),2015092500,11693
87,NCIS_(TV_series),2015092600,10538
88,NCIS_(TV_series),2015092700,12320
89,NCIS_(TV_series),2015092800,12336
90,NCIS_(TV_series),2015092900,12377
91,NCIS_(TV_series),2015093000,18177
92,NCIS_(TV_series),2015100100,11518
93,NCIS_(TV_series),2015100200,10101
94,NCIS_(TV_series),2015100300,9692
95,NCIS_(TV_series),2015100400,10981
96,NCIS_(TV_series),2015100500,9770
97,NCIS_(TV_series),2015100600,10454
98,NCIS_(TV_series),2015100700,14292
99,NCIS_(TV_series),2015100800,8646
100,NCIS_(TV_series),2015100900,9392
101,NCIS_(TV_series),2015101000,9077
102,NCIS_(TV_series),2015101100,10053
103,NCIS_(TV_series),2015101200,9521
104,NCIS_(TV_series),2015101300,9647
105,NCIS_(TV_series),2015101400,12295
106,NCIS_(TV_series),2015101500,9216
107,NCIS_(TV_series),2015101600,8488
108,NCIS_(TV_series),2015101700,7992
109,NCIS_(TV_series),2015101800,9752
110,NCIS_(TV_series),2015101900,9381
111,NCIS_(TV_series),2015102000,9639
112,NCIS_(TV_series),2015102100,13443
113,NCIS_(TV_series),2015102200,9224
114,NCIS_(TV_series),2015102300,8085
115,NCIS_(TV_series),2015102400,7420
116,NCIS_(TV_series),2015102500,9121
117,NCIS_(TV_series),2015102600,8668
118,NCIS_(TV_series),2015102700,9585
119,NCIS_(TV_series),2015102800,14058
120,NCIS_(TV_series),2015102900,9397
121,NCIS_(TV_series),2015103000,8336
122,NCIS_(TV_series),2015103100,7633
123,NCIS_(TV_series),2015110100,9172
124,NCIS_(TV_series),2015110200,8717
125,NCIS_(TV_series),2015110300,8867
126,NCIS_(TV_series),2015110400,13219
127,NCIS_(TV_series),2015110500,9250
128,NCIS_(TV_series),2015110600,8901
129,NCIS_(TV_series),2015110700,8196
130,NCIS_(TV_series),2015110800,10141
131,NCIS_(TV_series),2015110900,9506
132,NCIS_(TV_series),2015111000,9235
133,NCIS_(TV_series),2015111100,15151
134,NCIS_(TV_series),2015111200,10217
135,NCIS_(TV_series),2015111300,10408
136,NCIS_(TV_series),2015111400,9187
137,NCIS_(TV_series),2015111500,9489
138,NCIS_(TV_series),2015111600,10314
139,NCIS_(TV_series),2015111700,9686
140,NCIS_(TV_series),2015111800,18970
141,NCIS_(TV_series),2015111900,10939
142,NCIS_(TV_series),2015112000,8252
143,NCIS_(TV_series),2015112100,8262
144,NCIS_(TV_series),2015112200,9111
145,NCIS_(TV_series),2015112300,9231
146,NCIS_(TV_series),2015112400,9522
147,NCIS_(TV_series),2015112500,15611
148,NCIS_(TV_series),2015112600,10716
149,NCIS_(TV_series),2015112700,9051
150,NCIS_(TV_series),2015112800,10719
151,NCIS_(TV_series),2015112900,13736
152,NCIS_(TV_series),2015113000,12628
153,NCIS_(TV_series),2015120100,11736
154,NCIS_(TV_series),2015120200,11999
155,NCIS_(TV_series),2015120300,9719
156,NCIS_(TV_series),2015120400,9176
157,NCIS_(TV_series),2015120500,7959
158,NCIS_(TV_series),2015120600,10251
159,NCIS_(TV_series),2015120700,10458
160,NCIS_(TV_series),2015120800,9775
161,NCIS_(TV_series),2015120900,13333
162,NCIS_(TV_series),2015121000,10229
163,NCIS_(TV_series),2015121100,9438
164,NCIS_(TV_series),2015121200,8957
165,NCIS_(TV_series),2015121300,9532
166,NCIS_(TV_series),2015121400,9318
167,NCIS_(TV_series),2015121500,9592
168,NCIS_(TV_series),2015121600,13798
169,NCIS_(TV_series),2015121700,10258
170,NCIS_(TV_series),2015121800,10620
171,NCIS_(TV_series),2015121900,9307
172,NCIS_(TV_series),2015122000,9685
173,NCIS_(TV_series),2015122100,8302
174,NCIS_(TV_series),2015122200,8539
175,NCIS_(TV_series),2015122300,9833
176,NCIS_(TV_series),2015122400,8197
177,NCIS_(TV_series),2015122500,9225
178,NCIS_(TV_series),2015122600,11236
179,NCIS_(TV_series),2015122700,13481
180,NCIS_(TV_series),2015122800,11826
181,NCIS_(TV_series),2015122900,9782
182,NCIS_(TV_series),2015123000,10615
183,NCIS_(TV_series),2015123100,10450
184,NCIS_(TV_series),2016010100,9141
185,NCIS_(TV_series),2016010200,10054
186,NCIS_(TV_series),2016010300,11822
187,NCIS_(TV_series),2016010400,13485
188,NCIS_(TV_series),2016010500,12271
189,NCIS_(TV_series),2016010600,36852
190,NCIS_(TV_series),2016010700,17585
191,NCIS_(TV_series),2016010800,12514
192,NCIS_(TV_series),2016010900,10501
193,NCIS_(TV_series),2016011000,13096
194,NCIS_(TV_series),2016011100,11552
195,NCIS_(TV_series),2016011200,11399
196,NCIS_(TV_series),2016011300,13942
197,NCIS_(TV_series),2016011400,9625
198,NCIS_(TV_series),2016011500,8824
199,NCIS_(TV_series),2016011600,8571
200,NCIS_(TV_series),2016011700,10053
201,NCIS_(TV_series),2016011800,9813
202,NCIS_(TV_series),2016011900,10531
203,NCIS_(TV_series),2016012000,14490
204,NCIS_(TV_series),2016012100,10214
