,article,timestamp,views
0,Nevermind,2015070100,1983
1,Nevermind,2015070200,1877
2,Nevermind,2015070300,1959
3,Nevermind,2015070400,1815
4,Nevermind,2015070500,1864
5,Nevermind,2015070600,2202
6,Nevermind,2015070700,2358
7,Nevermind,2015070800,2102
8,Nevermind,2015070900,2093
9,Nevermind,2015071000,2145
10,Nevermind,2015071100,1899
11,Nevermind,2015071200,1991
12,Nevermind,2015071300,2181
13,Nevermind,2015071400,2220
14,Nevermind,2015071500,1955
15,Nevermind,2015071600,2010
16,Nevermind,2015071700,1865
17,Nevermind,2015071800,1828
18,Nevermind,2015071900,1882
19,Nevermind,2015072000,1961
20,Nevermind,2015072100,1985
21,Nevermind,2015072200,2024
22,Nevermind,2015072300,2119
23,Nevermind,2015072400,1934
24,Nevermind,2015072500,1960
25,Nevermind,2015072600,1952
26,Nevermind,2015072700,2022
27,Nevermind,2015072800,1996
28,Nevermind,2015072900,2023
29,Nevermind,2015073000,2126
30,Nevermind,2015073100,2280
31,Nevermind,2015080100,2191
32,Nevermind,2015080200,2191
33,Nevermind,2015080300,2091
34,Nevermind,2015080400,2154
35,Nevermind,2015080500,2083
36,Nevermind,2015080600,2025
37,Nevermind,2015080700,1933
38,Nevermind,2015080800,1860
39,Nevermind,2015080900,1816
40,Nevermind,2015081000,1777
41,Nevermind,2015081100,1809
42,Nevermind,2015081200,1942
43,Nevermind,2015081300,1963
44,Nevermind,2015081400,1961
45,Nevermind,2015081500,1837
46,Nevermind,2015081600,1942
47,Nevermind,2015081700,2030
48,Nevermind,2015081800,2035
49,Nevermind,2015081900,1952
50,Nevermind,2015082000,1989
51,Nevermind,2015082100,2068
52,Nevermind,2015082200,1926
53,Nevermind,2015082300,1981
54,Nevermind,2015082400,2004
55,Nevermind,2015082500,1950
56,Nevermind,2015082600,1993
57,Nevermind,2015082700,1996
58,Nevermind,2015082800,1870
59,Nevermind,2015082900,2003
60,Nevermind,2015083000,2036
61,Nevermind,2015083100,1928
62,Nevermind,2015090100,1850
63,Nevermind,2015090200,1985
64,Nevermind,2015090300,1873
65,Nevermind,2015090400,1850
66,Nevermind,2015090500,1940
67,Nevermind,2015090600,2072
68,Nevermind,2015090700,1962
69,Nevermind,2015090800,1878
70,Nevermind,2015090900,1854
71,Nevermind,2015091000,2096
72,Nevermind,2015091100,1882
73,Nevermind,2015091200,1721
74,Nevermind,2015091300,1849
75,Nevermind,2015091400,1687
76,Nevermind,2015091500,1932
77,Nevermind,2015091600,1992
78,Nevermind,2015091700,1847
79,Nevermind,2015091800,1726
80,Nevermind,2015091900,1626
81,Nevermind,2015092000,1767
82,Nevermind,2015092100,1719
83,Nevermind,2015092200,1760
84,Nevermind,2015092300,1990
85,Nevermind,2015092400,3978
86,Nevermind,2015092500,3206
87,Nevermind,2015092600,2019
88,Nevermind,2015092700,1823
89,Nevermind,2015092800,2026
90,Nevermind,2015092900,2743
91,Nevermind,2015093000,2866
92,Nevermind,2015100100,2334
93,Nevermind,2015100200,1852
94,Nevermind,2015100300,1797
95,Nevermind,2015100400,1953
96,Nevermind,2015100500,1834
97,Nevermind,2015100600,1957
98,Nevermind,2015100700,1721
99,Nevermind,2015100800,1829
100,Nevermind,2015100900,1831
101,Nevermind,2015101000,1800
102,Nevermind,2015101100,1996
103,Nevermind,2015101200,1996
104,Nevermind,2015101300,2003
105,Nevermind,2015101400,1752
106,Nevermind,2015101500,1903
107,Nevermind,2015101600,1851
108,Nevermind,2015101700,1873
109,Nevermind,2015101800,1847
110,Nevermind,2015101900,2133
111,Nevermind,2015102000,4316
112,Nevermind,2015102100,1886
113,Nevermind,2015102200,1773
114,Nevermind,2015102300,1880
115,Nevermind,2015102400,1709
116,Nevermind,2015102500,1858
117,Nevermind,2015102600,1884
118,Nevermind,2015102700,1713
119,Nevermind,2015102800,1819
120,Nevermind,2015102900,1718
121,Nevermind,2015103000,1737
122,Nevermind,2015103100,1870
123,Nevermind,2015110100,1733
124,Nevermind,2015110200,1745
125,Nevermind,2015110300,1794
126,Nevermind,2015110400,1829
127,Nevermind,2015110500,1780
128,Nevermind,2015110600,1855
129,Nevermind,2015110700,1840
130,Nevermind,2015110800,1722
131,Nevermind,2015110900,1831
132,Nevermind,2015111000,1784
133,Nevermind,2015111100,1885
134,Nevermind,2015111200,1774
135,Nevermind,2015111300,1796
136,Nevermind,2015111400,1630
137,Nevermind,2015111500,1614
138,Nevermind,2015111600,1638
139,Nevermind,2015111700,1767
140,Nevermind,2015111800,1747
141,Nevermind,2015111900,1772
142,Nevermind,2015112000,1803
143,Nevermind,2015112100,1770
144,Nevermind,2015112200,1972
145,Nevermind,2015112300,2061
146,Nevermind,2015112400,1967
147,Nevermind,2015112500,1953
148,Nevermind,2015112600,1669
149,Nevermind,2015112700,1788
150,Nevermind,2015112800,1958
151,Nevermind,2015112900,2068
152,Nevermind,2015113000,2090
153,Nevermind,2015120100,1896
154,Nevermind,2015120200,1995
155,Nevermind,2015120300,1838
156,Nevermind,2015120400,2248
157,Nevermind,2015120500,2093
158,Nevermind,2015120600,1984
159,Nevermind,2015120700,2099
160,Nevermind,2015120800,2016
161,Nevermind,2015120900,1886
162,Nevermind,2015121000,1924
163,Nevermind,2015121100,1919
164,Nevermind,2015121200,1976
165,Nevermind,2015121300,1826
166,Nevermind,2015121400,1971
167,Nevermind,2015121500,2198
168,Nevermind,2015121600,1876
169,Nevermind,2015121700,2230
170,Nevermind,2015121800,1785
171,Nevermind,2015121900,2093
172,Nevermind,2015122000,2069
173,Nevermind,2015122100,2048
174,Nevermind,2015122200,3941
175,Nevermind,2015122300,1921
176,Nevermind,2015122400,1922
177,Nevermind,2015122500,1516
178,Nevermind,2015122600,1741
179,Nevermind,2015122700,1754
180,Nevermind,2015122800,1685
181,Nevermind,2015122900,1658
182,Nevermind,2015123000,1788
183,Nevermind,2015123100,1750
184,Nevermind,2016010100,1618
185,Nevermind,2016010200,1698
186,Nevermind,2016010300,1696
187,Nevermind,2016010400,1732
188,Nevermind,2016010500,1799
189,Nevermind,2016010600,1840
190,Nevermind,2016010700,1817
191,Nevermind,2016010800,1875
192,Nevermind,2016010900,1758
193,Nevermind,2016011000,1916
194,Nevermind,2016011100,2083
195,Nevermind,2016011200,1960
196,Nevermind,2016011300,1985
197,Nevermind,2016011400,2002
198,Nevermind,2016011500,1918
199,Nevermind,2016011600,1879
200,Nevermind,2016011700,2028
201,Nevermind,2016011800,1829
202,Nevermind,2016011900,1916
203,Nevermind,2016012000,4472
204,Nevermind,2016012100,11057
205,Nevermind,2016012200,3444
206,Nevermind,2016012300,2413
207,Nevermind,2016012400,3035
208,Nevermind,2016012500,2363
209,Nevermind,2016012600,1969
210,Nevermind,2016012700,1871
211,Nevermind,2016012800,1838
212,Nevermind,2016012900,1973
213,Nevermind,2016013000,1754
214,Nevermind,2016013100,1936
215,Nevermind,2016020100,1873
216,Nevermind,2016020200,1784
217,Nevermind,2016020300,1802
218,Nevermind,2016020400,2209
219,Nevermind,2016020500,2024
220,Nevermind,2016020600,1940
221,Nevermind,2016020700,1809
222,Nevermind,2016020800,1643
223,Nevermind,2016020900,1830
224,Nevermind,2016021000,1668
225,Nevermind,2016021100,1663
226,Nevermind,2016021200,1916
227,Nevermind,2016021300,1728
228,Nevermind,2016021400,1771
229,Nevermind,2016021500,1811
230,Nevermind,2016021600,1982
231,Nevermind,2016021700,1908
232,Nevermind,2016021800,1912
233,Nevermind,2016021900,1914
234,Nevermind,2016022000,2529
235,Nevermind,2016022100,2240
236,Nevermind,2016022200,2054
237,Nevermind,2016022300,1977
238,Nevermind,2016022400,2028
239,Nevermind,2016022500,1775
240,Nevermind,2016022600,1836
241,Nevermind,2016022700,1901
242,Nevermind,2016022800,1885
243,Nevermind,2016022900,1718
244,Nevermind,2016030100,1791
245,Nevermind,2016030200,1781
246,Nevermind,2016030300,2097
247,Nevermind,2016030400,1819
248,Nevermind,2016030500,1666
249,Nevermind,2016030600,1767
250,Nevermind,2016030700,1667
251,Nevermind,2016030800,1930
252,Nevermind,2016030900,1709
253,Nevermind,2016031000,1745
254,Nevermind,2016031100,1725
255,Nevermind,2016031200,1802
256,Nevermind,2016031300,1871
257,Nevermind,2016031400,1772
258,Nevermind,2016031500,1849
259,Nevermind,2016031600,1876
260,Nevermind,2016031700,1682
261,Nevermind,2016031800,1931
262,Nevermind,2016031900,1866
263,Nevermind,2016032000,1894
264,Nevermind,2016032100,1812
265,Nevermind,2016032200,1813
266,Nevermind,2016032300,2135
267,Nevermind,2016032400,2081
268,Nevermind,2016032500,1863
269,Nevermind,2016032600,1807
270,Nevermind,2016032700,1724
271,Nevermind,2016032800,1819
272,Nevermind,2016032900,1898
273,Nevermind,2016033000,1803
274,Nevermind,2016033100,1753
275,Nevermind,2016040100,1702
276,Nevermind,2016040200,1674
277,Nevermind,2016040300,1638
278,Nevermind,2016040400,2129
279,Nevermind,2016040500,2933
280,Nevermind,2016040600,2270
281,Nevermind,2016040700,2010
282,Nevermind,2016040800,1922
283,Nevermind,2016040900,1807
284,Nevermind,2016041000,2490
285,Nevermind,2016041100,1899
286,Nevermind,2016041200,1870
287,Nevermind,2016041300,1748
288,Nevermind,2016041400,1778
289,Nevermind,2016041500,1795
290,Nevermind,2016041600,1609
291,Nevermind,2016041700,1760
292,Nevermind,2016041800,1814
293,Nevermind,2016041900,1652
294,Nevermind,2016042000,1674
295,Nevermind,2016042100,1881
296,Nevermind,2016042200,1767
297,Nevermind,2016042300,1713
298,Nevermind,2016042400,1748
299,Nevermind,2016042500,1755
300,Nevermind,2016042600,1754
301,Nevermind,2016042700,1677
302,Nevermind,2016042800,2145
303,Nevermind,2016042900,1673
304,Nevermind,2016043000,1673
305,Nevermind,2016050100,1687
306,Nevermind,2016050200,1902
307,Nevermind,2016050300,1597
308,Nevermind,2016050400,1621
309,Nevermind,2016050500,1587
310,Nevermind,2016050600,1684
311,Nevermind,2016050700,1654
312,Nevermind,2016050800,1547
313,Nevermind,2016050900,1733
314,Nevermind,2016051000,1610
315,Nevermind,2016051100,1552
316,Nevermind,2016051200,1692
317,Nevermind,2016051300,1738
318,Nevermind,2016051400,1553
319,Nevermind,2016051500,1583
320,Nevermind,2016051600,1609
321,Nevermind,2016051700,1624
322,Nevermind,2016051800,1644
323,Nevermind,2016051900,1678
324,Nevermind,2016052000,1575
325,Nevermind,2016052100,1529
326,Nevermind,2016052200,1594
327,Nevermind,2016052300,1685
328,Nevermind,2016052400,1598
329,Nevermind,2016052500,1549
330,Nevermind,2016052600,1516
331,Nevermind,2016052700,1592
332,Nevermind,2016052800,1329
333,Nevermind,2016052900,1478
334,Nevermind,2016053000,1512
335,Nevermind,2016053100,1575
336,Nevermind,2016060100,1545
337,Nevermind,2016060200,1579
338,Nevermind,2016060300,1530
339,Nevermind,2016060400,1522
340,Nevermind,2016060500,1495
341,Nevermind,2016060600,1503
342,Nevermind,2016060700,1534
343,Nevermind,2016060800,1465
344,Nevermind,2016060900,1432
345,Nevermind,2016061000,1486
346,Nevermind,2016061100,1391
347,Nevermind,2016061200,1376
348,Nevermind,2016061300,1345
349,Nevermind,2016061400,1419
350,Nevermind,2016061500,1905
351,Nevermind,2016061600,1927
352,Nevermind,2016061700,1586
353,Nevermind,2016061800,1511
354,Nevermind,2016061900,1569
355,Nevermind,2016062000,1411
356,Nevermind,2016062100,1412
357,Nevermind,2016062200,1433
358,Nevermind,2016062300,1608
359,Nevermind,2016062400,1576
360,Nevermind,2016062500,1567
361,Nevermind,2016062600,1395
362,Nevermind,2016062700,1631
363,Nevermind,2016062800,1413
364,Nevermind,2016062900,1519
365,Nevermind,2016063000,1539
366,Nevermind,2016070100,1527
367,Nevermind,2016070200,1544
368,Nevermind,2016070300,1561
