,article,timestamp,views
0,Neymar,2015070100,10373
1,Neymar,2015070200,9570
2,Neymar,2015070300,8314
3,Neymar,2015070400,9304
4,Neymar,2015070500,9620
5,Neymar,2015070600,9744
6,Neymar,2015070700,8897
7,Neymar,2015070800,8790
8,Neymar,2015070900,8421
9,Neymar,2015071000,8084
10,Neymar,2015071100,8059
11,Neymar,2015071200,8944
12,Neymar,2015071300,10428
13,Neymar,2015071400,9133
14,Neymar,2015071500,8243
15,Neymar,2015071600,7715
16,Neymar,2015071700,7320
17,Neymar,2015071800,7143
18,Neymar,2015071900,6935
19,Neymar,2015072000,7687
20,Neymar,2015072100,7416
21,Neymar,2015072200,7575
22,Neymar,2015072300,7054
23,Neymar,2015072400,7460
24,Neymar,2015072500,7334
25,Neymar,2015072600,7255
26,Neymar,2015072700,7913
27,Neymar,2015072800,7549
28,Neymar,2015072900,7787
29,Neymar,2015073000,7542
30,Neymar,2015073100,6400
31,Neymar,2015080100,6294
32,Neymar,2015080200,6711
33,Neymar,2015080300,6072
34,Neymar,2015080400,6976
35,Neymar,2015080500,7240
36,Neymar,2015080600,7576
37,Neymar,2015080700,6524
38,Neymar,2015080800,6478
39,Neymar,2015080900,7682
40,Neymar,2015081000,6866
41,Neymar,2015081100,9465
42,Neymar,2015081200,9286
43,Neymar,2015081300,7680
44,Neymar,2015081400,8067
45,Neymar,2015081500,6391
46,Neymar,2015081600,6601
47,Neymar,2015081700,7714
48,Neymar,2015081800,7194
49,Neymar,2015081900,7189
50,Neymar,2015082000,6928
51,Neymar,2015082100,8047
52,Neymar,2015082200,11957
53,Neymar,2015082300,14013
54,Neymar,2015082400,15616
55,Neymar,2015082500,18457
56,Neymar,2015082600,11479
57,Neymar,2015082700,10063
58,Neymar,2015082800,8477
59,Neymar,2015082900,8958
60,Neymar,2015083000,8317
61,Neymar,2015083100,7497
62,Neymar,2015090100,7759
63,Neymar,2015090200,7563
64,Neymar,2015090300,6978
65,Neymar,2015090400,7477
66,Neymar,2015090500,9709
67,Neymar,2015090600,8840
68,Neymar,2015090700,7848
69,Neymar,2015090800,11236
70,Neymar,2015090900,39833
71,Neymar,2015091000,13381
72,Neymar,2015091100,9785
73,Neymar,2015091200,12170
74,Neymar,2015091300,10172
75,Neymar,2015091400,7885
76,Neymar,2015091500,7709
77,Neymar,2015091600,8661
78,Neymar,2015091700,7494
79,Neymar,2015091800,8804
80,Neymar,2015091900,7159
81,Neymar,2015092000,8621
82,Neymar,2015092100,7994
83,Neymar,2015092200,7669
84,Neymar,2015092300,7987
85,Neymar,2015092400,7438
86,Neymar,2015092500,9421
87,Neymar,2015092600,9751
88,Neymar,2015092700,8251
89,Neymar,2015092800,7591
90,Neymar,2015092900,9597
91,Neymar,2015093000,8399
92,Neymar,2015100100,7671
93,Neymar,2015100200,7501
94,Neymar,2015100300,9222
95,Neymar,2015100400,8564
96,Neymar,2015100500,7093
97,Neymar,2015100600,7700
98,Neymar,2015100700,7101
99,Neymar,2015100800,6895
