,article,timestamp,views
0,Nile,2015070100,2741
1,Nile,2015070200,2780
2,Nile,2015070300,2522
3,Nile,2015070400,2342
4,Nile,2015070500,2721
5,Nile,2015070600,2836
6,Nile,2015070700,2823
7,Nile,2015070800,2720
8,Nile,2015070900,2733
9,Nile,2015071000,2506
10,Nile,2015071100,2176
11,Nile,2015071200,2481
12,Nile,2015071300,2584
13,Nile,2015071400,2572
14,Nile,2015071500,2574
15,Nile,2015071600,2484
16,Nile,2015071700,2172
17,Nile,2015071800,2041
18,Nile,2015071900,2425
19,Nile,2015072000,3037
20,Nile,2015072100,2814
21,Nile,2015072200,2688
22,Nile,2015072300,3337
23,Nile,2015072400,2934
24,Nile,2015072500,2541
25,Nile,2015072600,3069
26,Nile,2015072700,3129
27,Nile,2015072800,3252
28,Nile,2015072900,2857
29,Nile,2015073000,2651
30,Nile,2015073100,2262
31,Nile,2015080100,2242
32,Nile,2015080200,2861
33,Nile,2015080300,2619
34,Nile,2015080400,2960
35,Nile,2015080500,2842
36,Nile,2015080600,2966
37,Nile,2015080700,2609
38,Nile,2015080800,2490
39,Nile,2015080900,2749
40,Nile,2015081000,2791
41,Nile,2015081100,4039
42,Nile,2015081200,2916
43,Nile,2015081300,2752
44,Nile,2015081400,2780
45,Nile,2015081500,2278
46,Nile,2015081600,2870
47,Nile,2015081700,3064
48,Nile,2015081800,3000
49,Nile,2015081900,2895
50,Nile,2015082000,2732
51,Nile,2015082100,2608
52,Nile,2015082200,2237
53,Nile,2015082300,2481
54,Nile,2015082400,2768
55,Nile,2015082500,3091
56,Nile,2015082600,3153
57,Nile,2015082700,3174
58,Nile,2015082800,2789
59,Nile,2015082900,2232
60,Nile,2015083000,3029
61,Nile,2015083100,3357
62,Nile,2015090100,3371
63,Nile,2015090200,3296
64,Nile,2015090300,3387
65,Nile,2015090400,2960
66,Nile,2015090500,2368
67,Nile,2015090600,2741
68,Nile,2015090700,3145
69,Nile,2015090800,3677
70,Nile,2015090900,3535
71,Nile,2015091000,3753
72,Nile,2015091100,3213
73,Nile,2015091200,2501
74,Nile,2015091300,3081
75,Nile,2015091400,3909
76,Nile,2015091500,3964
77,Nile,2015091600,3498
78,Nile,2015091700,3773
79,Nile,2015091800,2989
80,Nile,2015091900,2360
81,Nile,2015092000,13856
82,Nile,2015092100,3760
83,Nile,2015092200,3739
84,Nile,2015092300,3554
85,Nile,2015092400,3564
86,Nile,2015092500,2904
87,Nile,2015092600,2585
88,Nile,2015092700,3044
89,Nile,2015092800,3602
90,Nile,2015092900,3883
91,Nile,2015093000,3835
92,Nile,2015100100,3561
93,Nile,2015100200,3204
94,Nile,2015100300,2701
95,Nile,2015100400,3127
96,Nile,2015100500,3675
97,Nile,2015100600,3853
98,Nile,2015100700,3951
99,Nile,2015100800,3964
100,Nile,2015100900,3535
101,Nile,2015101000,2781
102,Nile,2015101100,3023
103,Nile,2015101200,3726
104,Nile,2015101300,4028
105,Nile,2015101400,6995
106,Nile,2015101500,3687
107,Nile,2015101600,3383
108,Nile,2015101700,2487
109,Nile,2015101800,3092
110,Nile,2015101900,4381
111,Nile,2015102000,3921
112,Nile,2015102100,3984
113,Nile,2015102200,3517
114,Nile,2015102300,2931
115,Nile,2015102400,2520
116,Nile,2015102500,2981
117,Nile,2015102600,4246
118,Nile,2015102700,5039
119,Nile,2015102800,3837
120,Nile,2015102900,3815
121,Nile,2015103000,3037
122,Nile,2015103100,2488
123,Nile,2015110100,3282
124,Nile,2015110200,3949
125,Nile,2015110300,4343
126,Nile,2015110400,5148
127,Nile,2015110500,4047
128,Nile,2015110600,3813
129,Nile,2015110700,2628
130,Nile,2015110800,3093
131,Nile,2015110900,4028
132,Nile,2015111000,4266
133,Nile,2015111100,3520
134,Nile,2015111200,3895
135,Nile,2015111300,4489
136,Nile,2015111400,2576
137,Nile,2015111500,2854
138,Nile,2015111600,3872
139,Nile,2015111700,4190
140,Nile,2015111800,3905
141,Nile,2015111900,3941
142,Nile,2015112000,3325
143,Nile,2015112100,2461
144,Nile,2015112200,3167
145,Nile,2015112300,3633
146,Nile,2015112400,3891
147,Nile,2015112500,3145
148,Nile,2015112600,2792
149,Nile,2015112700,2555
150,Nile,2015112800,2601
151,Nile,2015112900,3099
152,Nile,2015113000,3703
153,Nile,2015120100,3783
154,Nile,2015120200,4008
155,Nile,2015120300,3718
156,Nile,2015120400,3173
157,Nile,2015120500,2290
158,Nile,2015120600,2921
159,Nile,2015120700,3567
160,Nile,2015120800,3550
161,Nile,2015120900,3637
162,Nile,2015121000,3700
163,Nile,2015121100,3035
164,Nile,2015121200,2360
165,Nile,2015121300,3001
166,Nile,2015121400,3693
167,Nile,2015121500,3464
168,Nile,2015121600,3051
169,Nile,2015121700,2812
170,Nile,2015121800,2384
171,Nile,2015121900,2032
172,Nile,2015122000,2361
173,Nile,2015122100,2413
174,Nile,2015122200,2274
175,Nile,2015122300,2015
176,Nile,2015122400,3379
177,Nile,2015122500,2912
178,Nile,2015122600,2196
179,Nile,2015122700,2644
180,Nile,2015122800,2626
181,Nile,2015122900,3187
182,Nile,2015123000,4141
183,Nile,2015123100,2534
184,Nile,2016010100,2617
185,Nile,2016010200,3056
186,Nile,2016010300,3291
187,Nile,2016010400,3728
188,Nile,2016010500,3804
189,Nile,2016010600,3752
190,Nile,2016010700,3985
191,Nile,2016010800,3608
192,Nile,2016010900,2874
193,Nile,2016011000,3370
194,Nile,2016011100,4004
195,Nile,2016011200,4257
196,Nile,2016011300,4317
197,Nile,2016011400,3996
198,Nile,2016011500,3307
199,Nile,2016011600,2649
200,Nile,2016011700,3490
201,Nile,2016011800,3708
202,Nile,2016011900,4263
203,Nile,2016012000,4119
204,Nile,2016012100,4080
