,article,timestamp,views
0,Ocean,2015070100,2628
1,Ocean,2015070200,2655
2,Ocean,2015070300,2301
3,Ocean,2015070400,2121
4,Ocean,2015070500,2518
5,Ocean,2015070600,2665
6,Ocean,2015070700,2720
7,Ocean,2015070800,3462
8,Ocean,2015070900,2624
9,Ocean,2015071000,2506
10,Ocean,2015071100,2359
11,Ocean,2015071200,2432
12,Ocean,2015071300,2353
13,Ocean,2015071400,2731
14,Ocean,2015071500,2608
15,Ocean,2015071600,2391
16,Ocean,2015071700,2466
17,Ocean,2015071800,2253
18,Ocean,2015071900,2605
19,Ocean,2015072000,3413
20,Ocean,2015072100,2566
21,Ocean,2015072200,2504
22,Ocean,2015072300,2497
23,Ocean,2015072400,2279
24,Ocean,2015072500,2452
25,Ocean,2015072600,2897
26,Ocean,2015072700,2438
27,Ocean,2015072800,2500
28,Ocean,2015072900,2770
29,Ocean,2015073000,3658
30,Ocean,2015073100,2639
31,Ocean,2015080100,2403
32,Ocean,2015080200,2511
33,Ocean,2015080300,2527
34,Ocean,2015080400,2478
35,Ocean,2015080500,2666
36,Ocean,2015080600,2792
37,Ocean,2015080700,2493
38,Ocean,2015080800,2253
39,Ocean,2015080900,2519
40,Ocean,2015081000,2359
41,Ocean,2015081100,2562
42,Ocean,2015081200,2654
43,Ocean,2015081300,2849
44,Ocean,2015081400,2377
45,Ocean,2015081500,2171
46,Ocean,2015081600,2604
47,Ocean,2015081700,3036
48,Ocean,2015081800,3318
49,Ocean,2015081900,2835
50,Ocean,2015082000,2814
51,Ocean,2015082100,2596
52,Ocean,2015082200,2170
53,Ocean,2015082300,2334
54,Ocean,2015082400,2922
55,Ocean,2015082500,3010
56,Ocean,2015082600,2829
57,Ocean,2015082700,2774
58,Ocean,2015082800,2452
59,Ocean,2015082900,1877
60,Ocean,2015083000,2591
61,Ocean,2015083100,2802
62,Ocean,2015090100,2963
63,Ocean,2015090200,3012
64,Ocean,2015090300,3189
65,Ocean,2015090400,2591
66,Ocean,2015090500,2191
67,Ocean,2015090600,2485
68,Ocean,2015090700,2789
69,Ocean,2015090800,3382
70,Ocean,2015090900,3358
71,Ocean,2015091000,3248
72,Ocean,2015091100,2935
73,Ocean,2015091200,2211
74,Ocean,2015091300,2732
75,Ocean,2015091400,3148
76,Ocean,2015091500,3514
77,Ocean,2015091600,3376
78,Ocean,2015091700,3229
79,Ocean,2015091800,2883
80,Ocean,2015091900,2099
81,Ocean,2015092000,2620
82,Ocean,2015092100,3381
83,Ocean,2015092200,3204
84,Ocean,2015092300,2993
85,Ocean,2015092400,2862
86,Ocean,2015092500,2462
87,Ocean,2015092600,2034
88,Ocean,2015092700,2542
89,Ocean,2015092800,3072
90,Ocean,2015092900,3306
91,Ocean,2015093000,3045
92,Ocean,2015100100,2808
93,Ocean,2015100200,2557
94,Ocean,2015100300,2075
95,Ocean,2015100400,2670
96,Ocean,2015100500,3069
97,Ocean,2015100600,3603
98,Ocean,2015100700,3401
99,Ocean,2015100800,3342
100,Ocean,2015100900,2809
101,Ocean,2015101000,2233
102,Ocean,2015101100,2613
103,Ocean,2015101200,3043
104,Ocean,2015101300,3102
105,Ocean,2015101400,3000
106,Ocean,2015101500,3121
107,Ocean,2015101600,2544
108,Ocean,2015101700,2351
109,Ocean,2015101800,2422
110,Ocean,2015101900,3086
111,Ocean,2015102000,3072
112,Ocean,2015102100,3000
113,Ocean,2015102200,3395
114,Ocean,2015102300,3555
115,Ocean,2015102400,3919
116,Ocean,2015102500,4277
117,Ocean,2015102600,3882
118,Ocean,2015102700,3603
119,Ocean,2015102800,3351
120,Ocean,2015102900,3162
121,Ocean,2015103000,2457
122,Ocean,2015103100,2146
123,Ocean,2015110100,2585
124,Ocean,2015110200,3257
125,Ocean,2015110300,3240
126,Ocean,2015110400,3205
127,Ocean,2015110500,3445
128,Ocean,2015110600,2910
129,Ocean,2015110700,2009
130,Ocean,2015110800,2559
131,Ocean,2015110900,2880
132,Ocean,2015111000,2950
133,Ocean,2015111100,2699
134,Ocean,2015111200,3051
135,Ocean,2015111300,2723
136,Ocean,2015111400,2057
137,Ocean,2015111500,2444
138,Ocean,2015111600,3025
139,Ocean,2015111700,3015
140,Ocean,2015111800,3161
141,Ocean,2015111900,4829
142,Ocean,2015112000,3082
143,Ocean,2015112100,2032
144,Ocean,2015112200,2589
145,Ocean,2015112300,2937
146,Ocean,2015112400,3200
147,Ocean,2015112500,2877
148,Ocean,2015112600,2361
149,Ocean,2015112700,2079
150,Ocean,2015112800,2068
151,Ocean,2015112900,2305
152,Ocean,2015113000,3490
153,Ocean,2015120100,3130
154,Ocean,2015120200,3080
155,Ocean,2015120300,2886
156,Ocean,2015120400,2570
157,Ocean,2015120500,2008
158,Ocean,2015120600,2305
159,Ocean,2015120700,2924
160,Ocean,2015120800,2874
161,Ocean,2015120900,2829
162,Ocean,2015121000,2813
163,Ocean,2015121100,2518
164,Ocean,2015121200,2036
165,Ocean,2015121300,2203
166,Ocean,2015121400,2587
167,Ocean,2015121500,2535
168,Ocean,2015121600,2670
169,Ocean,2015121700,2350
170,Ocean,2015121800,1927
171,Ocean,2015121900,2457
172,Ocean,2015122000,1947
173,Ocean,2015122100,1904
174,Ocean,2015122200,1888
175,Ocean,2015122300,1702
176,Ocean,2015122400,1673
177,Ocean,2015122500,1731
178,Ocean,2015122600,1899
179,Ocean,2015122700,1971
180,Ocean,2015122800,2086
181,Ocean,2015122900,2092
182,Ocean,2015123000,2099
183,Ocean,2015123100,1726
184,Ocean,2016010100,1799
185,Ocean,2016010200,2294
186,Ocean,2016010300,2334
187,Ocean,2016010400,2642
188,Ocean,2016010500,2838
189,Ocean,2016010600,3088
190,Ocean,2016010700,3106
191,Ocean,2016010800,2689
192,Ocean,2016010900,2205
193,Ocean,2016011000,2760
194,Ocean,2016011100,3041
195,Ocean,2016011200,3219
196,Ocean,2016011300,3350
197,Ocean,2016011400,3773
198,Ocean,2016011500,2813
199,Ocean,2016011600,2224
200,Ocean,2016011700,2673
201,Ocean,2016011800,2915
202,Ocean,2016011900,3398
203,Ocean,2016012000,3335
204,Ocean,2016012100,3399
205,Ocean,2016012200,3029
206,Ocean,2016012300,2461
207,Ocean,2016012400,3654
208,Ocean,2016012500,3464
209,Ocean,2016012600,3381
210,Ocean,2016012700,3397
211,Ocean,2016012800,3328
212,Ocean,2016012900,2904
213,Ocean,2016013000,2627
214,Ocean,2016013100,3483
215,Ocean,2016020100,3690
216,Ocean,2016020200,3585
217,Ocean,2016020300,3506
218,Ocean,2016020400,3297
219,Ocean,2016020500,2772
220,Ocean,2016020600,2274
221,Ocean,2016020700,2573
222,Ocean,2016020800,2935
223,Ocean,2016020900,3367
224,Ocean,2016021000,3338
225,Ocean,2016021100,3195
226,Ocean,2016021200,2386
227,Ocean,2016021300,2222
228,Ocean,2016021400,2460
229,Ocean,2016021500,2781
230,Ocean,2016021600,3218
231,Ocean,2016021700,3123
232,Ocean,2016021800,3084
233,Ocean,2016021900,2804
234,Ocean,2016022000,2387
235,Ocean,2016022100,2705
