,article,timestamp,views
0,Persepolis,2015070100,862
1,Persepolis,2015070200,876
2,Persepolis,2015070300,866
3,Persepolis,2015070400,781
4,Persepolis,2015070500,980
5,Persepolis,2015070600,990
6,Persepolis,2015070700,1142
7,Persepolis,2015070800,1118
8,Persepolis,2015070900,1463
9,Persepolis,2015071000,958
10,Persepolis,2015071100,986
11,Persepolis,2015071200,1032
12,Persepolis,2015071300,1097
13,Persepolis,2015071400,1209
14,Persepolis,2015071500,1060
15,Persepolis,2015071600,1117
16,Persepolis,2015071700,1037
17,Persepolis,2015071800,940
18,Persepolis,2015071900,990
19,Persepolis,2015072000,1207
20,Persepolis,2015072100,1099
21,Persepolis,2015072200,1038
22,Persepolis,2015072300,1058
23,Persepolis,2015072400,1225
24,Persepolis,2015072500,1086
25,Persepolis,2015072600,1136
26,Persepolis,2015072700,1373
27,Persepolis,2015072800,1296
28,Persepolis,2015072900,1549
29,Persepolis,2015073000,1328
30,Persepolis,2015073100,1260
31,Persepolis,2015080100,921
32,Persepolis,2015080200,947
33,Persepolis,2015080300,915
34,Persepolis,2015080400,1020
35,Persepolis,2015080500,922
36,Persepolis,2015080600,1003
37,Persepolis,2015080700,854
38,Persepolis,2015080800,791
39,Persepolis,2015080900,904
40,Persepolis,2015081000,1003
41,Persepolis,2015081100,927
42,Persepolis,2015081200,1007
43,Persepolis,2015081300,987
44,Persepolis,2015081400,849
45,Persepolis,2015081500,891
46,Persepolis,2015081600,979
47,Persepolis,2015081700,986
48,Persepolis,2015081800,1030
49,Persepolis,2015081900,964
50,Persepolis,2015082000,1092
51,Persepolis,2015082100,968
52,Persepolis,2015082200,827
53,Persepolis,2015082300,952
54,Persepolis,2015082400,1092
55,Persepolis,2015082500,1691
56,Persepolis,2015082600,1153
57,Persepolis,2015082700,1115
58,Persepolis,2015082800,932
59,Persepolis,2015082900,862
60,Persepolis,2015083000,1026
61,Persepolis,2015083100,1222
62,Persepolis,2015090100,1381
63,Persepolis,2015090200,1243
64,Persepolis,2015090300,1302
65,Persepolis,2015090400,1110
66,Persepolis,2015090500,974
67,Persepolis,2015090600,1099
68,Persepolis,2015090700,1278
69,Persepolis,2015090800,1308
70,Persepolis,2015090900,1214
71,Persepolis,2015091000,1281
72,Persepolis,2015091100,1199
73,Persepolis,2015091200,967
74,Persepolis,2015091300,1109
75,Persepolis,2015091400,1331
76,Persepolis,2015091500,1317
77,Persepolis,2015091600,1325
78,Persepolis,2015091700,1314
