,article,timestamp,views
0,Queen_(band),2015070100,10899
1,Queen_(band),2015070200,8879
2,Queen_(band),2015070300,7891
3,Queen_(band),2015070400,7607
4,Queen_(band),2015070500,7140
5,Queen_(band),2015070600,7472
6,Queen_(band),2015070700,6789
7,Queen_(band),2015070800,6923
8,Queen_(band),2015070900,7006
9,Queen_(band),2015071000,7363
10,Queen_(band),2015071100,9252
11,Queen_(band),2015071200,8340
12,Queen_(band),2015071300,8054
13,Queen_(band),2015071400,7348
14,Queen_(band),2015071500,6394
15,Queen_(band),2015071600,6296
16,Queen_(band),2015071700,6318
17,Queen_(band),2015071800,6582
18,Queen_(band),2015071900,6853
19,Queen_(band),2015072000,6364
20,Queen_(band),2015072100,6259
21,Queen_(band),2015072200,6096
22,Queen_(band),2015072300,6328
23,Queen_(band),2015072400,7457
24,Queen_(band),2015072500,7980
25,Queen_(band),2015072600,7785
26,Queen_(band),2015072700,7343
27,Queen_(band),2015072800,6084
28,Queen_(band),2015072900,6314
29,Queen_(band),2015073000,5974
30,Queen_(band),2015073100,6143
31,Queen_(band),2015080100,15774
32,Queen_(band),2015080200,10388
33,Queen_(band),2015080300,6755
34,Queen_(band),2015080400,6671
35,Queen_(band),2015080500,6195
36,Queen_(band),2015080600,5618
37,Queen_(band),2015080700,6060
38,Queen_(band),2015080800,7028
39,Queen_(band),2015080900,6277
40,Queen_(band),2015081000,5567
41,Queen_(band),2015081100,5481
42,Queen_(band),2015081200,5713
43,Queen_(band),2015081300,5854
44,Queen_(band),2015081400,6537
45,Queen_(band),2015081500,6566
46,Queen_(band),2015081600,6510
47,Queen_(band),2015081700,5990
48,Queen_(band),2015081800,5960
49,Queen_(band),2015081900,6157
50,Queen_(band),2015082000,6504
51,Queen_(band),2015082100,6012
52,Queen_(band),2015082200,5924
53,Queen_(band),2015082300,6603
54,Queen_(band),2015082400,6029
55,Queen_(band),2015082500,6083
56,Queen_(band),2015082600,5864
57,Queen_(band),2015082700,8168
58,Queen_(band),2015082800,6426
59,Queen_(band),2015082900,6220
60,Queen_(band),2015083000,7173
61,Queen_(band),2015083100,6304
62,Queen_(band),2015090100,5829
63,Queen_(band),2015090200,5775
64,Queen_(band),2015090300,5923
65,Queen_(band),2015090400,13734
66,Queen_(band),2015090500,12511
67,Queen_(band),2015090600,9836
68,Queen_(band),2015090700,8447
69,Queen_(band),2015090800,7455
70,Queen_(band),2015090900,7540
71,Queen_(band),2015091000,7023
72,Queen_(band),2015091100,6658
73,Queen_(band),2015091200,6312
74,Queen_(band),2015091300,6350
75,Queen_(band),2015091400,6782
76,Queen_(band),2015091500,7230
77,Queen_(band),2015091600,6929
78,Queen_(band),2015091700,6429
79,Queen_(band),2015091800,6949
80,Queen_(band),2015091900,13879
81,Queen_(band),2015092000,8426
82,Queen_(band),2015092100,7652
83,Queen_(band),2015092200,8525
84,Queen_(band),2015092300,7545
85,Queen_(band),2015092400,7318
86,Queen_(band),2015092500,6426
87,Queen_(band),2015092600,6391
88,Queen_(band),2015092700,5983
89,Queen_(band),2015092800,5935
90,Queen_(band),2015092900,5967
91,Queen_(band),2015093000,6181
92,Queen_(band),2015100100,6335
93,Queen_(band),2015100200,6028
94,Queen_(band),2015100300,5971
95,Queen_(band),2015100400,5857
96,Queen_(band),2015100500,5797
97,Queen_(band),2015100600,5809
98,Queen_(band),2015100700,5908
99,Queen_(band),2015100800,5866
100,Queen_(band),2015100900,6288
101,Queen_(band),2015101000,6151
102,Queen_(band),2015101100,5848
103,Queen_(band),2015101200,6090
104,Queen_(band),2015101300,5849
105,Queen_(band),2015101400,6242
106,Queen_(band),2015101500,6025
107,Queen_(band),2015101600,6528
108,Queen_(band),2015101700,5990
109,Queen_(band),2015101800,5977
110,Queen_(band),2015101900,5847
111,Queen_(band),2015102000,5905
112,Queen_(band),2015102100,7613
113,Queen_(band),2015102200,6069
114,Queen_(band),2015102300,6165
115,Queen_(band),2015102400,5817
116,Queen_(band),2015102500,6063
117,Queen_(band),2015102600,7505
118,Queen_(band),2015102700,5729
119,Queen_(band),2015102800,5741
120,Queen_(band),2015102900,7827
121,Queen_(band),2015103000,7050
122,Queen_(band),2015103100,7100
123,Queen_(band),2015110100,6342
124,Queen_(band),2015110200,6124
125,Queen_(band),2015110300,8483
126,Queen_(band),2015110400,6441
127,Queen_(band),2015110500,7170
128,Queen_(band),2015110600,6310
129,Queen_(band),2015110700,6312
130,Queen_(band),2015110800,6468
131,Queen_(band),2015110900,6807
132,Queen_(band),2015111000,7578
133,Queen_(band),2015111100,7865
134,Queen_(band),2015111200,8568
135,Queen_(band),2015111300,7193
136,Queen_(band),2015111400,6680
137,Queen_(band),2015111500,5902
138,Queen_(band),2015111600,5741
139,Queen_(band),2015111700,6043
140,Queen_(band),2015111800,6204
141,Queen_(band),2015111900,6789
142,Queen_(band),2015112000,6582
143,Queen_(band),2015112100,6951
144,Queen_(band),2015112200,6358
145,Queen_(band),2015112300,6294
146,Queen_(band),2015112400,8678
147,Queen_(band),2015112500,7439
148,Queen_(band),2015112600,7535
149,Queen_(band),2015112700,8221
150,Queen_(band),2015112800,9639
151,Queen_(band),2015112900,7771
152,Queen_(band),2015113000,6884
153,Queen_(band),2015120100,7250
154,Queen_(band),2015120200,6837
155,Queen_(band),2015120300,6527
156,Queen_(band),2015120400,14202
157,Queen_(band),2015120500,8049
158,Queen_(band),2015120600,6461
159,Queen_(band),2015120700,6661
160,Queen_(band),2015120800,9171
161,Queen_(band),2015120900,7588
162,Queen_(band),2015121000,8175
163,Queen_(band),2015121100,6983
164,Queen_(band),2015121200,7650
165,Queen_(band),2015121300,8562
166,Queen_(band),2015121400,6470
167,Queen_(band),2015121500,6411
168,Queen_(band),2015121600,6248
169,Queen_(band),2015121700,6181
170,Queen_(band),2015121800,9764
171,Queen_(band),2015121900,8285
172,Queen_(band),2015122000,6583
173,Queen_(band),2015122100,6046
174,Queen_(band),2015122200,5752
175,Queen_(band),2015122300,6895
176,Queen_(band),2015122400,6056
177,Queen_(band),2015122500,5720
178,Queen_(band),2015122600,5749
179,Queen_(band),2015122700,5769
180,Queen_(band),2015122800,5907
181,Queen_(band),2015122900,5769
182,Queen_(band),2015123000,5658
183,Queen_(band),2015123100,7516
184,Queen_(band),2016010100,7395
185,Queen_(band),2016010200,6444
186,Queen_(band),2016010300,6421
187,Queen_(band),2016010400,6717
188,Queen_(band),2016010500,6181
189,Queen_(band),2016010600,7050
190,Queen_(band),2016010700,6904
191,Queen_(band),2016010800,6764
192,Queen_(band),2016010900,6548
193,Queen_(band),2016011000,6408
194,Queen_(band),2016011100,25399
195,Queen_(band),2016011200,20542
196,Queen_(band),2016011300,12520
197,Queen_(band),2016011400,10773
198,Queen_(band),2016011500,9277
199,Queen_(band),2016011600,8888
200,Queen_(band),2016011700,8623
201,Queen_(band),2016011800,8159
202,Queen_(band),2016011900,7502
203,Queen_(band),2016012000,8968
204,Queen_(band),2016012100,8819
205,Queen_(band),2016012200,8330
206,Queen_(band),2016012300,8255
207,Queen_(band),2016012400,7710
208,Queen_(band),2016012500,6994
209,Queen_(band),2016012600,7083
210,Queen_(band),2016012700,6971
211,Queen_(band),2016012800,6838
212,Queen_(band),2016012900,6831
213,Queen_(band),2016013000,7949
214,Queen_(band),2016013100,7976
215,Queen_(band),2016020100,6928
216,Queen_(band),2016020200,6251
217,Queen_(band),2016020300,6447
218,Queen_(band),2016020400,6314
219,Queen_(band),2016020500,6944
220,Queen_(band),2016020600,6666
221,Queen_(band),2016020700,8985
222,Queen_(band),2016020800,8962
223,Queen_(band),2016020900,7145
224,Queen_(band),2016021000,6856
225,Queen_(band),2016021100,6656
226,Queen_(band),2016021200,6468
227,Queen_(band),2016021300,6890
228,Queen_(band),2016021400,6798
229,Queen_(band),2016021500,6526
230,Queen_(band),2016021600,7653
231,Queen_(band),2016021700,6697
232,Queen_(band),2016021800,6729
233,Queen_(band),2016021900,8248
234,Queen_(band),2016022000,8061
