,article,timestamp,views
0,Quran,2015070100,4977
1,Quran,2015070200,5267
2,Quran,2015070300,4747
3,Quran,2015070400,4626
4,Quran,2015070500,5101
5,Quran,2015070600,4751
6,Quran,2015070700,5172
7,Quran,2015070800,4955
8,Quran,2015070900,4676
9,Quran,2015071000,4632
10,Quran,2015071100,4427
11,Quran,2015071200,4727
12,Quran,2015071300,5291
13,Quran,2015071400,5463
14,Quran,2015071500,4670
15,Quran,2015071600,4458
16,Quran,2015071700,4909
17,Quran,2015071800,4408
18,Quran,2015071900,4276
19,Quran,2015072000,4340
20,Quran,2015072100,4142
21,Quran,2015072200,9919
22,Quran,2015072300,7408
23,Quran,2015072400,4461
24,Quran,2015072500,3592
25,Quran,2015072600,4467
26,Quran,2015072700,3805
27,Quran,2015072800,3778
28,Quran,2015072900,3888
29,Quran,2015073000,4059
30,Quran,2015073100,4543
31,Quran,2015080100,3352
32,Quran,2015080200,3470
33,Quran,2015080300,3329
34,Quran,2015080400,3624
35,Quran,2015080500,3792
36,Quran,2015080600,3498
37,Quran,2015080700,3359
38,Quran,2015080800,3171
39,Quran,2015080900,3507
40,Quran,2015081000,3541
41,Quran,2015081100,3488
42,Quran,2015081200,3766
43,Quran,2015081300,4396
44,Quran,2015081400,3404
45,Quran,2015081500,3321
46,Quran,2015081600,3480
47,Quran,2015081700,3651
48,Quran,2015081800,3953
49,Quran,2015081900,3627
50,Quran,2015082000,3609
51,Quran,2015082100,3323
52,Quran,2015082200,3031
53,Quran,2015082300,3448
54,Quran,2015082400,3597
55,Quran,2015082500,3538
56,Quran,2015082600,3766
57,Quran,2015082700,3655
58,Quran,2015082800,3422
59,Quran,2015082900,3204
60,Quran,2015083000,3464
61,Quran,2015083100,4613
62,Quran,2015090100,5145
63,Quran,2015090200,4468
64,Quran,2015090300,4158
65,Quran,2015090400,3916
66,Quran,2015090500,3554
67,Quran,2015090600,3958
68,Quran,2015090700,4220
69,Quran,2015090800,4586
70,Quran,2015090900,4904
71,Quran,2015091000,4759
72,Quran,2015091100,4852
73,Quran,2015091200,4509
74,Quran,2015091300,4937
75,Quran,2015091400,4984
76,Quran,2015091500,5096
77,Quran,2015091600,5150
78,Quran,2015091700,4993
79,Quran,2015091800,4762
80,Quran,2015091900,4112
81,Quran,2015092000,4927
82,Quran,2015092100,5989
83,Quran,2015092200,6030
84,Quran,2015092300,7161
85,Quran,2015092400,7152
86,Quran,2015092500,6795
87,Quran,2015092600,5043
88,Quran,2015092700,5281
89,Quran,2015092800,5792
90,Quran,2015092900,5375
91,Quran,2015093000,5296
92,Quran,2015100100,4767
93,Quran,2015100200,4833
94,Quran,2015100300,4215
95,Quran,2015100400,4724
96,Quran,2015100500,5372
97,Quran,2015100600,5451
98,Quran,2015100700,5724
99,Quran,2015100800,5422
100,Quran,2015100900,4869
101,Quran,2015101000,4398
102,Quran,2015101100,5313
103,Quran,2015101200,5320
104,Quran,2015101300,5425
105,Quran,2015101400,4902
106,Quran,2015101500,5106
107,Quran,2015101600,4769
108,Quran,2015101700,4203
109,Quran,2015101800,4759
110,Quran,2015101900,5905
111,Quran,2015102000,5601
112,Quran,2015102100,5559
113,Quran,2015102200,5202
114,Quran,2015102300,4861
115,Quran,2015102400,4296
116,Quran,2015102500,5672
117,Quran,2015102600,5208
118,Quran,2015102700,7165
119,Quran,2015102800,5133
120,Quran,2015102900,4913
121,Quran,2015103000,4444
122,Quran,2015103100,3629
123,Quran,2015110100,4484
124,Quran,2015110200,4922
125,Quran,2015110300,5043
126,Quran,2015110400,5042
127,Quran,2015110500,4843
128,Quran,2015110600,4726
129,Quran,2015110700,3871
130,Quran,2015110800,4347
131,Quran,2015110900,4946
132,Quran,2015111000,5006
133,Quran,2015111100,4700
134,Quran,2015111200,5077
135,Quran,2015111300,4860
136,Quran,2015111400,15354
137,Quran,2015111500,15204
138,Quran,2015111600,18083
139,Quran,2015111700,17739
140,Quran,2015111800,16145
141,Quran,2015111900,14147
142,Quran,2015112000,18121
143,Quran,2015112100,11786
144,Quran,2015112200,10558
145,Quran,2015112300,9970
146,Quran,2015112400,9315
147,Quran,2015112500,7816
148,Quran,2015112600,6936
149,Quran,2015112700,6000
150,Quran,2015112800,5902
151,Quran,2015112900,6493
152,Quran,2015113000,7002
153,Quran,2015120100,6653
154,Quran,2015120200,6659
155,Quran,2015120300,8426
156,Quran,2015120400,10111
157,Quran,2015120500,9741
158,Quran,2015120600,9898
159,Quran,2015120700,11542
160,Quran,2015120800,13639
161,Quran,2015120900,13401
162,Quran,2015121000,12066
163,Quran,2015121100,10007
164,Quran,2015121200,7975
165,Quran,2015121300,7892
166,Quran,2015121400,8366
167,Quran,2015121500,7773
168,Quran,2015121600,7857
169,Quran,2015121700,7085
170,Quran,2015121800,6623
171,Quran,2015121900,5528
172,Quran,2015122000,5617
173,Quran,2015122100,5773
174,Quran,2015122200,5803
175,Quran,2015122300,6218
176,Quran,2015122400,5601
177,Quran,2015122500,5288
178,Quran,2015122600,5259
179,Quran,2015122700,5433
180,Quran,2015122800,7065
181,Quran,2015122900,5148
182,Quran,2015123000,4931
183,Quran,2015123100,4287
184,Quran,2016010100,4447
185,Quran,2016010200,5135
186,Quran,2016010300,5558
187,Quran,2016010400,5787
188,Quran,2016010500,6427
189,Quran,2016010600,5664
190,Quran,2016010700,5335
191,Quran,2016010800,5321
192,Quran,2016010900,4891
193,Quran,2016011000,5324
194,Quran,2016011100,5298
195,Quran,2016011200,5297
196,Quran,2016011300,5060
197,Quran,2016011400,5159
198,Quran,2016011500,4738
199,Quran,2016011600,4388
200,Quran,2016011700,4534
201,Quran,2016011800,4785
202,Quran,2016011900,5195
203,Quran,2016012000,5356
204,Quran,2016012100,4971
205,Quran,2016012200,4838
206,Quran,2016012300,4094
207,Quran,2016012400,4616
208,Quran,2016012500,5039
209,Quran,2016012600,5008
210,Quran,2016012700,4825
211,Quran,2016012800,5617
212,Quran,2016012900,4969
213,Quran,2016013000,4020
214,Quran,2016013100,4761
215,Quran,2016020100,4771
216,Quran,2016020200,4657
217,Quran,2016020300,4717
218,Quran,2016020400,4923
219,Quran,2016020500,4457
220,Quran,2016020600,3915
221,Quran,2016020700,4558
222,Quran,2016020800,4851
223,Quran,2016020900,4780
224,Quran,2016021000,5026
225,Quran,2016021100,4757
226,Quran,2016021200,4284
227,Quran,2016021300,3612
228,Quran,2016021400,3952
229,Quran,2016021500,4304
230,Quran,2016021600,4416
231,Quran,2016021700,4482
232,Quran,2016021800,4412
233,Quran,2016021900,4299
234,Quran,2016022000,3858
235,Quran,2016022100,4371
236,Quran,2016022200,4755
237,Quran,2016022300,4688
238,Quran,2016022400,4537
239,Quran,2016022500,4787
240,Quran,2016022600,4450
241,Quran,2016022700,3912
242,Quran,2016022800,4304
243,Quran,2016022900,4614
244,Quran,2016030100,4829
245,Quran,2016030200,4639
246,Quran,2016030300,4622
247,Quran,2016030400,4641
248,Quran,2016030500,4085
249,Quran,2016030600,4269
250,Quran,2016030700,4709
251,Quran,2016030800,4837
252,Quran,2016030900,4813
253,Quran,2016031000,4708
254,Quran,2016031100,4475
255,Quran,2016031200,3705
256,Quran,2016031300,4236
257,Quran,2016031400,4816
258,Quran,2016031500,4753
259,Quran,2016031600,4383
260,Quran,2016031700,4267
261,Quran,2016031800,3972
262,Quran,2016031900,3484
263,Quran,2016032000,4198
264,Quran,2016032100,4465
265,Quran,2016032200,6225
266,Quran,2016032300,6782
267,Quran,2016032400,5949
268,Quran,2016032500,5443
269,Quran,2016032600,5131
270,Quran,2016032700,5985
271,Quran,2016032800,6082
272,Quran,2016032900,5404
273,Quran,2016033000,4970
274,Quran,2016033100,4889
275,Quran,2016040100,4749
276,Quran,2016040200,3817
277,Quran,2016040300,4360
278,Quran,2016040400,4439
279,Quran,2016040500,4410
280,Quran,2016040600,4563
281,Quran,2016040700,4522
282,Quran,2016040800,4252
283,Quran,2016040900,3682
284,Quran,2016041000,4210
285,Quran,2016041100,4692
286,Quran,2016041200,4870
287,Quran,2016041300,4733
288,Quran,2016041400,4347
289,Quran,2016041500,4891
290,Quran,2016041600,3536
291,Quran,2016041700,4122
292,Quran,2016041800,4504
293,Quran,2016041900,4506
294,Quran,2016042000,4487
295,Quran,2016042100,4363
296,Quran,2016042200,4173
297,Quran,2016042300,3795
298,Quran,2016042400,5000
299,Quran,2016042500,4372
300,Quran,2016042600,4457
301,Quran,2016042700,4685
302,Quran,2016042800,4773
303,Quran,2016042900,3974
304,Quran,2016043000,3586
305,Quran,2016050100,4089
306,Quran,2016050200,4438
307,Quran,2016050300,4638
308,Quran,2016050400,4737
309,Quran,2016050500,4601
310,Quran,2016050600,4127
311,Quran,2016050700,3845
312,Quran,2016050800,4061
313,Quran,2016050900,4458
314,Quran,2016051000,4525
315,Quran,2016051100,4460
316,Quran,2016051200,4265
317,Quran,2016051300,3945
318,Quran,2016051400,3410
319,Quran,2016051500,3994
320,Quran,2016051600,4279
321,Quran,2016051700,4217
322,Quran,2016051800,4250
323,Quran,2016051900,4167
324,Quran,2016052000,4042
325,Quran,2016052100,3928
326,Quran,2016052200,4996
327,Quran,2016052300,4516
328,Quran,2016052400,4478
329,Quran,2016052500,4229
330,Quran,2016052600,4124
331,Quran,2016052700,3758
332,Quran,2016052800,3300
333,Quran,2016052900,3627
334,Quran,2016053000,3779
335,Quran,2016053100,3977
336,Quran,2016060100,3988
337,Quran,2016060200,4039
338,Quran,2016060300,3732
339,Quran,2016060400,4139
340,Quran,2016060500,5430
341,Quran,2016060600,8339
342,Quran,2016060700,8319
343,Quran,2016060800,6897
344,Quran,2016060900,6242
345,Quran,2016061000,6406
346,Quran,2016061100,5532
347,Quran,2016061200,8018
348,Quran,2016061300,10948
349,Quran,2016061400,10588
350,Quran,2016061500,9750
351,Quran,2016061600,8058
352,Quran,2016061700,7122
353,Quran,2016061800,6102
354,Quran,2016061900,6767
355,Quran,2016062000,6391
356,Quran,2016062100,6629
357,Quran,2016062200,5920
358,Quran,2016062300,5566
359,Quran,2016062400,5104
360,Quran,2016062500,4884
361,Quran,2016062600,5754
362,Quran,2016062700,5466
363,Quran,2016062800,5683
364,Quran,2016062900,6101
365,Quran,2016063000,5646
366,Quran,2016070100,5483
367,Quran,2016070200,6855
368,Quran,2016070300,7495
369,Quran,2016070400,7778
370,Quran,2016070500,7318
371,Quran,2016070600,6454
372,Quran,2016070700,6186
373,Quran,2016070800,4806
374,Quran,2016070900,4332
375,Quran,2016071000,4489
376,Quran,2016071100,4360
377,Quran,2016071200,4252
378,Quran,2016071300,3993
379,Quran,2016071400,3842
380,Quran,2016071500,6319
381,Quran,2016071600,5210
382,Quran,2016071700,5203
383,Quran,2016071800,5052
384,Quran,2016071900,5042
385,Quran,2016072000,4479
386,Quran,2016072100,4085
387,Quran,2016072200,4170
388,Quran,2016072300,3987
389,Quran,2016072400,4110
390,Quran,2016072500,4166
391,Quran,2016072600,4607
392,Quran,2016072700,5061
393,Quran,2016072800,4080
394,Quran,2016072900,3954
395,Quran,2016073000,3631
396,Quran,2016073100,4158
397,Quran,2016080100,4216
398,Quran,2016080200,3928
399,Quran,2016080300,3780
400,Quran,2016080400,4061
401,Quran,2016080500,4054
402,Quran,2016080600,3385
403,Quran,2016080700,3518
404,Quran,2016080800,3550
405,Quran,2016080900,3516
406,Quran,2016081000,3597
407,Quran,2016081100,3421
408,Quran,2016081200,3336
409,Quran,2016081300,3187
410,Quran,2016081400,3469
411,Quran,2016081500,3458
412,Quran,2016081600,3801
413,Quran,2016081700,3615
414,Quran,2016081800,3555
415,Quran,2016081900,3432
416,Quran,2016082000,3208
417,Quran,2016082100,3755
418,Quran,2016082200,3700
419,Quran,2016082300,3765
420,Quran,2016082400,3857
421,Quran,2016082500,4073
422,Quran,2016082600,3717
423,Quran,2016082700,4119
424,Quran,2016082800,3700
425,Quran,2016082900,4535
426,Quran,2016083000,5900
427,Quran,2016083100,3890
428,Quran,2016090100,3513
429,Quran,2016090200,3581
430,Quran,2016090300,3208
431,Quran,2016090400,3636
432,Quran,2016090500,3897
433,Quran,2016090600,3823
434,Quran,2016090700,3952
435,Quran,2016090800,4163
436,Quran,2016090900,3937
437,Quran,2016091000,3685
438,Quran,2016091100,4525
439,Quran,2016091200,4636
440,Quran,2016091300,4353
441,Quran,2016091400,3778
442,Quran,2016091500,4171
443,Quran,2016091600,3792
444,Quran,2016091700,3375
445,Quran,2016091800,4080
446,Quran,2016091900,4434
447,Quran,2016092000,4726
448,Quran,2016092100,4500
449,Quran,2016092200,4136
450,Quran,2016092300,3907
451,Quran,2016092400,3428
452,Quran,2016092500,3789
453,Quran,2016092600,4364
454,Quran,2016092700,4361
455,Quran,2016092800,4078
456,Quran,2016092900,4149
457,Quran,2016093000,3871
458,Quran,2016100100,3219
459,Quran,2016100200,3976
460,Quran,2016100300,4236
461,Quran,2016100400,4250
462,Quran,2016100500,4316
463,Quran,2016100600,4302
464,Quran,2016100700,3963
465,Quran,2016100800,3456
466,Quran,2016100900,3894
467,Quran,2016101000,4622
468,Quran,2016101100,4701
469,Quran,2016101200,4932
470,Quran,2016101300,4746
471,Quran,2016101400,4309
472,Quran,2016101500,3854
473,Quran,2016101600,4296
474,Quran,2016101700,4701
475,Quran,2016101800,4949
476,Quran,2016101900,4821
477,Quran,2016102000,4854
478,Quran,2016102100,4312
479,Quran,2016102200,3619
480,Quran,2016102300,3998
481,Quran,2016102400,4633
482,Quran,2016102500,4609
483,Quran,2016102600,4505
484,Quran,2016102700,4523
485,Quran,2016102800,4152
486,Quran,2016102900,3298
487,Quran,2016103000,3791
488,Quran,2016103100,4103
489,Quran,2016110100,4277
490,Quran,2016110200,4559
491,Quran,2016110300,4575
492,Quran,2016110400,4398
493,Quran,2016110500,3851
494,Quran,2016110600,4287
495,Quran,2016110700,5036
496,Quran,2016110800,4325
497,Quran,2016110900,4356
498,Quran,2016111000,4461
499,Quran,2016111100,5060
500,Quran,2016111200,3941
501,Quran,2016111300,4579
502,Quran,2016111400,4755
503,Quran,2016111500,4940
