,article,timestamp,views
0,Russia,2015070100,15591
1,Russia,2015070200,14775
2,Russia,2015070300,15475
3,Russia,2015070400,13916
4,Russia,2015070500,14593
5,Russia,2015070600,16837
6,Russia,2015070700,16589
7,Russia,2015070800,16786
8,Russia,2015070900,17121
9,Russia,2015071000,16392
10,Russia,2015071100,14835
11,Russia,2015071200,16038
12,Russia,2015071300,15900
13,Russia,2015071400,16025
14,Russia,2015071500,17318
15,Russia,2015071600,14729
16,Russia,2015071700,15028
17,Russia,2015071800,12902
18,Russia,2015071900,14384
19,Russia,2015072000,14881
20,Russia,2015072100,14768
21,Russia,2015072200,14543
22,Russia,2015072300,14864
23,Russia,2015072400,15098
24,Russia,2015072500,15073
25,Russia,2015072600,15585
26,Russia,2015072700,15973
27,Russia,2015072800,16433
28,Russia,2015072900,16582
29,Russia,2015073000,16011
30,Russia,2015073100,16785
31,Russia,2015080100,13634
32,Russia,2015080200,13577
33,Russia,2015080300,13424
34,Russia,2015080400,16025
35,Russia,2015080500,14170
36,Russia,2015080600,14994
37,Russia,2015080700,14748
38,Russia,2015080800,13466
39,Russia,2015080900,14038
40,Russia,2015081000,13899
41,Russia,2015081100,14729
42,Russia,2015081200,14864
43,Russia,2015081300,15766
44,Russia,2015081400,15317
45,Russia,2015081500,13452
46,Russia,2015081600,14599
47,Russia,2015081700,15617
48,Russia,2015081800,15955
49,Russia,2015081900,15894
50,Russia,2015082000,15333
51,Russia,2015082100,15322
52,Russia,2015082200,14778
53,Russia,2015082300,14906
54,Russia,2015082400,15874
55,Russia,2015082500,17330
56,Russia,2015082600,16260
57,Russia,2015082700,15808
58,Russia,2015082800,15030
59,Russia,2015082900,13606
60,Russia,2015083000,14299
61,Russia,2015083100,15671
62,Russia,2015090100,15944
63,Russia,2015090200,16593
64,Russia,2015090300,16926
65,Russia,2015090400,16210
66,Russia,2015090500,16374
67,Russia,2015090600,17673
68,Russia,2015090700,18103
69,Russia,2015090800,19317
70,Russia,2015090900,19076
71,Russia,2015091000,19753
72,Russia,2015091100,17313
73,Russia,2015091200,16089
74,Russia,2015091300,16885
75,Russia,2015091400,18242
76,Russia,2015091500,18478
77,Russia,2015091600,17713
78,Russia,2015091700,17721
79,Russia,2015091800,16684
80,Russia,2015091900,16411
81,Russia,2015092000,16911
82,Russia,2015092100,17744
83,Russia,2015092200,17815
84,Russia,2015092300,18520
85,Russia,2015092400,19582
86,Russia,2015092500,24742
87,Russia,2015092600,16680
88,Russia,2015092700,18354
89,Russia,2015092800,20763
90,Russia,2015092900,20168
91,Russia,2015093000,22551
92,Russia,2015100100,22147
93,Russia,2015100200,20974
94,Russia,2015100300,17927
95,Russia,2015100400,19350
96,Russia,2015100500,19941
97,Russia,2015100600,20616
98,Russia,2015100700,22235
99,Russia,2015100800,25797
100,Russia,2015100900,21231
101,Russia,2015101000,18780
102,Russia,2015101100,20548
103,Russia,2015101200,22632
104,Russia,2015101300,21239
105,Russia,2015101400,20483
106,Russia,2015101500,20071
107,Russia,2015101600,18614
108,Russia,2015101700,16524
109,Russia,2015101800,17600
110,Russia,2015101900,18595
111,Russia,2015102000,18019
112,Russia,2015102100,20122
113,Russia,2015102200,18477
114,Russia,2015102300,17764
115,Russia,2015102400,15857
116,Russia,2015102500,16257
117,Russia,2015102600,17189
118,Russia,2015102700,16918
119,Russia,2015102800,16980
120,Russia,2015102900,17349
121,Russia,2015103000,19209
122,Russia,2015103100,16836
123,Russia,2015110100,17245
