,article,timestamp,views
0,Shanghai,2015070100,4247
1,Shanghai,2015070200,4144
2,Shanghai,2015070300,4019
3,Shanghai,2015070400,4028
4,Shanghai,2015070500,4169
5,Shanghai,2015070600,4565
6,Shanghai,2015070700,5042
7,Shanghai,2015070800,5069
8,Shanghai,2015070900,5051
9,Shanghai,2015071000,5137
10,Shanghai,2015071100,4776
11,Shanghai,2015071200,4783
12,Shanghai,2015071300,4795
13,Shanghai,2015071400,4697
14,Shanghai,2015071500,5313
15,Shanghai,2015071600,5165
16,Shanghai,2015071700,4593
17,Shanghai,2015071800,4179
18,Shanghai,2015071900,4276
19,Shanghai,2015072000,5410
20,Shanghai,2015072100,4919
21,Shanghai,2015072200,4721
22,Shanghai,2015072300,4801
23,Shanghai,2015072400,4577
24,Shanghai,2015072500,3979
25,Shanghai,2015072600,4353
26,Shanghai,2015072700,5221
27,Shanghai,2015072800,5129
28,Shanghai,2015072900,5009
29,Shanghai,2015073000,5141
30,Shanghai,2015073100,4937
31,Shanghai,2015080100,4308
32,Shanghai,2015080200,4313
33,Shanghai,2015080300,4675
34,Shanghai,2015080400,4896
35,Shanghai,2015080500,4698
36,Shanghai,2015080600,4545
37,Shanghai,2015080700,4406
38,Shanghai,2015080800,4158
39,Shanghai,2015080900,4419
40,Shanghai,2015081000,4642
41,Shanghai,2015081100,4669
42,Shanghai,2015081200,5923
43,Shanghai,2015081300,7625
44,Shanghai,2015081400,5396
45,Shanghai,2015081500,4929
46,Shanghai,2015081600,5024
47,Shanghai,2015081700,5518
48,Shanghai,2015081800,4992
49,Shanghai,2015081900,4744
50,Shanghai,2015082000,4580
51,Shanghai,2015082100,4456
52,Shanghai,2015082200,4088
53,Shanghai,2015082300,4286
54,Shanghai,2015082400,5072
55,Shanghai,2015082500,5384
56,Shanghai,2015082600,4995
57,Shanghai,2015082700,4565
58,Shanghai,2015082800,4269
59,Shanghai,2015082900,3821
60,Shanghai,2015083000,4277
61,Shanghai,2015083100,4459
62,Shanghai,2015090100,4457
63,Shanghai,2015090200,4436
64,Shanghai,2015090300,4513
65,Shanghai,2015090400,4226
66,Shanghai,2015090500,3996
67,Shanghai,2015090600,4142
68,Shanghai,2015090700,4858
69,Shanghai,2015090800,4860
70,Shanghai,2015090900,4551
71,Shanghai,2015091000,4434
72,Shanghai,2015091100,4313
73,Shanghai,2015091200,3824
74,Shanghai,2015091300,4179
75,Shanghai,2015091400,4838
76,Shanghai,2015091500,5295
77,Shanghai,2015091600,4528
78,Shanghai,2015091700,4413
79,Shanghai,2015091800,4074
80,Shanghai,2015091900,4041
81,Shanghai,2015092000,4386
82,Shanghai,2015092100,4746
83,Shanghai,2015092200,4740
84,Shanghai,2015092300,4966
85,Shanghai,2015092400,4421
86,Shanghai,2015092500,4310
87,Shanghai,2015092600,3697
88,Shanghai,2015092700,3869
89,Shanghai,2015092800,4530
90,Shanghai,2015092900,4511
91,Shanghai,2015093000,4398
92,Shanghai,2015100100,4250
93,Shanghai,2015100200,3829
94,Shanghai,2015100300,3612
95,Shanghai,2015100400,3842
96,Shanghai,2015100500,4497
97,Shanghai,2015100600,4592
98,Shanghai,2015100700,11890
99,Shanghai,2015100800,4561
100,Shanghai,2015100900,4289
101,Shanghai,2015101000,3947
102,Shanghai,2015101100,4667
103,Shanghai,2015101200,5174
104,Shanghai,2015101300,5202
105,Shanghai,2015101400,5152
106,Shanghai,2015101500,5028
107,Shanghai,2015101600,4733
108,Shanghai,2015101700,4331
109,Shanghai,2015101800,4628
110,Shanghai,2015101900,4986
111,Shanghai,2015102000,4933
112,Shanghai,2015102100,4620
113,Shanghai,2015102200,4747
114,Shanghai,2015102300,4906
115,Shanghai,2015102400,4223
116,Shanghai,2015102500,4332
117,Shanghai,2015102600,4916
118,Shanghai,2015102700,5017
119,Shanghai,2015102800,5041
120,Shanghai,2015102900,5232
121,Shanghai,2015103000,4372
122,Shanghai,2015103100,4321
123,Shanghai,2015110100,5888
124,Shanghai,2015110200,5023
125,Shanghai,2015110300,5133
126,Shanghai,2015110400,5179
127,Shanghai,2015110500,5096
128,Shanghai,2015110600,4897
129,Shanghai,2015110700,4567
130,Shanghai,2015110800,4967
131,Shanghai,2015110900,5363
132,Shanghai,2015111000,4992
133,Shanghai,2015111100,4564
134,Shanghai,2015111200,4847
135,Shanghai,2015111300,4534
136,Shanghai,2015111400,4649
137,Shanghai,2015111500,4638
138,Shanghai,2015111600,4741
139,Shanghai,2015111700,4692
140,Shanghai,2015111800,4810
141,Shanghai,2015111900,4675
142,Shanghai,2015112000,4315
143,Shanghai,2015112100,4127
144,Shanghai,2015112200,4372
145,Shanghai,2015112300,5007
146,Shanghai,2015112400,5351
147,Shanghai,2015112500,4471
148,Shanghai,2015112600,4129
149,Shanghai,2015112700,3962
150,Shanghai,2015112800,4413
151,Shanghai,2015112900,4383
152,Shanghai,2015113000,5652
153,Shanghai,2015120100,5033
154,Shanghai,2015120200,4828
155,Shanghai,2015120300,4437
156,Shanghai,2015120400,4042
157,Shanghai,2015120500,3603
158,Shanghai,2015120600,4816
159,Shanghai,2015120700,5705
160,Shanghai,2015120800,4820
161,Shanghai,2015120900,4551
162,Shanghai,2015121000,4345
163,Shanghai,2015121100,4199
164,Shanghai,2015121200,3565
165,Shanghai,2015121300,4004
166,Shanghai,2015121400,4403
167,Shanghai,2015121500,4413
168,Shanghai,2015121600,3949
169,Shanghai,2015121700,4070
170,Shanghai,2015121800,3670
171,Shanghai,2015121900,3228
172,Shanghai,2015122000,3472
173,Shanghai,2015122100,3804
174,Shanghai,2015122200,3678
175,Shanghai,2015122300,3660
176,Shanghai,2015122400,3458
177,Shanghai,2015122500,3571
178,Shanghai,2015122600,3856
179,Shanghai,2015122700,3746
180,Shanghai,2015122800,4645
181,Shanghai,2015122900,3877
182,Shanghai,2015123000,3772
183,Shanghai,2015123100,3754
184,Shanghai,2016010100,4000
185,Shanghai,2016010200,4135
186,Shanghai,2016010300,4069
187,Shanghai,2016010400,4533
188,Shanghai,2016010500,4731
189,Shanghai,2016010600,5381
190,Shanghai,2016010700,4784
191,Shanghai,2016010800,5522
192,Shanghai,2016010900,3864
193,Shanghai,2016011000,4350
194,Shanghai,2016011100,4639
195,Shanghai,2016011200,5262
196,Shanghai,2016011300,4560
197,Shanghai,2016011400,4381
198,Shanghai,2016011500,4153
199,Shanghai,2016011600,3714
200,Shanghai,2016011700,4303
201,Shanghai,2016011800,4629
202,Shanghai,2016011900,4767
203,Shanghai,2016012000,4570
204,Shanghai,2016012100,4820
205,Shanghai,2016012200,4401
206,Shanghai,2016012300,4064
207,Shanghai,2016012400,4626
208,Shanghai,2016012500,4636
209,Shanghai,2016012600,4525
210,Shanghai,2016012700,4650
211,Shanghai,2016012800,4434
212,Shanghai,2016012900,4235
213,Shanghai,2016013000,3765
214,Shanghai,2016013100,4291
215,Shanghai,2016020100,4538
216,Shanghai,2016020200,4442
217,Shanghai,2016020300,4375
218,Shanghai,2016020400,4260
219,Shanghai,2016020500,4352
220,Shanghai,2016020600,3799
221,Shanghai,2016020700,4061
222,Shanghai,2016020800,6387
223,Shanghai,2016020900,4822
224,Shanghai,2016021000,4565
225,Shanghai,2016021100,4397
226,Shanghai,2016021200,3987
227,Shanghai,2016021300,3646
228,Shanghai,2016021400,4059
229,Shanghai,2016021500,4500
230,Shanghai,2016021600,4725
231,Shanghai,2016021700,4534
232,Shanghai,2016021800,4831
233,Shanghai,2016021900,4389
234,Shanghai,2016022000,3745
235,Shanghai,2016022100,4353
236,Shanghai,2016022200,5481
237,Shanghai,2016022300,4772
238,Shanghai,2016022400,4885
239,Shanghai,2016022500,5684
240,Shanghai,2016022600,4581
241,Shanghai,2016022700,4370
242,Shanghai,2016022800,4333
243,Shanghai,2016022900,4861
244,Shanghai,2016030100,4783
245,Shanghai,2016030200,6113
246,Shanghai,2016030300,4777
247,Shanghai,2016030400,4526
248,Shanghai,2016030500,4370
249,Shanghai,2016030600,4389
250,Shanghai,2016030700,4712
251,Shanghai,2016030800,4813
252,Shanghai,2016030900,4440
253,Shanghai,2016031000,4749
254,Shanghai,2016031100,4266
255,Shanghai,2016031200,3717
256,Shanghai,2016031300,5189
257,Shanghai,2016031400,4735
258,Shanghai,2016031500,4608
259,Shanghai,2016031600,4369
260,Shanghai,2016031700,4317
261,Shanghai,2016031800,4204
262,Shanghai,2016031900,3690
