,article,timestamp,views
0,Singapore,2015070100,15913
1,Singapore,2015070200,15427
2,Singapore,2015070300,13775
3,Singapore,2015070400,13291
4,Singapore,2015070500,14421
5,Singapore,2015070600,16276
6,Singapore,2015070700,15850
7,Singapore,2015070800,15984
8,Singapore,2015070900,15639
9,Singapore,2015071000,15197
10,Singapore,2015071100,13510
11,Singapore,2015071200,14459
12,Singapore,2015071300,16473
13,Singapore,2015071400,16422
14,Singapore,2015071500,17305
15,Singapore,2015071600,15682
16,Singapore,2015071700,14757
17,Singapore,2015071800,15025
18,Singapore,2015071900,14681
19,Singapore,2015072000,16594
20,Singapore,2015072100,16916
21,Singapore,2015072200,16547
22,Singapore,2015072300,16007
23,Singapore,2015072400,15315
24,Singapore,2015072500,14116
25,Singapore,2015072600,15661
26,Singapore,2015072700,16908
27,Singapore,2015072800,17556
28,Singapore,2015072900,17407
29,Singapore,2015073000,20008
30,Singapore,2015073100,20772
31,Singapore,2015080100,19574
32,Singapore,2015080200,21085
33,Singapore,2015080300,19838
34,Singapore,2015080400,17960
35,Singapore,2015080500,19091
36,Singapore,2015080600,19326
37,Singapore,2015080700,19297
38,Singapore,2015080800,19955
39,Singapore,2015080900,57783
40,Singapore,2015081000,31032
41,Singapore,2015081100,20173
42,Singapore,2015081200,20752
43,Singapore,2015081300,21632
44,Singapore,2015081400,18387
45,Singapore,2015081500,15535
46,Singapore,2015081600,17048
47,Singapore,2015081700,18535
48,Singapore,2015081800,18094
49,Singapore,2015081900,17354
50,Singapore,2015082000,16502
51,Singapore,2015082100,15394
52,Singapore,2015082200,13745
53,Singapore,2015082300,15849
54,Singapore,2015082400,16830
55,Singapore,2015082500,17185
56,Singapore,2015082600,16668
57,Singapore,2015082700,17101
58,Singapore,2015082800,14940
59,Singapore,2015082900,13777
60,Singapore,2015083000,16515
61,Singapore,2015083100,17667
62,Singapore,2015090100,16176
63,Singapore,2015090200,16523
64,Singapore,2015090300,15705
65,Singapore,2015090400,14533
66,Singapore,2015090500,13900
67,Singapore,2015090600,15009
68,Singapore,2015090700,18027
69,Singapore,2015090800,16853
70,Singapore,2015090900,16474
71,Singapore,2015091000,16837
72,Singapore,2015091100,18404
73,Singapore,2015091200,18652
74,Singapore,2015091300,18482
75,Singapore,2015091400,18953
76,Singapore,2015091500,19175
77,Singapore,2015091600,17821
78,Singapore,2015091700,17010
79,Singapore,2015091800,16590
80,Singapore,2015091900,19926
81,Singapore,2015092000,34525
82,Singapore,2015092100,19012
83,Singapore,2015092200,17717
84,Singapore,2015092300,16643
85,Singapore,2015092400,15971
86,Singapore,2015092500,15171
87,Singapore,2015092600,13586
88,Singapore,2015092700,14831
89,Singapore,2015092800,15706
90,Singapore,2015092900,15815
91,Singapore,2015093000,16128
92,Singapore,2015100100,15063
93,Singapore,2015100200,14380
94,Singapore,2015100300,13911
95,Singapore,2015100400,14112
96,Singapore,2015100500,16826
97,Singapore,2015100600,16535
98,Singapore,2015100700,16089
99,Singapore,2015100800,16163
100,Singapore,2015100900,17539
101,Singapore,2015101000,13437
102,Singapore,2015101100,14129
103,Singapore,2015101200,17438
104,Singapore,2015101300,16471
105,Singapore,2015101400,15596
106,Singapore,2015101500,15535
107,Singapore,2015101600,14505
108,Singapore,2015101700,13593
109,Singapore,2015101800,14828
110,Singapore,2015101900,16031
111,Singapore,2015102000,16911
112,Singapore,2015102100,16076
113,Singapore,2015102200,19416
114,Singapore,2015102300,15153
115,Singapore,2015102400,13936
116,Singapore,2015102500,16768
117,Singapore,2015102600,17087
118,Singapore,2015102700,17240
119,Singapore,2015102800,17593
120,Singapore,2015102900,16923
121,Singapore,2015103000,16829
122,Singapore,2015103100,25110
123,Singapore,2015110100,16919
124,Singapore,2015110200,17394
125,Singapore,2015110300,16511
126,Singapore,2015110400,17924
127,Singapore,2015110500,17294
128,Singapore,2015110600,15498
129,Singapore,2015110700,16529
130,Singapore,2015110800,16514
131,Singapore,2015110900,17523
132,Singapore,2015111000,17222
133,Singapore,2015111100,16094
134,Singapore,2015111200,17458
135,Singapore,2015111300,15878
136,Singapore,2015111400,13969
137,Singapore,2015111500,14984
138,Singapore,2015111600,16666
139,Singapore,2015111700,21076
140,Singapore,2015111800,17767
141,Singapore,2015111900,16183
142,Singapore,2015112000,15858
143,Singapore,2015112100,14130
144,Singapore,2015112200,15485
145,Singapore,2015112300,18525
146,Singapore,2015112400,21996
147,Singapore,2015112500,17557
148,Singapore,2015112600,15798
149,Singapore,2015112700,14703
150,Singapore,2015112800,14220
151,Singapore,2015112900,15509
152,Singapore,2015113000,17449
153,Singapore,2015120100,16708
154,Singapore,2015120200,16216
155,Singapore,2015120300,15469
156,Singapore,2015120400,14915
157,Singapore,2015120500,13471
158,Singapore,2015120600,15011
159,Singapore,2015120700,16472
160,Singapore,2015120800,18504
161,Singapore,2015120900,16175
162,Singapore,2015121000,15659
163,Singapore,2015121100,16022
164,Singapore,2015121200,12942
165,Singapore,2015121300,14519
166,Singapore,2015121400,15311
167,Singapore,2015121500,15318
168,Singapore,2015121600,14502
169,Singapore,2015121700,13822
170,Singapore,2015121800,12787
171,Singapore,2015121900,11932
172,Singapore,2015122000,12489
173,Singapore,2015122100,13630
174,Singapore,2015122200,13559
175,Singapore,2015122300,13281
176,Singapore,2015122400,12156
177,Singapore,2015122500,12209
178,Singapore,2015122600,12861
179,Singapore,2015122700,13351
180,Singapore,2015122800,14262
181,Singapore,2015122900,14085
182,Singapore,2015123000,14792
183,Singapore,2015123100,14039
184,Singapore,2016010100,14650
185,Singapore,2016010200,14759
186,Singapore,2016010300,14786
187,Singapore,2016010400,16608
188,Singapore,2016010500,16301
189,Singapore,2016010600,16268
190,Singapore,2016010700,16159
191,Singapore,2016010800,15258
192,Singapore,2016010900,14539
193,Singapore,2016011000,15021
194,Singapore,2016011100,16451
195,Singapore,2016011200,16121
196,Singapore,2016011300,16617
197,Singapore,2016011400,18182
198,Singapore,2016011500,15558
199,Singapore,2016011600,14477
200,Singapore,2016011700,16956
201,Singapore,2016011800,17075
202,Singapore,2016011900,16959
203,Singapore,2016012000,16346
204,Singapore,2016012100,16546
205,Singapore,2016012200,14940
206,Singapore,2016012300,14218
207,Singapore,2016012400,15265
208,Singapore,2016012500,16301
209,Singapore,2016012600,16241
210,Singapore,2016012700,16836
211,Singapore,2016012800,19083
212,Singapore,2016012900,16920
213,Singapore,2016013000,16901
214,Singapore,2016013100,20486
215,Singapore,2016020100,16986
216,Singapore,2016020200,17143
217,Singapore,2016020300,16262
218,Singapore,2016020400,16052
219,Singapore,2016020500,14627
220,Singapore,2016020600,13885
221,Singapore,2016020700,14008
222,Singapore,2016020800,16015
223,Singapore,2016020900,15913
224,Singapore,2016021000,17566
225,Singapore,2016021100,15633
226,Singapore,2016021200,14208
227,Singapore,2016021300,14035
228,Singapore,2016021400,15379
229,Singapore,2016021500,16152
230,Singapore,2016021600,17667
231,Singapore,2016021700,16062
232,Singapore,2016021800,15995
233,Singapore,2016021900,15319
234,Singapore,2016022000,14020
235,Singapore,2016022100,15084
236,Singapore,2016022200,17179
237,Singapore,2016022300,16196
238,Singapore,2016022400,15772
239,Singapore,2016022500,15923
240,Singapore,2016022600,16932
241,Singapore,2016022700,13971
242,Singapore,2016022800,14265
243,Singapore,2016022900,15574
244,Singapore,2016030100,15229
245,Singapore,2016030200,16049
246,Singapore,2016030300,15586
247,Singapore,2016030400,14125
248,Singapore,2016030500,13304
249,Singapore,2016030600,14746
250,Singapore,2016030700,15327
251,Singapore,2016030800,15399
252,Singapore,2016030900,15328
253,Singapore,2016031000,18740
254,Singapore,2016031100,17243
255,Singapore,2016031200,13961
256,Singapore,2016031300,15507
257,Singapore,2016031400,15635
258,Singapore,2016031500,15681
259,Singapore,2016031600,15840
260,Singapore,2016031700,15620
261,Singapore,2016031800,14366
262,Singapore,2016031900,12728
263,Singapore,2016032000,14147
264,Singapore,2016032100,16243
265,Singapore,2016032200,15214
266,Singapore,2016032300,15619
267,Singapore,2016032400,15638
268,Singapore,2016032500,14175
269,Singapore,2016032600,14196
270,Singapore,2016032700,14461
271,Singapore,2016032800,16291
272,Singapore,2016032900,16464
273,Singapore,2016033000,18253
274,Singapore,2016033100,15459
275,Singapore,2016040100,15131
276,Singapore,2016040200,13755
277,Singapore,2016040300,15852
278,Singapore,2016040400,17510
279,Singapore,2016040500,16731
280,Singapore,2016040600,16028
281,Singapore,2016040700,15472
282,Singapore,2016040800,14480
283,Singapore,2016040900,13059
284,Singapore,2016041000,15892
285,Singapore,2016041100,16513
286,Singapore,2016041200,16262
287,Singapore,2016041300,16389
288,Singapore,2016041400,15264
289,Singapore,2016041500,14506
290,Singapore,2016041600,13386
291,Singapore,2016041700,14455
292,Singapore,2016041800,15829
293,Singapore,2016041900,15894
294,Singapore,2016042000,16574
295,Singapore,2016042100,15344
296,Singapore,2016042200,14391
297,Singapore,2016042300,14653
298,Singapore,2016042400,14350
299,Singapore,2016042500,16772
300,Singapore,2016042600,16603
301,Singapore,2016042700,16092
302,Singapore,2016042800,15679
303,Singapore,2016042900,13985
304,Singapore,2016043000,14910
305,Singapore,2016050100,15687
306,Singapore,2016050200,15328
307,Singapore,2016050300,15368
308,Singapore,2016050400,16013
309,Singapore,2016050500,14913
310,Singapore,2016050600,14923
311,Singapore,2016050700,13473
312,Singapore,2016050800,14166
313,Singapore,2016050900,15349
314,Singapore,2016051000,15689
315,Singapore,2016051100,15500
316,Singapore,2016051200,15566
317,Singapore,2016051300,14858
318,Singapore,2016051400,13296
319,Singapore,2016051500,14022
320,Singapore,2016051600,16127
321,Singapore,2016051700,15886
322,Singapore,2016051800,14996
323,Singapore,2016051900,15002
324,Singapore,2016052000,13979
325,Singapore,2016052100,13016
326,Singapore,2016052200,13975
327,Singapore,2016052300,16778
328,Singapore,2016052400,15359
329,Singapore,2016052500,15406
330,Singapore,2016052600,15221
331,Singapore,2016052700,17838
332,Singapore,2016052800,14629
333,Singapore,2016052900,13710
334,Singapore,2016053000,14890
335,Singapore,2016053100,15318
336,Singapore,2016060100,15415
337,Singapore,2016060200,15251
338,Singapore,2016060300,14316
339,Singapore,2016060400,12943
340,Singapore,2016060500,13624
341,Singapore,2016060600,15640
342,Singapore,2016060700,15235
343,Singapore,2016060800,17014
344,Singapore,2016060900,16164
345,Singapore,2016061000,15449
346,Singapore,2016061100,13676
347,Singapore,2016061200,14666
348,Singapore,2016061300,18284
349,Singapore,2016061400,18422
350,Singapore,2016061500,17233
351,Singapore,2016061600,16576
352,Singapore,2016061700,14556
353,Singapore,2016061800,16571
354,Singapore,2016061900,15245
355,Singapore,2016062000,16790
356,Singapore,2016062100,16002
357,Singapore,2016062200,16245
358,Singapore,2016062300,15980
359,Singapore,2016062400,16880
360,Singapore,2016062500,15830
361,Singapore,2016062600,15530
362,Singapore,2016062700,18696
363,Singapore,2016062800,16421
364,Singapore,2016062900,16175
365,Singapore,2016063000,15139
366,Singapore,2016070100,14410
367,Singapore,2016070200,13004
368,Singapore,2016070300,14089
369,Singapore,2016070400,15379
370,Singapore,2016070500,15272
371,Singapore,2016070600,16356
