,article,timestamp,views
0,Sirius,2015070100,2458
1,Sirius,2015070200,2061
2,Sirius,2015070300,1824
3,Sirius,2015070400,1907
4,Sirius,2015070500,1931
5,Sirius,2015070600,2118
6,Sirius,2015070700,2372
7,Sirius,2015070800,2201
8,Sirius,2015070900,2065
9,Sirius,2015071000,2051
10,Sirius,2015071100,2003
11,Sirius,2015071200,2367
12,Sirius,2015071300,2573
13,Sirius,2015071400,3538
14,Sirius,2015071500,3090
15,Sirius,2015071600,2812
16,Sirius,2015071700,2631
17,Sirius,2015071800,2357
18,Sirius,2015071900,2433
19,Sirius,2015072000,2560
20,Sirius,2015072100,2315
21,Sirius,2015072200,2280
22,Sirius,2015072300,2584
23,Sirius,2015072400,2847
24,Sirius,2015072500,2153
25,Sirius,2015072600,2381
26,Sirius,2015072700,2421
27,Sirius,2015072800,2221
28,Sirius,2015072900,2128
29,Sirius,2015073000,2037
30,Sirius,2015073100,2068
31,Sirius,2015080100,1896
32,Sirius,2015080200,2001
33,Sirius,2015080300,1819
34,Sirius,2015080400,2140
35,Sirius,2015080500,2051
36,Sirius,2015080600,1933
37,Sirius,2015080700,1793
38,Sirius,2015080800,1821
39,Sirius,2015080900,1902
40,Sirius,2015081000,1827
41,Sirius,2015081100,2059
42,Sirius,2015081200,2120
43,Sirius,2015081300,2483
44,Sirius,2015081400,1990
45,Sirius,2015081500,1774
46,Sirius,2015081600,2097
47,Sirius,2015081700,2058
48,Sirius,2015081800,1952
49,Sirius,2015081900,1912
50,Sirius,2015082000,1899
51,Sirius,2015082100,1896
52,Sirius,2015082200,1689
53,Sirius,2015082300,1934
54,Sirius,2015082400,1967
55,Sirius,2015082500,2056
56,Sirius,2015082600,2126
57,Sirius,2015082700,2192
58,Sirius,2015082800,1910
59,Sirius,2015082900,1774
60,Sirius,2015083000,1863
61,Sirius,2015083100,1944
62,Sirius,2015090100,2083
63,Sirius,2015090200,1991
64,Sirius,2015090300,2012
65,Sirius,2015090400,1970
66,Sirius,2015090500,4710
67,Sirius,2015090600,2604
68,Sirius,2015090700,2401
69,Sirius,2015090800,2592
70,Sirius,2015090900,2179
71,Sirius,2015091000,4209
72,Sirius,2015091100,2891
73,Sirius,2015091200,2570
74,Sirius,2015091300,2856
75,Sirius,2015091400,2858
76,Sirius,2015091500,2346
77,Sirius,2015091600,2203
78,Sirius,2015091700,2247
79,Sirius,2015091800,2086
80,Sirius,2015091900,1835
81,Sirius,2015092000,1983
82,Sirius,2015092100,2434
83,Sirius,2015092200,2292
84,Sirius,2015092300,2420
85,Sirius,2015092400,3104
86,Sirius,2015092500,2578
87,Sirius,2015092600,1926
88,Sirius,2015092700,2217
89,Sirius,2015092800,2766
90,Sirius,2015092900,3535
91,Sirius,2015093000,2454
92,Sirius,2015100100,2473
93,Sirius,2015100200,2486
94,Sirius,2015100300,2360
95,Sirius,2015100400,2496
96,Sirius,2015100500,2706
97,Sirius,2015100600,2527
98,Sirius,2015100700,2464
99,Sirius,2015100800,2459
100,Sirius,2015100900,2647
101,Sirius,2015101000,2956
102,Sirius,2015101100,2537
103,Sirius,2015101200,2638
104,Sirius,2015101300,2647
105,Sirius,2015101400,2494
106,Sirius,2015101500,2541
107,Sirius,2015101600,2363
108,Sirius,2015101700,2090
109,Sirius,2015101800,2308
110,Sirius,2015101900,2527
111,Sirius,2015102000,2680
112,Sirius,2015102100,2645
113,Sirius,2015102200,2717
114,Sirius,2015102300,2447
115,Sirius,2015102400,2189
116,Sirius,2015102500,2130
117,Sirius,2015102600,2508
118,Sirius,2015102700,2334
119,Sirius,2015102800,2415
120,Sirius,2015102900,3213
121,Sirius,2015103000,2293
122,Sirius,2015103100,1935
123,Sirius,2015110100,2011
124,Sirius,2015110200,2481
125,Sirius,2015110300,2724
126,Sirius,2015110400,2707
127,Sirius,2015110500,2512
128,Sirius,2015110600,2121
129,Sirius,2015110700,2182
130,Sirius,2015110800,2352
131,Sirius,2015110900,2602
132,Sirius,2015111000,2494
133,Sirius,2015111100,2412
134,Sirius,2015111200,2504
135,Sirius,2015111300,2249
136,Sirius,2015111400,1933
137,Sirius,2015111500,2192
138,Sirius,2015111600,2419
139,Sirius,2015111700,2235
140,Sirius,2015111800,2297
141,Sirius,2015111900,2208
142,Sirius,2015112000,2263
143,Sirius,2015112100,1970
144,Sirius,2015112200,2083
145,Sirius,2015112300,2285
146,Sirius,2015112400,2402
147,Sirius,2015112500,2125
148,Sirius,2015112600,1968
149,Sirius,2015112700,1995
150,Sirius,2015112800,1940
151,Sirius,2015112900,2082
152,Sirius,2015113000,2343
153,Sirius,2015120100,2301
154,Sirius,2015120200,2352
155,Sirius,2015120300,2254
156,Sirius,2015120400,2219
157,Sirius,2015120500,2056
158,Sirius,2015120600,2237
159,Sirius,2015120700,2498
160,Sirius,2015120800,2313
161,Sirius,2015120900,2456
162,Sirius,2015121000,2375
163,Sirius,2015121100,2319
164,Sirius,2015121200,2047
165,Sirius,2015121300,2274
166,Sirius,2015121400,2561
167,Sirius,2015121500,2558
168,Sirius,2015121600,2382
169,Sirius,2015121700,2392
170,Sirius,2015121800,2325
171,Sirius,2015121900,2032
172,Sirius,2015122000,2084
173,Sirius,2015122100,2130
174,Sirius,2015122200,2016
175,Sirius,2015122300,2089
176,Sirius,2015122400,1896
177,Sirius,2015122500,2048
178,Sirius,2015122600,2189
179,Sirius,2015122700,2122
180,Sirius,2015122800,2360
181,Sirius,2015122900,2407
182,Sirius,2015123000,2348
183,Sirius,2015123100,2444
184,Sirius,2016010100,2520
185,Sirius,2016010200,2722
186,Sirius,2016010300,2814
187,Sirius,2016010400,2999
188,Sirius,2016010500,2851
189,Sirius,2016010600,2937
190,Sirius,2016010700,2897
191,Sirius,2016010800,2754
192,Sirius,2016010900,7368
193,Sirius,2016011000,5927
194,Sirius,2016011100,3950
195,Sirius,2016011200,3810
196,Sirius,2016011300,3270
197,Sirius,2016011400,3931
198,Sirius,2016011500,3758
199,Sirius,2016011600,2708
200,Sirius,2016011700,3008
201,Sirius,2016011800,3000
202,Sirius,2016011900,3257
203,Sirius,2016012000,3392
204,Sirius,2016012100,3424
205,Sirius,2016012200,2893
206,Sirius,2016012300,2521
207,Sirius,2016012400,2700
208,Sirius,2016012500,3100
209,Sirius,2016012600,3136
210,Sirius,2016012700,2909
211,Sirius,2016012800,3173
212,Sirius,2016012900,2678
213,Sirius,2016013000,2708
214,Sirius,2016013100,3054
215,Sirius,2016020100,3335
216,Sirius,2016020200,3422
217,Sirius,2016020300,2952
218,Sirius,2016020400,2680
219,Sirius,2016020500,2718
220,Sirius,2016020600,2555
221,Sirius,2016020700,2937
222,Sirius,2016020800,2928
223,Sirius,2016020900,3213
224,Sirius,2016021000,3149
225,Sirius,2016021100,3018
226,Sirius,2016021200,2656
227,Sirius,2016021300,2377
228,Sirius,2016021400,2666
229,Sirius,2016021500,2942
230,Sirius,2016021600,3150
231,Sirius,2016021700,3566
232,Sirius,2016021800,3131
233,Sirius,2016021900,2956
234,Sirius,2016022000,2392
235,Sirius,2016022100,2745
