,article,timestamp,views
0,Spain,2015070100,11123
1,Spain,2015070200,13528
2,Spain,2015070300,9569
3,Spain,2015070400,9787
4,Spain,2015070500,10847
5,Spain,2015070600,11956
6,Spain,2015070700,12390
7,Spain,2015070800,13016
8,Spain,2015070900,11283
9,Spain,2015071000,11102
10,Spain,2015071100,10296
11,Spain,2015071200,11838
12,Spain,2015071300,11270
13,Spain,2015071400,11292
14,Spain,2015071500,10791
15,Spain,2015071600,10134
16,Spain,2015071700,9644
17,Spain,2015071800,9364
18,Spain,2015071900,10194
19,Spain,2015072000,11838
20,Spain,2015072100,10569
21,Spain,2015072200,10786
22,Spain,2015072300,10057
23,Spain,2015072400,9700
24,Spain,2015072500,9173
25,Spain,2015072600,9777
26,Spain,2015072700,10775
27,Spain,2015072800,11013
28,Spain,2015072900,12184
29,Spain,2015073000,10200
30,Spain,2015073100,9923
31,Spain,2015080100,9390
32,Spain,2015080200,8909
33,Spain,2015080300,9139
34,Spain,2015080400,9473
35,Spain,2015080500,10431
36,Spain,2015080600,9787
37,Spain,2015080700,9047
38,Spain,2015080800,8288
39,Spain,2015080900,9226
40,Spain,2015081000,9392
41,Spain,2015081100,9946
42,Spain,2015081200,9592
43,Spain,2015081300,9366
44,Spain,2015081400,9336
45,Spain,2015081500,8641
46,Spain,2015081600,9793
47,Spain,2015081700,10150
48,Spain,2015081800,10146
49,Spain,2015081900,9916
50,Spain,2015082000,9895
51,Spain,2015082100,9438
52,Spain,2015082200,8464
53,Spain,2015082300,9298
54,Spain,2015082400,10232
55,Spain,2015082500,10795
56,Spain,2015082600,12740
57,Spain,2015082700,10813
58,Spain,2015082800,9753
59,Spain,2015082900,8305
60,Spain,2015083000,9446
61,Spain,2015083100,10479
62,Spain,2015090100,11042
63,Spain,2015090200,11248
64,Spain,2015090300,10964
65,Spain,2015090400,10525
66,Spain,2015090500,9439
67,Spain,2015090600,10424
68,Spain,2015090700,11354
69,Spain,2015090800,12789
70,Spain,2015090900,12700
71,Spain,2015091000,12224
72,Spain,2015091100,11340
73,Spain,2015091200,10330
74,Spain,2015091300,11306
75,Spain,2015091400,12145
76,Spain,2015091500,12295
77,Spain,2015091600,12115
78,Spain,2015091700,12895
79,Spain,2015091800,10846
80,Spain,2015091900,8949
81,Spain,2015092000,11389
82,Spain,2015092100,12600
83,Spain,2015092200,12716
84,Spain,2015092300,12653
85,Spain,2015092400,12703
86,Spain,2015092500,11316
87,Spain,2015092600,9482
88,Spain,2015092700,14634
89,Spain,2015092800,17491
90,Spain,2015092900,13698
91,Spain,2015093000,11790
92,Spain,2015100100,11638
93,Spain,2015100200,10369
94,Spain,2015100300,8785
95,Spain,2015100400,10084
96,Spain,2015100500,11492
97,Spain,2015100600,11762
98,Spain,2015100700,12295
99,Spain,2015100800,11271
100,Spain,2015100900,10297
101,Spain,2015101000,9054
102,Spain,2015101100,10239
103,Spain,2015101200,12980
104,Spain,2015101300,13509
105,Spain,2015101400,10977
106,Spain,2015101500,12238
107,Spain,2015101600,10146
108,Spain,2015101700,8717
109,Spain,2015101800,9832
110,Spain,2015101900,11981
111,Spain,2015102000,11439
112,Spain,2015102100,11342
113,Spain,2015102200,10977
114,Spain,2015102300,9732
115,Spain,2015102400,8514
116,Spain,2015102500,9725
117,Spain,2015102600,10731
118,Spain,2015102700,11321
119,Spain,2015102800,11007
120,Spain,2015102900,10202
121,Spain,2015103000,9440
122,Spain,2015103100,7947
123,Spain,2015110100,9056
124,Spain,2015110200,10554
125,Spain,2015110300,10208
126,Spain,2015110400,10510
127,Spain,2015110500,11685
128,Spain,2015110600,10047
129,Spain,2015110700,8412
130,Spain,2015110800,9910
131,Spain,2015110900,14324
