,article,timestamp,views
0,Sparta,2015070100,3414
1,Sparta,2015070200,3176
2,Sparta,2015070300,2955
3,Sparta,2015070400,3199
4,Sparta,2015070500,4271
5,Sparta,2015070600,4254
6,Sparta,2015070700,3580
7,Sparta,2015070800,3361
8,Sparta,2015070900,3173
9,Sparta,2015071000,3578
10,Sparta,2015071100,5784
11,Sparta,2015071200,3615
12,Sparta,2015071300,3772
13,Sparta,2015071400,3398
14,Sparta,2015071500,3165
15,Sparta,2015071600,2937
16,Sparta,2015071700,4014
17,Sparta,2015071800,3429
18,Sparta,2015071900,3141
19,Sparta,2015072000,3788
20,Sparta,2015072100,3978
21,Sparta,2015072200,6716
22,Sparta,2015072300,4227
23,Sparta,2015072400,3482
24,Sparta,2015072500,3730
25,Sparta,2015072600,8279
26,Sparta,2015072700,4238
27,Sparta,2015072800,3718
28,Sparta,2015072900,7192
29,Sparta,2015073000,3701
30,Sparta,2015073100,3012
31,Sparta,2015080100,3702
32,Sparta,2015080200,3352
33,Sparta,2015080300,2974
34,Sparta,2015080400,3074
35,Sparta,2015080500,3053
36,Sparta,2015080600,2955
37,Sparta,2015080700,2855
38,Sparta,2015080800,2782
39,Sparta,2015080900,3004
40,Sparta,2015081000,3104
41,Sparta,2015081100,3221
42,Sparta,2015081200,3773
43,Sparta,2015081300,7032
44,Sparta,2015081400,3504
45,Sparta,2015081500,3000
46,Sparta,2015081600,3533
47,Sparta,2015081700,3659
48,Sparta,2015081800,3763
49,Sparta,2015081900,3890
50,Sparta,2015082000,3985
51,Sparta,2015082100,3754
52,Sparta,2015082200,3299
53,Sparta,2015082300,3834
54,Sparta,2015082400,3918
55,Sparta,2015082500,3648
56,Sparta,2015082600,4253
57,Sparta,2015082700,4258
58,Sparta,2015082800,4263
59,Sparta,2015082900,3879
60,Sparta,2015083000,5120
61,Sparta,2015083100,8662
62,Sparta,2015090100,4590
63,Sparta,2015090200,4684
64,Sparta,2015090300,4240
65,Sparta,2015090400,4490
66,Sparta,2015090500,5176
67,Sparta,2015090600,4257
68,Sparta,2015090700,4430
69,Sparta,2015090800,4423
70,Sparta,2015090900,4663
71,Sparta,2015091000,4422
72,Sparta,2015091100,4125
73,Sparta,2015091200,4119
74,Sparta,2015091300,6695
75,Sparta,2015091400,5089
76,Sparta,2015091500,5052
77,Sparta,2015091600,4711
78,Sparta,2015091700,4445
79,Sparta,2015091800,3594
80,Sparta,2015091900,3347
81,Sparta,2015092000,3700
82,Sparta,2015092100,7357
83,Sparta,2015092200,5124
84,Sparta,2015092300,6854
85,Sparta,2015092400,5040
86,Sparta,2015092500,4490
87,Sparta,2015092600,3385
88,Sparta,2015092700,5353
89,Sparta,2015092800,4882
90,Sparta,2015092900,4582
91,Sparta,2015093000,4442
92,Sparta,2015100100,6097
93,Sparta,2015100200,4275
94,Sparta,2015100300,3051
95,Sparta,2015100400,4442
96,Sparta,2015100500,5788
97,Sparta,2015100600,4488
98,Sparta,2015100700,4584
99,Sparta,2015100800,4323
100,Sparta,2015100900,3770
101,Sparta,2015101000,3448
102,Sparta,2015101100,3784
103,Sparta,2015101200,4661
104,Sparta,2015101300,4415
105,Sparta,2015101400,4392
106,Sparta,2015101500,4504
107,Sparta,2015101600,3987
108,Sparta,2015101700,3646
109,Sparta,2015101800,4123
110,Sparta,2015101900,4348
111,Sparta,2015102000,4230
112,Sparta,2015102100,4180
113,Sparta,2015102200,5087
114,Sparta,2015102300,3682
115,Sparta,2015102400,3180
116,Sparta,2015102500,3278
117,Sparta,2015102600,4124
118,Sparta,2015102700,4070
119,Sparta,2015102800,3989
120,Sparta,2015102900,3982
121,Sparta,2015103000,3800
122,Sparta,2015103100,2921
123,Sparta,2015110100,3196
124,Sparta,2015110200,4784
125,Sparta,2015110300,5499
126,Sparta,2015110400,4511
127,Sparta,2015110500,4325
128,Sparta,2015110600,3898
129,Sparta,2015110700,3081
130,Sparta,2015110800,5274
131,Sparta,2015110900,4079
132,Sparta,2015111000,3858
133,Sparta,2015111100,4142
134,Sparta,2015111200,3895
135,Sparta,2015111300,3603
136,Sparta,2015111400,2830
137,Sparta,2015111500,3499
138,Sparta,2015111600,4095
139,Sparta,2015111700,4076
140,Sparta,2015111800,16160
141,Sparta,2015111900,6157
142,Sparta,2015112000,3863
143,Sparta,2015112100,4253
144,Sparta,2015112200,3704
145,Sparta,2015112300,4448
146,Sparta,2015112400,3915
147,Sparta,2015112500,3483
148,Sparta,2015112600,2844
149,Sparta,2015112700,3004
150,Sparta,2015112800,3451
151,Sparta,2015112900,4642
152,Sparta,2015113000,3667
153,Sparta,2015120100,3798
154,Sparta,2015120200,3927
155,Sparta,2015120300,3840
156,Sparta,2015120400,3578
157,Sparta,2015120500,2862
158,Sparta,2015120600,3700
159,Sparta,2015120700,4050
160,Sparta,2015120800,3854
161,Sparta,2015120900,3864
162,Sparta,2015121000,3959
163,Sparta,2015121100,5031
164,Sparta,2015121200,4323
165,Sparta,2015121300,3660
166,Sparta,2015121400,3807
167,Sparta,2015121500,3484
168,Sparta,2015121600,3629
169,Sparta,2015121700,3620
170,Sparta,2015121800,2840
171,Sparta,2015121900,2498
172,Sparta,2015122000,2872
173,Sparta,2015122100,2912
174,Sparta,2015122200,2784
175,Sparta,2015122300,2643
176,Sparta,2015122400,2376
177,Sparta,2015122500,2184
178,Sparta,2015122600,2440
179,Sparta,2015122700,3400
180,Sparta,2015122800,2995
181,Sparta,2015122900,2779
182,Sparta,2015123000,3119
183,Sparta,2015123100,2861
184,Sparta,2016010100,2984
185,Sparta,2016010200,3039
186,Sparta,2016010300,3326
187,Sparta,2016010400,3117
188,Sparta,2016010500,3437
189,Sparta,2016010600,3850
190,Sparta,2016010700,3528
191,Sparta,2016010800,3425
192,Sparta,2016010900,3061
193,Sparta,2016011000,3571
194,Sparta,2016011100,3644
195,Sparta,2016011200,4330
196,Sparta,2016011300,3823
197,Sparta,2016011400,3793
198,Sparta,2016011500,3473
199,Sparta,2016011600,2832
200,Sparta,2016011700,3415
201,Sparta,2016011800,3583
202,Sparta,2016011900,3940
203,Sparta,2016012000,3991
204,Sparta,2016012100,4003
205,Sparta,2016012200,3683
206,Sparta,2016012300,3121
207,Sparta,2016012400,3115
208,Sparta,2016012500,3818
209,Sparta,2016012600,4023
210,Sparta,2016012700,3810
211,Sparta,2016012800,4017
212,Sparta,2016012900,3415
213,Sparta,2016013000,2969
214,Sparta,2016013100,3765
215,Sparta,2016020100,3910
216,Sparta,2016020200,4051
217,Sparta,2016020300,5092
218,Sparta,2016020400,4281
219,Sparta,2016020500,3982
220,Sparta,2016020600,3838
221,Sparta,2016020700,3782
222,Sparta,2016020800,4297
223,Sparta,2016020900,7268
224,Sparta,2016021000,4887
225,Sparta,2016021100,4188
226,Sparta,2016021200,3840
227,Sparta,2016021300,4006
228,Sparta,2016021400,3815
229,Sparta,2016021500,4080
230,Sparta,2016021600,4096
231,Sparta,2016021700,4007
232,Sparta,2016021800,3923
233,Sparta,2016021900,4502
234,Sparta,2016022000,4042
235,Sparta,2016022100,5929
236,Sparta,2016022200,6367
237,Sparta,2016022300,4299
238,Sparta,2016022400,3968
239,Sparta,2016022500,4264
240,Sparta,2016022600,3892
241,Sparta,2016022700,3406
242,Sparta,2016022800,4406
243,Sparta,2016022900,4298
244,Sparta,2016030100,4407
245,Sparta,2016030200,4775
246,Sparta,2016030300,5741
247,Sparta,2016030400,4131
248,Sparta,2016030500,3231
249,Sparta,2016030600,3849
250,Sparta,2016030700,4019
251,Sparta,2016030800,4131
252,Sparta,2016030900,3959
253,Sparta,2016031000,3859
254,Sparta,2016031100,3820
255,Sparta,2016031200,3329
256,Sparta,2016031300,4094
257,Sparta,2016031400,4136
258,Sparta,2016031500,4177
259,Sparta,2016031600,3777
260,Sparta,2016031700,3694
261,Sparta,2016031800,3545
262,Sparta,2016031900,3099
263,Sparta,2016032000,3257
264,Sparta,2016032100,4032
265,Sparta,2016032200,3596
266,Sparta,2016032300,3551
267,Sparta,2016032400,3497
268,Sparta,2016032500,3852
269,Sparta,2016032600,2859
270,Sparta,2016032700,3184
271,Sparta,2016032800,3488
272,Sparta,2016032900,3852
273,Sparta,2016033000,3828
274,Sparta,2016033100,3837
275,Sparta,2016040100,3396
276,Sparta,2016040200,2961
277,Sparta,2016040300,3706
278,Sparta,2016040400,3846
279,Sparta,2016040500,3598
280,Sparta,2016040600,4444
281,Sparta,2016040700,3559
282,Sparta,2016040800,3247
283,Sparta,2016040900,3111
284,Sparta,2016041000,3745
285,Sparta,2016041100,3890
286,Sparta,2016041200,3847
287,Sparta,2016041300,3433
288,Sparta,2016041400,3560
289,Sparta,2016041500,3312
290,Sparta,2016041600,3359
291,Sparta,2016041700,3508
292,Sparta,2016041800,3610
293,Sparta,2016041900,4819
294,Sparta,2016042000,3647
295,Sparta,2016042100,3617
296,Sparta,2016042200,3643
297,Sparta,2016042300,2892
298,Sparta,2016042400,3653
299,Sparta,2016042500,3841
300,Sparta,2016042600,3749
301,Sparta,2016042700,3687
302,Sparta,2016042800,3830
303,Sparta,2016042900,3413
304,Sparta,2016043000,2781
305,Sparta,2016050100,100113
306,Sparta,2016050200,3430
307,Sparta,2016050300,3592
308,Sparta,2016050400,3148
309,Sparta,2016050500,3340
310,Sparta,2016050600,3177
311,Sparta,2016050700,2580
312,Sparta,2016050800,2898
313,Sparta,2016050900,3455
314,Sparta,2016051000,3658
315,Sparta,2016051100,3403
316,Sparta,2016051200,3589
317,Sparta,2016051300,3143
318,Sparta,2016051400,2908
319,Sparta,2016051500,3652
320,Sparta,2016051600,3890
321,Sparta,2016051700,3889
322,Sparta,2016051800,3440
323,Sparta,2016051900,5204
324,Sparta,2016052000,3589
325,Sparta,2016052100,3201
326,Sparta,2016052200,3653
327,Sparta,2016052300,5498
328,Sparta,2016052400,3768
329,Sparta,2016052500,3461
330,Sparta,2016052600,3776
331,Sparta,2016052700,3280
332,Sparta,2016052800,2755
333,Sparta,2016052900,2955
334,Sparta,2016053000,3292
335,Sparta,2016053100,3224
336,Sparta,2016060100,3428
337,Sparta,2016060200,3202
338,Sparta,2016060300,3181
339,Sparta,2016060400,4191
340,Sparta,2016060500,3468
341,Sparta,2016060600,3660
342,Sparta,2016060700,3349
343,Sparta,2016060800,3120
344,Sparta,2016060900,3713
345,Sparta,2016061000,3134
346,Sparta,2016061100,2824
347,Sparta,2016061200,2824
348,Sparta,2016061300,3471
349,Sparta,2016061400,3948
350,Sparta,2016061500,3327
351,Sparta,2016061600,4339
352,Sparta,2016061700,3078
353,Sparta,2016061800,2870
354,Sparta,2016061900,3105
355,Sparta,2016062000,3368
356,Sparta,2016062100,3225
357,Sparta,2016062200,3023
358,Sparta,2016062300,2808
359,Sparta,2016062400,2943
360,Sparta,2016062500,2826
361,Sparta,2016062600,2825
362,Sparta,2016062700,3071
363,Sparta,2016062800,3037
364,Sparta,2016062900,3033
365,Sparta,2016063000,2521
366,Sparta,2016070100,2751
367,Sparta,2016070200,3093
368,Sparta,2016070300,3251
369,Sparta,2016070400,3260
370,Sparta,2016070500,2844
371,Sparta,2016070600,3734
372,Sparta,2016070700,2846
373,Sparta,2016070800,2750
374,Sparta,2016070900,2539
375,Sparta,2016071000,2979
376,Sparta,2016071100,2865
377,Sparta,2016071200,2862
378,Sparta,2016071300,3090
379,Sparta,2016071400,2647
380,Sparta,2016071500,2862
381,Sparta,2016071600,2688
382,Sparta,2016071700,3139
383,Sparta,2016071800,2810
384,Sparta,2016071900,3185
385,Sparta,2016072000,2494
386,Sparta,2016072100,3233
387,Sparta,2016072200,2602
388,Sparta,2016072300,2422
389,Sparta,2016072400,2558
390,Sparta,2016072500,3157
391,Sparta,2016072600,2654
392,Sparta,2016072700,2926
393,Sparta,2016072800,3182
394,Sparta,2016072900,2501
395,Sparta,2016073000,2428
396,Sparta,2016073100,3051
397,Sparta,2016080100,3804
398,Sparta,2016080200,2997
399,Sparta,2016080300,3607
400,Sparta,2016080400,3765
401,Sparta,2016080500,2742
402,Sparta,2016080600,2755
403,Sparta,2016080700,2991
404,Sparta,2016080800,3249
405,Sparta,2016080900,3154
406,Sparta,2016081000,3025
407,Sparta,2016081100,3100
408,Sparta,2016081200,3701
409,Sparta,2016081300,2653
410,Sparta,2016081400,3139
411,Sparta,2016081500,3290
412,Sparta,2016081600,3153
413,Sparta,2016081700,2937
414,Sparta,2016081800,3078
415,Sparta,2016081900,2873
416,Sparta,2016082000,3146
417,Sparta,2016082100,3251
418,Sparta,2016082200,3658
419,Sparta,2016082300,3594
420,Sparta,2016082400,3422
421,Sparta,2016082500,3531
422,Sparta,2016082600,3106
423,Sparta,2016082700,2919
424,Sparta,2016082800,3826
425,Sparta,2016082900,3772
426,Sparta,2016083000,3847
427,Sparta,2016083100,3716
428,Sparta,2016090100,3576
429,Sparta,2016090200,3408
430,Sparta,2016090300,3146
431,Sparta,2016090400,4040
432,Sparta,2016090500,4372
433,Sparta,2016090600,9565
434,Sparta,2016090700,5664
435,Sparta,2016090800,4249
