,article,timestamp,views
0,Spider-Man,2015070100,8315
1,Spider-Man,2015070200,7737
2,Spider-Man,2015070300,7174
3,Spider-Man,2015070400,7791
4,Spider-Man,2015070500,8308
5,Spider-Man,2015070600,7543
6,Spider-Man,2015070700,7334
7,Spider-Man,2015070800,8505
8,Spider-Man,2015070900,9256
9,Spider-Man,2015071000,7485
10,Spider-Man,2015071100,7690
11,Spider-Man,2015071200,8664
12,Spider-Man,2015071300,8766
13,Spider-Man,2015071400,8635
14,Spider-Man,2015071500,7792
15,Spider-Man,2015071600,7704
16,Spider-Man,2015071700,8537
17,Spider-Man,2015071800,9043
18,Spider-Man,2015071900,10414
19,Spider-Man,2015072000,9463
20,Spider-Man,2015072100,11140
21,Spider-Man,2015072200,8701
22,Spider-Man,2015072300,8680
23,Spider-Man,2015072400,8428
24,Spider-Man,2015072500,9291
25,Spider-Man,2015072600,8581
26,Spider-Man,2015072700,8450
27,Spider-Man,2015072800,8806
28,Spider-Man,2015072900,9254
29,Spider-Man,2015073000,9167
30,Spider-Man,2015073100,9027
31,Spider-Man,2015080100,9215
32,Spider-Man,2015080200,8727
33,Spider-Man,2015080300,7538
34,Spider-Man,2015080400,8310
35,Spider-Man,2015080500,8616
36,Spider-Man,2015080600,8510
37,Spider-Man,2015080700,8605
38,Spider-Man,2015080800,9440
39,Spider-Man,2015080900,10802
40,Spider-Man,2015081000,9452
41,Spider-Man,2015081100,8424
42,Spider-Man,2015081200,8571
43,Spider-Man,2015081300,8727
44,Spider-Man,2015081400,7793
45,Spider-Man,2015081500,9793
46,Spider-Man,2015081600,8636
47,Spider-Man,2015081700,8026
48,Spider-Man,2015081800,7887
49,Spider-Man,2015081900,7919
50,Spider-Man,2015082000,7352
51,Spider-Man,2015082100,6993
52,Spider-Man,2015082200,7590
53,Spider-Man,2015082300,8757
54,Spider-Man,2015082400,6807
55,Spider-Man,2015082500,6832
56,Spider-Man,2015082600,6370
57,Spider-Man,2015082700,6397
58,Spider-Man,2015082800,6735
59,Spider-Man,2015082900,7095
60,Spider-Man,2015083000,7737
61,Spider-Man,2015083100,6802
62,Spider-Man,2015090100,6068
63,Spider-Man,2015090200,6234
64,Spider-Man,2015090300,6104
65,Spider-Man,2015090400,6095
66,Spider-Man,2015090500,5914
67,Spider-Man,2015090600,6473
68,Spider-Man,2015090700,6067
69,Spider-Man,2015090800,6075
70,Spider-Man,2015090900,6091
71,Spider-Man,2015091000,5995
72,Spider-Man,2015091100,6041
73,Spider-Man,2015091200,6437
74,Spider-Man,2015091300,6612
75,Spider-Man,2015091400,6461
76,Spider-Man,2015091500,6616
77,Spider-Man,2015091600,6441
78,Spider-Man,2015091700,6248
79,Spider-Man,2015091800,6042
80,Spider-Man,2015091900,6517
81,Spider-Man,2015092000,7048
82,Spider-Man,2015092100,6557
83,Spider-Man,2015092200,6856
84,Spider-Man,2015092300,7214
85,Spider-Man,2015092400,6350
86,Spider-Man,2015092500,6039
87,Spider-Man,2015092600,6052
88,Spider-Man,2015092700,6748
89,Spider-Man,2015092800,6563
90,Spider-Man,2015092900,6102
91,Spider-Man,2015093000,6005
92,Spider-Man,2015100100,6004
93,Spider-Man,2015100200,6056
94,Spider-Man,2015100300,7215
95,Spider-Man,2015100400,6691
96,Spider-Man,2015100500,5845
97,Spider-Man,2015100600,6010
98,Spider-Man,2015100700,5950
99,Spider-Man,2015100800,6328
100,Spider-Man,2015100900,5949
101,Spider-Man,2015101000,7152
102,Spider-Man,2015101100,6594
103,Spider-Man,2015101200,6202
104,Spider-Man,2015101300,6037
105,Spider-Man,2015101400,6006
106,Spider-Man,2015101500,6306
107,Spider-Man,2015101600,5954
108,Spider-Man,2015101700,5763
109,Spider-Man,2015101800,6652
110,Spider-Man,2015101900,6729
111,Spider-Man,2015102000,5834
112,Spider-Man,2015102100,5797
113,Spider-Man,2015102200,5709
114,Spider-Man,2015102300,6012
115,Spider-Man,2015102400,6111
116,Spider-Man,2015102500,6316
117,Spider-Man,2015102600,5657
118,Spider-Man,2015102700,6078
119,Spider-Man,2015102800,5451
120,Spider-Man,2015102900,5632
121,Spider-Man,2015103000,5666
122,Spider-Man,2015103100,5580
123,Spider-Man,2015110100,6511
124,Spider-Man,2015110200,6058
125,Spider-Man,2015110300,5554
126,Spider-Man,2015110400,5676
127,Spider-Man,2015110500,5952
128,Spider-Man,2015110600,5763
129,Spider-Man,2015110700,5626
130,Spider-Man,2015110800,5942
131,Spider-Man,2015110900,5685
132,Spider-Man,2015111000,5932
133,Spider-Man,2015111100,5678
134,Spider-Man,2015111200,5783
135,Spider-Man,2015111300,5983
136,Spider-Man,2015111400,5774
137,Spider-Man,2015111500,6092
138,Spider-Man,2015111600,5879
139,Spider-Man,2015111700,5924
140,Spider-Man,2015111800,6052
141,Spider-Man,2015111900,5473
142,Spider-Man,2015112000,5716
143,Spider-Man,2015112100,6465
