,article,timestamp,views
0,Sumer,2015070100,2130
1,Sumer,2015070200,2242
2,Sumer,2015070300,2148
3,Sumer,2015070400,2099
4,Sumer,2015070500,2414
5,Sumer,2015070600,2461
6,Sumer,2015070700,2647
7,Sumer,2015070800,2405
8,Sumer,2015070900,2421
9,Sumer,2015071000,2183
10,Sumer,2015071100,2064
11,Sumer,2015071200,2392
12,Sumer,2015071300,2811
13,Sumer,2015071400,2681
14,Sumer,2015071500,2425
15,Sumer,2015071600,2233
16,Sumer,2015071700,2074
17,Sumer,2015071800,2112
18,Sumer,2015071900,2868
19,Sumer,2015072000,2856
20,Sumer,2015072100,2881
21,Sumer,2015072200,2600
22,Sumer,2015072300,2607
23,Sumer,2015072400,2259
24,Sumer,2015072500,2474
25,Sumer,2015072600,2818
26,Sumer,2015072700,2703
27,Sumer,2015072800,2928
28,Sumer,2015072900,2760
29,Sumer,2015073000,2414
30,Sumer,2015073100,2235
31,Sumer,2015080100,2198
32,Sumer,2015080200,2543
33,Sumer,2015080300,2215
34,Sumer,2015080400,3428
35,Sumer,2015080500,2451
36,Sumer,2015080600,2412
37,Sumer,2015080700,2459
38,Sumer,2015080800,2156
39,Sumer,2015080900,2581
40,Sumer,2015081000,2559
41,Sumer,2015081100,2744
42,Sumer,2015081200,2835
43,Sumer,2015081300,2681
44,Sumer,2015081400,2603
45,Sumer,2015081500,2142
46,Sumer,2015081600,2511
47,Sumer,2015081700,2820
48,Sumer,2015081800,3103
49,Sumer,2015081900,3086
50,Sumer,2015082000,2739
51,Sumer,2015082100,2619
52,Sumer,2015082200,2368
53,Sumer,2015082300,2667
54,Sumer,2015082400,3355
55,Sumer,2015082500,3394
56,Sumer,2015082600,3669
57,Sumer,2015082700,3699
58,Sumer,2015082800,3039
59,Sumer,2015082900,2423
60,Sumer,2015083000,3040
61,Sumer,2015083100,4126
62,Sumer,2015090100,4209
63,Sumer,2015090200,4615
64,Sumer,2015090300,4297
65,Sumer,2015090400,3531
66,Sumer,2015090500,2486
67,Sumer,2015090600,2856
68,Sumer,2015090700,3619
69,Sumer,2015090800,4084
70,Sumer,2015090900,4318
71,Sumer,2015091000,4265
72,Sumer,2015091100,3536
73,Sumer,2015091200,2622
74,Sumer,2015091300,3421
75,Sumer,2015091400,4346
76,Sumer,2015091500,4416
77,Sumer,2015091600,4090
78,Sumer,2015091700,4104
79,Sumer,2015091800,3498
80,Sumer,2015091900,2472
81,Sumer,2015092000,3187
82,Sumer,2015092100,3752
83,Sumer,2015092200,4176
84,Sumer,2015092300,3823
85,Sumer,2015092400,3552
86,Sumer,2015092500,3296
87,Sumer,2015092600,2582
88,Sumer,2015092700,3038
89,Sumer,2015092800,4144
90,Sumer,2015092900,4121
91,Sumer,2015093000,4074
92,Sumer,2015100100,3642
93,Sumer,2015100200,3262
94,Sumer,2015100300,2691
95,Sumer,2015100400,2968
96,Sumer,2015100500,4076
97,Sumer,2015100600,4006
98,Sumer,2015100700,4075
99,Sumer,2015100800,3839
100,Sumer,2015100900,3128
101,Sumer,2015101000,2681
102,Sumer,2015101100,2901
103,Sumer,2015101200,3670
104,Sumer,2015101300,3951
105,Sumer,2015101400,3761
106,Sumer,2015101500,3816
107,Sumer,2015101600,3251
108,Sumer,2015101700,2528
109,Sumer,2015101800,2882
110,Sumer,2015101900,3730
111,Sumer,2015102000,3552
112,Sumer,2015102100,3713
113,Sumer,2015102200,3650
114,Sumer,2015102300,3188
115,Sumer,2015102400,2480
116,Sumer,2015102500,3166
