,article,timestamp,views
0,Supernovae,2015070100,30
1,Supernovae,2015070200,37
2,Supernovae,2015070300,32
3,Supernovae,2015070400,54
4,Supernovae,2015070500,40
5,Supernovae,2015070600,27
6,Supernovae,2015070700,33
7,Supernovae,2015070800,45
8,Supernovae,2015070900,23
9,Supernovae,2015071000,38
10,Supernovae,2015071100,26
11,Supernovae,2015071200,39
12,Supernovae,2015071300,52
13,Supernovae,2015071400,48
14,Supernovae,2015071500,47
15,Supernovae,2015071600,46
16,Supernovae,2015071700,36
17,Supernovae,2015071800,46
18,Supernovae,2015071900,40
19,Supernovae,2015072000,31
20,Supernovae,2015072100,26
21,Supernovae,2015072200,33
22,Supernovae,2015072300,38
23,Supernovae,2015072400,49
24,Supernovae,2015072500,38
25,Supernovae,2015072600,39
26,Supernovae,2015072700,27
27,Supernovae,2015072800,32
28,Supernovae,2015072900,28
29,Supernovae,2015073000,35
30,Supernovae,2015073100,28
31,Supernovae,2015080100,36
32,Supernovae,2015080200,24
33,Supernovae,2015080300,31
34,Supernovae,2015080400,25
35,Supernovae,2015080500,31
36,Supernovae,2015080600,31
37,Supernovae,2015080700,31
38,Supernovae,2015080800,13
39,Supernovae,2015080900,32
40,Supernovae,2015081000,35
41,Supernovae,2015081100,40
42,Supernovae,2015081200,45
43,Supernovae,2015081300,24
44,Supernovae,2015081400,26
45,Supernovae,2015081500,33
46,Supernovae,2015081600,28
47,Supernovae,2015081700,34
48,Supernovae,2015081800,36
49,Supernovae,2015081900,26
50,Supernovae,2015082000,44
51,Supernovae,2015082100,24
52,Supernovae,2015082200,46
53,Supernovae,2015082300,26
54,Supernovae,2015082400,20
55,Supernovae,2015082500,27
56,Supernovae,2015082600,29
57,Supernovae,2015082700,36
58,Supernovae,2015082800,28
59,Supernovae,2015082900,20
60,Supernovae,2015083000,31
61,Supernovae,2015083100,23
62,Supernovae,2015090100,26
63,Supernovae,2015090200,44
64,Supernovae,2015090300,44
65,Supernovae,2015090400,31
66,Supernovae,2015090500,29
67,Supernovae,2015090600,22
68,Supernovae,2015090700,31
69,Supernovae,2015090800,54
70,Supernovae,2015090900,31
71,Supernovae,2015091000,21
72,Supernovae,2015091100,36
73,Supernovae,2015091200,19
74,Supernovae,2015091300,33
75,Supernovae,2015091400,36
76,Supernovae,2015091500,55
77,Supernovae,2015091600,29
78,Supernovae,2015091700,51
79,Supernovae,2015091800,29
80,Supernovae,2015091900,28
81,Supernovae,2015092000,26
82,Supernovae,2015092100,25
83,Supernovae,2015092200,39
84,Supernovae,2015092300,19
85,Supernovae,2015092400,39
86,Supernovae,2015092500,39
87,Supernovae,2015092600,30
88,Supernovae,2015092700,35
89,Supernovae,2015092800,39
90,Supernovae,2015092900,23
91,Supernovae,2015093000,25
92,Supernovae,2015100100,32
93,Supernovae,2015100200,29
94,Supernovae,2015100300,28
95,Supernovae,2015100400,32
96,Supernovae,2015100500,36
97,Supernovae,2015100600,35
