,article,timestamp,views
0,Talmud,2015070100,2451
1,Talmud,2015070200,1862
2,Talmud,2015070300,1644
3,Talmud,2015070400,1640
4,Talmud,2015070500,1703
5,Talmud,2015070600,1689
6,Talmud,2015070700,1863
7,Talmud,2015070800,1727
8,Talmud,2015070900,1582
9,Talmud,2015071000,1563
10,Talmud,2015071100,1525
11,Talmud,2015071200,1756
12,Talmud,2015071300,1636
13,Talmud,2015071400,1730
14,Talmud,2015071500,1699
15,Talmud,2015071600,1638
16,Talmud,2015071700,1622
17,Talmud,2015071800,1386
18,Talmud,2015071900,1691
19,Talmud,2015072000,1738
20,Talmud,2015072100,1737
21,Talmud,2015072200,1831
22,Talmud,2015072300,1658
23,Talmud,2015072400,1534
24,Talmud,2015072500,1527
25,Talmud,2015072600,1787
26,Talmud,2015072700,1927
27,Talmud,2015072800,1844
28,Talmud,2015072900,1748
29,Talmud,2015073000,1675
30,Talmud,2015073100,1546
31,Talmud,2015080100,1530
32,Talmud,2015080200,1746
33,Talmud,2015080300,1473
34,Talmud,2015080400,1578
35,Talmud,2015080500,1676
36,Talmud,2015080600,1494
37,Talmud,2015080700,1443
38,Talmud,2015080800,1384
39,Talmud,2015080900,1639
40,Talmud,2015081000,1497
41,Talmud,2015081100,1666
42,Talmud,2015081200,1612
43,Talmud,2015081300,1720
44,Talmud,2015081400,1511
45,Talmud,2015081500,1408
46,Talmud,2015081600,1787
47,Talmud,2015081700,1721
48,Talmud,2015081800,1767
49,Talmud,2015081900,1853
50,Talmud,2015082000,1939
51,Talmud,2015082100,1880
52,Talmud,2015082200,1630
53,Talmud,2015082300,1818
54,Talmud,2015082400,1794
55,Talmud,2015082500,1801
56,Talmud,2015082600,1851
57,Talmud,2015082700,1740
58,Talmud,2015082800,1733
59,Talmud,2015082900,1580
60,Talmud,2015083000,1840
61,Talmud,2015083100,1825
62,Talmud,2015090100,1809
63,Talmud,2015090200,1846
64,Talmud,2015090300,1899
65,Talmud,2015090400,1712
66,Talmud,2015090500,1600
67,Talmud,2015090600,1823
68,Talmud,2015090700,1943
69,Talmud,2015090800,2108
70,Talmud,2015090900,2070
71,Talmud,2015091000,2113
72,Talmud,2015091100,1868
73,Talmud,2015091200,1750
74,Talmud,2015091300,2032
75,Talmud,2015091400,2321
76,Talmud,2015091500,2229
77,Talmud,2015091600,1992
78,Talmud,2015091700,2130
79,Talmud,2015091800,1888
80,Talmud,2015091900,1709
81,Talmud,2015092000,2078
82,Talmud,2015092100,2264
83,Talmud,2015092200,2440
84,Talmud,2015092300,2613
85,Talmud,2015092400,2439
86,Talmud,2015092500,1904
87,Talmud,2015092600,1761
88,Talmud,2015092700,2050
89,Talmud,2015092800,2189
90,Talmud,2015092900,2152
91,Talmud,2015093000,2075
92,Talmud,2015100100,2009
93,Talmud,2015100200,1811
94,Talmud,2015100300,1537
95,Talmud,2015100400,1791
96,Talmud,2015100500,1912
97,Talmud,2015100600,2143
98,Talmud,2015100700,2133
99,Talmud,2015100800,2123
100,Talmud,2015100900,1930
101,Talmud,2015101000,1563
102,Talmud,2015101100,1966
103,Talmud,2015101200,2079
104,Talmud,2015101300,2172
105,Talmud,2015101400,2170
106,Talmud,2015101500,2142
107,Talmud,2015101600,1925
108,Talmud,2015101700,1617
109,Talmud,2015101800,2067
110,Talmud,2015101900,2245
111,Talmud,2015102000,2179
112,Talmud,2015102100,2144
113,Talmud,2015102200,2118
114,Talmud,2015102300,1820
115,Talmud,2015102400,1792
116,Talmud,2015102500,1988
117,Talmud,2015102600,2176
118,Talmud,2015102700,1984
119,Talmud,2015102800,2199
120,Talmud,2015102900,2010
121,Talmud,2015103000,1834
122,Talmud,2015103100,2043
123,Talmud,2015110100,2426
124,Talmud,2015110200,2538
125,Talmud,2015110300,2201
126,Talmud,2015110400,2194
127,Talmud,2015110500,2088
128,Talmud,2015110600,1942
129,Talmud,2015110700,1534
130,Talmud,2015110800,1921
131,Talmud,2015110900,2117
132,Talmud,2015111000,2115
133,Talmud,2015111100,2079
134,Talmud,2015111200,2169
135,Talmud,2015111300,1872
136,Talmud,2015111400,1834
137,Talmud,2015111500,2077
138,Talmud,2015111600,2365
139,Talmud,2015111700,2550
140,Talmud,2015111800,2624
141,Talmud,2015111900,2418
142,Talmud,2015112000,2200
143,Talmud,2015112100,1761
144,Talmud,2015112200,2154
145,Talmud,2015112300,2168
146,Talmud,2015112400,2215
147,Talmud,2015112500,2086
148,Talmud,2015112600,1754
149,Talmud,2015112700,1627
150,Talmud,2015112800,1801
151,Talmud,2015112900,2101
152,Talmud,2015113000,2243
153,Talmud,2015120100,2343
154,Talmud,2015120200,2507
155,Talmud,2015120300,2301
156,Talmud,2015120400,2181
157,Talmud,2015120500,1945
158,Talmud,2015120600,2480
159,Talmud,2015120700,3095
160,Talmud,2015120800,2537
161,Talmud,2015120900,2581
162,Talmud,2015121000,2516
163,Talmud,2015121100,2246
164,Talmud,2015121200,2063
165,Talmud,2015121300,2210
166,Talmud,2015121400,2413
167,Talmud,2015121500,2315
168,Talmud,2015121600,2177
169,Talmud,2015121700,2100
170,Talmud,2015121800,1819
171,Talmud,2015121900,1557
172,Talmud,2015122000,1787
173,Talmud,2015122100,1808
174,Talmud,2015122200,1844
175,Talmud,2015122300,2213
176,Talmud,2015122400,1927
177,Talmud,2015122500,1867
178,Talmud,2015122600,1914
179,Talmud,2015122700,1961
180,Talmud,2015122800,2067
181,Talmud,2015122900,1887
182,Talmud,2015123000,1971
183,Talmud,2015123100,1702
184,Talmud,2016010100,1840
185,Talmud,2016010200,2003
186,Talmud,2016010300,2108
187,Talmud,2016010400,2380
188,Talmud,2016010500,2257
189,Talmud,2016010600,2359
190,Talmud,2016010700,2183
191,Talmud,2016010800,2127
192,Talmud,2016010900,2157
193,Talmud,2016011000,2054
194,Talmud,2016011100,2039
195,Talmud,2016011200,2144
196,Talmud,2016011300,2115
197,Talmud,2016011400,2304
198,Talmud,2016011500,2060
199,Talmud,2016011600,1857
200,Talmud,2016011700,1958
201,Talmud,2016011800,2086
202,Talmud,2016011900,2158
203,Talmud,2016012000,2127
204,Talmud,2016012100,2109
205,Talmud,2016012200,1972
206,Talmud,2016012300,1815
207,Talmud,2016012400,2127
208,Talmud,2016012500,2384
209,Talmud,2016012600,2401
210,Talmud,2016012700,2245
211,Talmud,2016012800,2319
212,Talmud,2016012900,2064
213,Talmud,2016013000,1873
214,Talmud,2016013100,2335
215,Talmud,2016020100,2318
216,Talmud,2016020200,2192
217,Talmud,2016020300,2314
218,Talmud,2016020400,2147
219,Talmud,2016020500,1922
220,Talmud,2016020600,1688
221,Talmud,2016020700,1983
222,Talmud,2016020800,2078
223,Talmud,2016020900,2173
224,Talmud,2016021000,2184
225,Talmud,2016021100,2319
226,Talmud,2016021200,2207
227,Talmud,2016021300,1847
228,Talmud,2016021400,1990
229,Talmud,2016021500,2218
230,Talmud,2016021600,2408
231,Talmud,2016021700,2170
232,Talmud,2016021800,2144
233,Talmud,2016021900,2102
234,Talmud,2016022000,1823
235,Talmud,2016022100,2152
236,Talmud,2016022200,2388
237,Talmud,2016022300,2233
238,Talmud,2016022400,2181
239,Talmud,2016022500,2040
240,Talmud,2016022600,1789
241,Talmud,2016022700,1742
242,Talmud,2016022800,2064
243,Talmud,2016022900,2195
244,Talmud,2016030100,2436
245,Talmud,2016030200,2308
246,Talmud,2016030300,2295
247,Talmud,2016030400,1915
248,Talmud,2016030500,1787
249,Talmud,2016030600,1896
250,Talmud,2016030700,1972
251,Talmud,2016030800,2235
252,Talmud,2016030900,2099
253,Talmud,2016031000,2463
254,Talmud,2016031100,2070
255,Talmud,2016031200,1825
256,Talmud,2016031300,2331
257,Talmud,2016031400,2260
258,Talmud,2016031500,2126
259,Talmud,2016031600,2040
260,Talmud,2016031700,1984
261,Talmud,2016031800,1726
262,Talmud,2016031900,1724
263,Talmud,2016032000,2057
264,Talmud,2016032100,2123
265,Talmud,2016032200,2381
266,Talmud,2016032300,2183
267,Talmud,2016032400,2133
268,Talmud,2016032500,2112
269,Talmud,2016032600,2050
270,Talmud,2016032700,2407
271,Talmud,2016032800,2394
272,Talmud,2016032900,2328
273,Talmud,2016033000,2316
274,Talmud,2016033100,2302
275,Talmud,2016040100,1850
276,Talmud,2016040200,1947
277,Talmud,2016040300,2306
278,Talmud,2016040400,2261
279,Talmud,2016040500,2237
280,Talmud,2016040600,2438
281,Talmud,2016040700,2215
282,Talmud,2016040800,1955
283,Talmud,2016040900,1728
284,Talmud,2016041000,2258
285,Talmud,2016041100,2211
286,Talmud,2016041200,2287
287,Talmud,2016041300,2413
288,Talmud,2016041400,2278
289,Talmud,2016041500,2052
290,Talmud,2016041600,1826
291,Talmud,2016041700,1953
292,Talmud,2016041800,2035
293,Talmud,2016041900,2127
294,Talmud,2016042000,2009
295,Talmud,2016042100,2079
296,Talmud,2016042200,2058
297,Talmud,2016042300,2380
298,Talmud,2016042400,2088
299,Talmud,2016042500,2023
300,Talmud,2016042600,2113
301,Talmud,2016042700,2120
302,Talmud,2016042800,2130
303,Talmud,2016042900,1901
304,Talmud,2016043000,1775
305,Talmud,2016050100,2041
306,Talmud,2016050200,2104
307,Talmud,2016050300,2218
308,Talmud,2016050400,2090
309,Talmud,2016050500,1982
310,Talmud,2016050600,1856
311,Talmud,2016050700,1743
312,Talmud,2016050800,1918
313,Talmud,2016050900,1996
314,Talmud,2016051000,2042
315,Talmud,2016051100,2060
316,Talmud,2016051200,1901
317,Talmud,2016051300,1788
318,Talmud,2016051400,1612
319,Talmud,2016051500,2092
320,Talmud,2016051600,1986
321,Talmud,2016051700,2108
322,Talmud,2016051800,1901
323,Talmud,2016051900,1874
324,Talmud,2016052000,1736
325,Talmud,2016052100,1561
326,Talmud,2016052200,1905
327,Talmud,2016052300,1963
328,Talmud,2016052400,1875
329,Talmud,2016052500,1950
330,Talmud,2016052600,1769
331,Talmud,2016052700,1514
332,Talmud,2016052800,1425
333,Talmud,2016052900,1753
334,Talmud,2016053000,1723
335,Talmud,2016053100,1704
336,Talmud,2016060100,1922
337,Talmud,2016060200,1787
338,Talmud,2016060300,1622
339,Talmud,2016060400,1533
340,Talmud,2016060500,1772
341,Talmud,2016060600,1774
342,Talmud,2016060700,1758
343,Talmud,2016060800,1861
344,Talmud,2016060900,1817
345,Talmud,2016061000,1619
346,Talmud,2016061100,1509
347,Talmud,2016061200,4385
348,Talmud,2016061300,1819
349,Talmud,2016061400,1708
350,Talmud,2016061500,1776
351,Talmud,2016061600,1718
352,Talmud,2016061700,1691
353,Talmud,2016061800,1577
354,Talmud,2016061900,1817
355,Talmud,2016062000,1740
356,Talmud,2016062100,1735
357,Talmud,2016062200,1733
358,Talmud,2016062300,1614
359,Talmud,2016062400,1766
360,Talmud,2016062500,1671
361,Talmud,2016062600,1941
362,Talmud,2016062700,1638
363,Talmud,2016062800,1667
364,Talmud,2016062900,1773
365,Talmud,2016063000,1571
366,Talmud,2016070100,1457
367,Talmud,2016070200,1531
368,Talmud,2016070300,1851
369,Talmud,2016070400,1660
370,Talmud,2016070500,1839
371,Talmud,2016070600,1757
372,Talmud,2016070700,1642
373,Talmud,2016070800,1530
374,Talmud,2016070900,1599
375,Talmud,2016071000,1773
376,Talmud,2016071100,1775
377,Talmud,2016071200,1748
378,Talmud,2016071300,1661
379,Talmud,2016071400,1681
380,Talmud,2016071500,1699
381,Talmud,2016071600,1584
382,Talmud,2016071700,1646
383,Talmud,2016071800,1718
384,Talmud,2016071900,1674
385,Talmud,2016072000,1517
386,Talmud,2016072100,1659
387,Talmud,2016072200,1608
388,Talmud,2016072300,1504
389,Talmud,2016072400,1670
390,Talmud,2016072500,1622
391,Talmud,2016072600,1560
392,Talmud,2016072700,1634
393,Talmud,2016072800,1563
394,Talmud,2016072900,1427
395,Talmud,2016073000,1481
396,Talmud,2016073100,1763
397,Talmud,2016080100,1750
398,Talmud,2016080200,1695
399,Talmud,2016080300,1563
400,Talmud,2016080400,1585
401,Talmud,2016080500,1582
402,Talmud,2016080600,1391
403,Talmud,2016080700,1807
404,Talmud,2016080800,1804
405,Talmud,2016080900,1621
406,Talmud,2016081000,1568
407,Talmud,2016081100,1449
408,Talmud,2016081200,1318
409,Talmud,2016081300,1354
410,Talmud,2016081400,1431
411,Talmud,2016081500,1480
412,Talmud,2016081600,1617
413,Talmud,2016081700,1716
414,Talmud,2016081800,1487
415,Talmud,2016081900,1567
416,Talmud,2016082000,1473
417,Talmud,2016082100,1663
418,Talmud,2016082200,1666
419,Talmud,2016082300,1706
420,Talmud,2016082400,1923
421,Talmud,2016082500,1892
422,Talmud,2016082600,1711
423,Talmud,2016082700,1566
424,Talmud,2016082800,1818
425,Talmud,2016082900,1746
426,Talmud,2016083000,1842
427,Talmud,2016083100,1737
428,Talmud,2016090100,1633
429,Talmud,2016090200,1517
430,Talmud,2016090300,1679
431,Talmud,2016090400,1687
432,Talmud,2016090500,1779
433,Talmud,2016090600,1878
434,Talmud,2016090700,1835
435,Talmud,2016090800,1920
436,Talmud,2016090900,2212
437,Talmud,2016091000,1550
438,Talmud,2016091100,1864
439,Talmud,2016091200,1894
440,Talmud,2016091300,1993
441,Talmud,2016091400,1929
442,Talmud,2016091500,1979
443,Talmud,2016091600,1753
444,Talmud,2016091700,1762
445,Talmud,2016091800,1862
446,Talmud,2016091900,2032
447,Talmud,2016092000,1967
448,Talmud,2016092100,1982
449,Talmud,2016092200,1924
450,Talmud,2016092300,1620
451,Talmud,2016092400,1551
452,Talmud,2016092500,2008
453,Talmud,2016092600,2138
454,Talmud,2016092700,1858
455,Talmud,2016092800,2703
456,Talmud,2016092900,2229
457,Talmud,2016093000,2117
458,Talmud,2016100100,1748
459,Talmud,2016100200,1950
460,Talmud,2016100300,2032
461,Talmud,2016100400,1894
462,Talmud,2016100500,1871
463,Talmud,2016100600,1923
464,Talmud,2016100700,1762
465,Talmud,2016100800,1556
466,Talmud,2016100900,1748
467,Talmud,2016101000,1898
468,Talmud,2016101100,1961
469,Talmud,2016101200,2159
470,Talmud,2016101300,2034
471,Talmud,2016101400,1730
472,Talmud,2016101500,1432
473,Talmud,2016101600,1804
474,Talmud,2016101700,1843
475,Talmud,2016101800,1892
476,Talmud,2016101900,1803
477,Talmud,2016102000,1705
478,Talmud,2016102100,1611
479,Talmud,2016102200,1592
480,Talmud,2016102300,1693
481,Talmud,2016102400,1858
482,Talmud,2016102500,1951
483,Talmud,2016102600,1919
484,Talmud,2016102700,2011
485,Talmud,2016102800,1710
486,Talmud,2016102900,1514
487,Talmud,2016103000,1793
488,Talmud,2016103100,1813
489,Talmud,2016110100,1852
490,Talmud,2016110200,1974
491,Talmud,2016110300,1791
492,Talmud,2016110400,1690
493,Talmud,2016110500,1565
494,Talmud,2016110600,1915
495,Talmud,2016110700,2030
496,Talmud,2016110800,1728
497,Talmud,2016110900,1446
498,Talmud,2016111000,1586
499,Talmud,2016111100,2984
500,Talmud,2016111200,2105
501,Talmud,2016111300,2124
502,Talmud,2016111400,2057
503,Talmud,2016111500,2013
504,Talmud,2016111600,1989
505,Talmud,2016111700,1984
506,Talmud,2016111800,1740
507,Talmud,2016111900,1673
508,Talmud,2016112000,1924
509,Talmud,2016112100,1989
510,Talmud,2016112200,1943
511,Talmud,2016112300,1748
512,Talmud,2016112400,1514
513,Talmud,2016112500,1535
514,Talmud,2016112600,1577
515,Talmud,2016112700,1886
516,Talmud,2016112800,2045
517,Talmud,2016112900,2015
518,Talmud,2016113000,1979
519,Talmud,2016120100,1987
520,Talmud,2016120200,1750
521,Talmud,2016120300,1638
522,Talmud,2016120400,2206
523,Talmud,2016120500,2200
524,Talmud,2016120600,2121
525,Talmud,2016120700,2140
526,Talmud,2016120800,2082
527,Talmud,2016120900,1892
528,Talmud,2016121000,1744
529,Talmud,2016121100,2106
530,Talmud,2016121200,2137
531,Talmud,2016121300,1995
532,Talmud,2016121400,1962
533,Talmud,2016121500,2024
534,Talmud,2016121600,1691
535,Talmud,2016121700,1705
536,Talmud,2016121800,2071
537,Talmud,2016121900,1956
538,Talmud,2016122000,1916
539,Talmud,2016122100,1994
540,Talmud,2016122200,1791
541,Talmud,2016122300,1697
542,Talmud,2016122400,1928
543,Talmud,2016122500,2300
544,Talmud,2016122600,2119
545,Talmud,2016122700,2040
546,Talmud,2016122800,2085
547,Talmud,2016122900,2090
548,Talmud,2016123000,2016
549,Talmud,2016123100,1722
550,Talmud,2017010100,1867
551,Talmud,2017010200,2221
552,Talmud,2017010300,2174
553,Talmud,2017010400,2072
554,Talmud,2017010500,2116
555,Talmud,2017010600,1873
556,Talmud,2017010700,1914
557,Talmud,2017010800,2155
558,Talmud,2017010900,2185
559,Talmud,2017011000,2119
560,Talmud,2017011100,2222
561,Talmud,2017011200,2216
562,Talmud,2017011300,2586
563,Talmud,2017011400,1885
564,Talmud,2017011500,2026
565,Talmud,2017011600,1940
566,Talmud,2017011700,2155
567,Talmud,2017011800,2227
568,Talmud,2017011900,1954
569,Talmud,2017012000,1863
570,Talmud,2017012100,1723
571,Talmud,2017012200,2015
572,Talmud,2017012300,2064
573,Talmud,2017012400,2119
574,Talmud,2017012500,2163
575,Talmud,2017012600,2087
576,Talmud,2017012700,1813
577,Talmud,2017012800,1658
578,Talmud,2017012900,1963
579,Talmud,2017013000,2156
580,Talmud,2017013100,2079
581,Talmud,2017020100,2096
582,Talmud,2017020200,1937
583,Talmud,2017020300,1833
584,Talmud,2017020400,1794
585,Talmud,2017020500,2061
586,Talmud,2017020600,2090
587,Talmud,2017020700,2382
588,Talmud,2017020800,2256
589,Talmud,2017020900,2231
590,Talmud,2017021000,2048
591,Talmud,2017021100,1955
592,Talmud,2017021200,2278
593,Talmud,2017021300,2171
594,Talmud,2017021400,2123
595,Talmud,2017021500,2212
596,Talmud,2017021600,2240
597,Talmud,2017021700,1999
598,Talmud,2017021800,1799
599,Talmud,2017021900,2000
600,Talmud,2017022000,2174
601,Talmud,2017022100,2163
602,Talmud,2017022200,2208
603,Talmud,2017022300,2071
604,Talmud,2017022400,1949
605,Talmud,2017022500,1763
606,Talmud,2017022600,2044
607,Talmud,2017022700,2366
608,Talmud,2017022800,2167
609,Talmud,2017030100,2031
610,Talmud,2017030200,2068
611,Talmud,2017030300,1857
612,Talmud,2017030400,1733
613,Talmud,2017030500,1960
614,Talmud,2017030600,2152
615,Talmud,2017030700,2078
616,Talmud,2017030800,1971
617,Talmud,2017030900,1949
618,Talmud,2017031000,1886
619,Talmud,2017031100,1788
620,Talmud,2017031200,2030
621,Talmud,2017031300,1999
622,Talmud,2017031400,1989
623,Talmud,2017031500,1957
624,Talmud,2017031600,1925
625,Talmud,2017031700,1862
626,Talmud,2017031800,1648
627,Talmud,2017031900,1923
628,Talmud,2017032000,2053
629,Talmud,2017032100,2023
630,Talmud,2017032200,1998
631,Talmud,2017032300,1931
632,Talmud,2017032400,1770
633,Talmud,2017032500,1719
634,Talmud,2017032600,1971
635,Talmud,2017032700,2033
636,Talmud,2017032800,1887
637,Talmud,2017032900,1864
638,Talmud,2017033000,1875
639,Talmud,2017033100,1737
640,Talmud,2017040100,1592
641,Talmud,2017040200,1900
642,Talmud,2017040300,1980
643,Talmud,2017040400,1885
644,Talmud,2017040500,1982
645,Talmud,2017040600,2377
646,Talmud,2017040700,1712
647,Talmud,2017040800,1899
648,Talmud,2017040900,2113
649,Talmud,2017041000,2347
650,Talmud,2017041100,2228
651,Talmud,2017041200,2056
652,Talmud,2017041300,2037
653,Talmud,2017041400,2017
654,Talmud,2017041500,1904
655,Talmud,2017041600,2264
656,Talmud,2017041700,2449
657,Talmud,2017041800,2160
658,Talmud,2017041900,2083
659,Talmud,2017042000,2951
660,Talmud,2017042100,2134
661,Talmud,2017042200,1847
662,Talmud,2017042300,1965
663,Talmud,2017042400,2270
664,Talmud,2017042500,2294
665,Talmud,2017042600,1990
666,Talmud,2017042700,2007
667,Talmud,2017042800,1796
668,Talmud,2017042900,1623
669,Talmud,2017043000,1931
670,Talmud,2017050100,2045
671,Talmud,2017050200,1905
672,Talmud,2017050300,2031
673,Talmud,2017050400,1824
674,Talmud,2017050500,1643
675,Talmud,2017050600,1679
676,Talmud,2017050700,1925
677,Talmud,2017050800,1952
678,Talmud,2017050900,1933
679,Talmud,2017051000,1754
680,Talmud,2017051100,1857
681,Talmud,2017051200,1625
682,Talmud,2017051300,1499
683,Talmud,2017051400,1799
684,Talmud,2017051500,1929
685,Talmud,2017051600,1968
686,Talmud,2017051700,1860
687,Talmud,2017051800,1816
688,Talmud,2017051900,1632
689,Talmud,2017052000,1561
690,Talmud,2017052100,1778
691,Talmud,2017052200,1998
692,Talmud,2017052300,1988
693,Talmud,2017052400,1836
694,Talmud,2017052500,2189
695,Talmud,2017052600,1808
696,Talmud,2017052700,1662
697,Talmud,2017052800,1847
698,Talmud,2017052900,1763
699,Talmud,2017053000,1808
700,Talmud,2017053100,2035
701,Talmud,2017060100,1675
702,Talmud,2017060200,1589
703,Talmud,2017060300,1609
704,Talmud,2017060400,1928
705,Talmud,2017060500,1887
706,Talmud,2017060600,2040
707,Talmud,2017060700,1697
708,Talmud,2017060800,1622
709,Talmud,2017060900,1429
710,Talmud,2017061000,1523
