,article,timestamp,views
0,The_Beatles_(album),2015070100,1984
1,The_Beatles_(album),2015070200,2120
2,The_Beatles_(album),2015070300,1988
3,The_Beatles_(album),2015070400,2026
4,The_Beatles_(album),2015070500,2057
5,The_Beatles_(album),2015070600,2133
6,The_Beatles_(album),2015070700,2695
7,The_Beatles_(album),2015070800,2326
8,The_Beatles_(album),2015070900,2309
9,The_Beatles_(album),2015071000,2270
10,The_Beatles_(album),2015071100,2112
11,The_Beatles_(album),2015071200,2312
12,The_Beatles_(album),2015071300,2241
13,The_Beatles_(album),2015071400,2121
14,The_Beatles_(album),2015071500,2063
15,The_Beatles_(album),2015071600,2016
16,The_Beatles_(album),2015071700,2224
17,The_Beatles_(album),2015071800,2013
18,The_Beatles_(album),2015071900,2957
19,The_Beatles_(album),2015072000,2359
20,The_Beatles_(album),2015072100,2477
21,The_Beatles_(album),2015072200,2302
22,The_Beatles_(album),2015072300,5572
23,The_Beatles_(album),2015072400,2910
24,The_Beatles_(album),2015072500,2565
25,The_Beatles_(album),2015072600,2519
26,The_Beatles_(album),2015072700,2342
27,The_Beatles_(album),2015072800,2239
28,The_Beatles_(album),2015072900,2366
29,The_Beatles_(album),2015073000,2347
30,The_Beatles_(album),2015073100,2213
31,The_Beatles_(album),2015080100,2263
32,The_Beatles_(album),2015080200,2844
33,The_Beatles_(album),2015080300,2255
34,The_Beatles_(album),2015080400,2293
35,The_Beatles_(album),2015080500,2705
36,The_Beatles_(album),2015080600,3281
37,The_Beatles_(album),2015080700,2699
38,The_Beatles_(album),2015080800,2422
39,The_Beatles_(album),2015080900,2367
40,The_Beatles_(album),2015081000,2237
41,The_Beatles_(album),2015081100,2190
42,The_Beatles_(album),2015081200,2182
43,The_Beatles_(album),2015081300,2133
44,The_Beatles_(album),2015081400,2247
45,The_Beatles_(album),2015081500,2211
46,The_Beatles_(album),2015081600,2346
47,The_Beatles_(album),2015081700,2212
48,The_Beatles_(album),2015081800,2456
49,The_Beatles_(album),2015081900,2274
50,The_Beatles_(album),2015082000,2298
51,The_Beatles_(album),2015082100,2252
52,The_Beatles_(album),2015082200,2814
53,The_Beatles_(album),2015082300,2879
54,The_Beatles_(album),2015082400,2325
55,The_Beatles_(album),2015082500,2252
56,The_Beatles_(album),2015082600,2256
57,The_Beatles_(album),2015082700,2252
58,The_Beatles_(album),2015082800,2403
59,The_Beatles_(album),2015082900,2242
60,The_Beatles_(album),2015083000,2263
61,The_Beatles_(album),2015083100,2291
62,The_Beatles_(album),2015090100,2265
63,The_Beatles_(album),2015090200,2090
64,The_Beatles_(album),2015090300,2463
65,The_Beatles_(album),2015090400,2126
66,The_Beatles_(album),2015090500,2146
67,The_Beatles_(album),2015090600,2375
68,The_Beatles_(album),2015090700,2203
69,The_Beatles_(album),2015090800,2195
70,The_Beatles_(album),2015090900,1983
71,The_Beatles_(album),2015091000,2293
72,The_Beatles_(album),2015091100,2021
73,The_Beatles_(album),2015091200,2041
74,The_Beatles_(album),2015091300,2220
75,The_Beatles_(album),2015091400,2253
76,The_Beatles_(album),2015091500,2151
77,The_Beatles_(album),2015091600,2228
78,The_Beatles_(album),2015091700,2019
79,The_Beatles_(album),2015091800,2284
80,The_Beatles_(album),2015091900,2157
81,The_Beatles_(album),2015092000,2100
82,The_Beatles_(album),2015092100,2194
83,The_Beatles_(album),2015092200,2226
84,The_Beatles_(album),2015092300,2228
85,The_Beatles_(album),2015092400,2083
86,The_Beatles_(album),2015092500,2292
87,The_Beatles_(album),2015092600,2052
88,The_Beatles_(album),2015092700,1952
89,The_Beatles_(album),2015092800,2148
90,The_Beatles_(album),2015092900,2049
91,The_Beatles_(album),2015093000,2283
92,The_Beatles_(album),2015100100,2159
93,The_Beatles_(album),2015100200,2014
94,The_Beatles_(album),2015100300,2003
95,The_Beatles_(album),2015100400,2072
96,The_Beatles_(album),2015100500,2169
97,The_Beatles_(album),2015100600,2227
98,The_Beatles_(album),2015100700,2272
99,The_Beatles_(album),2015100800,1941
100,The_Beatles_(album),2015100900,2532
101,The_Beatles_(album),2015101000,2244
102,The_Beatles_(album),2015101100,2307
103,The_Beatles_(album),2015101200,2427
104,The_Beatles_(album),2015101300,2266
105,The_Beatles_(album),2015101400,2302
106,The_Beatles_(album),2015101500,2270
107,The_Beatles_(album),2015101600,2313
108,The_Beatles_(album),2015101700,2147
109,The_Beatles_(album),2015101800,2255
110,The_Beatles_(album),2015101900,2188
111,The_Beatles_(album),2015102000,2305
112,The_Beatles_(album),2015102100,2237
113,The_Beatles_(album),2015102200,2391
114,The_Beatles_(album),2015102300,2418
115,The_Beatles_(album),2015102400,2297
116,The_Beatles_(album),2015102500,2449
117,The_Beatles_(album),2015102600,2369
118,The_Beatles_(album),2015102700,2267
119,The_Beatles_(album),2015102800,2568
120,The_Beatles_(album),2015102900,2391
121,The_Beatles_(album),2015103000,2267
122,The_Beatles_(album),2015103100,2117
123,The_Beatles_(album),2015110100,2067
124,The_Beatles_(album),2015110200,2270
125,The_Beatles_(album),2015110300,2361
126,The_Beatles_(album),2015110400,2412
127,The_Beatles_(album),2015110500,2442
128,The_Beatles_(album),2015110600,2394
129,The_Beatles_(album),2015110700,2177
130,The_Beatles_(album),2015110800,2360
131,The_Beatles_(album),2015110900,2528
132,The_Beatles_(album),2015111000,2328
133,The_Beatles_(album),2015111100,3012
134,The_Beatles_(album),2015111200,2991
135,The_Beatles_(album),2015111300,2501
136,The_Beatles_(album),2015111400,2219
137,The_Beatles_(album),2015111500,2619
138,The_Beatles_(album),2015111600,2313
139,The_Beatles_(album),2015111700,2596
140,The_Beatles_(album),2015111800,2451
141,The_Beatles_(album),2015111900,2519
142,The_Beatles_(album),2015112000,2474
143,The_Beatles_(album),2015112100,2457
144,The_Beatles_(album),2015112200,3578
145,The_Beatles_(album),2015112300,2727
146,The_Beatles_(album),2015112400,2747
147,The_Beatles_(album),2015112500,2923
148,The_Beatles_(album),2015112600,2704
149,The_Beatles_(album),2015112700,2229
