,article,timestamp,views
0,Titanic_(1997_film),2015070100,8743
1,Titanic_(1997_film),2015070200,8425
2,Titanic_(1997_film),2015070300,8821
3,Titanic_(1997_film),2015070400,9182
4,Titanic_(1997_film),2015070500,10057
5,Titanic_(1997_film),2015070600,10368
6,Titanic_(1997_film),2015070700,9158
7,Titanic_(1997_film),2015070800,8728
8,Titanic_(1997_film),2015070900,9223
9,Titanic_(1997_film),2015071000,12201
10,Titanic_(1997_film),2015071100,12697
11,Titanic_(1997_film),2015071200,14793
12,Titanic_(1997_film),2015071300,10440
13,Titanic_(1997_film),2015071400,9839
14,Titanic_(1997_film),2015071500,9672
15,Titanic_(1997_film),2015071600,9683
16,Titanic_(1997_film),2015071700,9180
17,Titanic_(1997_film),2015071800,11325
18,Titanic_(1997_film),2015071900,14501
19,Titanic_(1997_film),2015072000,11063
20,Titanic_(1997_film),2015072100,9795
21,Titanic_(1997_film),2015072200,9481
22,Titanic_(1997_film),2015072300,10645
23,Titanic_(1997_film),2015072400,10678
24,Titanic_(1997_film),2015072500,9921
25,Titanic_(1997_film),2015072600,10725
26,Titanic_(1997_film),2015072700,10713
27,Titanic_(1997_film),2015072800,14970
28,Titanic_(1997_film),2015072900,15004
29,Titanic_(1997_film),2015073000,10011
30,Titanic_(1997_film),2015073100,9325
31,Titanic_(1997_film),2015080100,9058
32,Titanic_(1997_film),2015080200,9558
33,Titanic_(1997_film),2015080300,7942
34,Titanic_(1997_film),2015080400,8634
35,Titanic_(1997_film),2015080500,8304
36,Titanic_(1997_film),2015080600,7922
37,Titanic_(1997_film),2015080700,8376
38,Titanic_(1997_film),2015080800,9473
39,Titanic_(1997_film),2015080900,13661
40,Titanic_(1997_film),2015081000,10943
41,Titanic_(1997_film),2015081100,9670
42,Titanic_(1997_film),2015081200,8651
43,Titanic_(1997_film),2015081300,8429
44,Titanic_(1997_film),2015081400,9108
45,Titanic_(1997_film),2015081500,10746
46,Titanic_(1997_film),2015081600,11985
47,Titanic_(1997_film),2015081700,10486
48,Titanic_(1997_film),2015081800,8954
49,Titanic_(1997_film),2015081900,8657
50,Titanic_(1997_film),2015082000,9931
51,Titanic_(1997_film),2015082100,12381
52,Titanic_(1997_film),2015082200,12794
