,article,timestamp,views
0,Turkey,2015070100,11548
1,Turkey,2015070200,11073
2,Turkey,2015070300,10494
3,Turkey,2015070400,10773
4,Turkey,2015070500,12079
5,Turkey,2015070600,13015
6,Turkey,2015070700,13246
7,Turkey,2015070800,11931
8,Turkey,2015070900,13163
9,Turkey,2015071000,11905
10,Turkey,2015071100,11870
11,Turkey,2015071200,11073
12,Turkey,2015071300,11682
13,Turkey,2015071400,11743
14,Turkey,2015071500,11252
15,Turkey,2015071600,10233
16,Turkey,2015071700,9640
17,Turkey,2015071800,10177
18,Turkey,2015071900,10011
19,Turkey,2015072000,13225
20,Turkey,2015072100,14146
21,Turkey,2015072200,12783
22,Turkey,2015072300,12933
23,Turkey,2015072400,14930
24,Turkey,2015072500,14039
25,Turkey,2015072600,13939
26,Turkey,2015072700,15721
27,Turkey,2015072800,15505
28,Turkey,2015072900,15618
29,Turkey,2015073000,13289
30,Turkey,2015073100,11542
31,Turkey,2015080100,10720
32,Turkey,2015080200,11687
33,Turkey,2015080300,10825
34,Turkey,2015080400,11546
35,Turkey,2015080500,12875
36,Turkey,2015080600,10910
37,Turkey,2015080700,10552
38,Turkey,2015080800,9767
39,Turkey,2015080900,10239
40,Turkey,2015081000,12474
41,Turkey,2015081100,12487
42,Turkey,2015081200,11409
43,Turkey,2015081300,11139
44,Turkey,2015081400,10351
45,Turkey,2015081500,9797
46,Turkey,2015081600,10519
47,Turkey,2015081700,11024
48,Turkey,2015081800,12205
49,Turkey,2015081900,11846
50,Turkey,2015082000,11328
51,Turkey,2015082100,10519
52,Turkey,2015082200,10294
53,Turkey,2015082300,10353
54,Turkey,2015082400,11235
55,Turkey,2015082500,11491
56,Turkey,2015082600,11640
57,Turkey,2015082700,11081
58,Turkey,2015082800,10795
59,Turkey,2015082900,10369
60,Turkey,2015083000,11171
61,Turkey,2015083100,11673
62,Turkey,2015090100,11993
63,Turkey,2015090200,12857
64,Turkey,2015090300,14801
65,Turkey,2015090400,14968
66,Turkey,2015090500,13357
67,Turkey,2015090600,15507
68,Turkey,2015090700,15989
69,Turkey,2015090800,15204
70,Turkey,2015090900,14615
71,Turkey,2015091000,14209
72,Turkey,2015091100,13341
73,Turkey,2015091200,12748
74,Turkey,2015091300,13585
75,Turkey,2015091400,13858
76,Turkey,2015091500,14453
77,Turkey,2015091600,13736
78,Turkey,2015091700,13762
79,Turkey,2015091800,13088
80,Turkey,2015091900,12467
81,Turkey,2015092000,13331
82,Turkey,2015092100,13419
83,Turkey,2015092200,14398
84,Turkey,2015092300,13235
85,Turkey,2015092400,12812
86,Turkey,2015092500,12827
87,Turkey,2015092600,11069
88,Turkey,2015092700,12117
89,Turkey,2015092800,13410
90,Turkey,2015092900,13838
91,Turkey,2015093000,13468
92,Turkey,2015100100,11961
93,Turkey,2015100200,11053
94,Turkey,2015100300,9906
95,Turkey,2015100400,11019
96,Turkey,2015100500,14290
97,Turkey,2015100600,14068
98,Turkey,2015100700,13303
99,Turkey,2015100800,13300
100,Turkey,2015100900,12399
101,Turkey,2015101000,24699
102,Turkey,2015101100,21393
103,Turkey,2015101200,17570
104,Turkey,2015101300,15736
105,Turkey,2015101400,13803
106,Turkey,2015101500,14797
107,Turkey,2015101600,13767
108,Turkey,2015101700,11921
109,Turkey,2015101800,12716
110,Turkey,2015101900,13942
111,Turkey,2015102000,12365
112,Turkey,2015102100,11766
113,Turkey,2015102200,11483
114,Turkey,2015102300,11130
115,Turkey,2015102400,10387
116,Turkey,2015102500,11144
117,Turkey,2015102600,12282
118,Turkey,2015102700,11835
119,Turkey,2015102800,12055
120,Turkey,2015102900,14510
121,Turkey,2015103000,11011
122,Turkey,2015103100,10164
123,Turkey,2015110100,14989
124,Turkey,2015110200,16943
125,Turkey,2015110300,14065
126,Turkey,2015110400,12954
127,Turkey,2015110500,12960
128,Turkey,2015110600,11408
129,Turkey,2015110700,10456
130,Turkey,2015110800,11336
131,Turkey,2015110900,15416
132,Turkey,2015111000,14706
133,Turkey,2015111100,13280
134,Turkey,2015111200,13536
135,Turkey,2015111300,12937
136,Turkey,2015111400,15383
137,Turkey,2015111500,23080
138,Turkey,2015111600,22538
139,Turkey,2015111700,23261
140,Turkey,2015111800,23281
141,Turkey,2015111900,22642
142,Turkey,2015112000,16937
143,Turkey,2015112100,13196
144,Turkey,2015112200,14311
145,Turkey,2015112300,15580
146,Turkey,2015112400,64733
147,Turkey,2015112500,63697
148,Turkey,2015112600,46265
149,Turkey,2015112700,35669
150,Turkey,2015112800,29834
151,Turkey,2015112900,25673
152,Turkey,2015113000,23695
153,Turkey,2015120100,22324
154,Turkey,2015120200,19631
155,Turkey,2015120300,18767
156,Turkey,2015120400,16375
157,Turkey,2015120500,14081
158,Turkey,2015120600,14678
159,Turkey,2015120700,15853
160,Turkey,2015120800,15419
161,Turkey,2015120900,14682
162,Turkey,2015121000,13632
163,Turkey,2015121100,14565
164,Turkey,2015121200,11924
165,Turkey,2015121300,13001
166,Turkey,2015121400,14496
167,Turkey,2015121500,13093
168,Turkey,2015121600,12454
169,Turkey,2015121700,12858
170,Turkey,2015121800,11541
171,Turkey,2015121900,10822
172,Turkey,2015122000,10909
173,Turkey,2015122100,11182
174,Turkey,2015122200,10953
175,Turkey,2015122300,10501
176,Turkey,2015122400,13642
177,Turkey,2015122500,10568
178,Turkey,2015122600,10932
179,Turkey,2015122700,12036
180,Turkey,2015122800,12470
181,Turkey,2015122900,10563
182,Turkey,2015123000,10842
183,Turkey,2015123100,9662
184,Turkey,2016010100,10144
185,Turkey,2016010200,11779
186,Turkey,2016010300,11436
187,Turkey,2016010400,12230
188,Turkey,2016010500,12429
189,Turkey,2016010600,12459
190,Turkey,2016010700,12061
191,Turkey,2016010800,11860
192,Turkey,2016010900,10381
193,Turkey,2016011000,10609
194,Turkey,2016011100,10568
195,Turkey,2016011200,16876
196,Turkey,2016011300,13208
197,Turkey,2016011400,12160
198,Turkey,2016011500,10564
199,Turkey,2016011600,9743
200,Turkey,2016011700,10293
201,Turkey,2016011800,11633
202,Turkey,2016011900,11847
203,Turkey,2016012000,10729
204,Turkey,2016012100,11162
205,Turkey,2016012200,10910
206,Turkey,2016012300,9884
207,Turkey,2016012400,10640
208,Turkey,2016012500,10928
209,Turkey,2016012600,11135
210,Turkey,2016012700,11280
211,Turkey,2016012800,11041
212,Turkey,2016012900,10108
213,Turkey,2016013000,9723
214,Turkey,2016013100,10702
215,Turkey,2016020100,10956
216,Turkey,2016020200,10978
217,Turkey,2016020300,10914
218,Turkey,2016020400,11226
219,Turkey,2016020500,10791
220,Turkey,2016020600,9717
221,Turkey,2016020700,10786
222,Turkey,2016020800,11792
223,Turkey,2016020900,11161
224,Turkey,2016021000,11109
225,Turkey,2016021100,11175
226,Turkey,2016021200,10449
227,Turkey,2016021300,18743
228,Turkey,2016021400,15360
229,Turkey,2016021500,12159
230,Turkey,2016021600,12272
231,Turkey,2016021700,14367
232,Turkey,2016021800,16078
233,Turkey,2016021900,12714
234,Turkey,2016022000,11021
235,Turkey,2016022100,11637
236,Turkey,2016022200,11945
237,Turkey,2016022300,11663
238,Turkey,2016022400,11459
239,Turkey,2016022500,11970
240,Turkey,2016022600,10507
241,Turkey,2016022700,9817
242,Turkey,2016022800,10622
243,Turkey,2016022900,10569
244,Turkey,2016030100,10777
245,Turkey,2016030200,10865
246,Turkey,2016030300,11034
247,Turkey,2016030400,10944
248,Turkey,2016030500,10469
249,Turkey,2016030600,10938
250,Turkey,2016030700,12593
251,Turkey,2016030800,13482
252,Turkey,2016030900,11667
253,Turkey,2016031000,11189
254,Turkey,2016031100,10465
255,Turkey,2016031200,9315
256,Turkey,2016031300,14911
257,Turkey,2016031400,18704
258,Turkey,2016031500,13068
259,Turkey,2016031600,12363
260,Turkey,2016031700,12429
261,Turkey,2016031800,12312
262,Turkey,2016031900,13326
263,Turkey,2016032000,12733
264,Turkey,2016032100,12326
265,Turkey,2016032200,16763
266,Turkey,2016032300,13303
267,Turkey,2016032400,11911
268,Turkey,2016032500,10327
269,Turkey,2016032600,10521
270,Turkey,2016032700,10708
271,Turkey,2016032800,11224
272,Turkey,2016032900,12142
273,Turkey,2016033000,11797
274,Turkey,2016033100,11238
275,Turkey,2016040100,13784
276,Turkey,2016040200,10359
277,Turkey,2016040300,10969
278,Turkey,2016040400,12379
279,Turkey,2016040500,11626
280,Turkey,2016040600,10865
281,Turkey,2016040700,10266
282,Turkey,2016040800,10103
283,Turkey,2016040900,9062
284,Turkey,2016041000,9557
