,article,timestamp,views
0,Universe,2015070100,3050
1,Universe,2015070200,3060
2,Universe,2015070300,2779
3,Universe,2015070400,2648
4,Universe,2015070500,2776
5,Universe,2015070600,2986
6,Universe,2015070700,3119
7,Universe,2015070800,3081
8,Universe,2015070900,2946
9,Universe,2015071000,2853
10,Universe,2015071100,2615
11,Universe,2015071200,3033
12,Universe,2015071300,3458
13,Universe,2015071400,5411
14,Universe,2015071500,4932
15,Universe,2015071600,4324
16,Universe,2015071700,3654
17,Universe,2015071800,3292
18,Universe,2015071900,3448
19,Universe,2015072000,3866
20,Universe,2015072100,3824
21,Universe,2015072200,3423
22,Universe,2015072300,4179
23,Universe,2015072400,4717
24,Universe,2015072500,4456
25,Universe,2015072600,3705
26,Universe,2015072700,3714
27,Universe,2015072800,3608
28,Universe,2015072900,3677
29,Universe,2015073000,3354
30,Universe,2015073100,3073
31,Universe,2015080100,2874
32,Universe,2015080200,3083
33,Universe,2015080300,3068
34,Universe,2015080400,3197
35,Universe,2015080500,3115
36,Universe,2015080600,3226
37,Universe,2015080700,2865
38,Universe,2015080800,2939
39,Universe,2015080900,3244
40,Universe,2015081000,3109
41,Universe,2015081100,4920
42,Universe,2015081200,4175
43,Universe,2015081300,3640
44,Universe,2015081400,2971
45,Universe,2015081500,2896
46,Universe,2015081600,3620
47,Universe,2015081700,3229
48,Universe,2015081800,3627
49,Universe,2015081900,3565
50,Universe,2015082000,3527
51,Universe,2015082100,3275
52,Universe,2015082200,2740
53,Universe,2015082300,3814
54,Universe,2015082400,3626
55,Universe,2015082500,3729
56,Universe,2015082600,3706
57,Universe,2015082700,3295
58,Universe,2015082800,3199
59,Universe,2015082900,2969
60,Universe,2015083000,3106
61,Universe,2015083100,3441
62,Universe,2015090100,3140
63,Universe,2015090200,3527
64,Universe,2015090300,3357
65,Universe,2015090400,3087
66,Universe,2015090500,2814
67,Universe,2015090600,3444
68,Universe,2015090700,3312
69,Universe,2015090800,3412
70,Universe,2015090900,3568
71,Universe,2015091000,3613
72,Universe,2015091100,3212
73,Universe,2015091200,3044
74,Universe,2015091300,3668
75,Universe,2015091400,3350
76,Universe,2015091500,3417
77,Universe,2015091600,3204
78,Universe,2015091700,3306
79,Universe,2015091800,3050
80,Universe,2015091900,2748
81,Universe,2015092000,3116
82,Universe,2015092100,3429
83,Universe,2015092200,3249
84,Universe,2015092300,3244
85,Universe,2015092400,3103
86,Universe,2015092500,3139
87,Universe,2015092600,2695
88,Universe,2015092700,3279
89,Universe,2015092800,4021
90,Universe,2015092900,4685
91,Universe,2015093000,3525
92,Universe,2015100100,3381
93,Universe,2015100200,3386
94,Universe,2015100300,2863
95,Universe,2015100400,3152
96,Universe,2015100500,3508
97,Universe,2015100600,3641
98,Universe,2015100700,3639
99,Universe,2015100800,3377
100,Universe,2015100900,3402
101,Universe,2015101000,3114
102,Universe,2015101100,3238
103,Universe,2015101200,3348
104,Universe,2015101300,3509
105,Universe,2015101400,3610
106,Universe,2015101500,3675
107,Universe,2015101600,3230
108,Universe,2015101700,3834
109,Universe,2015101800,3303
110,Universe,2015101900,3681
111,Universe,2015102000,3666
112,Universe,2015102100,3658
113,Universe,2015102200,3625
114,Universe,2015102300,3403
115,Universe,2015102400,3039
116,Universe,2015102500,3019
117,Universe,2015102600,3285
118,Universe,2015102700,3305
119,Universe,2015102800,3452
120,Universe,2015102900,3402
121,Universe,2015103000,3021
122,Universe,2015103100,2722
123,Universe,2015110100,3007
124,Universe,2015110200,3315
125,Universe,2015110300,3475
126,Universe,2015110400,3584
127,Universe,2015110500,3615
128,Universe,2015110600,3450
129,Universe,2015110700,2954
130,Universe,2015110800,3125
131,Universe,2015110900,3504
132,Universe,2015111000,3314
133,Universe,2015111100,3355
134,Universe,2015111200,3800
135,Universe,2015111300,3282
136,Universe,2015111400,2596
137,Universe,2015111500,3158
138,Universe,2015111600,5503
139,Universe,2015111700,3196
140,Universe,2015111800,3514
141,Universe,2015111900,3374
142,Universe,2015112000,3315
143,Universe,2015112100,2834
144,Universe,2015112200,3193
145,Universe,2015112300,3315
146,Universe,2015112400,3467
147,Universe,2015112500,3128
148,Universe,2015112600,3007
149,Universe,2015112700,2785
150,Universe,2015112800,2699
151,Universe,2015112900,3342
152,Universe,2015113000,3410
153,Universe,2015120100,3354
154,Universe,2015120200,3313
155,Universe,2015120300,3070
156,Universe,2015120400,3144
157,Universe,2015120500,2681
158,Universe,2015120600,2940
159,Universe,2015120700,3146
160,Universe,2015120800,3189
161,Universe,2015120900,3308
162,Universe,2015121000,3295
163,Universe,2015121100,3174
164,Universe,2015121200,2753
165,Universe,2015121300,2975
166,Universe,2015121400,3206
167,Universe,2015121500,3136
168,Universe,2015121600,3389
169,Universe,2015121700,3194
170,Universe,2015121800,2852
171,Universe,2015121900,2689
172,Universe,2015122000,2618
173,Universe,2015122100,3752
174,Universe,2015122200,3052
175,Universe,2015122300,2724
176,Universe,2015122400,2607
177,Universe,2015122500,2494
178,Universe,2015122600,2615
179,Universe,2015122700,2794
180,Universe,2015122800,3022
181,Universe,2015122900,2979
182,Universe,2015123000,3008
183,Universe,2015123100,2632
184,Universe,2016010100,2913
185,Universe,2016010200,3199
186,Universe,2016010300,3279
187,Universe,2016010400,3654
188,Universe,2016010500,3611
189,Universe,2016010600,4040
190,Universe,2016010700,3834
191,Universe,2016010800,3512
192,Universe,2016010900,3099
193,Universe,2016011000,3547
194,Universe,2016011100,3519
195,Universe,2016011200,3811
196,Universe,2016011300,3938
197,Universe,2016011400,3434
198,Universe,2016011500,3357
199,Universe,2016011600,3209
200,Universe,2016011700,3456
