,article,timestamp,views
0,Watchmen,2015070100,2351
1,Watchmen,2015070200,2453
2,Watchmen,2015070300,2518
3,Watchmen,2015070400,2483
4,Watchmen,2015070500,2924
5,Watchmen,2015070600,3685
6,Watchmen,2015070700,17515
7,Watchmen,2015070800,4984
8,Watchmen,2015070900,3154
9,Watchmen,2015071000,3270
10,Watchmen,2015071100,3284
11,Watchmen,2015071200,4260
12,Watchmen,2015071300,14686
13,Watchmen,2015071400,5601
14,Watchmen,2015071500,4172
15,Watchmen,2015071600,3612
16,Watchmen,2015071700,3377
17,Watchmen,2015071800,3164
18,Watchmen,2015071900,4292
19,Watchmen,2015072000,3741
20,Watchmen,2015072100,3439
21,Watchmen,2015072200,3582
22,Watchmen,2015072300,3074
23,Watchmen,2015072400,2854
24,Watchmen,2015072500,2906
25,Watchmen,2015072600,3244
26,Watchmen,2015072700,3537
27,Watchmen,2015072800,3319
28,Watchmen,2015072900,4137
29,Watchmen,2015073000,11378
30,Watchmen,2015073100,4561
31,Watchmen,2015080100,3079
32,Watchmen,2015080200,3184
33,Watchmen,2015080300,2984
34,Watchmen,2015080400,2951
35,Watchmen,2015080500,2924
36,Watchmen,2015080600,3002
37,Watchmen,2015080700,3222
38,Watchmen,2015080800,3091
39,Watchmen,2015080900,3124
40,Watchmen,2015081000,2933
41,Watchmen,2015081100,2827
42,Watchmen,2015081200,3050
43,Watchmen,2015081300,2880
44,Watchmen,2015081400,2690
45,Watchmen,2015081500,2690
46,Watchmen,2015081600,3301
47,Watchmen,2015081700,2870
48,Watchmen,2015081800,2773
49,Watchmen,2015081900,2696
50,Watchmen,2015082000,2560
51,Watchmen,2015082100,2575
52,Watchmen,2015082200,6218
53,Watchmen,2015082300,3868
54,Watchmen,2015082400,3042
55,Watchmen,2015082500,2794
56,Watchmen,2015082600,2442
57,Watchmen,2015082700,2390
58,Watchmen,2015082800,2350
59,Watchmen,2015082900,2297
60,Watchmen,2015083000,2599
61,Watchmen,2015083100,2530
62,Watchmen,2015090100,2292
63,Watchmen,2015090200,2427
64,Watchmen,2015090300,2375
65,Watchmen,2015090400,2313
66,Watchmen,2015090500,2680
67,Watchmen,2015090600,2631
68,Watchmen,2015090700,2758
69,Watchmen,2015090800,13434
70,Watchmen,2015090900,3473
71,Watchmen,2015091000,5245
72,Watchmen,2015091100,3856
73,Watchmen,2015091200,2699
74,Watchmen,2015091300,2952
75,Watchmen,2015091400,2789
76,Watchmen,2015091500,2727
77,Watchmen,2015091600,2741
78,Watchmen,2015091700,2441
79,Watchmen,2015091800,2399
80,Watchmen,2015091900,2410
81,Watchmen,2015092000,5289
82,Watchmen,2015092100,2773
83,Watchmen,2015092200,2534
84,Watchmen,2015092300,2426
85,Watchmen,2015092400,2377
86,Watchmen,2015092500,2139
87,Watchmen,2015092600,1969
88,Watchmen,2015092700,2247
89,Watchmen,2015092800,2309
90,Watchmen,2015092900,2391
91,Watchmen,2015093000,2193
92,Watchmen,2015100100,3276
93,Watchmen,2015100200,6271
94,Watchmen,2015100300,3311
95,Watchmen,2015100400,3035
96,Watchmen,2015100500,2821
97,Watchmen,2015100600,2477
98,Watchmen,2015100700,2323
99,Watchmen,2015100800,2289
100,Watchmen,2015100900,2279
101,Watchmen,2015101000,2298
102,Watchmen,2015101100,2386
103,Watchmen,2015101200,2653
104,Watchmen,2015101300,2667
105,Watchmen,2015101400,2377
106,Watchmen,2015101500,7086
107,Watchmen,2015101600,2598
108,Watchmen,2015101700,2207
109,Watchmen,2015101800,2420
110,Watchmen,2015101900,2380
111,Watchmen,2015102000,2124
112,Watchmen,2015102100,2247
113,Watchmen,2015102200,2171
114,Watchmen,2015102300,2449
115,Watchmen,2015102400,2144
116,Watchmen,2015102500,2231
117,Watchmen,2015102600,2726
118,Watchmen,2015102700,2702
119,Watchmen,2015102800,2417
120,Watchmen,2015102900,2279
121,Watchmen,2015103000,2402
122,Watchmen,2015103100,2137
123,Watchmen,2015110100,8578
124,Watchmen,2015110200,2847
125,Watchmen,2015110300,2511
126,Watchmen,2015110400,2366
127,Watchmen,2015110500,5613
128,Watchmen,2015110600,5276
129,Watchmen,2015110700,2864
130,Watchmen,2015110800,2679
131,Watchmen,2015110900,2678
132,Watchmen,2015111000,4029
133,Watchmen,2015111100,2951
134,Watchmen,2015111200,2540
135,Watchmen,2015111300,2141
136,Watchmen,2015111400,3171
137,Watchmen,2015111500,5744
138,Watchmen,2015111600,2881
139,Watchmen,2015111700,2937
140,Watchmen,2015111800,3003
141,Watchmen,2015111900,2789
142,Watchmen,2015112000,2352
143,Watchmen,2015112100,7392
144,Watchmen,2015112200,2566
145,Watchmen,2015112300,2470
146,Watchmen,2015112400,2378
147,Watchmen,2015112500,3615
148,Watchmen,2015112600,2243
149,Watchmen,2015112700,2317
150,Watchmen,2015112800,2377
151,Watchmen,2015112900,2409
152,Watchmen,2015113000,2864
153,Watchmen,2015120100,2770
154,Watchmen,2015120200,3576
155,Watchmen,2015120300,5438
156,Watchmen,2015120400,2793
157,Watchmen,2015120500,2690
158,Watchmen,2015120600,6877
159,Watchmen,2015120700,3364
160,Watchmen,2015120800,3075
161,Watchmen,2015120900,2672
162,Watchmen,2015121000,2696
