,article,timestamp,views
0,Wish_You_Were_Here_(Pink_Floyd_album),2015070100,1581
1,Wish_You_Were_Here_(Pink_Floyd_album),2015070200,1652
2,Wish_You_Were_Here_(Pink_Floyd_album),2015070300,1690
3,Wish_You_Were_Here_(Pink_Floyd_album),2015070400,1601
4,Wish_You_Were_Here_(Pink_Floyd_album),2015070500,1551
5,Wish_You_Were_Here_(Pink_Floyd_album),2015070600,1666
6,Wish_You_Were_Here_(Pink_Floyd_album),2015070700,1789
7,Wish_You_Were_Here_(Pink_Floyd_album),2015070800,1711
8,Wish_You_Were_Here_(Pink_Floyd_album),2015070900,1770
9,Wish_You_Were_Here_(Pink_Floyd_album),2015071000,1769
10,Wish_You_Were_Here_(Pink_Floyd_album),2015071100,1855
11,Wish_You_Were_Here_(Pink_Floyd_album),2015071200,1761
12,Wish_You_Were_Here_(Pink_Floyd_album),2015071300,1782
13,Wish_You_Were_Here_(Pink_Floyd_album),2015071400,1665
14,Wish_You_Were_Here_(Pink_Floyd_album),2015071500,1563
15,Wish_You_Were_Here_(Pink_Floyd_album),2015071600,1819
16,Wish_You_Were_Here_(Pink_Floyd_album),2015071700,1891
17,Wish_You_Were_Here_(Pink_Floyd_album),2015071800,1723
18,Wish_You_Were_Here_(Pink_Floyd_album),2015071900,1902
19,Wish_You_Were_Here_(Pink_Floyd_album),2015072000,1778
20,Wish_You_Were_Here_(Pink_Floyd_album),2015072100,1832
21,Wish_You_Were_Here_(Pink_Floyd_album),2015072200,1876
22,Wish_You_Were_Here_(Pink_Floyd_album),2015072300,1730
23,Wish_You_Were_Here_(Pink_Floyd_album),2015072400,1773
24,Wish_You_Were_Here_(Pink_Floyd_album),2015072500,1822
25,Wish_You_Were_Here_(Pink_Floyd_album),2015072600,2018
26,Wish_You_Were_Here_(Pink_Floyd_album),2015072700,2034
27,Wish_You_Were_Here_(Pink_Floyd_album),2015072800,2020
28,Wish_You_Were_Here_(Pink_Floyd_album),2015072900,1982
29,Wish_You_Were_Here_(Pink_Floyd_album),2015073000,1780
30,Wish_You_Were_Here_(Pink_Floyd_album),2015073100,1867
31,Wish_You_Were_Here_(Pink_Floyd_album),2015080100,1685
32,Wish_You_Were_Here_(Pink_Floyd_album),2015080200,1838
33,Wish_You_Were_Here_(Pink_Floyd_album),2015080300,1575
34,Wish_You_Were_Here_(Pink_Floyd_album),2015080400,1689
35,Wish_You_Were_Here_(Pink_Floyd_album),2015080500,1731
36,Wish_You_Were_Here_(Pink_Floyd_album),2015080600,1784
37,Wish_You_Were_Here_(Pink_Floyd_album),2015080700,1685
38,Wish_You_Were_Here_(Pink_Floyd_album),2015080800,1996
39,Wish_You_Were_Here_(Pink_Floyd_album),2015080900,2499
40,Wish_You_Were_Here_(Pink_Floyd_album),2015081000,1700
41,Wish_You_Were_Here_(Pink_Floyd_album),2015081100,1766
42,Wish_You_Were_Here_(Pink_Floyd_album),2015081200,1870
43,Wish_You_Were_Here_(Pink_Floyd_album),2015081300,1839
44,Wish_You_Were_Here_(Pink_Floyd_album),2015081400,2049
45,Wish_You_Were_Here_(Pink_Floyd_album),2015081500,2372
46,Wish_You_Were_Here_(Pink_Floyd_album),2015081600,2160
47,Wish_You_Were_Here_(Pink_Floyd_album),2015081700,2045
48,Wish_You_Were_Here_(Pink_Floyd_album),2015081800,1883
49,Wish_You_Were_Here_(Pink_Floyd_album),2015081900,2052
50,Wish_You_Were_Here_(Pink_Floyd_album),2015082000,1974
51,Wish_You_Were_Here_(Pink_Floyd_album),2015082100,1798
52,Wish_You_Were_Here_(Pink_Floyd_album),2015082200,1729
53,Wish_You_Were_Here_(Pink_Floyd_album),2015082300,1783
54,Wish_You_Were_Here_(Pink_Floyd_album),2015082400,1884
55,Wish_You_Were_Here_(Pink_Floyd_album),2015082500,1933
56,Wish_You_Were_Here_(Pink_Floyd_album),2015082600,1962
57,Wish_You_Were_Here_(Pink_Floyd_album),2015082700,1843
58,Wish_You_Were_Here_(Pink_Floyd_album),2015082800,1963
59,Wish_You_Were_Here_(Pink_Floyd_album),2015082900,1881
60,Wish_You_Were_Here_(Pink_Floyd_album),2015083000,1955
61,Wish_You_Were_Here_(Pink_Floyd_album),2015083100,1892
62,Wish_You_Were_Here_(Pink_Floyd_album),2015090100,1842
63,Wish_You_Were_Here_(Pink_Floyd_album),2015090200,1723
64,Wish_You_Were_Here_(Pink_Floyd_album),2015090300,1848
65,Wish_You_Were_Here_(Pink_Floyd_album),2015090400,1962
66,Wish_You_Were_Here_(Pink_Floyd_album),2015090500,2056
67,Wish_You_Were_Here_(Pink_Floyd_album),2015090600,2291
68,Wish_You_Were_Here_(Pink_Floyd_album),2015090700,2241
69,Wish_You_Were_Here_(Pink_Floyd_album),2015090800,1950
70,Wish_You_Were_Here_(Pink_Floyd_album),2015090900,1918
71,Wish_You_Were_Here_(Pink_Floyd_album),2015091000,2120
72,Wish_You_Were_Here_(Pink_Floyd_album),2015091100,2582
73,Wish_You_Were_Here_(Pink_Floyd_album),2015091200,3792
74,Wish_You_Were_Here_(Pink_Floyd_album),2015091300,2815
75,Wish_You_Were_Here_(Pink_Floyd_album),2015091400,2285
76,Wish_You_Were_Here_(Pink_Floyd_album),2015091500,2826
77,Wish_You_Were_Here_(Pink_Floyd_album),2015091600,2877
78,Wish_You_Were_Here_(Pink_Floyd_album),2015091700,2233
79,Wish_You_Were_Here_(Pink_Floyd_album),2015091800,2081
80,Wish_You_Were_Here_(Pink_Floyd_album),2015091900,1952
81,Wish_You_Were_Here_(Pink_Floyd_album),2015092000,2041
82,Wish_You_Were_Here_(Pink_Floyd_album),2015092100,1961
83,Wish_You_Were_Here_(Pink_Floyd_album),2015092200,1968
84,Wish_You_Were_Here_(Pink_Floyd_album),2015092300,1885
85,Wish_You_Were_Here_(Pink_Floyd_album),2015092400,2184
86,Wish_You_Were_Here_(Pink_Floyd_album),2015092500,2197
87,Wish_You_Were_Here_(Pink_Floyd_album),2015092600,2260
88,Wish_You_Were_Here_(Pink_Floyd_album),2015092700,2127
89,Wish_You_Were_Here_(Pink_Floyd_album),2015092800,2228
90,Wish_You_Were_Here_(Pink_Floyd_album),2015092900,2313
91,Wish_You_Were_Here_(Pink_Floyd_album),2015093000,2603
92,Wish_You_Were_Here_(Pink_Floyd_album),2015100100,2138
93,Wish_You_Were_Here_(Pink_Floyd_album),2015100200,2193
94,Wish_You_Were_Here_(Pink_Floyd_album),2015100300,2097
95,Wish_You_Were_Here_(Pink_Floyd_album),2015100400,2069
96,Wish_You_Were_Here_(Pink_Floyd_album),2015100500,1996
97,Wish_You_Were_Here_(Pink_Floyd_album),2015100600,1966
98,Wish_You_Were_Here_(Pink_Floyd_album),2015100700,1903
99,Wish_You_Were_Here_(Pink_Floyd_album),2015100800,1775
100,Wish_You_Were_Here_(Pink_Floyd_album),2015100900,1893
101,Wish_You_Were_Here_(Pink_Floyd_album),2015101000,2033
102,Wish_You_Were_Here_(Pink_Floyd_album),2015101100,2147
103,Wish_You_Were_Here_(Pink_Floyd_album),2015101200,2006
104,Wish_You_Were_Here_(Pink_Floyd_album),2015101300,1888
105,Wish_You_Were_Here_(Pink_Floyd_album),2015101400,1775
106,Wish_You_Were_Here_(Pink_Floyd_album),2015101500,1820
107,Wish_You_Were_Here_(Pink_Floyd_album),2015101600,1801
108,Wish_You_Were_Here_(Pink_Floyd_album),2015101700,1948
109,Wish_You_Were_Here_(Pink_Floyd_album),2015101800,1878
110,Wish_You_Were_Here_(Pink_Floyd_album),2015101900,1785
111,Wish_You_Were_Here_(Pink_Floyd_album),2015102000,1686
112,Wish_You_Were_Here_(Pink_Floyd_album),2015102100,1676
113,Wish_You_Were_Here_(Pink_Floyd_album),2015102200,1955
114,Wish_You_Were_Here_(Pink_Floyd_album),2015102300,1891
115,Wish_You_Were_Here_(Pink_Floyd_album),2015102400,1837
116,Wish_You_Were_Here_(Pink_Floyd_album),2015102500,1740
117,Wish_You_Were_Here_(Pink_Floyd_album),2015102600,1702
118,Wish_You_Were_Here_(Pink_Floyd_album),2015102700,1717
119,Wish_You_Were_Here_(Pink_Floyd_album),2015102800,1650
120,Wish_You_Were_Here_(Pink_Floyd_album),2015102900,1642
121,Wish_You_Were_Here_(Pink_Floyd_album),2015103000,1650
122,Wish_You_Were_Here_(Pink_Floyd_album),2015103100,1628
123,Wish_You_Were_Here_(Pink_Floyd_album),2015110100,1904
124,Wish_You_Were_Here_(Pink_Floyd_album),2015110200,1724
125,Wish_You_Were_Here_(Pink_Floyd_album),2015110300,1707
126,Wish_You_Were_Here_(Pink_Floyd_album),2015110400,1727
127,Wish_You_Were_Here_(Pink_Floyd_album),2015110500,1792
128,Wish_You_Were_Here_(Pink_Floyd_album),2015110600,1706
129,Wish_You_Were_Here_(Pink_Floyd_album),2015110700,1817
130,Wish_You_Were_Here_(Pink_Floyd_album),2015110800,1871
131,Wish_You_Were_Here_(Pink_Floyd_album),2015110900,1672
132,Wish_You_Were_Here_(Pink_Floyd_album),2015111000,1723
133,Wish_You_Were_Here_(Pink_Floyd_album),2015111100,1641
134,Wish_You_Were_Here_(Pink_Floyd_album),2015111200,1737
135,Wish_You_Were_Here_(Pink_Floyd_album),2015111300,1607
136,Wish_You_Were_Here_(Pink_Floyd_album),2015111400,1729
137,Wish_You_Were_Here_(Pink_Floyd_album),2015111500,1968
138,Wish_You_Were_Here_(Pink_Floyd_album),2015111600,1843
139,Wish_You_Were_Here_(Pink_Floyd_album),2015111700,1684
140,Wish_You_Were_Here_(Pink_Floyd_album),2015111800,1611
141,Wish_You_Were_Here_(Pink_Floyd_album),2015111900,1750
142,Wish_You_Were_Here_(Pink_Floyd_album),2015112000,1779
143,Wish_You_Were_Here_(Pink_Floyd_album),2015112100,1618
144,Wish_You_Were_Here_(Pink_Floyd_album),2015112200,1695
145,Wish_You_Were_Here_(Pink_Floyd_album),2015112300,1730
