,article,timestamp,views
0,X-Men,2015070100,3268
1,X-Men,2015070200,3506
2,X-Men,2015070300,3753
3,X-Men,2015070400,3451
4,X-Men,2015070500,4368
5,X-Men,2015070600,4133
6,X-Men,2015070700,3728
7,X-Men,2015070800,3696
8,X-Men,2015070900,3723
9,X-Men,2015071000,3967
10,X-Men,2015071100,4097
11,X-Men,2015071200,5408
12,X-Men,2015071300,4838
13,X-Men,2015071400,5173
14,X-Men,2015071500,4520
15,X-Men,2015071600,4565
16,X-Men,2015071700,5165
17,X-Men,2015071800,5265
18,X-Men,2015071900,5116
19,X-Men,2015072000,4831
20,X-Men,2015072100,4599
21,X-Men,2015072200,4441
22,X-Men,2015072300,4888
23,X-Men,2015072400,4561
24,X-Men,2015072500,4638
25,X-Men,2015072600,5107
26,X-Men,2015072700,4664
27,X-Men,2015072800,4426
28,X-Men,2015072900,4202
29,X-Men,2015073000,4041
30,X-Men,2015073100,4132
31,X-Men,2015080100,3720
32,X-Men,2015080200,4116
33,X-Men,2015080300,3809
34,X-Men,2015080400,4318
35,X-Men,2015080500,6320
36,X-Men,2015080600,5755
37,X-Men,2015080700,5600
38,X-Men,2015080800,5806
39,X-Men,2015080900,6179
40,X-Men,2015081000,5667
41,X-Men,2015081100,4645
42,X-Men,2015081200,4314
43,X-Men,2015081300,4382
44,X-Men,2015081400,4261
45,X-Men,2015081500,4509
46,X-Men,2015081600,4816
47,X-Men,2015081700,4050
48,X-Men,2015081800,4367
49,X-Men,2015081900,4197
50,X-Men,2015082000,3878
51,X-Men,2015082100,4347
52,X-Men,2015082200,4634
53,X-Men,2015082300,4130
54,X-Men,2015082400,4161
55,X-Men,2015082500,4080
56,X-Men,2015082600,3543
57,X-Men,2015082700,3806
58,X-Men,2015082800,4026
59,X-Men,2015082900,4050
60,X-Men,2015083000,4044
61,X-Men,2015083100,3863
62,X-Men,2015090100,4005
63,X-Men,2015090200,3855
64,X-Men,2015090300,3938
65,X-Men,2015090400,3766
66,X-Men,2015090500,3777
67,X-Men,2015090600,4096
68,X-Men,2015090700,3919
69,X-Men,2015090800,3547
70,X-Men,2015090900,3315
71,X-Men,2015091000,3617
72,X-Men,2015091100,3613
73,X-Men,2015091200,3871
74,X-Men,2015091300,4467
75,X-Men,2015091400,3753
76,X-Men,2015091500,4009
77,X-Men,2015091600,3727
78,X-Men,2015091700,4182
79,X-Men,2015091800,4702
80,X-Men,2015091900,5474
81,X-Men,2015092000,5940
82,X-Men,2015092100,5009
83,X-Men,2015092200,5182
84,X-Men,2015092300,4725
85,X-Men,2015092400,4618
86,X-Men,2015092500,4967
87,X-Men,2015092600,4412
88,X-Men,2015092700,4253
89,X-Men,2015092800,4279
90,X-Men,2015092900,4569
91,X-Men,2015093000,3790
92,X-Men,2015100100,2570
93,X-Men,2015100200,2846
94,X-Men,2015100300,2731
95,X-Men,2015100400,3301
96,X-Men,2015100500,2729
97,X-Men,2015100600,2576
98,X-Men,2015100700,2675
99,X-Men,2015100800,2953
100,X-Men,2015100900,2995
101,X-Men,2015101000,2872
